,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,12/31/2022,"3,050,706,000","504,785,000","237,462,000","30,334,000",-,"199,869,000","7,259,000","267,323,000",-,-,"1,158,371,000","295,552,000","9,206,000","632,825,000","220,788,000","48,642,000","1,026,344,000","1,038,974,000","6,871,000","505,952,000","199,813,000","326,338,000",-,"12,630,000",-,"81,021,000","67,429,000",-,"13,592,000","11,510,000","69,022,000","69,022,000",-,-,"151,011,000","2,777,509,000","1,930,341,000","1,269,116,000","1,269,116,000","661,225,000","195,635,000","223,814,000","223,814,000","26,932,000","26,932,000",-,"26,932,000","79,844,000","44,961,000","275,982,000","275,982,000","681,000",-,"1,540,000",-,"273,197,000","273,197,000","87,350,000","28,397,000","58,953,000","207,003,000","-21,156,000",-,-,-,"549,179,000","28,397,000","244,800,000",-,"204,175,000","547,714,000","175,778,000","302,914,000","65,452,000","7,996,778","7,996,778","406,712"
1,12/31/2021,"3,169,948,000","606,085,000","355,365,000","29,222,000",-,"318,999,000","7,144,000","250,720,000",-,-,"1,229,707,000","247,080,000","8,895,000","674,554,000","299,178,000","35,344,000","967,615,000","979,934,000","15,635,000","465,586,000","185,188,000","313,525,000",-,"12,319,000",-,"87,473,000","72,716,000",-,"14,757,000","10,833,000","69,022,000","69,022,000",-,-,"163,869,000","2,899,882,000","2,064,446,000","1,252,800,000","1,252,800,000","811,646,000","192,329,000","200,872,000","200,872,000","23,753,000","23,753,000",-,"23,753,000","100,690,000","37,675,000","280,117,000","280,117,000","290,000",-,"1,456,000",-,"270,066,000","270,066,000","87,106,000","24,708,000","62,398,000","188,064,000","-5,104,000",-,-,-,"550,183,000","24,708,000","245,358,000",-,"201,044,000","549,228,000","176,336,000","303,870,000",-,"8,077,831","8,077,831",-
2,12/31/2020,"2,819,627,000","691,067,000","387,009,000","36,430,000",-,"344,033,000","6,546,000","304,058,000",-,-,"883,704,000","198,854,000","12,110,000","438,249,000","234,491,000","47,179,000","901,366,000","920,006,000","9,243,000","421,603,000","170,195,000","318,965,000",-,"18,640,000",-,"81,157,000","64,221,000",-,"16,936,000","11,000,000","68,951,000","68,951,000",-,-,"135,203,000","2,546,703,000","1,795,480,000","1,127,108,000","1,127,108,000","668,372,000","170,323,000","181,799,000","181,799,000","19,321,000","19,321,000",-,"19,321,000","71,320,000","45,526,000","262,934,000","262,934,000","599,000",-,-,-,"272,924,000","272,924,000","110,492,000","24,510,000","85,982,000","164,088,000","-1,656,000",-,-,-,"535,858,000","24,510,000","248,414,000",-,"203,973,000","530,669,000","179,463,000","282,255,000",-,"8,650,814","8,650,814","250,321"
3,12/31/2019,"2,434,079,000","443,264,000","168,667,000","30,152,000",-,"131,408,000","7,107,000","274,597,000",-,-,"702,023,000","229,826,000","10,828,000","215,730,000","245,639,000","40,485,000","963,447,000","972,704,000","9,158,000","435,088,000","188,798,000","339,660,000",-,"9,257,000",-,"75,658,000","55,937,000",-,"19,721,000","10,561,000","68,951,000","68,951,000",-,-,"129,690,000","2,169,269,000","1,434,803,000","1,017,779,000","1,017,779,000","417,024,000","165,109,000","182,798,000","182,798,000","24,204,000","24,204,000",-,"24,204,000","83,270,000","38,229,000","240,856,000","240,856,000","2,612,000",-,-,-,"264,810,000","264,810,000","115,124,000","23,401,000","91,723,000","156,319,000","-6,633,000",-,-,-,"505,666,000","23,401,000","241,409,000",-,"195,859,000","506,469,000","172,458,000","265,060,000","96,393,000","8,836,149","8,836,149","333,408"
4,12/31/2018,"2,354,507,000","446,029,000","184,898,000","29,063,000",-,"148,341,000","7,494,000","261,131,000",-,-,"536,738,000","94,985,000","8,735,000","203,652,000","229,366,000","43,725,000","925,281,000","934,728,000","10,367,000","416,285,000","189,706,000","318,370,000",-,"9,447,000",-,"88,194,000","65,814,000",-,"22,380,000","9,906,000","68,951,000","68,951,000",-,-,"235,683,000","2,089,182,000","1,381,476,000","954,829,000","954,829,000","426,647,000","186,988,000","165,078,000","165,078,000","20,189,000","20,189,000",-,"20,189,000","68,220,000","37,891,000","229,340,000","229,340,000","14,881,000",-,-,-,"265,325,000","265,325,000","141,222,000","22,326,000","118,896,000","136,314,000","-12,211,000",-,-,-,"494,665,000","22,326,000","242,999,000",-,"196,374,000","492,528,000","174,048,000","249,529,000","64,631,000","9,669,286","9,669,286","224,988"
5,12/31/2017,"2,281,234,000","381,334,000","168,587,000","29,480,000",-,"127,954,000","11,153,000","212,747,000",-,-,"649,488,000","209,358,000","315,117,000","125,013,000","315,117,000","37,762,000","915,829,000","926,063,000","11,430,000","401,059,000","192,793,000","320,781,000",-,"10,234,000",-,"83,580,000","61,623,000",-,"21,957,000","9,247,000","71,253,000","68,951,000","2,302,000",0,"132,741,000","2,014,088,000","1,309,545,000","864,871,000","864,871,000","444,674,000","176,865,000","152,123,000","152,123,000","32,666,000","32,666,000",-,"32,666,000","81,187,000","34,300,000","227,402,000","227,402,000","5,146,000",-,-,-,"267,146,000","267,146,000","160,412,000","22,323,000","138,089,000","113,816,000","-7,082,000",-,-,-,"494,548,000","22,323,000","244,823,000",-,"195,893,000","504,891,000","173,570,000","260,068,000","91,481,000","10,287,302","10,287,302","277,249"
6,12/31/2016,"2,187,702,000","355,823,000","157,599,000","30,719,000",-,"117,019,000","9,861,000","198,224,000",-,-,"610,940,000","180,209,000","313,660,000","117,071,000","313,660,000","42,512,000","882,032,000","893,374,000","9,066,000","378,796,000","188,866,000","316,646,000",-,"11,342,000",-,"80,996,000","58,759,000",-,"22,237,000","9,139,000","74,638,000","68,969,000","5,669,000","10,913,000","120,709,000","1,920,862,000","1,260,934,000","810,770,000","810,770,000","450,164,000","170,291,000","146,359,000","146,359,000","23,944,000","23,944,000",-,"23,944,000","63,031,000","39,480,000","216,823,000","216,823,000","162,000",-,-,-,"266,840,000","266,840,000","172,258,000","25,220,000","147,038,000","101,870,000","-7,288,000",-,-,-,"483,663,000","25,220,000","241,620,000",-,"192,202,000","482,387,000","166,982,000","240,767,000","83,168,000","10,052,626","10,052,626","291,833"
7,12/31/2015,"2,144,316,000","359,579,000","167,097,000","31,265,000",-,"128,088,000","7,744,000","192,482,000",-,-,"583,532,000","176,527,000","322,380,000","84,625,000","322,380,000","49,990,000","871,014,000","883,084,000","7,453,000","362,263,000","190,439,000","322,929,000",-,"12,070,000",-,"85,518,000","58,312,000",-,"27,206,000","9,485,000","76,616,000","69,761,000","6,855,000",-,"108,582,000","1,888,111,000","1,197,259,000","765,106,000","765,106,000","432,153,000","174,291,000","146,286,000","146,286,000","28,098,000","28,098,000",-,"28,098,000","66,963,000","38,450,000","236,764,000","236,764,000","6,172,000",-,-,-,"256,205,000","256,205,000","173,315,000","22,273,000","151,042,000","88,564,000","-5,674,000",-,-,-,"492,969,000","22,273,000","233,932,000",-,"179,589,000","498,794,000","157,316,000","264,862,000","97,765,000","10,380,265","10,380,265","211,834"
8,12/31/2014,"2,104,534,000","337,922,000","146,099,000","33,118,000",-,"105,471,000","7,510,000","191,823,000",-,-,"572,246,000","191,785,000","320,695,000","59,766,000","320,695,000","52,682,000","855,095,000","869,361,000","12,836,000","320,273,000","184,571,000","351,681,000",-,"14,266,000",-,"86,558,000","61,845,000",-,"24,713,000","10,049,000","77,919,000","69,777,000","8,142,000",-,"112,063,000","1,861,063,000","1,118,936,000","718,604,000","718,604,000","400,332,000","201,277,000","145,438,000","145,438,000","31,172,000","31,172,000",-,"31,172,000","74,192,000","46,909,000","243,139,000","243,139,000","10,683,000",-,-,-,"243,471,000","243,471,000","172,767,000","19,309,000","153,458,000","75,024,000","-4,320,000",-,-,-,"486,610,000","19,309,000","224,162,000",-,"165,552,000","498,473,000","146,243,000","274,311,000","128,212,000","10,516,542","10,516,542","167,834"
9,12/31/2013,"2,102,273,000","333,190,000","142,862,000",-,-,"131,322,000","11,540,000","190,328,000",-,-,"524,938,000","200,993,000","268,795,000","55,150,000","268,795,000","47,495,000","897,086,000","914,396,000","11,362,000","323,191,000","188,048,000","391,795,000",-,"17,310,000",-,"84,529,000","59,448,000",-,"25,081,000","10,475,000","80,470,000","69,844,000","10,626,000",-,"124,090,000","1,869,588,000","1,119,271,000","737,946,000","737,946,000","381,325,000","198,106,000","135,662,000","135,662,000","45,999,000","45,999,000",-,"45,999,000","83,469,000","37,407,000","249,674,000","249,674,000","4,442,000",-,-,-,"232,685,000","232,685,000","168,645,000","13,352,000","155,293,000","72,497,000","-8,457,000",-,-,-,"482,359,000","13,352,000","219,333,000",-,"152,215,000","515,006,000","138,863,000","295,673,000","152,811,000","10,591,808","10,591,808","123,834"
