,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,3/31/2023,"3,194,657,000","685,933,000","387,855,000","29,327,000",-,"346,891,000","11,637,000","298,078,000",-,-,"1,111,983,000","314,978,000","10,100,000","624,495,000","162,410,000","40,947,000","1,027,299,000","1,039,767,000","6,809,000","507,749,000","197,129,000","328,080,000",-,"12,468,000",-,"93,304,000","79,902,000",-,"13,402,000","11,708,000","69,022,000","69,022,000",-,-,"154,461,000","2,914,461,000","1,910,402,000","1,274,794,000","1,274,794,000","635,608,000","314,380,000","216,621,000","216,621,000","56,564,000","56,564,000",-,"56,564,000","92,452,000","40,169,000","283,873,000","283,873,000","1,179,000",-,"1,437,000",-,"280,196,000","280,196,000","85,661,000","28,397,000","57,264,000","213,062,000",-,"-18,527,000",-,-,-,"564,069,000","28,397,000","251,799,000",-,"211,174,000","592,236,000","182,777,000","340,437,000",-,"7,972,438","7,972,438","406,712"
1,12/31/2022,"3,050,706,000","504,785,000","237,462,000","30,334,000",-,"199,869,000","7,259,000","267,323,000",-,-,"1,158,371,000","295,552,000","9,206,000","632,825,000","220,788,000","48,642,000","1,026,344,000","1,038,974,000","6,871,000","505,952,000","199,813,000","326,338,000",-,"12,630,000",-,"81,021,000","67,429,000",-,"13,592,000","11,510,000","69,022,000","69,022,000",-,-,"151,011,000","2,777,509,000","1,930,341,000","1,269,116,000","1,269,116,000","661,225,000","195,635,000","223,814,000","223,814,000","26,932,000","26,932,000",-,"26,932,000","79,844,000","44,961,000","275,982,000","275,982,000","681,000",-,"1,540,000",-,"273,197,000","273,197,000","87,350,000","28,397,000","58,953,000","207,003,000",-,"-21,156,000",-,-,-,"549,179,000","28,397,000","244,800,000",-,"204,175,000","547,714,000","175,778,000","302,914,000","65,452,000","7,996,778","7,996,778","406,712"
2,9/30/2022,"3,073,383,000","487,672,000","212,425,000","27,802,000",-,"177,174,000","7,449,000","275,247,000",-,-,"1,173,416,000","293,458,000","9,906,000","643,713,000","226,339,000","72,386,000","1,014,889,000","1,027,139,000","7,629,000","500,670,000","194,626,000","324,214,000",-,"12,250,000",-,"89,115,000","76,211,000",-,"12,904,000","11,117,000","69,022,000","69,022,000",-,-,"155,766,000","2,803,859,000","1,938,097,000","1,219,491,000","1,219,491,000","718,606,000","215,627,000","224,615,000","224,615,000","21,044,000","21,044,000",-,"21,044,000","84,768,000","50,586,000","269,122,000","269,122,000","582,000",-,"1,515,000",-,"269,524,000","269,524,000","88,594,000","29,134,000","59,460,000","201,957,000",-,"-21,027,000",-,-,-,"538,646,000","29,134,000","240,390,000",-,"200,502,000","530,556,000","171,368,000","290,166,000","77,741,000","8,024,450","8,024,450",-
3,6/30/2022,"3,111,606,000","477,273,000","204,843,000","29,497,000",-,"168,505,000","6,841,000","272,430,000",-,-,"1,226,937,000","294,027,000","8,411,000","658,245,000","266,254,000","62,047,000","1,011,888,000","1,023,808,000","6,654,000","504,403,000","193,031,000","319,720,000",-,"11,920,000",-,"93,452,000","79,893,000",-,"13,559,000","11,016,000","69,022,000","69,022,000",-,-,"159,971,000","2,842,488,000","1,984,349,000","1,215,903,000","1,215,903,000","768,446,000","204,307,000","214,522,000","214,522,000","27,886,000","27,886,000",-,"27,886,000","97,302,000","38,425,000","275,697,000","275,697,000","785,000",-,"1,461,000",-,"269,118,000","269,118,000","88,633,000","29,134,000","59,499,000","197,159,000",-,"-16,674,000",-,-,-,"544,815,000","29,134,000","239,984,000",-,"200,096,000","543,567,000","170,962,000","303,583,000","98,740,000","8,035,222","8,035,222",-
4,3/31/2022,"3,238,223,000","581,687,000","279,579,000","29,769,000",-,"244,165,000","5,645,000","302,108,000",-,-,"1,283,280,000","313,400,000","8,413,000","672,180,000","289,287,000","48,231,000","977,353,000","989,407,000","10,270,000","477,755,000","185,315,000","316,067,000",-,"12,054,000",-,"97,580,000","83,622,000",-,"13,958,000","10,820,000","69,023,000","69,023,000",-,-,"170,249,000","2,971,606,000","2,072,409,000","1,257,775,000","1,257,775,000","814,634,000","214,685,000","219,625,000","219,625,000","24,789,000","24,789,000",-,"24,789,000","117,122,000","44,266,000","278,710,000","278,710,000","788,000",-,"1,379,000",-,"266,617,000","266,617,000","87,105,000","27,137,000","59,968,000","192,929,000",-,"-13,417,000",-,-,-,"545,327,000","27,137,000","239,480,000",-,"197,594,000","542,979,000","170,457,000","303,499,000","23,920,000","8,062,102","8,062,102",-
5,12/31/2021,"3,169,948,000","606,085,000","355,365,000","29,222,000",-,"318,999,000","7,144,000","250,720,000",-,-,"1,229,707,000","247,080,000","8,895,000","674,554,000","299,178,000","35,344,000","967,615,000","979,934,000","15,635,000","465,586,000","185,188,000","313,525,000",-,"12,319,000",-,"87,473,000","72,716,000",-,"14,757,000","10,833,000","69,022,000","69,022,000",-,-,"163,869,000","2,899,882,000","2,064,446,000","1,252,800,000","1,252,800,000","811,646,000","192,329,000","200,872,000","200,872,000","23,753,000","23,753,000",-,"23,753,000","100,690,000","37,675,000","280,117,000","280,117,000","290,000",-,"1,456,000",-,"270,066,000","270,066,000","87,106,000","24,708,000","62,398,000","188,064,000",-,"-5,104,000",-,-,-,"550,183,000","24,708,000","245,358,000",-,"201,044,000","549,228,000","176,336,000","303,870,000",-,"8,077,831","8,077,831",-
6,9/30/2021,"3,085,446,000","548,306,000","286,372,000","28,689,000",-,"251,165,000","6,518,000","261,934,000",-,-,"1,257,183,000","288,566,000","10,019,000","683,240,000","275,358,000","40,829,000","909,025,000","922,107,000","9,415,000","428,497,000","176,916,000","307,279,000",-,"13,082,000",-,"89,969,000","74,998,000",-,"14,971,000","10,684,000","69,023,000","69,023,000",-,-,"160,427,000","2,812,982,000","1,964,804,000","1,186,361,000","1,186,361,000","778,443,000","207,428,000","191,572,000","191,572,000","20,278,000","20,278,000",-,"20,278,000","112,217,000","38,062,000","278,621,000","278,621,000","792,000",-,"1,538,000",-,"272,464,000","272,464,000","93,053,000","23,441,000","69,612,000","183,007,000",-,"-3,596,000",-,-,-,"551,085,000","23,441,000","249,023,000",-,"203,441,000","547,922,000","180,000,000","298,899,000","12,527,000","8,241,244","8,241,244",-
7,6/30/2021,"3,029,894,000","535,980,000","267,386,000","30,327,000",-,"229,703,000","7,356,000","268,594,000",-,-,"1,232,047,000","291,733,000","10,732,000","651,401,000","278,181,000","41,498,000","897,429,000","911,437,000","8,277,000","425,433,000","172,674,000","305,053,000",-,"14,008,000",-,"83,648,000","67,967,000",-,"15,681,000","10,747,000","69,023,000","69,023,000",-,-,"159,522,000","2,752,775,000","1,909,142,000","1,164,471,000","1,164,471,000","744,671,000","213,787,000","184,607,000","184,607,000","21,635,000","21,635,000",-,"21,635,000","110,084,000","38,916,000","274,604,000","274,604,000","594,000",-,-,-,"277,119,000","277,119,000","102,683,000","23,441,000","79,242,000","177,499,000",-,"-3,063,000",-,-,-,"551,723,000","23,441,000","253,678,000",-,"208,096,000","549,917,000","184,655,000","296,239,000","28,853,000","8,487,151","8,487,151",-
8,3/31/2021,"2,969,992,000","593,107,000","333,960,000","33,560,000",-,"292,541,000","7,859,000","259,147,000",-,-,"1,133,793,000","276,881,000","10,299,000","576,000,000","270,613,000","45,898,000","878,556,000","894,624,000","7,895,000","415,760,000","164,655,000","306,314,000",-,"16,068,000",-,"82,663,000","66,404,000",-,"16,259,000","10,803,000","68,951,000","68,951,000",-,-,"156,221,000","2,695,992,000","1,884,058,000","1,157,813,000","1,157,813,000","726,245,000","199,443,000","194,443,000","194,443,000","21,724,000","21,724,000",-,"21,724,000","102,788,000","42,325,000","251,211,000","251,211,000","595,000",-,-,-,"274,000,000","274,000,000","107,390,000","24,319,000","83,071,000","170,082,000",-,"-3,472,000",-,-,-,"525,211,000","24,319,000","249,681,000",-,"205,049,000","522,616,000","180,730,000","272,935,000",-,"8,589,731","8,589,731",-
9,12/31/2020,"2,819,627,000","691,067,000","387,009,000","36,430,000",-,"344,033,000","6,546,000","304,058,000",-,-,"883,704,000","198,854,000","12,110,000","438,249,000","234,491,000","47,179,000","901,366,000","920,006,000","9,243,000","421,603,000","170,195,000","318,965,000",-,"18,640,000",-,"81,157,000","64,221,000",-,"16,936,000","11,000,000","68,951,000","68,951,000",-,-,"135,203,000","2,546,703,000","1,795,480,000","1,127,108,000","1,127,108,000","668,372,000","170,323,000","181,799,000","181,799,000","19,321,000","19,321,000",-,"19,321,000","71,320,000","45,526,000","262,934,000","262,934,000","599,000",-,-,-,"272,924,000","272,924,000","110,492,000","24,510,000","85,982,000","164,088,000",-,"-1,656,000",-,-,-,"535,858,000","24,510,000","248,414,000",-,"203,973,000","530,669,000","179,463,000","282,255,000",-,"8,650,814","8,650,814","250,321"
