,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Business Purchase And Sale,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"-6,327,000","-6,327,000","27,528,000","-32,000","-32,000","1,978,000","1,978,000",-,-,-,"739,000","739,000","7,927,000","2,072,000",-,"2,862,000","2,543,000","-51,944,000","23,029,000","23,029,000","20,799,000","-95,772,000","-2,529,000","-2,529,000","-16,854,000","-115,000",-,"84,103,000","-159,058,000","243,161,000",-,-,"-65,051,000","26,757,000","-91,808,000",-,-,-,"-4,612,000","-106,039,000","-106,039,000","3,306,000","35,034,000","31,855,000","65,910,000","-34,055,000","3,179,000",-,"-5,073,000",-,"-5,073,000","3,772,000","4,426,000","-654,000","-8,576,000",-,"-312,000",-,"230,203,000","-114,895,000","-3,123,000","348,221,000",-,"2,288,000","18,526,000",-,"4,426,000","65,910,000","-34,055,000","-5,727,000","-6,327,000"
1,12/31/2022,"-6,327,000","-6,327,000","27,528,000","-32,000","-32,000","1,978,000","1,978,000",-,-,-,"739,000","739,000","7,927,000","2,072,000",-,"2,862,000","2,543,000","-51,944,000","23,029,000","23,029,000","20,799,000","-95,772,000","-2,529,000","-2,529,000","-16,854,000","-115,000",-,"84,103,000","-159,058,000","243,161,000",-,-,"-65,051,000","26,757,000","-91,808,000",-,-,-,"-4,612,000","-106,039,000","-106,039,000","3,306,000","35,034,000","31,855,000","65,910,000","-34,055,000","3,179,000",-,"-5,073,000",-,"-5,073,000","3,772,000","4,426,000","-654,000","-8,576,000",-,"-312,000",-,"230,203,000","-114,895,000","-3,123,000","348,221,000",-,"2,288,000","18,526,000",-,"4,426,000","65,910,000","-34,055,000","-5,727,000","-6,327,000"
2,12/31/2021,"-7,193,000","-7,193,000","31,978,000","-22,000","-22,000","1,898,000","1,898,000",-,-,-,"-838,000","-838,000","-4,300,000","5,837,000",-,"2,768,000","-4,594,000","-39,920,000","16,639,000","16,639,000","-34,455,000","-22,104,000","-313,291,000","-313,291,000","53,338,000","-598,000",-,"-309,745,000","-601,134,000","291,389,000",-,-,"-52,807,000","10,396,000","-63,203,000",-,-,-,"-3,479,000","291,650,000","291,650,000","22,006,000","34,281,000","29,849,000","76,675,000","-46,826,000","4,432,000",-,"-25,126,000",-,"-25,126,000","198,000","2,169,000","-1,971,000","-8,055,000",-,"-620,000",-,"348,221,000","-28,834,000","-3,408,000","380,463,000",-,"2,760,000","4,506,000",-,"2,169,000","76,675,000","-46,826,000","-27,097,000","-7,193,000"
3,12/31/2020,"37,993,000","37,993,000","17,894,000","-411,000","-411,000","1,843,000","1,843,000",-,-,-,"-1,737,000","-1,737,000","3,278,000","4,101,000",-,"2,031,000","11,320,000","-326,000","-4,385,000","-4,385,000","-12,883,000","16,942,000","-177,665,000","-177,665,000","-29,461,000","561,000",-,"-189,969,000","-452,412,000","262,443,000",-,-,"44,693,000","49,922,000","-5,229,000",-,-,-,"-3,489,000","355,819,000","355,819,000","5,214,000","4,172,000","9,065,000","57,013,000","-47,948,000","-4,893,000",-,"-7,025,000",-,"-7,025,000","1,109,000","2,181,000","-1,072,000","-7,727,000",-,"-601,000",-,"380,463,000","216,147,000","2,756,000","161,560,000",-,"2,894,000","8,662,000",-,"2,181,000","57,013,000","-47,948,000","-8,097,000","37,993,000"
4,12/31/2019,"61,777,000","61,777,000","27,430,000","1,855,000","-217,000","1,729,000","1,729,000",-,-,-,"2,435,000","2,435,000","7,528,000","2,066,000",-,"1,974,000","3,590,000","13,170,000","16,363,000","16,363,000","-11,113,000","7,920,000","-80,630,000","-80,630,000","-13,466,000","387,000",-,"-24,007,000","-189,897,000","165,890,000",-,-,"-40,570,000","12,201,000","-52,771,000",-,-,-,"-2,974,000","3,377,000","3,377,000","-21,879,000","5,630,000","1,626,000","52,420,000","-50,794,000","4,004,000",-,"-28,144,000",-,"-28,144,000","1,075,000","3,643,000","-2,568,000","-5,934,000","-5,934,000","-698,000",-,"161,560,000","-15,476,000","-368,000","177,404,000",-,"4,359,000","22,196,000",-,"3,643,000","52,420,000","-50,794,000","-30,712,000","61,777,000"
5,12/31/2018,"39,520,000","39,520,000","28,147,000","-154,000","-154,000","2,063,000","2,063,000","1,525,000","538,000","538,000","3,041,000","3,041,000","-1,669,000","1,824,000",-,"1,729,000","3,282,000","1,257,000","13,010,000","13,010,000","11,920,000","-23,673,000","-71,468,000","-71,468,000","-48,384,000","3,659,000",-,"-10,201,000","-112,620,000","102,419,000",-,-,"-14,556,000","21,365,000","-35,921,000",-,-,-,"-1,986,000","53,118,000","53,118,000","10,070,000","-1,246,000","11,232,000","64,278,000","-53,046,000","-12,478,000",-,"-20,094,000",-,"-20,094,000","3,000","4,515,000","-4,512,000","-6,895,000","-6,895,000","-651,000",-,"177,404,000","21,170,000","-1,200,000","157,434,000",-,"2,470,000","19,087,000",-,"4,515,000","64,278,000","-53,046,000","-24,606,000","39,520,000"
6,12/31/2017,"10,403,000","10,403,000","18,232,000","-255,000","-255,000","2,103,000","2,103,000","1,482,000","621,000","621,000","8,175,000","8,175,000","3,977,000","2,251,000",-,"1,649,000","3,396,000","-29,125,000","4,673,000","4,673,000","-19,859,000","-13,939,000","-52,007,000","-52,007,000","-14,523,000","-1,292,000",-,"-8,183,000","-192,063,000","183,880,000",-,-,"-36,189,000","11,761,000","-47,950,000",-,-,-,"8,180,000","49,195,000","49,195,000","7,024,000","12,471,000","3,933,000","53,486,000","-49,553,000","8,538,000",-,"-12,814,000",-,"-12,814,000",-,-,-,"-5,700,000","-5,700,000","-397,000",-,"157,434,000","7,591,000","2,105,000","147,738,000",-,"3,297,000","12,852,000",-,-,"53,486,000","-49,553,000","-12,814,000","10,403,000"
7,12/31/2016,"18,306,000","18,306,000","17,906,000","-490,000","-490,000","2,241,000","2,241,000","1,511,000","730,000","730,000","5,841,000","5,841,000","-455,000","3,134,000",-,"1,235,000","3,597,000","-14,703,000","-35,000","-35,000","-13,802,000","-866,000","-63,143,000","-63,143,000","-5,742,000","-2,117,000",-,"-29,845,000","-228,960,000","199,115,000",-,-,"-25,247,000","18,230,000","-43,477,000",-,-,-,"-192,000","32,982,000","32,982,000","-4,000,000","-20,326,000","-16,312,000","35,537,000","-51,849,000","-4,014,000",-,"-5,112,000",-,"-5,112,000","2,947,000","2,947,000",-,"-4,194,000","-4,194,000","-8,000",-,"147,738,000","-11,855,000","240,000","159,353,000",-,"1,633,000","10,510,000",-,"2,947,000","35,537,000","-51,849,000","-5,112,000","18,306,000"
8,12/31/2015,"27,730,000","27,730,000","15,888,000","-1,091,000","-1,091,000","2,389,000","2,389,000","1,555,000","834,000","834,000","3,108,000","3,108,000","-4,677,000","2,472,000",-,-,"3,161,000","6,480,000","730,000","730,000","2,458,000","3,292,000","-54,954,000","-54,954,000","-659,000","50,000",-,"-12,715,000","-255,987,000","243,272,000",-,-,"-42,939,000","22,316,000","-65,255,000",-,-,-,"1,309,000","48,585,000","48,585,000","-26,986,000","231,000","3,305,000","43,670,000","-40,365,000","-3,074,000",-,"-2,374,000",-,"-2,374,000","2,964,000","2,964,000",-,"-3,574,000","-3,574,000","-23,000",-,"159,353,000","21,361,000","-597,000","138,589,000",-,"2,326,000","10,623,000",-,"2,964,000","43,670,000","-40,365,000","-2,374,000","27,730,000"
9,12/31/2014,"26,739,000","26,739,000","4,833,000","-1,354,000","-1,354,000","2,522,000","2,522,000","1,586,000","936,000","936,000","726,000","726,000","-3,654,000","2,688,000",-,-,"2,275,000","18,703,000","9,702,000","9,702,000","2,380,000","6,621,000","-4,204,000","-4,204,000","-1,495,000","4,030,000",-,"-45,604,000","-293,845,000","248,241,000","855,000","855,000","40,791,000","28,765,000","12,026,000","-1,160,000",-,-,"-1,621,000","-12,201,000","-12,201,000","3,171,000","-17,003,000","-2,176,000","51,573,000","-53,749,000","-14,827,000",-,"-1,675,000",-,"-1,675,000","5,957,000","5,957,000",0,"-2,306,000","-2,306,000","-10,000",-,"138,589,000","10,334,000","-3,067,000","131,322,000",-,"2,558,000","11,082,000","-1,160,000","5,957,000","51,573,000","-53,749,000","-1,675,000","25,579,000"
