,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"-6,327,000","-6,327,000","27,528,000","-32,000","-32,000","1,978,000","1,978,000",-,-,-,"739,000","739,000","7,927,000","2,072,000",-,"2,862,000","2,543,000","-51,944,000","23,029,000","23,029,000","20,799,000","-95,772,000","-2,529,000","-2,529,000","-16,854,000","-115,000",-,"84,103,000","-159,058,000","243,161,000",-,-,"-65,051,000","26,757,000","-91,808,000",-,-,-,-,-,"-4,612,000","-106,039,000","-106,039,000","3,306,000","35,034,000","31,855,000","65,910,000","-34,055,000","3,179,000",-,"-5,073,000",-,"-5,073,000","3,772,000","4,426,000","-654,000","-8,576,000",-,"-312,000","230,203,000","-114,895,000","-3,123,000","348,221,000",-,"2,288,000","18,526,000",-,"4,426,000","65,910,000","-34,055,000","-5,727,000","-6,327,000"
1,3/31/2023,"-11,300,000","-11,300,000","8,161,000","210,000","210,000","503,000","503,000",-,-,-,"-169,000","-169,000","2,105,000","34,000",-,"794,000","931,000","-23,869,000","-7,066,000","-7,066,000","-16,078,000","-725,000","30,846,000","30,846,000","-30,504,000","-4,512,000",-,"69,478,000","-19,142,000","88,620,000",-,-,"-1,661,000","2,168,000","-3,829,000",-,-,-,-,-,"-1,955,000","126,121,000","126,121,000","118,745,000","32,610,000","2,978,000","14,319,000","-11,341,000","29,632,000",-,"-2,215,000",-,"-2,215,000",0,0,-,"-2,352,000",-,"-728,000","376,218,000","145,667,000","348,000","230,203,000",-,-,-,-,0,"14,319,000","-11,341,000","-2,215,000","-11,300,000"
2,12/31/2022,"30,998,000","30,998,000","7,132,000","5,000","5,000","502,000","502,000",-,-,-,"119,000","119,000","-1,575,000","210,000",-,"627,000","1,092,000","22,886,000","-840,000","-840,000","13,176,000","10,550,000","14,380,000","14,380,000","7,673,000","190,000",-,"19,800,000","-20,972,000","40,772,000",-,-,"-11,710,000","6,213,000","-17,923,000",-,-,-,-,-,"-1,573,000","-24,385,000","-24,385,000","-19,992,000","6,931,000","1,043,000","10,708,000","-9,665,000","5,888,000",-,"-998,000",-,"-998,000","-654,000",0,"-654,000","-2,105,000",-,"189,000","230,203,000","20,993,000","4,234,000","204,976,000",-,-,-,-,0,"10,708,000","-9,665,000","-1,652,000","30,998,000"
3,9/30/2022,"13,154,000","13,154,000","7,082,000","-15,000","-15,000","491,000","491,000",-,-,-,"534,000","534,000","307,000","373,000",-,"704,000","898,000","2,780,000","9,619,000","9,619,000","8,220,000","-15,059,000","34,761,000","34,761,000","-2,817,000","-608,000",-,"41,220,000","-21,803,000","63,023,000",-,-,"-2,127,000","8,623,000","-10,750,000",-,-,-,-,-,"-907,000","-37,889,000","-37,889,000","11,320,000","-364,000","6,478,000","14,521,000","-8,043,000","-6,842,000",-,"-450,000",-,"-450,000",0,0,0,"-2,254,000",-,"111,000","204,976,000","10,026,000","-3,052,000","198,002,000",-,-,-,-,0,"14,521,000","-8,043,000","-450,000","13,154,000"
4,6/30/2022,"-5,049,000","-5,049,000","6,247,000","-15,000","-15,000","491,000","491,000",-,-,-,"39,000","39,000","3,905,000","584,000",-,"792,000","523,000","-17,615,000","-5,570,000","-5,570,000","14,279,000","-26,324,000","16,738,000","16,738,000","29,678,000","-1,196,000",-,"24,852,000","-61,023,000","85,875,000",-,-,"-35,439,000","9,879,000","-45,318,000",-,-,-,-,-,"-1,157,000","-84,651,000","-84,651,000","-10,378,000","14,549,000","11,452,000","19,558,000","-8,106,000","3,097,000",-,"-975,000",-,"-975,000","1,997,000","1,997,000",0,"-1,995,000",-,"211,000","198,002,000","-72,962,000","-2,970,000","273,934,000",-,-,-,-,"1,997,000","19,558,000","-8,106,000","-975,000","-5,049,000"
5,3/31/2022,"-45,430,000","-45,430,000","7,067,000","-7,000","-7,000","494,000","494,000",-,-,-,"47,000","47,000","5,290,000","905,000",-,"739,000","30,000","-59,995,000","19,820,000","19,820,000","-14,876,000","-64,939,000","-68,408,000","-68,408,000","-51,388,000","1,499,000",-,"-1,769,000","-55,260,000","53,491,000",-,-,"-15,775,000","2,042,000","-17,817,000",-,-,-,-,-,"-975,000","40,886,000","40,886,000","22,356,000","13,918,000","12,882,000","21,123,000","-8,241,000","1,036,000",-,"-2,650,000",-,"-2,650,000","2,429,000","2,429,000",0,"-2,222,000",-,"-823,000","273,934,000","-72,952,000","-1,335,000","348,221,000",-,-,-,-,"2,429,000","21,123,000","-8,241,000","-2,650,000","-45,430,000"
6,12/31/2021,"44,651,000","44,651,000","7,013,000","-18,000","-18,000","495,000","495,000",-,-,-,"313,000","313,000","-5,717,000","1,303,000",-,"737,000","-489,000","41,014,000","7,926,000","7,926,000","-118,000","33,206,000","-58,907,000","-58,907,000","11,214,000","-626,000",-,"-17,121,000","-86,192,000","69,071,000",-,-,"-51,345,000","2,629,000","-53,974,000",-,-,-,-,-,"-1,029,000","83,040,000","83,040,000","-15,099,000","6,652,000","3,177,000","11,216,000","-8,039,000","3,475,000",-,"-7,533,000",-,"-7,533,000","1,267,000","1,267,000",0,"-1,965,000",-,"76,000","348,221,000","68,784,000","-417,000","279,854,000",-,-,-,-,"1,267,000","11,216,000","-8,039,000","-7,533,000","44,651,000"
7,9/30/2021,"9,795,000","9,795,000","7,691,000",-,"-4,000","473,000","473,000",-,-,-,"306,000","306,000","-1,254,000","1,421,000",-,"568,000","-624,000","1,218,000","6,413,000","6,413,000","-8,257,000","3,062,000","-32,698,000","-32,698,000","6,660,000","838,000",-,"-30,394,000","-110,340,000","79,946,000",-,-,"-9,001,000","-1,869,000","-7,132,000",-,-,-,-,-,"-801,000","43,663,000","43,663,000","-6,359,000","6,378,000","7,735,000","17,282,000","-9,547,000","-1,357,000",-,"-9,914,000",-,"-9,914,000",0,0,0,"-2,145,000",-,"41,000","279,854,000","20,760,000","-936,000","260,030,000",-,-,-,-,0,"17,282,000","-9,547,000","-9,914,000","9,795,000"
8,6/30/2021,"-9,311,000","-9,311,000","9,224,000",-,0,"469,000","469,000",-,-,-,"-2,023,000","-2,023,000","-448,000","1,583,000",-,"610,000","-1,621,000","-17,105,000","-9,886,000","-9,886,000","-2,603,000","-4,616,000","-108,606,000","-108,606,000","-9,447,000","503,000",-,"-82,524,000","-155,597,000","73,073,000",-,-,"-16,256,000","-15,212,000","-1,044,000",-,-,-,-,-,"-882,000","51,320,000","51,320,000","14,344,000","19,707,000","19,796,000","35,045,000","-15,249,000","-89,000",-,"-4,209,000",-,"-4,209,000","-878,000",0,"-878,000","-1,831,000",-,"-17,000","260,030,000","-66,597,000","526,000","326,101,000",-,-,-,-,0,"35,045,000","-15,249,000","-5,087,000","-9,311,000"
9,3/31/2021,"-52,328,000","-52,328,000","8,050,000",-,0,"461,000","461,000","461,000",-,-,"566,000","566,000","3,119,000","1,530,000",-,"853,000","-1,860,000","-65,047,000","12,186,000","12,186,000","-23,477,000","-53,756,000","-113,080,000","-113,080,000","44,911,000","-1,313,000",-,"-179,706,000","-249,005,000","69,299,000",-,-,"23,795,000","24,848,000","-1,053,000",-,-,-,-,-,"-767,000","113,627,000","113,627,000","29,120,000","1,544,000","-859,000","13,132,000","-13,991,000","2,403,000",-,"-3,470,000",-,"-3,470,000","-191,000","902,000","-1,093,000","-2,114,000",-,"-720,000","326,101,000","-51,781,000","-2,581,000","380,463,000",-,-,-,-,"902,000","13,132,000","-13,991,000","-4,563,000","-52,328,000"
