,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Leases,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"94,950,000","52,462,000","52,462,000","37,919,000",-,-,"22,648,000",-,"4,560,000","7,438,000","20,103,000","4,718,000","6,978,000","-6,978,000","1,538,000","42,488,000",-,"28,389,000","28,389,000","6,405,000","12,152,000","3,749,000","6,083,000",-,"4,823,000","12,075,000",0,0,-,"37,665,000","-2,543,000","61,438,000","7,071,000",-,-,"2,142,000","45,946,000","40,468,000","36,447,000","4,021,000","5,478,000",-,-,-,-,"6,279,000",-,-,-,-,-,-,-,"30,969,000","3,441,000","26,015,000","27,528,000","27,528,000","27,528,000",-,"1,513,000",-,"26,015,000",-,-,-,-,"49,919,000","27,528,000","27,528,000","4,560,000","1,978,000","27,528,000",-,-,0,0
1,12/31/2022,"94,950,000","52,462,000","72,565,000","37,919,000",-,-,"22,648,000",-,"4,560,000","7,438,000","20,103,000","4,718,000","6,978,000","6,869,000","1,538,000","42,488,000",-,"28,389,000","28,389,000","6,405,000","12,152,000","3,749,000","6,083,000",-,"4,823,000","12,075,000",0,0,-,"-2,799,000","-2,543,000","61,438,000","7,071,000",-,-,"2,142,000","45,946,000","40,468,000","36,447,000","4,021,000","5,478,000",-,-,-,-,"6,279,000",-,-,-,-,-,-,-,"30,969,000","3,441,000","26,015,000","27,528,000","27,528,000","27,528,000",-,"1,513,000",-,"26,015,000",3.21,3.19,"8,113,700","8,167,500","49,919,000","27,528,000","27,528,000","4,560,000","1,978,000","27,528,000",-,-,0,0
2,12/31/2021,"89,113,000","42,934,000","47,672,000","29,282,000",-,-,"16,146,000",-,"-90,000","2,334,000","4,738,000","537,000","-358,000","3,431,000","1,128,000","46,179,000",-,"30,412,000","30,412,000","7,504,000","12,729,000","3,961,000","6,218,000",-,"8,887,000","8,691,000",0,0,-,"-1,811,000","4,594,000","59,731,000","7,138,000",-,-,"1,775,000","45,049,000","39,229,000","36,140,000","3,089,000","5,820,000",-,-,-,-,"5,769,000",-,-,-,-,-,-,-,"33,976,000","1,998,000","30,557,000","31,978,000","31,978,000","31,978,000",-,"1,421,000",-,"30,557,000",3.60,3.57,"8,493,300","8,558,400","47,528,000","31,978,000","31,978,000","-90,000","1,898,000","31,978,000",-,-,0,0
3,12/31/2020,"85,528,000","43,360,000","51,585,000","34,029,000","34,029,000",-,"13,918,000",-,"903,000","2,735,000","8,225,000","1,943,000","987,000","4,321,000","974,000","42,168,000",-,"27,371,000","27,371,000","7,141,000","10,708,000","3,866,000","5,656,000",-,"7,180,000","8,355,000",0,0,-,"-738,000","-11,320,000","55,213,000","7,141,000",-,-,"1,694,000","41,156,000","36,022,000","32,725,000","3,297,000","5,134,000",-,-,-,-,"5,222,000",-,-,-,-,-,-,-,"18,995,000","1,101,000","16,473,000","17,894,000","17,894,000","17,894,000",-,"1,421,000",-,"16,473,000",1.88,1.87,"8,753,200","8,796,900","32,040,000","17,894,000","17,894,000","903,000","1,843,000","17,894,000",-,-,0,0
4,12/31/2019,"91,244,000","48,891,000","71,236,000","43,086,000","43,086,000",-,"17,002,000",-,"4,843,000","6,305,000","22,345,000","7,188,000","7,208,000","6,700,000","1,249,000","42,353,000",-,"27,373,000","27,373,000","7,674,000","10,241,000","3,661,000","5,797,000",-,"5,642,000","9,034,000",0,0,-,"304,000","-3,590,000","54,900,000","6,588,000",-,-,"1,597,000","42,069,000","37,373,000","31,977,000","5,396,000","4,696,000",-,-,-,-,"4,646,000",-,-,-,-,-,-,-,"32,754,000","5,324,000","25,998,000","27,430,000","27,430,000","27,430,000",-,"1,432,000",-,"25,998,000",2.77,2.75,"9,390,500","9,442,900","45,301,000","27,430,000","27,430,000","4,843,000","1,729,000","27,430,000",-,-,0,0
5,12/31/2018,"91,020,000","48,162,000","66,769,000","40,811,000","40,811,000",-,"16,535,000",-,"3,176,000","6,247,000","18,607,000","4,495,000","5,839,000","6,915,000","1,358,000","42,858,000",-,"27,751,000","27,751,000","7,767,000","10,189,000","3,971,000","5,824,000",-,"5,327,000","7,869,000",0,0,-,"1,911,000","-3,282,000","53,154,000","6,380,000","4,066,000","1,705,000","1,699,000","40,520,000","35,989,000","31,880,000","4,109,000","4,531,000",-,-,-,-,"4,555,000",-,0,0,-,-,-,-,"34,584,000","6,437,000","26,696,000","28,147,000","28,147,000","28,147,000",-,"1,451,000",-,"26,696,000",2.64,2.61,"10,096,500","10,236,900","44,880,000","28,147,000","28,147,000","3,176,000","2,063,000","28,147,000",0,0,0,0
6,12/31/2017,"87,352,000","44,667,000","57,579,000","36,221,000","36,221,000",-,"14,945,000",-,"2,390,000","4,023,000","12,912,000","1,931,000","3,538,000","6,239,000","1,204,000","42,685,000",-,"27,001,000","27,001,000","7,818,000",-,"13,281,000","5,902,000",-,"6,011,000","7,277,000","479,000","255,000","224,000","1,917,000","-3,396,000","54,743,000","5,701,000","4,009,000","1,692,000","1,888,000","47,154,000","45,408,000","31,642,000","13,766,000","1,746,000",-,-,-,-,-,-,-,-,-,-,-,-,"29,213,000","10,981,000","16,618,000","18,232,000","18,232,000","18,232,000",-,"1,614,000",-,"16,618,000",1.63,1.56,"10,195,646","10,778,428","41,271,000","18,232,000","18,232,000","2,390,000","2,103,000","18,232,000",-,-,0,0
7,12/31/2016,"83,701,000","41,096,000","51,057,000","33,228,000","33,228,000",-,"13,590,000",-,"1,118,000","3,121,000","9,961,000","1,015,000","2,350,000","5,578,000","1,018,000","42,605,000",-,"26,234,000","26,234,000","7,638,000",-,"12,745,000","5,851,000",-,"5,241,000","6,902,000","2,343,000","490,000","1,853,000","1,885,000","-3,597,000","54,951,000","5,842,000","4,038,000","1,804,000","1,971,000","46,408,000","44,705,000","31,616,000","13,089,000","1,703,000","730,000","730,000","730,000","730,000",-,-,-,-,-,-,-,-,"25,153,000","7,247,000","16,224,000","17,906,000","17,906,000","17,906,000",-,"1,682,000","300,000","16,224,000",1.58,1.50,"10,284,147","11,035,657","37,499,000","17,906,000","17,906,000","1,118,000","730,000","17,906,000",-,-,0,0
8,12/31/2015,"82,246,000","39,251,000","49,800,000","32,070,000","32,070,000",-,"13,716,000",-,"988,000","3,026,000","10,549,000","861,000","2,387,000","5,958,000","1,343,000","42,995,000",-,"26,677,000","26,677,000","7,381,000",-,"13,337,000","5,959,000",-,"5,572,000","6,473,000","3,455,000","1,091,000","2,364,000","818,000","-3,161,000","57,192,000","6,132,000","4,093,000","2,039,000","2,264,000","47,962,000","46,151,000","32,868,000","13,283,000","1,811,000","834,000","834,000","834,000","834,000",-,"261,000",-,-,-,-,-,-,"22,154,000","6,266,000","14,405,000","15,888,000","15,888,000","15,888,000",-,"1,483,000",-,"14,405,000",1.38,1.31,"10,462,282","11,213,992","36,090,000","15,888,000","15,888,000","988,000","834,000","15,888,000",-,-,0,0
9,12/31/2014,"83,117,000","39,952,000","50,886,000","34,307,000","34,307,000",-,"12,582,000",-,"1,039,000","2,958,000","10,934,000","1,080,000","2,578,000","5,700,000","1,576,000","43,165,000",-,"26,671,000","26,671,000","7,443,000",-,"13,284,000","5,944,000",-,"6,065,000","6,309,000","2,917,000","1,354,000","1,563,000","1,203,000","-2,275,000","75,117,000","6,385,000","4,260,000","2,125,000","2,472,000","65,324,000","63,495,000","33,787,000","29,708,000","1,829,000","936,000","936,000","936,000","936,000",-,"1,130,000",-,-,-,-,-,-,"6,855,000","2,022,000","3,789,000","4,833,000","4,833,000","4,833,000",-,"1,044,000",0,"3,789,000",0.36,0.36,"10,527,818","10,584,535","37,677,000","4,833,000","4,833,000","1,039,000","936,000","4,833,000",-,-,0,0
