,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Leases,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"94,950,000","52,462,000","52,462,000","37,919,000",-,-,"22,648,000",-,"4,560,000","7,438,000","20,103,000","4,718,000","6,978,000","-6,978,000",-,"1,538,000","42,488,000",-,"28,389,000","28,389,000","6,405,000","12,152,000","3,749,000","6,083,000",-,"4,823,000","12,075,000",0,0,-,-,"37,665,000","-2,543,000","61,438,000","7,071,000",-,-,"2,142,000","45,946,000","40,468,000","36,447,000",-,"4,021,000","5,478,000",-,-,-,-,"6,279,000",-,-,-,-,-,-,"30,969,000","3,441,000","26,015,000","27,528,000","27,528,000","27,528,000",-,"1,513,000",-,"26,015,000",-,-,-,-,-,"49,919,000","27,528,000","27,528,000","4,560,000","1,978,000","27,528,000",-,-,0,0
1,3/31/2023,"26,258,000","14,448,000","28,655,000","13,097,000",-,-,"7,488,000",-,"3,712,000","4,358,000","14,207,000","4,314,000","6,180,000","3,209,000",-,"504,000","11,810,000",-,"6,731,000","6,731,000","1,410,000","2,918,000","934,000","1,469,000",-,"1,163,000","4,712,000",0,0,-,-,"-796,000","-931,000","16,238,000","1,799,000",-,-,"537,000","12,205,000","10,857,000","9,918,000",-,"939,000","1,348,000",-,-,-,-,"1,697,000",-,-,-,-,-,-,"9,089,000","928,000","7,656,000","8,161,000","8,161,000","8,161,000",-,"505,000",-,"7,656,000",0.95,0.94,"8,065,900","8,182,300",-,"13,517,000","8,161,000","8,161,000","3,712,000","503,000","8,161,000",-,-,0,0
2,12/31/2022,"24,532,000","14,681,000","25,075,000","12,114,000",-,-,"6,784,000",-,"2,725,000","3,452,000","10,394,000","2,999,000","4,273,000","2,701,000",-,"421,000","9,851,000",-,"6,664,000","6,664,000","1,389,000","2,844,000","879,000","1,552,000",-,"1,071,000","3,052,000",0,0,-,-,"-936,000","-1,092,000","15,543,000","1,786,000",-,-,"649,000","11,450,000","10,086,000","9,161,000",-,"925,000","1,364,000",-,-,-,-,"1,658,000",-,-,-,-,-,-,"7,897,000","765,000","6,904,000","7,132,000","7,132,000","7,132,000",-,"228,000",-,"6,904,000",0.85,0.85,"8,088,300","8,155,700",-,"13,589,000","7,132,000","7,132,000","2,725,000","502,000","7,132,000",-,-,0,0
3,9/30/2022,"24,502,000","13,765,000","19,621,000","10,231,000",-,-,"5,688,000",-,"1,446,000","2,256,000","5,856,000","1,235,000","2,264,000","1,974,000",-,"383,000","10,737,000",-,"6,834,000","6,834,000","1,466,000","2,920,000","875,000","1,573,000",-,"1,167,000","3,068,000",0,0,-,-,"-332,000","-898,000","15,303,000","1,777,000",-,-,"525,000","11,455,000","10,058,000","8,887,000",-,"1,171,000","1,397,000",-,-,-,-,"1,546,000",-,-,-,-,-,-,"8,301,000","1,219,000","6,579,000","7,082,000","7,082,000","7,082,000",-,"503,000",0,"6,579,000",0.81,0.81,"8,107,700","8,160,800",-,"12,867,000","7,082,000","7,082,000","1,446,000","491,000","7,082,000",-,-,0,0
4,6/30/2022,"22,688,000","12,444,000","14,975,000","8,222,000",-,-,"5,272,000",-,"396,000","1,085,000","2,531,000","320,000","553,000","1,288,000",-,"370,000","10,244,000",-,"7,363,000","7,363,000","1,717,000","3,102,000","989,000","1,555,000",-,"1,128,000","2,717,000",0,0,-,-,"-964,000","-523,000","15,273,000","1,748,000",-,-,"518,000","11,472,000","10,085,000","8,917,000",-,"1,168,000","1,387,000",-,-,-,-,"1,535,000",-,-,-,-,-,-,"6,892,000","645,000","5,932,000","6,247,000","6,247,000","6,247,000",-,"315,000",-,"5,932,000",0.73,0.73,"8,121,600","8,163,100",-,"11,921,000","6,247,000","6,247,000","396,000","491,000","6,247,000",-,-,0,0
5,3/31/2022,"23,228,000","11,572,000","12,894,000","7,352,000",-,-,"4,904,000",-,"-7,000","645,000","1,322,000","164,000","-112,000","906,000",-,"364,000","11,656,000",-,"7,528,000","7,528,000","1,833,000","3,286,000","1,006,000","1,403,000",-,"1,457,000","3,238,000",0,0,-,-,"-567,000","-30,000","15,319,000","1,760,000",-,-,"450,000","11,569,000","10,239,000","9,482,000",-,"757,000","1,330,000",-,-,-,-,"1,540,000",-,-,-,-,-,-,"7,879,000","812,000","6,600,000","7,067,000","7,067,000","7,067,000",-,"467,000",-,"6,600,000",0.81,0.80,"8,136,800","8,202,100",-,"11,542,000","7,067,000","7,067,000","-7,000","494,000","7,067,000",-,-,0,0
6,12/31/2021,"22,060,000","11,410,000","12,554,000","7,423,000",-,-,"4,521,000",-,"-47,000","657,000","1,144,000","143,000","-153,000","850,000",-,"304,000","10,650,000",-,"7,792,000","7,792,000","1,910,000","3,295,000","973,000","1,614,000",-,"2,351,000","1,331,000",0,0,-,-,"-824,000","489,000","14,731,000","1,785,000",-,-,"512,000","10,954,000","9,602,000","9,037,000",-,"565,000","1,352,000",-,-,-,-,"1,480,000",-,-,-,-,-,-,"7,818,000","805,000","6,773,000","7,013,000","7,013,000","7,013,000",-,"240,000",-,"6,773,000",0.82,0.82,"8,226,500","8,304,700",-,"11,899,000","7,013,000","7,013,000","-47,000","495,000","7,013,000",-,-,0,0
7,9/30/2021,"22,766,000","11,094,000","12,336,000","7,502,000","7,502,000",-,"4,249,000",-,"6,000","579,000","1,242,000","133,000","-41,000","865,000",-,"285,000","11,672,000",-,"7,747,000","7,747,000","1,928,000","3,276,000","960,000","1,583,000",-,"2,168,000","2,005,000",0,0,-,-,"-248,000","624,000","14,440,000","1,764,000",-,-,"434,000","10,826,000","9,492,000","8,714,000",-,"778,000","1,334,000",-,-,-,-,"1,416,000",-,-,-,-,-,-,"8,950,000","1,259,000","7,260,000","7,691,000","7,691,000","7,691,000",-,"431,000",-,"7,260,000",0.86,0.85,"8,430,700","8,492,800",-,"11,718,000","7,691,000","7,691,000","6,000","473,000","7,691,000",-,-,0,0
8,6/30/2021,"21,466,000","10,233,000","11,387,000","7,123,000","7,123,000",-,"3,774,000",-,"-42,000","532,000","1,154,000","128,000","-85,000","818,000","42,000","293,000","11,233,000",-,"7,583,000","7,583,000","1,874,000","3,156,000","967,000","1,586,000",-,"2,122,000","1,826,000",0,0,-,-,"-298,000","1,621,000","15,045,000","1,759,000",-,-,"426,000","11,412,000","9,626,000","8,653,000",-,"973,000","1,786,000",-,-,-,-,"1,448,000",-,-,-,-,-,-,"8,042,000","-1,182,000","8,964,000","9,224,000","9,224,000","9,224,000",-,"260,000",-,"8,964,000",1.04,1.03,"8,620,800","8,735,500",-,"11,854,000","9,224,000","9,224,000","-42,000","469,000","9,224,000",-,-,0,0
9,3/31/2021,"22,822,000","10,197,000","11,395,000","7,234,000","7,234,000",-,"3,602,000",-,"-7,000","566,000","1,198,000","133,000","-79,000","898,000","7,000","246,000","12,625,000",-,"7,291,000","7,291,000","1,793,000","3,002,000","1,061,000","1,435,000",-,"2,246,000","3,529,000",0,0,-,-,"-441,000","1,860,000","15,515,000","1,830,000",-,-,"403,000","11,857,000","10,509,000","9,736,000",-,"773,000","1,348,000",-,-,-,-,"1,425,000",-,-,-,-,-,-,"9,166,000","1,116,000","7,560,000","8,050,000","8,050,000","8,050,000",-,"490,000",-,"7,560,000",0.87,0.86,"8,700,100","8,755,600",-,"12,057,000","8,050,000","8,050,000","-7,000","461,000","8,050,000",-,-,0,0
