,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/2/2023Current,224.41B,N/A,8.37,7.96,4.19,2.32,0.88,N/A,N/A
1,3/31/2023,228.01B,N/A,8.97,8.24,4.34,2.46,0.93,N/A,N/A
2,12/31/2022,265.70B,N/A,10.48,8.98,89.76,2.92,1.10,N/A,N/A
3,9/30/2022,242.34B,N/A,9.44,8.06,80.62,2.75,1.01,N/A,N/A
4,6/30/2022,250.14B,N/A,8.87,9.43,3.63,2.93,1.04,N/A,N/A
5,3/31/2022,332.32B,N/A,11.55,12.76,3.65,3.96,1.35,N/A,N/A
6,12/31/2021,359.38B,N/A,13.32,14.06,0.98,4.45,1.44,N/A,N/A
7,9/30/2021,349.84B,N/A,14.15,13.77,1.23,4.40,1.38,N/A,N/A
8,6/30/2021,349.93B,N/A,17.70,14.60,1.49,4.23,1.40,N/A,N/A
9,3/31/2021,332.34B,N/A,20.69,15.82,1.60,3.98,1.34,N/A,N/A
10,12/31/2020,262.21B,N/A,15.00,13.91,4.09,3.06,1.07,N/A,N/A
11,9/30/2020,208.66B,N/A,11.64,11.47,1.59,2.41,0.86,N/A,N/A
12,6/30/2020,205.77B,N/A,9.69,15.85,2.11,2.40,0.85,N/A,N/A
13,3/31/2020,184.18B,N/A,7.72,7.25,0.87,2.20,0.76,N/A,N/A
14,12/31/2019,311.21B,N/A,13.00,11.83,1.54,3.71,1.27,N/A,N/A
15,9/30/2019,264.84B,N/A,10.38,9.47,1.08,3.14,1.07,N/A,N/A
16,6/30/2019,270.94B,N/A,10.78,10.18,1.11,3.20,1.11,N/A,N/A
17,3/31/2019,265.94B,N/A,10.57,9.68,0.98,3.10,1.09,N/A,N/A
18,12/31/2018,238.25B,N/A,11.68,N/A,N/A,2.88,0.99,N/A,N/A
19,9/30/2018,294.18B,N/A,15.34,10.34,0.54,3.53,1.20,N/A,N/A
20,6/30/2018,285.83B,N/A,16.29,11.09,0.62,3.41,1.17,N/A,N/A
21,3/31/2018,305.43B,N/A,19.22,11.99,0.54,3.70,1.25,N/A,N/A
22,12/31/2017,307.91B,N/A,16.87,13.30,0.82,3.69,1.21,N/A,N/A
23,9/30/2017,267.35B,N/A,14.99,11.93,0.77,3.19,1.08,N/A,N/A
24,6/30/2017,239.64B,N/A,14.88,13.70,0.98,3.13,0.99,N/A,N/A
25,3/31/2017,235.29B,N/A,15.73,13.50,0.89,3.11,0.97,N/A,N/A
26,12/31/2016,223.32B,N/A,16.01,13.39,1.07,2.96,0.91,N/A,N/A
27,9/30/2016,158.44B,N/A,13.15,10.06,0.81,2.20,0.66,N/A,N/A
28,6/30/2016,135.58B,N/A,10.45,9.44,1.04,1.83,0.57,N/A,N/A
29,3/31/2016,139.43B,N/A,10.32,8.16,0.90,1.84,0.60,N/A,N/A
30,12/31/2015,174.70B,N/A,12.47,10.65,0.26,2.25,0.75,N/A,N/A
31,9/30/2015,162.46B,N/A,16.57,9.75,0.24,2.04,0.71,N/A,N/A
32,6/30/2015,178.23B,N/A,25.03,10.79,0.26,2.22,0.78,N/A,N/A
33,3/31/2015,161.91B,N/A,42.75,9.23,0.53,1.96,0.72,N/A,N/A
34,12/31/2014,188.14B,N/A,47.08,12.06,0.68,2.26,0.85,N/A,N/A
35,9/30/2014,179.30B,N/A,27.50,11.29,0.77,2.22,0.81,N/A,N/A
36,6/30/2014,161.63B,N/A,20.49,9.65,0.21,2.05,0.74,N/A,N/A
37,3/31/2014,181.12B,N/A,19.11,10.38,0.23,2.30,0.83,N/A,N/A
38,12/31/2013,164.91B,N/A,23.95,12.15,0.27,2.13,0.75,N/A,N/A
39,9/30/2013,147.43B,N/A,30.67,10.86,0.24,1.81,0.68,N/A,N/A
40,6/30/2013,138.64B,N/A,40.19,10.20,0.22,1.71,0.63,N/A,N/A
41,3/31/2013,131.82B,N/A,48.72,9.29,0.05,1.62,0.60,N/A,N/A
