,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,Customer Acceptances,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Preferred Securities Outside Stock Equity,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"405,783,000","138,152,000","113,854,000","5,030,000",-,"108,824,000",-,"6,499,000","6,499,000","24,298,000","24,298,000","484,000",-,"5,417,000","152,724,000","9,908,000","142,816,000","54,331,000","46,631,000","1,716,000","2,945,000","65,887,000","66,063,000","11,416,000","10,302,000","15,537,000","66,063,000","176,000",-,"858,000","858,000",-,"1,137,000","2,415,000","3,256,000","19,051,000","16,150,000","2,901,000",-,"25,855,000","364,933,000","278,970,000","200,953,000","200,953,000","78,017,000","12,335,000","28,845,000","28,845,000","23,435,000","5,410,000","5,410,000",-,-,-,-,-,-,"5,385,000","2,814,000","30,855,000","30,855,000","78,000",-,-,"8,543,000","40,850,000","40,734,000","4,852,000","4,838,000","14,000","37,864,000","28,508,000","24,524,000","-5,966,000",-,-,-,"116,000","71,589,000","4,838,000","35,896,000","21,683,000","66,751,000","16,845,000","30,855,000",-,"1,395,691","808,445",-,"587,246"
1,12/31/2021,"444,438,000","154,765,000","121,336,000","6,061,000",-,"115,275,000",-,"3,822,000","3,822,000","29,607,000","29,607,000","479,000",-,"5,359,000","175,310,000","13,963,000","60,653,000","55,223,000","45,471,000","1,745,000","2,820,000","66,861,000","67,056,000","12,360,000","9,792,000","14,532,000","30,372,000","195,000",-,"5,903,000","4,635,000",-,"1,268,000","2,422,000","3,431,000","22,599,000","17,512,000","5,087,000",-,"2,744,000","401,047,000","319,694,000","225,999,000","225,999,000","93,695,000","11,566,000","30,917,000","30,917,000","25,150,000","5,767,000","5,767,000",-,-,0,0,0,-,"2,538,000","3,424,000","26,680,000","26,680,000","45,000",-,-,"6,183,000","43,391,000","43,034,000","4,852,000","4,838,000","14,000","36,667,000","28,128,000","24,400,000","-2,213,000",-,-,-,"357,000","69,714,000","4,838,000","38,196,000","20,435,000","64,876,000","15,597,000","26,680,000",-,"1,389,398","804,145",-,"585,253"
2,12/31/2020,"469,633,000","196,234,000","165,327,000","6,252,000",-,"159,075,000",-,-,-,"30,907,000","30,907,000","486,000",-,"5,301,000","172,200,000","15,272,000","156,928,000","46,845,000","59,271,000","1,259,000","3,845,000","56,111,000","56,469,000","12,674,000","16,357,000","6,445,000","56,469,000","358,000",-,"510,000","510,000",-,"1,587,000","2,033,000","3,602,000","20,508,000","17,496,000","3,012,000",-,"20,468,000","423,513,000","341,545,000","257,691,000","257,691,000","83,854,000","11,305,000","30,781,000","30,781,000","25,085,000","5,696,000","5,696,000","25,085,000",-,0,0,0,"350,000","6,031,000","4,805,000","26,334,000","26,334,000",-,"176,000",-,"7,517,000","46,120,000","45,801,000","4,555,000","4,541,000","14,000","34,241,000","27,823,000","19,833,000","-985,000",-,-,-,"319,000","72,135,000","4,541,000","41,260,000","25,293,000","67,594,000","20,752,000","26,334,000",-,"1,382,306","886,764",-,"495,543"
3,12/31/2019,"381,508,000","144,865,000","114,683,000","4,830,000",-,"109,853,000",-,-,-,"30,182,000","30,182,000","488,000",-,"5,219,000","136,849,000","13,571,000","123,278,000","33,329,000","57,763,000","1,102,000","3,242,000","54,831,000","54,953,000","14,267,000","16,190,000","6,076,000","54,953,000","122,000",-,"624,000","624,000",-,"1,498,000","1,955,000","3,625,000","20,493,000","17,386,000","3,107,000",-,"20,221,000","339,780,000","259,466,000","201,836,000","201,836,000","57,630,000","11,401,000","24,400,000","24,400,000","18,758,000","5,642,000","5,642,000","18,758,000",-,"3,959,000","3,959,000","3,959,000","599,000","4,841,000","3,791,000","28,100,000","28,100,000",-,"143,000",-,"7,613,000","41,728,000","41,483,000","3,556,000","3,542,000","14,000","31,894,000","27,515,000","18,844,000","-2,638,000",-,-,-,"245,000","69,583,000","3,542,000","37,941,000","20,990,000","70,000,000","17,448,000","32,059,000",-,"1,374,443","900,683","23,300","473,760"
4,12/31/2018,"362,873,000","134,795,000","88,000,000","5,864,000",-,"82,136,000",-,-,-,"46,795,000","46,795,000","595,000",-,"4,937,000","127,289,000","7,035,000","120,254,000","32,392,000","58,876,000","1,064,000","2,815,000","56,418,000","56,564,000","13,715,000","15,965,000","5,381,000","56,564,000","146,000",-,"671,000","671,000",-,"2,382,000","1,742,000","1,832,000","20,570,000","17,350,000","3,220,000",-,"21,298,000","322,005,000","238,778,000","167,995,000","167,995,000","70,783,000","14,243,000","25,400,000","25,400,000","19,731,000","5,669,000","5,669,000","19,731,000",-,"1,939,000","1,939,000","1,939,000","3,227,000","3,479,000","2,368,000","32,390,000","32,390,000",-,"129,000",-,"5,776,000","40,868,000","40,638,000","3,556,000","3,542,000","14,000","28,652,000","27,118,000","15,517,000","-3,171,000",-,-,-,"230,000","73,028,000","3,542,000","37,096,000","20,068,000","71,425,000","16,526,000","34,329,000",-,"1,364,878","960,426","23,300","404,452"
5,12/31/2017,"371,758,000","137,006,000","108,871,000","5,382,000",-,"103,489,000",-,-,-,"28,135,000","28,135,000","559,000","319,000","4,857,000","127,123,000","6,022,000","731,000","40,827,000","79,543,000","1,083,000","3,091,000","61,381,000","61,540,000","15,962,000","16,528,000","5,608,000","61,540,000","159,000",-,"610,000","610,000",-,"2,824,000","1,811,000","1,634,000","20,975,000","17,564,000","3,411,000",-,"23,029,000","330,012,000","244,322,000","161,606,000","161,606,000","82,716,000","15,163,000","26,409,000","26,409,000","20,184,000","6,225,000","6,225,000","20,184,000",-,"3,075,000","3,075,000","3,075,000","3,028,000","3,984,000","3,576,000","31,007,000","31,007,000",-,"179,000",-,"6,052,000","41,746,000","41,251,000","3,556,000","3,542,000","14,000","25,635,000","26,665,000","12,248,000","-2,357,000",-,-,-,"495,000","72,258,000","3,542,000","37,709,000","20,276,000","71,791,000","16,734,000","34,082,000",-,"1,354,164","1,013,442","23,300","340,721"
6,12/31/2016,"333,469,000","103,750,000","77,949,000","4,822,000",-,"73,127,000",-,-,-,"25,801,000","25,801,000","466,000","340,000","4,789,000","121,691,000","6,712,000","252,000","40,905,000","73,822,000","1,106,000","4,264,000","64,289,000","64,458,000","17,306,000","15,654,000","5,508,000","64,458,000","169,000",-,"568,000","568,000",-,"2,884,000","1,274,000","1,303,000","20,914,000","17,316,000","3,598,000",-,"20,954,000","293,889,000","221,490,000","143,148,000","143,148,000","78,342,000","9,989,000","26,854,000","26,854,000","20,987,000","5,867,000","5,867,000","20,987,000",-,"754,000","754,000",-,"754,000","4,671,000","4,401,000","25,217,000","25,217,000",-,"151,000",-,"5,668,000","39,580,000","38,811,000","3,555,000","3,542,000","13,000","22,621,000","25,962,000","9,562,000","-3,765,000",-,-,-,"769,000","64,028,000","3,542,000","35,269,000","17,897,000","60,486,000","14,355,000","25,217,000",-,"1,333,706","1,047,488","23,300","286,218"
7,12/31/2015,"393,780,000","159,259,000","134,886,000","6,537,000",-,"128,349,000",-,-,-,"24,373,000","24,373,000",-,"258,000","4,704,000","127,948,000","8,596,000","173,000","43,312,000","75,867,000","3,329,000","4,685,000","63,546,000","63,703,000","18,241,000","13,347,000","5,000,000","63,703,000","157,000",-,"562,000","562,000",-,"3,396,000","1,191,000","1,379,000","21,460,000","17,618,000","3,842,000",-,"19,626,000","354,805,000","279,610,000","183,333,000","183,333,000","96,277,000","15,002,000","27,886,000","27,886,000","21,900,000","5,986,000","5,986,000","21,900,000",-,"523,000","523,000",-,"523,000","4,730,000","4,319,000","22,070,000","22,070,000",-,"200,000",-,"5,507,000","38,975,000","38,037,000","2,565,000","2,552,000","13,000","19,974,000","25,262,000","7,164,000","-2,600,000",-,-,-,"938,000","60,107,000","2,552,000","35,485,000","16,577,000","57,555,000","14,025,000","22,070,000",-,"1,312,941","1,085,343","23,300","227,598"
8,12/31/2014,"385,303,000","143,449,000","123,147,000","6,970,000",-,"116,177,000",-,-,-,"20,302,000","20,302,000",-,"247,000","4,598,000","138,426,000","18,559,000","604,000","20,933,000","98,330,000","3,287,000","6,311,000","58,941,000","59,132,000","14,961,000","11,184,000","3,752,000","59,132,000","191,000",-,"607,000","607,000",-,"4,313,000","1,159,000","1,394,000","21,996,000","17,869,000","4,127,000",-,"20,490,000","346,002,000","265,869,000","161,629,000","161,629,000","104,240,000","11,469,000","27,486,000","27,486,000","21,181,000","6,305,000","6,305,000","21,181,000",-,0,0,0,"786,000","15,094,000","7,220,000","21,050,000","21,050,000","89,000","229,000",-,"5,034,000","39,301,000","38,039,000","1,575,000","1,562,000","13,000","18,281,000","24,626,000","4,809,000","-1,634,000",-,-,-,"1,262,000","59,089,000","1,562,000","36,477,000","16,043,000","57,527,000","14,481,000","21,050,000",-,"1,290,223","1,118,228","23,300","171,995"
9,12/31/2013,"374,310,000","155,280,000","146,119,000","6,460,000",-,"139,659,000",-,-,-,"9,161,000","9,161,000",-,"379,000","4,482,000","122,422,000","22,495,000","875,000","19,743,000","79,309,000","2,996,000","4,482,000","51,447,000","51,657,000","16,006,000","9,818,000","3,395,000","51,657,000","210,000",-,"621,000","621,000",-,"4,784,000","1,660,000","1,655,000","22,525,000","18,073,000","4,452,000",-,"20,360,000","335,776,000","261,129,000","165,654,000","165,654,000","95,475,000","9,648,000","22,692,000","22,692,000","15,707,000","6,985,000","6,985,000","15,707,000",-,"96,000","96,000","96,000","663,000","17,030,000","5,833,000","20,527,000","20,527,000","134,000","230,000",-,"4,654,000","38,534,000","37,521,000","1,575,000","1,562,000","13,000","15,976,000","24,002,000","3,140,000","-892,000",-,-,-,"1,013,000","58,048,000","1,562,000","35,959,000","14,996,000","56,582,000","13,434,000","20,623,000",-,"1,268,036","1,142,250","23,300","125,786"
