,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,Customer Acceptances,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Non Current Deferred Liabilities,Non Current Deferred Revenue,Preferred Securities Outside Stock Equity,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"425,112,000","164,614,000","137,720,000","5,564,000",-,"132,156,000",-,-,-,"26,894,000","26,894,000",-,-,-,"147,702,000","9,024,000","138,678,000",-,-,-,-,"62,153,000","62,323,000",-,-,-,"62,323,000","170,000",-,"978,000","978,000",-,-,-,"3,248,000","19,082,000","16,192,000","2,890,000",-,"27,335,000","384,310,000","281,294,000",-,-,-,"26,540,000","27,330,000","27,330,000","22,598,000","4,732,000","4,732,000",-,-,-,-,-,-,"5,705,000",-,"33,027,000","33,027,000",-,-,-,-,-,"10,414,000","40,802,000","40,634,000","4,852,000","4,838,000","14,000","38,465,000","28,650,000","25,790,000","-5,543,000",-,-,-,"168,000","73,661,000","4,838,000","35,796,000","21,552,000","68,823,000","16,714,000","33,027,000",-,"789,134","789,134",-,-
1,12/31/2022,"405,783,000","138,152,000","113,854,000","5,030,000",-,"108,824,000",-,"6,499,000","6,499,000","24,298,000","24,298,000","484,000",-,"5,417,000","152,724,000","9,908,000","142,816,000","54,331,000","46,631,000","1,716,000","2,945,000","65,887,000","66,063,000","11,416,000","10,302,000","15,537,000","66,063,000","176,000",-,"858,000","858,000",-,"1,137,000","2,415,000","3,256,000","19,051,000","16,150,000","2,901,000",-,"25,855,000","364,933,000","278,970,000","200,953,000","200,953,000","78,017,000","12,335,000","28,845,000","28,845,000","23,435,000","5,410,000","5,410,000",-,-,-,-,-,-,"5,385,000","2,814,000","30,855,000","30,855,000","78,000",-,-,-,-,"8,543,000","40,850,000","40,734,000","4,852,000","4,838,000","14,000","37,864,000","28,508,000","24,524,000","-5,966,000",-,-,-,"116,000","71,589,000","4,838,000","35,896,000","21,683,000","66,751,000","16,845,000","30,855,000",-,"1,395,691","808,445",-,"587,246"
2,9/30/2022,"427,953,000","149,507,000","126,024,000","4,707,000",-,"121,317,000",-,"4,893,000","4,893,000","23,483,000","23,483,000","483,000",-,"5,391,000","156,831,000","12,650,000","144,181,000","55,615,000","41,678,000","1,765,000","5,007,000","69,665,000","69,829,000","13,240,000","10,676,000","15,533,000","69,829,000","164,000",-,"723,000","723,000",-,"1,278,000","2,816,000","3,311,000","19,314,000","16,412,000","2,902,000",-,"28,602,000","388,057,000","301,989,000","213,714,000","213,714,000","88,275,000","11,339,000","29,057,000","29,057,000","23,741,000","5,316,000","5,316,000",-,-,-,-,-,-,"7,494,000","3,941,000","28,177,000","28,177,000",-,-,-,-,-,"10,001,000","39,896,000","39,737,000","4,852,000","4,838,000","14,000","37,660,000","28,374,000","24,522,000","-6,627,000",-,-,-,"159,000","67,914,000","4,838,000","34,899,000","20,423,000","63,076,000","15,585,000","28,177,000",-,"1,395,526","808,280",-,"587,246"
3,6/30/2022,"452,621,000","170,136,000","142,755,000","5,185,000",-,"137,570,000",-,"4,441,000","4,441,000","22,940,000","22,940,000","482,000",-,"5,380,000","160,932,000","7,690,000","54,137,000","57,782,000","41,323,000","1,846,000","3,594,000","68,465,000","68,645,000","13,050,000","10,853,000","15,241,000","29,501,000","180,000",-,"6,025,000","4,747,000",-,"1,278,000","2,752,000","3,354,000","22,352,000","17,271,000","5,081,000",-,"7,303,000","411,476,000","325,813,000","219,753,000","219,753,000","106,060,000","11,434,000","30,780,000","30,780,000","25,769,000","5,011,000","5,011,000",-,-,-,-,-,-,"3,195,000","2,430,000","28,130,000","28,130,000","62,000",-,-,-,-,"9,632,000","41,145,000","40,984,000","4,852,000","4,838,000","14,000","37,644,000","28,316,000","24,521,000","-5,307,000",-,-,-,"161,000","69,114,000","4,838,000","36,146,000","18,632,000","64,276,000","13,794,000","28,130,000",-,"1,395,313","808,103",-,"587,210"
4,3/31/2022,"473,811,000","187,233,000","160,102,000","6,143,000",-,"153,959,000",-,-,-,"27,131,000","27,131,000","480,000",-,"5,375,000","168,516,000","12,506,000","57,401,000","58,591,000","40,018,000","1,807,000","2,427,000","67,175,000","67,345,000","11,069,000","10,134,000","14,732,000","31,410,000","170,000",-,"5,896,000","4,638,000",-,"1,258,000","2,637,000","3,359,000","22,545,000","17,462,000","5,083,000",-,"6,361,000","431,659,000","345,565,000","245,529,000","245,529,000","100,036,000","13,181,000","31,142,000","31,142,000","26,608,000","4,534,000","4,534,000",-,-,-,-,-,-,"2,464,000","3,325,000","25,558,000","25,558,000","53,000",-,-,-,-,"10,371,000","42,152,000","41,799,000","4,852,000","4,838,000","14,000","37,088,000","28,258,000","24,518,000","-3,881,000",-,-,-,"353,000","67,357,000","4,838,000","36,961,000","19,254,000","62,519,000","14,416,000","25,558,000",-,"1,394,963","807,798",-,"587,165"
5,12/31/2021,"444,438,000","154,765,000","121,336,000","6,061,000",-,"115,275,000",-,"3,822,000","3,822,000","29,607,000","29,607,000","479,000",-,"5,359,000","175,310,000","13,963,000","60,653,000","55,223,000","45,471,000","1,745,000","2,820,000","66,861,000","67,056,000","12,360,000","9,792,000","14,532,000","30,372,000","195,000",-,"5,903,000","4,635,000",-,"1,268,000","2,422,000","3,431,000","22,599,000","17,512,000","5,087,000",-,"2,744,000","401,047,000","319,694,000","225,999,000","225,999,000","93,695,000","11,566,000","30,917,000","30,917,000","25,150,000","5,767,000","5,767,000",-,-,0,0,0,-,"2,538,000","3,424,000","26,680,000","26,680,000","45,000",-,-,-,-,"6,183,000","43,391,000","43,034,000","4,852,000","4,838,000","14,000","36,667,000","28,128,000","24,400,000","-2,213,000",-,-,-,"357,000","69,714,000","4,838,000","38,196,000","20,435,000","64,876,000","15,597,000","26,680,000",-,"1,389,398","804,145",-,"585,253"
6,9/30/2021,"470,533,000","182,265,000","153,768,000","6,752,000",-,"147,016,000",-,-,-,"28,497,000","28,497,000","477,000",-,"5,349,000","173,638,000","13,689,000","56,635,000","54,519,000","48,795,000","1,409,000","4,403,000","63,323,000","63,555,000","11,123,000","17,987,000","6,709,000","27,736,000","232,000",-,"6,033,000","4,651,000",-,"1,382,000","2,171,000","3,422,000","22,360,000","17,420,000","4,940,000",-,"5,683,000","426,481,000","343,139,000","242,641,000","242,641,000","100,498,000","11,973,000","31,611,000","31,611,000","26,002,000","5,609,000","5,609,000",-,-,"807,000","807,000",-,"807,000","2,460,000","3,113,000","25,810,000","25,810,000","40,000","185,000","185,000","178,000",-,"8,150,000","44,052,000","43,601,000","4,555,000","4,541,000","14,000","36,125,000","28,075,000","23,151,000","-2,003,000",-,-,-,"451,000","69,411,000","4,541,000","39,060,000","21,241,000","64,870,000","16,700,000","25,810,000",-,"1,389,042","825,821",-,"563,221"
7,6/30/2021,"466,963,000","182,541,000","152,779,000","5,154,000",-,"147,625,000",-,-,-,"29,762,000","29,762,000","482,000",-,"5,327,000","169,396,000","10,743,000","55,547,000","50,897,000","52,209,000","1,331,000","4,854,000","62,357,000","62,624,000","12,401,000","17,532,000","6,388,000","26,303,000","267,000",-,"6,844,000","5,185,000",-,"1,659,000","2,207,000","3,442,000","22,395,000","17,487,000","4,908,000",-,"5,787,000","421,169,000","338,670,000","244,589,000","244,589,000","94,081,000","12,425,000","28,917,000","28,917,000","23,704,000","5,213,000","5,213,000",-,-,"501,000","501,000",-,"501,000","3,696,000","3,330,000","26,080,000","26,080,000","50,000",-,-,"169,000",-,"8,001,000","45,794,000","45,281,000","4,555,000","4,541,000","14,000","35,540,000","28,006,000","21,150,000","-1,670,000",-,-,-,"513,000","71,361,000","4,541,000","40,740,000","22,886,000","66,820,000","18,345,000","26,080,000",-,"1,388,317","863,174",-,"525,143"
8,3/31/2021,"464,984,000","183,541,000","155,278,000","5,991,000",-,"149,287,000",-,-,-,"28,263,000","28,263,000","488,000",-,"5,325,000","172,096,000","13,497,000","55,346,000","46,555,000","56,698,000","1,283,000","3,472,000","59,447,000","59,772,000","12,406,000","16,583,000","6,246,000","24,537,000","325,000",-,"6,640,000","4,875,000",-,"1,765,000","2,142,000","3,521,000","22,357,000","17,469,000","4,888,000",-,"4,672,000","419,581,000","336,768,000","241,462,000","241,462,000","95,306,000","15,150,000","28,743,000","28,743,000","23,827,000","4,916,000","4,916,000",-,-,"421,000","421,000",-,"421,000","2,087,000","2,910,000","25,698,000","25,698,000","73,000",-,-,"187,000",-,"8,152,000","45,403,000","44,954,000","4,555,000","4,541,000","14,000","34,822,000","27,928,000","20,532,000","-1,819,000",-,-,-,"449,000","70,652,000","4,541,000","40,413,000","22,597,000","66,111,000","18,056,000","25,698,000",-,"1,387,790","875,481",-,"512,309"
9,12/31/2020,"469,633,000","196,234,000","165,327,000","6,252,000",-,"159,075,000",-,-,-,"30,907,000","30,907,000","486,000",-,"5,301,000","172,200,000","15,272,000","156,928,000","46,845,000","59,271,000","1,259,000","3,845,000","56,111,000","56,469,000","12,674,000","16,357,000","6,445,000","56,469,000","358,000",-,"510,000","510,000",-,"1,587,000","2,033,000","3,602,000","20,508,000","17,496,000","3,012,000",-,"20,468,000","423,513,000","341,545,000","257,691,000","257,691,000","83,854,000","11,305,000","30,781,000","30,781,000","25,085,000","5,696,000","5,696,000","25,085,000",-,0,0,0,"350,000","6,031,000","4,805,000","26,334,000","26,334,000",-,-,-,"176,000",-,"7,517,000","46,120,000","45,801,000","4,555,000","4,541,000","14,000","34,241,000","27,823,000","19,833,000","-985,000",-,-,-,"319,000","72,135,000","4,541,000","41,260,000","25,293,000","67,594,000","20,752,000","26,334,000",-,"1,382,306","886,764",-,"495,543"
