,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Asset Impairment Charge,Other non-cash items,Change in working capital,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Other Current Liabilities,Change in Other Working Capital,Cash from Discontinued Operating Activities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Other Investing Changes,Cash from Discontinued Investing Activities,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Cash from Discontinued Financing Activities,Cash Flow from Discontinued Operation,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"15,068,000","15,068,000","2,573,000","436,000",-,"443,000","-7,000","1,636,000","1,636,000","155,000","155,000","680,000",-,"9,549,000",-,-,-,"9,549,000",-,"19,874,000","19,874,000",-,"-1,301,000","-1,346,000","45,000","446,000",0,"446,000","5,787,000","-34,833,000","40,620,000","-1,127,000",-,"-33,654,000","-33,654,000","5,585,000","5,929,000","9,929,000","-4,000,000","-344,000",-,-,"-110,000","14,000","-124,000",0,0,0,"-1,376,000","-1,165,000","-211,000","9,000","-1,543,000",-,-,"11,529,000","1,288,000","358,000","9,883,000",-,"449,000","3,307,000","-1,346,000","14,000","9,929,000","-4,000,000","-124,000","13,722,000"
1,12/31/2022,"15,068,000","15,068,000","2,573,000","436,000",-,"443,000","-7,000","1,636,000","1,636,000","155,000","155,000","680,000",-,"9,549,000",-,-,-,"9,549,000",-,"19,874,000","19,874,000",-,"-1,301,000","-1,346,000","45,000","446,000",0,"446,000","5,787,000","-34,833,000","40,620,000","-1,127,000",-,"-33,654,000","-33,654,000","5,585,000","5,929,000","9,929,000","-4,000,000","-344,000",-,-,"-110,000","14,000","-124,000",0,0,0,"-1,376,000","-1,165,000","-211,000","9,000","-1,543,000",-,-,"11,529,000","1,288,000","358,000","9,883,000",-,"449,000","3,307,000","-1,346,000","14,000","9,929,000","-4,000,000","-124,000","13,722,000"
2,12/31/2021,"2,838,000","2,838,000","3,759,000","-11,000",-,"-5,000","-6,000","1,867,000","1,867,000","257,000","257,000",-,-,"-2,803,000",-,-,-,"-2,803,000",-,"19,672,000","19,672,000",-,"-1,181,000","-1,215,000","34,000","-162,000","-170,000","8,000","-6,237,000","-63,160,000","56,923,000","1,070,000",-,"-21,962,000","-21,962,000","933,000","536,000","5,186,000","-4,650,000","397,000",-,-,"-4,554,000","13,000","-4,567,000","287,000","1,287,000","-1,000,000","-1,323,000","-1,126,000","-197,000","50,000","123,000",-,-,"9,883,000","548,000","-84,000","9,419,000",-,"473,000","233,000","-1,215,000","1,300,000","5,186,000","-4,650,000","-5,567,000","1,623,000"
3,12/31/2020,"5,038,000","5,038,000","3,617,000","-58,000",-,"-33,000","-25,000","1,630,000","1,630,000","-193,000","-193,000",-,-,"-294,000","202,000","202,000",-,"-294,000",-,"-78,455,000","-78,455,000","-1,222,000","-1,222,000","-1,222,000",0,0,-,0,"-30,291,000","-98,081,000","67,790,000","-728,000",-,"75,508,000","75,508,000","-6,436,000","-2,207,000","2,993,000","-5,200,000","-4,229,000",-,-,"-977,000","12,000","-989,000","984,000","1,567,000","-583,000","-1,296,000","-1,117,000","-179,000","46,000","6,025,000",-,-,"9,419,000","2,091,000","61,000","7,267,000",-,"1,341,000","1,236,000","-1,222,000","1,579,000","2,993,000","-5,200,000","-1,572,000","3,816,000"
4,12/31/2019,"96,000","96,000","4,441,000","-27,000",-,"18,000","-45,000","1,315,000","1,315,000","-69,000","-69,000",-,-,"-5,539,000","-372,000","-372,000",-,"-5,539,000",-,"-10,548,000","-10,548,000","-1,210,000","-1,210,000","-1,210,000",0,0,-,0,"-529,000","-55,257,000","54,728,000","676,000",-,"9,459,000","9,459,000","-2,888,000","-2,257,000","2,993,000","-5,250,000","-631,000",-,-,"-3,306,000","21,000","-3,327,000",-,-,-,"-1,289,000","-1,120,000","-169,000","65,000","-964,000",-,-,"7,267,000","-993,000","2,000","8,258,000",-,"989,000","4,400,000","-1,210,000","21,000","2,993,000","-5,250,000","-3,327,000","-1,114,000"
5,12/31/2018,"5,996,000","5,996,000","4,266,000","-7,000",-,"48,000","-55,000","1,339,000","1,339,000","-525,000","-525,000",-,-,"934,000","1,508,000","1,508,000",-,"934,000",-,"3,299,000","3,299,000","-1,108,000","-1,085,000","-1,108,000","23,000","84,000",0,"84,000","-1,711,000","-37,400,000","35,689,000","-153,000",-,"-8,098,000","-8,098,000","521,000","1,493,000","5,143,000","-3,650,000","-972,000",-,-,"-3,229,000","40,000","-3,269,000",0,0,-,"-1,221,000","-1,052,000","-169,000","80,000","-455,000",-,-,"8,258,000","1,197,000","-72,000","7,133,000",-,"983,000","2,711,000","-1,108,000","40,000","5,143,000","-3,650,000","-3,269,000","4,888,000"
6,12/31/2017,"4,641,000","4,641,000","4,090,000","-117,000",-,"-3,000","-114,000","1,474,000","1,474,000","133,000","133,000",-,-,"-915,000","-221,000","-221,000",-,"-915,000",-,"-31,050,000","-31,050,000","-1,197,000","-1,197,000","-1,197,000",0,0,0,0,"-4,715,000","-34,604,000","29,889,000","-207,000",-,"26,780,000","26,780,000","8,619,000","3,692,000","4,738,000","-1,046,000","4,927,000",-,-,"-2,652,000","34,000","-2,686,000",0,0,-,"-1,076,000","-901,000","-175,000","431,000","-785,000",-,-,"5,382,000","371,000","189,000","4,822,000",-,"498,000","1,033,000","-1,197,000","34,000","4,738,000","-1,046,000","-2,686,000","3,444,000"
7,12/31/2016,"6,246,000","6,246,000","3,547,000","-183,000",-,"-75,000","-108,000","1,502,000","1,502,000","-126,000","-126,000",-,"481,000","1,036,000","-486,000","-486,000",-,"1,036,000",-,"51,203,000","51,203,000","-825,000","-760,000","-825,000","65,000","-37,000","-38,000","1,000","2,141,000","-34,257,000","36,398,000","-444,000",-,"-59,050,000","-59,050,000","3,501,000","3,276,000","6,229,000","-2,953,000","225,000",-,-,"-2,371,000","27,000","-2,398,000","990,000","990,000",-,"-900,000","-778,000","-122,000","438,000","-957,000",-,-,"4,822,000","-1,601,000","-114,000","6,537,000",-,"1,010,000","406,000","-825,000","1,017,000","6,229,000","-2,953,000","-2,398,000","5,421,000"
8,12/31/2015,"4,127,000","4,127,000","3,158,000","-154,000",-,"-84,000","-70,000","1,457,000","1,457,000","47,000","47,000",-,"-381,000","-160,000","254,000","254,000",-,"-160,000",-,"-19,787,000","-19,787,000","-601,000","-601,000","-601,000",0,"8,000","-9,000","17,000","-2,157,000","-49,845,000","47,688,000","3,583,000",-,"15,185,000","15,185,000","933,000","933,000","4,986,000","-4,053,000",0,-,-,"-2,329,000","26,000","-2,355,000","990,000","990,000",-,"-865,000","-760,000","-105,000","326,000","707,000",-,-,"6,537,000","-475,000","42,000","6,970,000",-,"1,015,000","295,000","-601,000","1,016,000","4,986,000","-4,053,000","-2,355,000","3,526,000"
9,12/31/2014,"4,484,000","4,484,000","2,567,000","-169,000",-,"-97,000","-72,000","1,292,000","1,292,000","-853,000","-853,000",-,-,"1,695,000","-941,000","-941,000",-,"1,695,000",-,"-11,675,000","-11,675,000","-791,000","-206,000","-791,000","585,000","36,000","-28,000","64,000","-21,346,000","-72,852,000","51,506,000","4,887,000",-,"7,829,000","7,829,000","349,000","310,000","4,686,000","-4,376,000","39,000",-,-,"-1,643,000","26,000","-1,669,000",0,0,-,"-833,000","-760,000","-73,000","370,000","5,518,000",-,-,"6,970,000","638,000","-128,000","6,460,000",-,"1,363,000","344,000","-791,000","26,000","4,686,000","-4,376,000","-1,669,000","3,693,000"
10,12/31/2013,"-642,000","-642,000","2,111,000","-215,000",-,"-147,000","-68,000","1,389,000","1,389,000","533,000","533,000",-,-,"-4,425,000","-479,000","-479,000",-,"-4,425,000",-,"-13,200,000","-13,200,000","-609,000","-609,000","-609,000",0,"65,000","-19,000","84,000","-958,000","-35,533,000","34,575,000","-560,000",-,"15,621,000","15,621,000","943,000","1,185,000","3,892,000","-2,707,000","-242,000",-,-,"-1,001,000","25,000","-1,026,000","494,000","494,000",-,"-744,000","-680,000","-64,000","263,000","-515,000",-,-,"6,460,000","1,779,000","-46,000","4,727,000",-,"400,000","347,000","-609,000","519,000","3,892,000","-2,707,000","-1,026,000","-1,251,000"
11,12/31/2012,"1,629,000","1,629,000","2,445,000","-611,000",-,"-170,000","-441,000","1,246,000","1,246,000","252,000","252,000",-,-,"-1,623,000","-211,000","-211,000",-,"-1,623,000",-,"-29,387,000","-29,387,000","-652,000","-646,000","-652,000","6,000","-29,000","-29,000",0,"-17,027,000","-47,265,000","30,238,000","-409,000",0,"28,288,000","28,288,000","-1,870,000","-2,198,000","2,761,000","-4,959,000","328,000",-,-,"-1,123,000","25,000","-1,148,000","1,068,000","1,068,000",-,"-641,000","-623,000","-18,000","40,000","3,428,000",-,-,"4,727,000","530,000","22,000","4,175,000",-,"709,000","561,000","-652,000","1,093,000","2,761,000","-4,959,000","-1,148,000","977,000"
