,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Other Working Capital,Cash from Discontinued Operating Activities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Cash from Discontinued Investing Activities,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Cash from Discontinued Financing Activities,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"15,068,000","15,068,000","2,573,000","436,000","443,000","-7,000","1,636,000","1,636,000","155,000","155,000",-,"680,000","39,000","9,549,000",-,-,"9,549,000",-,"19,874,000","19,874,000",-,"5,294,000","9,352,000",-,-,"5,787,000","-34,833,000","40,620,000","1,423,000","1,423,000",-,"-1,301,000","-1,346,000","45,000","446,000",0,"446,000","-1,127,000",-,"-33,654,000","-33,654,000","790,000","5,585,000","5,929,000","9,929,000","-4,000,000","-344,000",-,-,"-110,000","14,000","-124,000",0,0,0,"-1,376,000","-1,165,000","-211,000","9,000","-1,543,000",-,-,"11,529,000","1,288,000","358,000","9,883,000",-,"449,000","3,307,000","-1,346,000","14,000","9,929,000","-4,000,000","-124,000","13,722,000"
1,12/31/2022,"2,924,000","2,924,000","543,000","443,000","448,000","-5,000","381,000","381,000","-100,000","-100,000",-,0,"20,000","1,637,000",-,-,"1,637,000",-,"25,124,000","25,124,000",-,"-815,000","18,601,000",-,-,"2,740,000","-6,682,000","9,422,000","3,940,000","1,423,000",-,"-357,000","-357,000",0,"395,000",-,"395,000","620,000",-,"-26,150,000","-26,150,000","919,000","2,498,000","2,495,000","3,245,000","-750,000","3,000",-,-,"2,000","4,000","-2,000",-,-,-,"-339,000","-305,000","-34,000",0,"-423,000",-,-,"11,529,000","1,898,000","31,000","4,707,000",-,"130,000","1,952,000","-357,000","4,000","3,245,000","-750,000","-2,000","2,567,000"
2,9/30/2022,"3,725,000","3,725,000","388,000","-1,000","-1,000",0,"396,000","396,000","110,000","110,000",-,-,"-30,000","2,182,000",-,-,"2,182,000",-,"19,345,000","19,345,000",-,"-546,000","19,173,000",-,-,"2,585,000","-5,779,000","8,364,000","-560,000",0,"-560,000","-118,000","-118,000",0,"51,000",-,"51,000","-1,240,000",-,"-23,061,000","-23,061,000","-69,000","600,000","745,000","1,745,000","-1,000,000","-145,000",-,-,"3,000","4,000","-1,000",-,-,-,"-372,000","-303,000","-69,000",0,"-1,985,000",-,-,"4,707,000","9,000","-35,000","5,185,000","-452,000","57,000","981,000","-118,000","4,000","1,745,000","-1,000,000","-1,000","3,607,000"
3,6/30/2022,"4,990,000","4,990,000","869,000","-1,000",0,"-1,000","422,000","422,000","109,000","109,000",-,-,"47,000","3,544,000",-,-,"3,544,000",-,"9,306,000","9,306,000",-,"4,154,000","8,379,000",-,-,"-1,299,000","-10,163,000","8,864,000","-1,460,000",0,"-1,460,000","-600,000","-600,000",0,0,-,0,"132,000",-,"-14,538,000","-14,538,000","-1,678,000","2,883,000","2,644,000","3,644,000","-1,000,000","239,000",-,-,"-127,000","-124,000","-3,000",-,-,-,"-313,000","-279,000","-34,000",0,"-782,000",-,-,"5,185,000","-242,000","324,000","9,544,000",-,"137,000","267,000","-600,000","-124,000","3,644,000","-1,000,000","-3,000","4,390,000"
4,3/31/2022,"3,429,000","3,429,000","773,000","-5,000","-4,000","-1,000","437,000","437,000","36,000","36,000",-,-,"2,000","2,186,000",-,-,"2,186,000",-,"-33,901,000","-33,901,000",-,"2,501,000","-36,801,000",-,-,"1,761,000","-12,209,000","13,970,000","-497,000",0,"-497,000","-226,000","-271,000","45,000",0,-,0,"-639,000",-,"30,095,000","30,095,000","1,618,000","-396,000","45,000","1,295,000","-1,250,000","-441,000",-,-,"12,000","130,000","-118,000",-,-,-,"-352,000","-278,000","-74,000","9,000","1,647,000",-,-,"9,544,000","-377,000","38,000","9,883,000",-,"125,000","107,000","-271,000","130,000","1,295,000","-1,250,000","-118,000","3,158,000"
5,12/31/2021,"3,129,000","3,129,000","863,000","-2,000","-1,000","-1,000","461,000","461,000","2,000","2,000",-,-,"-17,000","1,822,000",-,-,"1,822,000",-,"19,931,000","19,931,000",-,"-1,110,000","26,853,000",-,-,"-2,583,000","-17,289,000","14,706,000","-3,527,000",0,"-3,527,000","-374,000","-374,000",0,"-170,000",-,0,"842,000",-,"-24,127,000","-24,127,000","-388,000","1,062,000","1,097,000","1,497,000","-400,000","-35,000",-,-,"-1,246,000","3,000","-1,249,000","287,000","1,287,000",-,"-311,000","-280,000","-31,000","5,000","-835,000",-,-,"9,883,000","-1,067,000","-3,000","6,752,000",-,"97,000","7,000","-374,000","1,290,000","1,497,000","-400,000","-2,249,000","2,755,000"
6,9/30/2021,"54,000","54,000","947,000","9,000","-2,000","11,000","468,000","468,000","-19,000","-19,000",-,-,"-45,000","-1,306,000",-,-,"-1,306,000",-,"-4,158,000","-4,158,000",-,"1,214,000","-1,040,000",-,-,"-2,737,000","-14,547,000","11,810,000","-806,000",0,"-806,000","-369,000","-376,000","7,000",0,-,0,"-420,000",-,"5,626,000","5,626,000","-408,000","-177,000","-502,000","998,000","-1,500,000","325,000",-,-,"-1,997,000","4,000","-2,001,000",0,0,-,"-362,000","-296,000","-66,000","13,000","2,324,000",-,-,"6,752,000","1,522,000","-40,000","5,154,000","116,000","110,000","81,000","-376,000","4,000","998,000","-1,500,000","-2,001,000","-322,000"
7,6/30/2021,"2,829,000","2,829,000","1,022,000","-11,000","-2,000","-9,000","472,000","472,000","-1,000","-1,000",-,-,"-86,000","1,433,000",-,-,"1,433,000",-,"-779,000","-779,000","-245,000","-1,501,000","2,930,000",-,-,"1,078,000","-15,614,000","16,692,000","-2,763,000",0,"-2,763,000","-218,000","-245,000",-,0,-,0,"-305,000",-,"-1,941,000","-1,941,000","-2,722,000","347,000","245,000","1,495,000","-1,250,000","102,000",-,-,"-615,000","3,000","-618,000",-,-,-,"-304,000","-273,000","-31,000","6,000","-147,000",-,-,"5,154,000","109,000","-8,000","9,370,000",-,"144,000","19,000","-245,000","3,000","1,495,000","-1,250,000","-618,000","2,584,000"
8,3/31/2021,"-3,174,000","-3,174,000","927,000","-7,000",0,"-7,000","466,000","466,000","275,000","275,000",-,-,"-83,000","-4,752,000",-,-,"-4,752,000",-,"4,678,000","4,678,000","-220,000","2,630,000","7,555,000",-,-,"-1,995,000","-15,710,000","13,715,000","-4,253,000","1,000","-4,254,000","-220,000","-220,000",-,"8,000",-,"8,000","953,000",-,"-1,520,000","-1,520,000","3,936,000","-299,000","-304,000","1,196,000","-1,500,000","5,000",-,-,"-696,000","3,000","-699,000",-,-,-,"-346,000","-277,000","-69,000","26,000","-1,219,000",-,-,"9,370,000","-16,000","-33,000","9,419,000",-,"122,000","126,000","-220,000","3,000","1,196,000","-1,500,000","-699,000","-3,394,000"
9,12/31/2020,"-865,000","-865,000","750,000","-13,000","-6,000","-7,000","455,000","455,000","158,000","158,000",-,-,"15,000","-2,230,000",-,-,"-2,230,000",-,"-34,155,000","-34,155,000","-266,000","-1,233,000","-30,667,000",-,-,"-949,000","-17,714,000","16,765,000","-729,000","5,000","-734,000","-266,000","-266,000",-,-,-,-,"-311,000",-,"37,373,000","37,373,000","-4,660,000","-810,000","-52,000","748,000","-800,000","-758,000",-,-,"2,000","3,000","-1,000","-6,000","577,000",-,"-312,000","-279,000","-33,000","10,000","1,362,000",-,-,"9,419,000","2,353,000","71,000","6,995,000",-,"229,000","70,000","-266,000","580,000","748,000","-800,000","-584,000","-1,131,000"
