,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"16,034,000","3,504,000","7,118,000","1,999,000","1,999,000","2,679,000","1,240,000","1,200,000","3,614,000","1,587,000","9,000","860,000","934,000","224,000","12,530,000","128,000","11,790,000","12,133,000","8,834,000","3,299,000",-,-,"343,000",-,"149,000","822,000","-501,000","-501,000",-,"142,000","-39,000","11,987,000","2,171,000","514,000","1,657,000","1,527,000","6,800,000","6,800,000","6,800,000",-,-,"67,000","67,000","67,000","67,000","1,422,000",-,"-680,000",-,-,"680,000",-,"3,328,000","768,000","2,362,000","2,573,000","2,560,000","2,560,000",-,-,"13,000","211,000","2,362,000",-,-,-,-,"3,465,000","2,573,000","3,095,920","2,440,000","1,636,000","2,573,000","-680,000","-680,000",0,"-157,080"
1,12/31/2022,"16,034,000","3,504,000","3,504,000","1,999,000","1,999,000","2,679,000","1,240,000","1,200,000","3,614,000","1,587,000","9,000","860,000","934,000","224,000","12,530,000","128,000","12,612,000","12,955,000","9,656,000","3,299,000",-,-,"343,000",-,"149,000","822,000","-467,000","-467,000",-,"108,000","-39,000","11,987,000","2,171,000","514,000","1,657,000","1,527,000","6,800,000","6,800,000","6,800,000",-,-,"67,000","67,000","67,000","67,000","1,422,000",-,"-680,000",-,-,"680,000",-,"3,328,000","768,000","2,362,000","2,573,000","2,560,000","2,560,000",-,-,"13,000","211,000","2,362,000",2.91,2.90,"811,068","814,795","3,465,000","2,573,000","3,096,077","2,440,000","67,000","2,573,000","-680,000","-680,000",0,"-156,923"
2,12/31/2021,"15,633,000","2,618,000","2,845,000","958,000","958,000","1,796,000","-29,000","120,000","227,000","-175,000","8,000","392,000","-4,000","6,000","13,015,000","140,000","12,679,000","12,977,000","9,389,000","3,588,000",-,-,"298,000",-,"6,000","799,000","336,000","336,000",-,"142,000","231,000","11,216,000","1,976,000","498,000","1,478,000","1,459,000","6,337,000","6,337,000","6,337,000",-,-,"82,000","82,000","82,000","82,000","1,362,000",-,-,-,-,-,-,"4,648,000","877,000","3,552,000","3,759,000","3,771,000","3,771,000",-,-,"-12,000","207,000","3,552,000",4.17,4.14,"851,905","856,359","2,849,000","3,759,000","3,759,000","91,000","82,000","3,759,000",-,-,0,0
3,12/31/2020,"15,472,000","2,977,000","2,977,000","1,142,000","1,142,000","2,238,000","184,000","545,000","1,132,000","161,000","23,000","622,000","283,000","43,000","12,495,000","148,000","11,405,000","11,741,000","8,374,000","3,367,000",-,"212,000","336,000",-,"13,000","776,000","102,000","102,000","-38,000","51,000","-336,000","10,668,000","1,951,000","581,000","1,370,000","1,403,000","5,966,000","5,966,000","5,966,000","105,000",-,"104,000","104,000","104,000","104,000","1,244,000","85,000",-,-,-,-,-,"4,468,000","842,000","3,423,000","3,617,000","3,626,000","3,626,000",-,-,"-9,000","194,000","3,423,000",3.84,3.83,"890,839","892,514","2,641,000","3,617,000","3,617,000","729,000","104,000","3,617,000","-38,000","-38,000",0,0
4,12/31/2019,"16,088,000","3,188,000","3,188,000","1,789,000","1,789,000","2,892,000","713,000","2,154,000","4,360,000","1,594,000","114,000","942,000","1,437,000","273,000","12,900,000","138,000","11,894,000","12,268,000","8,879,000","3,389,000",-,"196,000","374,000",-,"77,000","654,000","1,006,000","1,006,000","819,000","-3,000","25,000","10,526,000","1,786,000","564,000","1,222,000","1,345,000","6,063,000","6,063,000","6,063,000","213,000",-,"117,000","117,000","117,000","117,000","1,215,000","79,000",-,-,-,-,-,"5,587,000","1,120,000","4,272,000","4,441,000","4,467,000","4,467,000",-,-,"-26,000","169,000","4,272,000",4.53,4.51,"939,623","943,109","3,213,000","4,441,000","4,441,000","2,867,000","117,000","4,441,000","819,000","819,000",0,0
5,12/31/2018,"15,124,000","3,308,000","3,308,000","1,866,000","1,866,000","2,700,000","750,000","1,116,000","2,821,000","877,000","109,000","857,000","758,000","220,000","11,816,000","145,000","11,679,000","12,098,000","8,514,000","3,584,000",-,"216,000","419,000",-,"69,000","668,000","137,000","137,000","70,000","18,000","24,000","10,538,000","1,555,000","570,000","985,000","1,276,000","6,033,000","6,033,000","6,033,000","229,000",-,"209,000","209,000","209,000","209,000","1,465,000","71,000",-,-,-,-,-,"4,610,000","496,000","3,915,000","4,090,000","4,114,000","4,114,000",-,-,"-24,000","175,000","3,915,000",4.06,4.04,"1,002,922","1,007,141","3,332,000","4,090,000","4,090,000","1,866,000","209,000","4,090,000","70,000","70,000",0,0
6,12/31/2017,"15,124,000","3,308,000","4,382,000","1,420,000","1,420,000","2,100,000","439,000","423,000","1,074,000","162,000","55,000","561,000","225,000","71,000","11,816,000","153,000","11,679,000","12,098,000","8,514,000","3,584,000",-,"216,000","419,000",-,"30,000","668,000","137,000","137,000","-1,000","-157,000","24,000","10,432,000","1,554,000","569,000","985,000","1,274,000","5,972,000","5,972,000","5,972,000","229,000",-,"209,000","209,000","209,000","209,000","1,423,000","64,000","-106,000",-,"106,000",-,-,"4,610,000","496,000","3,872,000","4,090,000","4,114,000","4,114,000",-,-,"-24,000","175,000","3,872,000",3.74,3.72,"1,034,281","1,040,290","3,332,000","4,090,000","4,184,595","862,000","209,000","4,090,000","-106,000","-106,000",0,"-11,405"
7,12/31/2016,"14,832,000","3,138,000","3,575,000","1,138,000","1,138,000","1,902,000","302,000","233,000","437,000","16,000","13,000","354,000","36,000","18,000","11,694,000","149,000","11,252,000","11,657,000","8,307,000","3,350,000",-,"219,000","405,000",-,"14,000","701,000","442,000","442,000","10,000","148,000","11,000","10,069,000","1,484,000","590,000","894,000","1,185,000","5,733,000","5,733,000","5,733,000","245,000",-,"237,000","237,000","237,000","237,000","1,430,000","67,000","-49,000",-,"49,000",-,-,"4,725,000","1,177,000","3,373,000","3,547,000","3,548,000","3,548,000",-,-,"-1,000","122,000","3,373,000",3.16,3.15,"1,066,286","1,072,013","3,149,000","3,547,000","3,583,794","535,000","237,000","3,547,000","-49,000","-49,000",0,"-12,206"
8,12/31/2015,"14,813,000","3,026,000","3,326,000","934,000","934,000","1,971,000","274,000","147,000","300,000","37,000","11,000","242,000","-6,000","16,000","11,787,000","139,000","11,302,000","11,683,000","8,245,000","3,438,000",-,"220,000","381,000",-,"25,000","768,000","485,000","485,000",0,"160,000","-160,000","10,333,000","1,507,000","600,000","907,000","1,230,000","5,837,000","5,837,000","5,837,000","267,000",-,"261,000","261,000","261,000","261,000","1,498,000","63,000","-85,000",-,"85,000",-,-,"4,235,000","1,013,000","3,010,000","3,158,000","3,222,000","3,222,000",-,-,"-64,000","105,000","3,010,000",2.73,2.71,"1,104,719","1,112,511","2,866,000","3,158,000","3,222,668","421,000","261,000","3,158,000","-85,000","-85,000",0,"-20,332"
9,12/31/2014,"15,264,000","2,880,000","3,234,000","879,000","879,000","1,824,000","445,000","86,000","354,000","83,000","8,000","242,000","-13,000","34,000","12,384,000","131,000","10,918,000","11,346,000","7,854,000","3,492,000",-,"169,000","428,000",-,"-8,000","570,000","1,466,000","1,466,000","872,000","-654,000","48,000","10,619,000","1,552,000","610,000","942,000","1,339,000","5,845,000","5,845,000","5,845,000","268,000",-,"298,000","298,000","298,000","298,000","1,585,000","55,000","-351,000",-,"351,000",-,"-836,000","4,342,000","1,093,000","3,038,000","3,165,000","3,249,000","3,249,000",-,-,"-84,000","73,000","3,038,000",2.17,2.15,"1,129,897","1,137,480","2,928,000","3,165,000","3,427,644","531,000","298,000","3,165,000","-351,000","-351,000",0,"-88,356"
