,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"16,034,000","3,504,000","7,118,000","1,999,000","1,999,000","2,679,000","1,240,000","1,200,000",-,"3,614,000","1,587,000","9,000","860,000","934,000","224,000","12,530,000","128,000","11,790,000","12,133,000","8,834,000","3,299,000",-,"343,000",-,"149,000","822,000","-501,000","-501,000",-,"142,000","-39,000","11,987,000","2,171,000","514,000","1,657,000","1,527,000","6,800,000","6,800,000","6,800,000",-,-,-,"67,000","67,000","67,000","67,000","1,422,000",-,"-680,000",-,"680,000",-,"3,328,000","768,000","2,362,000","2,573,000","2,560,000","2,560,000",-,-,"13,000","211,000","2,362,000",-,-,-,-,-,"3,465,000","2,573,000","3,095,920","2,440,000","1,636,000","2,573,000","-680,000","-680,000",0,"-157,080"
1,3/31/2023,"4,278,000","1,128,000","1,128,000",-,-,-,-,-,-,-,-,-,-,-,-,"3,150,000","27,000","3,071,000","3,156,000","2,380,000","776,000",-,"85,000",-,"45,000",-,"-30,000","-30,000",-,"37,000","-27,000","3,015,000","548,000","119,000","429,000","375,000","1,791,000","1,791,000","1,791,000",-,-,-,"14,000","14,000","14,000","14,000","287,000",-,0,-,0,-,"1,236,000","260,000","905,000","976,000","976,000","976,000",-,-,0,"71,000","905,000",1.13,1.12,"803,340","807,718",-,"1,101,000","976,000","976,000",-,"14,000","976,000",0,0,0,0
2,12/31/2022,"3,832,000","1,056,000","1,056,000","788,000","788,000","946,000","737,000","726,000",-,"2,141,000","1,046,000","3,000","367,000","595,000","130,000","2,776,000","35,000","3,136,000","3,222,000","2,439,000","783,000",-,"86,000",-,"34,000",-,"-457,000","-457,000",-,"28,000","-20,000","3,127,000","575,000","143,000","432,000","415,000","1,802,000","1,802,000","1,802,000",-,-,-,"16,000","16,000","16,000","16,000","319,000",-,0,-,0,-,"685,000","142,000","509,000","543,000","543,000","543,000",-,-,0,"34,000","509,000",0.63,0.62,"811,586","815,846",-,"1,036,000","543,000","543,000","1,463,000","16,000","543,000",0,0,0,0
3,9/30/2022,"4,191,000","926,000","926,000","581,000","581,000","727,000","355,000","321,000",-,"1,058,000","488,000","1,000","248,000","250,000","71,000","3,265,000","32,000","3,148,000","3,236,000","2,436,000","800,000",-,"88,000",-,"65,000",-,"117,000","117,000",-,"31,000","30,000","2,911,000","545,000","124,000","421,000","363,000","1,673,000","1,673,000","1,673,000",-,-,-,"17,000","17,000","17,000","17,000","313,000",-,"-680,000",-,"680,000","34,000","630,000","242,000","319,000","388,000","388,000","388,000",-,-,0,"69,000","319,000",0.39,0.39,"811,304","814,516",-,"956,000","388,000","806,880","676,000","17,000","388,000","-680,000","-680,000",0,"-261,120"
4,6/30/2022,"4,164,000","824,000","1,159,000","370,000","370,000","541,000","132,000","116,000",-,"335,000","90,000","2,000","147,000","77,000","19,000","3,340,000","28,000","3,249,000","3,339,000","2,506,000","833,000",-,"90,000",-,"45,000",-,"91,000","91,000",-,"32,000","-47,000","3,022,000","530,000","125,000","405,000","379,000","1,623,000","1,623,000","1,623,000",-,-,-,"17,000","17,000","17,000","17,000","473,000",-,-,-,-,-,"1,095,000","231,000","835,000","869,000","864,000","864,000",-,-,"5,000","34,000","835,000",1.03,1.03,"810,903","813,590",-,"777,000","869,000","869,000","248,000","17,000","869,000",-,-,0,0
5,3/31/2022,"3,847,000","698,000","778,000","260,000","260,000","465,000","16,000","37,000",-,"80,000","-37,000","3,000","98,000","12,000","4,000","3,149,000","33,000","3,079,000","3,158,000","2,275,000","883,000",-,"79,000",-,"5,000","207,000","70,000","70,000",-,"39,000","-2,000","2,927,000","521,000","122,000","399,000","370,000","1,702,000","1,702,000","1,702,000",-,-,-,"17,000","17,000","17,000","17,000","317,000",-,-,-,-,-,"918,000","153,000","699,000","773,000","765,000","765,000",-,-,"8,000","74,000","699,000",0.86,0.86,"809,469","813,986",-,"696,000","773,000","773,000","53,000","17,000","773,000",-,-,0,0
6,12/31/2021,"3,940,000","677,000","729,000","253,000","253,000","449,000","-4,000","31,000",-,"52,000","-45,000","2,000","91,000","2,000","2,000","3,263,000","45,000","3,156,000","3,231,000","2,335,000","896,000",-,"75,000",-,"-6,000","199,000","107,000","107,000",-,"28,000","17,000","2,892,000","512,000","133,000","379,000","390,000","1,633,000","1,633,000","1,633,000",-,-,-,"19,000","19,000","19,000","19,000","338,000",-,-,-,-,-,"1,065,000","196,000","822,000","863,000","869,000","869,000",-,-,"-6,000","41,000","822,000",1.01,1.01,"811,463","817,345",-,"694,000","863,000","863,000","27,000","19,000","863,000",-,-,0,0
7,9/30/2021,"3,959,000","641,000","693,000","238,000","238,000","432,000","-9,000","32,000","1,000","52,000","-44,000","3,000","91,000","2,000","1,000","3,318,000","33,000","3,189,000","3,265,000","2,352,000","913,000",-,"76,000",-,"20,000","185,000","129,000","129,000",-,"39,000","45,000","2,842,000","492,000","120,000","372,000","363,000","1,584,000","1,584,000","1,584,000",-,-,-,"19,000","19,000","19,000","19,000","384,000",-,-,-,-,-,"1,162,000","219,000","881,000","947,000","943,000","943,000",-,-,"4,000","66,000","881,000",1.04,1.04,"844,088","849,028",-,"686,000","947,000","947,000","23,000","19,000","947,000",-,-,0,0
8,6/30/2021,"3,887,000","645,000","685,000","237,000","237,000","437,000","-14,000","25,000",-,"40,000","-49,000","1,000","91,000","-5,000","2,000","3,242,000","29,000","3,151,000","3,224,000","2,335,000","889,000",-,"73,000",-,"-1,000","184,000","91,000","91,000",-,"42,000","86,000","2,705,000","487,000","122,000","365,000","363,000","1,518,000","1,518,000","1,518,000",-,-,-,"20,000","20,000","20,000","20,000","317,000",-,-,-,-,-,"1,268,000","241,000","991,000","1,022,000","1,027,000","1,027,000",-,-,"-5,000","31,000","991,000",1.14,1.13,"869,460","873,475",-,"731,000","1,022,000","1,022,000","11,000","20,000","1,022,000",-,-,0,0
9,3/31/2021,"3,847,000","655,000","738,000","230,000","230,000","478,000","-2,000","32,000","1,000","83,000","-37,000","2,000","119,000","-3,000","2,000","3,192,000","33,000","3,183,000","3,257,000","2,367,000","890,000",-,"74,000",-,"-14,000","231,000","9,000","9,000",-,"33,000","83,000","2,777,000","485,000","123,000","362,000","343,000","1,602,000","1,602,000","1,602,000",-,-,-,"24,000","24,000","24,000","24,000","323,000",-,-,-,-,-,"1,153,000","221,000","858,000","927,000","932,000","932,000",-,-,"-5,000","69,000","858,000",0.97,0.97,"882,558","885,655",-,"738,000","927,000","927,000","30,000","24,000","927,000",-,-,0,0
