,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/2/2023Current,32.84B,N/A,12.91,8.24,0.51,2.01,0.90,N/A,N/A
1,3/31/2023,35.86B,N/A,15.67,9.09,0.56,2.31,1.00,N/A,N/A
2,12/31/2022,36.79B,N/A,13.88,9.38,1.05,2.30,1.05,N/A,N/A
3,9/30/2022,31.13B,N/A,9.83,7.82,0.88,1.99,0.86,N/A,N/A
4,6/30/2022,33.71B,N/A,10.35,9.30,1.04,2.24,0.91,N/A,N/A
5,3/31/2022,40.09B,N/A,11.99,10.44,1.10,2.72,1.05,N/A,N/A
6,12/31/2021,46.70B,N/A,14.78,12.69,1.34,3.29,1.20,N/A,N/A
7,9/30/2021,42.81B,N/A,13.40,11.65,1.55,3.01,1.05,N/A,N/A
8,6/30/2021,44.22B,N/A,13.66,12.89,1.72,2.98,1.09,N/A,N/A
9,3/31/2021,41.40B,N/A,12.35,11.99,1.64,2.73,1.00,N/A,N/A
10,12/31/2020,37.63B,N/A,9.35,10.82,4.51,2.33,0.93,N/A,N/A
11,9/30/2020,30.43B,N/A,7.43,8.87,N/A,1.91,0.78,N/A,N/A
12,6/30/2020,34.24B,N/A,8.37,10.80,N/A,2.20,0.91,N/A,N/A
13,3/31/2020,29.82B,N/A,7.47,8.48,2.18,1.97,0.79,N/A,N/A
14,12/31/2019,45.33B,N/A,13.07,11.85,2.16,3.16,1.21,N/A,N/A
15,9/30/2019,41.69B,N/A,11.74,10.72,2.43,2.85,1.10,N/A,N/A
16,6/30/2019,42.27B,N/A,11.38,10.92,2.06,2.79,1.10,N/A,N/A
17,3/31/2019,48.15B,N/A,12.48,11.72,1.68,3.18,1.30,N/A,N/A
18,12/31/2018,45.21B,N/A,11.00,N/A,N/A,3.05,1.19,N/A,N/A
19,9/30/2018,50.99B,N/A,12.26,11.36,1.35,3.35,1.33,N/A,N/A
20,6/30/2018,54.51B,N/A,13.52,12.80,1.38,3.61,1.41,N/A,N/A
21,3/31/2018,51.92B,N/A,13.85,12.89,1.46,3.54,1.38,N/A,N/A
22,12/31/2017,55.15B,N/A,15.79,13.64,1.12,3.71,1.48,N/A,N/A
23,9/30/2017,54.78B,N/A,15.73,13.57,1.15,3.69,1.49,N/A,N/A
