,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Foreclosed Assets,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Provisions,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"2,416,676,000","707,426,000","342,025,000","30,577,000",-,"311,448,000",-,-,-,"365,401,000",-,-,"860,696,000","334,114,000","8,040,000","268,863,000","249,679,000",-,"640,247,000","657,221,000","289,154,000","368,067,000","150,741,000",-,"16,974,000",-,"54,192,000","54,192,000","354,000","26,253,000","24,119,000","19,691,000","4,428,000",-,-,"129,996,000","2,214,838,000","1,365,954,000","1,148,117,000","1,148,117,000","217,837,000","202,444,000",-,-,"69,218,000","69,218,000","69,218,000",-,"47,096,000","47,096,000","25,530,000","47,096,000","170,647,000",-,"271,606,000","271,606,000","7,300,000","2,151,000",-,"85,722,000","201,838,000","201,189,000","19,026,000","18,995,000","31,000","194,734,000","108,458,000","73,967,000","-47,062,000",-,-,-,"649,000","472,795,000","18,995,000","182,194,000","177,070,000","500,896,000","158,075,000","318,702,000",-,"3,099,669","1,936,853","97,800","1,162,817"
1,12/31/2021,"2,291,413,000","589,321,000","262,033,000","27,515,000",-,"234,518,000",-,-,-,"327,288,000",-,"27,000","844,767,000","331,945,000","7,337,000","216,963,000","288,522,000",-,"651,312,000","667,767,000","396,531,000","271,236,000","157,284,000",-,"16,455,000",-,"54,340,000","54,340,000","54,340,000",-,"25,794,000","21,299,000","4,495,000",-,-,"125,879,000","2,088,741,000","1,317,230,000","1,061,408,000","1,061,408,000","255,822,000","191,285,000",-,-,"61,430,000","61,430,000","61,430,000",-,"27,973,000","27,973,000","16,018,000","27,973,000","161,529,000",-,"254,374,000","254,374,000","5,300,000","2,655,000",-,"72,265,000","202,672,000","201,972,000","19,026,000","18,995,000","31,000","184,948,000","108,003,000","71,240,000","-38,765,000",-,-,-,"700,000","456,346,000","18,995,000","182,977,000","176,178,000","465,324,000","157,183,000","282,347,000","20,314,000","3,099,652","1,984,355","97,800","1,115,297"
2,12/31/2020,"2,260,321,000","604,327,000","309,615,000","26,349,000",-,"283,266,000",-,"175,435,000","175,435,000","294,712,000",-,-,"822,438,000","375,079,000","7,332,000","104,943,000","335,084,000",-,"650,927,000","675,883,000","387,044,000","288,839,000","166,921,000","33,759,000","24,956,000",-,"44,806,000","44,806,000","44,806,000",-,"26,909,000","22,162,000","4,747,000",-,-,"110,914,000","2,059,798,000","1,280,671,000","1,053,186,000","1,053,186,000","227,485,000","199,525,000",-,-,"50,484,000","50,484,000","50,484,000","39,319,000","29,514,000","29,514,000","18,010,000","29,514,000","168,027,000",-,"271,686,000","271,686,000","10,900,000",-,-,"59,891,000","200,523,000","199,765,000","19,511,000","19,480,000","31,000","168,595,000","107,846,000","64,129,000","-32,058,000",-,-,-,"758,000","471,451,000","19,480,000","180,285,000","172,856,000","481,485,000","153,376,000","301,200,000",-,"3,099,764","2,082,089",-,"1,017,674"
3,12/31/2019,"1,951,158,000","445,241,000","193,919,000","23,967,000",-,"169,952,000",-,"130,880,000","130,880,000","251,322,000",-,-,"644,703,000","276,140,000","7,523,000","80,775,000","280,265,000",-,"686,700,000","699,483,000","389,935,000","309,548,000","157,068,000","40,211,000","12,783,000",-,"39,857,000","39,857,000","39,857,000",-,"26,948,000","22,126,000","4,822,000",-,-,"107,709,000","1,757,212,000","1,070,590,000","886,087,000","886,087,000","184,503,000","166,339,000",-,-,"48,601,000","48,601,000","48,601,000","37,613,000","45,049,000","45,049,000","16,476,000","45,049,000","119,894,000",-,"248,760,000","248,760,000","5,500,000",-,-,"57,979,000","193,946,000","193,242,000","18,011,000","17,980,000","31,000","165,369,000","107,840,000","61,660,000","-36,318,000",-,-,-,"704,000","442,002,000","17,980,000","175,262,000","166,294,000","469,071,000","148,314,000","293,809,000","99,890,000","3,099,603","2,114,123",-,"985,480"
4,12/31/2018,"1,917,288,000","458,694,000","188,010,000","23,550,000",-,"164,460,000",-,"123,192,000","123,192,000","270,684,000",-,-,"614,724,000","256,117,000","7,212,000","63,357,000","295,250,000",-,"671,881,000","684,196,000","353,709,000","330,487,000","161,006,000","36,837,000","12,315,000","-114,000","35,450,000","35,450,000","35,450,000",-,"27,266,000","22,046,000","5,220,000",-,-,"109,273,000","1,720,214,000","1,013,064,000","826,580,000","826,580,000","186,484,000","177,874,000",-,-,"64,571,000","64,571,000","64,571,000","40,273,000","32,252,000","32,252,000","13,238,000","32,252,000","144,305,000",-,"231,999,000","231,999,000","10,500,000",-,-,"56,149,000","197,074,000","196,220,000","18,491,000","18,460,000","31,000","151,347,000","107,922,000","44,370,000","-37,170,000",-,-,-,"854,000","428,219,000","18,460,000","177,760,000","168,954,000","442,011,000","150,494,000","264,251,000","76,241,000","3,099,567","2,368,467","159,900","731,100"
5,12/31/2017,"1,843,059,000","412,994,000","180,516,000","23,775,000",-,"156,741,000",-,"109,388,000","109,388,000","232,478,000",-,-,"603,695,000","251,405,000","8,056,000","53,320,000","298,970,000",-,"654,679,000","667,034,000","333,378,000","333,656,000","161,540,000","35,273,000","12,355,000","-26,000","38,384,000","38,384,000","38,384,000",-,"27,402,000","22,256,000","5,146,000",-,-,"105,905,000","1,640,793,000","959,822,000","745,502,000","745,502,000","214,320,000","156,277,000",-,-,"61,342,000","61,342,000","61,342,000","38,741,000","44,452,000","44,452,000","9,940,000","44,452,000","123,948,000",-,"236,709,000","236,709,000","19,300,000",-,-,"58,243,000","202,266,000","201,334,000","19,284,000","19,253,000","31,000","135,715,000","108,008,000","30,309,000","-31,364,000",-,-,-,"932,000","438,043,000","19,253,000","182,081,000","173,932,000","463,242,000","154,679,000","281,161,000","100,645,000","3,099,523","2,569,909","186,770","529,615"
6,12/31/2016,"1,792,077,000","397,307,000","160,494,000","23,043,000",-,"137,451,000",-,"90,068,000","90,068,000","236,813,000",-,-,"597,229,000","243,925,000","8,213,000","45,667,000","307,637,000",-,"612,309,000","624,369,000","299,003,000","325,366,000","159,814,000","26,886,000","12,060,000","72,000","28,887,000","28,887,000","28,887,000",-,"28,337,000","21,659,000","6,678,000",-,-,"128,008,000","1,565,934,000","929,406,000","715,092,000","715,092,000","214,314,000","141,821,000",-,-,"57,152,000","57,152,000","57,152,000","37,237,000","30,701,000","30,701,000","9,989,000","30,701,000","139,045,000",-,"206,178,000","206,178,000","21,600,000",-,-,"61,631,000","226,143,000","225,120,000","19,284,000","19,253,000","31,000","146,477,000","108,042,000","16,302,000","-32,381,000",-,-,-,"1,023,000","431,298,000","19,253,000","205,867,000","196,783,000","442,746,000","177,530,000","236,879,000","76,385,000","3,099,482","2,772,392","186,770","327,090"
7,12/31/2015,"1,731,210,000","352,772,000","133,097,000","20,900,000",-,"112,197,000",-,"14,328,000","14,328,000","219,675,000",-,-,"592,911,000","249,956,000","25,400,000","36,215,000","306,740,000","56,184,000","604,991,000","617,617,000","287,834,000","329,783,000","170,014,000","28,704,000","12,626,000","165,000","27,683,000","27,683,000","27,683,000",-,"27,851,000","22,349,000","5,502,000",-,-,"125,002,000","1,508,118,000","907,887,000","697,061,000","697,061,000","210,826,000","146,496,000","146,496,000","57,827,000","53,722,000","53,722,000","53,722,000","35,653,000","21,079,000","21,079,000","9,995,000","21,079,000","117,512,000","57,592,000","201,275,000","201,275,000",-,-,-,"60,147,000","223,092,000","221,857,000","16,749,000","16,718,000","31,000","133,841,000","108,288,000","7,677,000","-29,344,000",-,-,-,"1,235,000","423,132,000","16,718,000","205,139,000","194,006,000","427,493,000","177,288,000","222,354,000","89,257,000","3,099,482","2,953,279","143,870","146,203"
8,12/31/2014,"1,842,530,000","402,767,000","160,197,000","32,108,000",-,"128,089,000",-,"16,782,000","16,782,000","242,570,000",-,-,"630,229,000","296,786,000","29,853,000","23,921,000","309,522,000","67,957,000","628,641,000","644,635,000","274,665,000","369,970,000","189,563,000","19,259,000","15,994,000","-1,236,000","28,419,000","28,419,000","28,419,000",-,"30,003,000","23,592,000","6,411,000",-,0,"122,471,000","1,630,485,000","899,332,000","699,449,000","699,449,000","199,883,000","173,438,000","173,438,000","70,944,000","52,180,000","52,180,000","52,180,000","33,984,000","58,335,000","58,335,000","16,155,000","58,335,000","139,036,000","68,092,000","223,080,000","223,080,000",-,-,0,"85,084,000","212,045,000","210,534,000","10,499,000","10,468,000","31,000","118,201,000","107,979,000","2,929,000","-23,216,000",-,-,-,"1,511,000","433,614,000","10,468,000","200,066,000","180,531,000","481,481,000","170,063,000","281,415,000","121,218,000","3,082,038","3,023,918","143,870","58,120"
9,12/31/2013,"1,880,617,000","455,927,000","198,890,000","29,885,000",-,"169,005,000",-,-,-,"257,037,000",-,-,"593,034,000","285,928,000","26,707,000","10,599,000","296,507,000","52,821,000","648,098,000","667,746,000","273,915,000","393,831,000","199,663,000","18,714,000","19,648,000","-1,134,000","25,674,000","25,674,000","25,674,000",-,"32,783,000","25,009,000","7,774,000",-,0,"125,101,000","1,674,249,000","968,273,000","770,468,000","770,468,000","197,805,000","203,512,000","203,512,000","61,508,000","53,707,000","53,707,000","53,707,000","34,751,000","58,944,000","58,944,000","17,878,000","58,944,000","108,762,000","47,254,000","221,116,000","221,116,000",-,-,0,"59,935,000","206,368,000","204,574,000","6,769,000","6,738,000","31,000","111,403,000","107,193,000","1,658,000","-19,133,000",-,-,-,"1,794,000","425,690,000","6,738,000","197,836,000","171,791,000","477,896,000","165,053,000","280,060,000","81,170,000","3,062,099","3,029,243","124,670","32,856"
