,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Foreclosed Assets,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Provisions,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"2,455,113,000","713,157,000","328,959,000","26,224,000",-,"302,735,000",-,-,-,"384,198,000",-,-,"896,484,000","383,906,000","7,749,000","264,342,000","240,487,000",-,"634,826,000","651,995,000","288,299,000","363,696,000","153,484,000",-,"17,169,000",-,"55,491,000","55,491,000","348,000","27,119,000","24,514,000","19,882,000","4,632,000",-,-,"103,522,000","2,246,094,000","1,330,459,000","1,116,086,000","1,116,086,000","214,373,000","257,681,000",-,-,"76,708,000","76,708,000","76,708,000",-,"40,187,000","40,187,000","21,627,000","40,187,000","185,010,000",-,"279,684,000","279,684,000","7,300,000","1,959,000",-,"74,406,000","209,019,000","208,295,000","20,276,000","20,245,000","31,000","198,353,000","108,369,000","73,262,000","-45,441,000",-,-,-,"724,000","487,979,000","20,245,000","188,050,000","183,781,000","507,921,000","163,536,000","319,871,000",-,"3,099,691","1,946,752",-,"1,152,940"
1,12/31/2022,"2,416,676,000","707,426,000","342,025,000","30,577,000",-,"311,448,000",-,-,-,"365,401,000",-,-,"860,696,000","334,114,000","8,040,000","268,863,000","249,679,000",-,"640,247,000","657,221,000","289,154,000","368,067,000","150,741,000",-,"16,974,000",-,"54,192,000","54,192,000","354,000","26,253,000","24,119,000","19,691,000","4,428,000",-,-,"129,996,000","2,214,838,000","1,365,954,000","1,148,117,000","1,148,117,000","217,837,000","202,444,000",-,-,"69,218,000","69,218,000","69,218,000",-,"47,096,000","47,096,000","25,530,000","47,096,000","170,647,000",-,"271,606,000","271,606,000","7,300,000","2,151,000",-,"85,722,000","201,838,000","201,189,000","19,026,000","18,995,000","31,000","194,734,000","108,458,000","73,967,000","-47,062,000",-,-,-,"649,000","472,795,000","18,995,000","182,194,000","177,070,000","500,896,000","158,075,000","318,702,000",-,"3,099,669","1,936,853","97,800","1,162,817"
2,9/30/2022,"2,381,064,000","648,821,000","299,607,000","26,502,000",-,"273,105,000",-,-,-,"349,214,000",-,-,"866,276,000","358,260,000","8,009,000","267,864,000","232,143,000",-,"629,651,000","645,960,000","288,377,000","357,583,000","147,223,000",-,"16,309,000",-,"79,696,000","79,696,000","431,000",-,"23,811,000","19,326,000","4,485,000",-,-,"132,809,000","2,181,947,000","1,306,486,000","1,072,068,000","1,072,068,000","234,418,000","203,429,000",-,-,"87,841,000","87,841,000","87,841,000",-,"47,368,000","47,368,000","25,578,000","47,368,000","196,479,000",-,"253,068,000","253,068,000","7,300,000","2,089,000",-,"85,187,000","199,117,000","198,560,000","19,026,000","18,995,000","31,000","193,462,000","108,347,000","73,977,000","-48,298,000",-,-,-,"557,000","451,628,000","18,995,000","179,565,000","174,749,000","480,001,000","155,754,000","300,436,000","829,000","3,099,669","1,936,853","97,800","1,162,817"
3,6/30/2022,"2,380,904,000","645,364,000","284,030,000","24,902,000",-,"259,128,000",-,-,-,"361,334,000",-,-,"854,753,000","340,875,000","7,787,000","267,592,000","238,499,000",-,"641,381,000","657,333,000","301,728,000","355,605,000","143,679,000",-,"15,952,000",-,"80,486,000","80,486,000","432,000",-,"24,123,000","19,597,000","4,526,000",-,-,"134,797,000","2,181,278,000","1,321,848,000","1,074,368,000","1,074,368,000","247,480,000","198,472,000",-,-,"96,474,000","96,474,000","96,474,000",-,"40,054,000","40,054,000","21,479,000","40,054,000","180,453,000",-,"257,425,000","257,425,000","2,300,000",-,-,"86,552,000","199,626,000","199,014,000","19,026,000","18,995,000","31,000","191,261,000","108,210,000","73,988,000","-45,495,000",-,-,-,"612,000","456,439,000","18,995,000","180,019,000","174,891,000","477,498,000","155,896,000","297,479,000","13,449,000","3,099,669","1,936,710","97,800","1,162,960"
4,3/31/2022,"2,394,105,000","617,497,000","272,087,000","27,768,000",-,"244,319,000",-,-,-,"345,410,000",-,-,"872,599,000","357,997,000","7,281,000","242,547,000","264,774,000",-,"644,276,000","659,669,000","309,341,000","350,328,000","141,155,000",-,"15,393,000",-,"89,218,000","89,218,000","426,000",-,"24,387,000","19,865,000","4,522,000",-,-,"146,128,000","2,195,752,000","1,333,711,000","1,081,466,000","1,081,466,000","252,245,000","204,494,000",-,-,"91,324,000","91,324,000","91,324,000",-,"30,144,000","30,144,000","19,231,000","30,144,000","188,059,000",-,"253,954,000","253,954,000","1,000,000","2,343,000",-,"91,723,000","198,353,000","197,709,000","19,026,000","18,995,000","31,000","187,962,000","108,050,000","73,744,000","-43,585,000",-,-,-,"644,000","451,663,000","18,995,000","178,714,000","173,322,000","462,812,000","154,327,000","284,098,000","12,011,000","3,099,669","1,941,921","97,800","1,157,748"
5,12/31/2021,"2,291,413,000","589,321,000","262,033,000","27,515,000",-,"234,518,000",-,-,-,"327,288,000",-,"27,000","844,767,000","331,945,000","7,337,000","216,963,000","288,522,000",-,"651,312,000","667,767,000","396,531,000","271,236,000","157,284,000",-,"16,455,000",-,"54,340,000","54,340,000","54,340,000",-,"25,794,000","21,299,000","4,495,000",-,-,"125,879,000","2,088,741,000","1,317,230,000","1,061,408,000","1,061,408,000","255,822,000","191,285,000",-,-,"61,430,000","61,430,000","61,430,000",-,"27,973,000","27,973,000","16,018,000","27,973,000","161,529,000",-,"254,374,000","254,374,000","5,300,000","2,655,000",-,"72,265,000","202,672,000","201,972,000","19,026,000","18,995,000","31,000","184,948,000","108,003,000","71,240,000","-38,765,000",-,-,-,"700,000","456,346,000","18,995,000","182,977,000","176,178,000","465,324,000","157,183,000","282,347,000","20,314,000","3,099,652","1,984,355","97,800","1,115,297"
6,9/30/2021,"2,361,876,000","661,504,000","323,808,000","28,906,000",-,"294,902,000",-,-,-,"337,696,000",-,-,"843,763,000","342,914,000","7,220,000","198,056,000","295,573,000",-,"647,049,000","664,764,000","400,514,000","264,250,000","158,438,000","36,054,000","17,715,000",-,"59,487,000","59,487,000","59,487,000",-,"26,126,000","21,573,000","4,553,000",-,-,"123,947,000","2,160,266,000","1,347,528,000","1,108,409,000","1,108,409,000","239,119,000","209,184,000","209,184,000",-,"60,501,000","60,501,000","60,501,000","48,300,000","29,683,000","29,683,000","17,012,000","29,683,000","179,286,000",-,"258,274,000","258,274,000","5,800,000",-,-,"75,810,000","201,610,000","200,875,000","18,026,000","17,995,000","31,000","183,024,000","107,922,000","71,246,000","-36,851,000",-,-,-,"735,000","459,149,000","17,995,000","182,880,000","174,749,000","470,837,000","156,754,000","287,957,000",-,"3,100,161","1,984,267",-,"1,115,893"
7,6/30/2021,"2,327,868,000","608,285,000","299,238,000","27,117,000",-,"272,121,000",-,-,-,"309,047,000",-,-,"858,013,000","370,950,000","7,344,000","176,742,000","302,977,000",-,"657,596,000","676,834,000","400,939,000","275,895,000","164,504,000","35,713,000","19,238,000",-,"61,138,000","61,138,000","61,138,000",-,"26,747,000","22,060,000","4,687,000",-,-,"116,089,000","2,124,958,000","1,310,281,000","1,059,185,000","1,059,185,000","251,096,000","221,634,000",-,-,"59,416,000","59,416,000","59,416,000","46,413,000","31,462,000","31,462,000","18,666,000","31,462,000","174,706,000",-,"264,758,000","264,758,000","9,500,000",-,-,"62,701,000","202,910,000","202,159,000","18,026,000","17,995,000","31,000","179,686,000","107,820,000","68,253,000","-35,120,000",-,-,-,"751,000","466,917,000","17,995,000","184,164,000","175,412,000","480,384,000","157,417,000","296,220,000",-,"3,099,679","2,026,785",-,"1,072,893"
8,3/31/2021,"2,314,266,000","639,754,000","324,682,000","26,204,000",-,"298,478,000",-,-,-,"315,072,000",-,-,"833,618,000","360,659,000","7,181,000","161,742,000","304,036,000",-,"644,350,000","665,988,000","391,954,000","274,034,000","164,352,000","34,729,000","21,638,000",-,"60,465,000","60,465,000","60,465,000",-,"26,646,000","21,905,000","4,741,000",-,-,"109,433,000","2,110,993,000","1,300,975,000","1,061,121,000","1,061,121,000","239,854,000","219,168,000",-,-,"60,907,000","60,907,000","60,907,000","45,065,000","32,087,000","32,087,000","17,021,000","32,087,000","179,117,000",-,"256,335,000","256,335,000","10,900,000",-,-,"62,404,000","203,273,000","202,549,000","20,311,000","20,280,000","31,000","174,816,000","107,694,000","65,261,000","-35,011,000",-,-,-,"724,000","458,884,000","20,280,000","182,269,000","175,903,000","470,691,000","155,623,000","288,422,000",-,"3,099,691","2,067,048",-,"1,032,643"
9,12/31/2020,"2,260,321,000","604,327,000","309,615,000","26,349,000",-,"283,266,000",-,"175,435,000","175,435,000","294,712,000",-,-,"822,438,000","375,079,000","7,332,000","104,943,000","335,084,000",-,"650,927,000","675,883,000","387,044,000","288,839,000","166,921,000","33,759,000","24,956,000",-,"44,806,000","44,806,000","44,806,000",-,"26,909,000","22,162,000","4,747,000",-,-,"110,914,000","2,059,798,000","1,280,671,000","1,053,186,000","1,053,186,000","227,485,000","199,525,000",-,-,"50,484,000","50,484,000","50,484,000","39,319,000","29,514,000","29,514,000","18,010,000","29,514,000","168,027,000",-,"271,686,000","271,686,000","10,900,000",-,-,"59,891,000","200,523,000","199,765,000","19,511,000","19,480,000","31,000","168,595,000","107,846,000","64,129,000","-32,058,000",-,-,-,"758,000","471,451,000","19,480,000","180,285,000","172,856,000","481,485,000","153,376,000","301,200,000",-,"3,099,764","2,082,089",-,"1,017,674"
