,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Net Other Financing Charges,Cash Flow from Discontinued Operation,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"25,069,000","25,069,000","15,076,000","-330,000","-67,000","4,262,000","4,262,000","-1,141,000","-1,141,000","-17,922,000","535,000","5,036,000","19,553,000",-,"4,421,000","-4,992,000","5,343,000","14,781,000","-79,455,000","-79,455,000","-5,632,000","-38,113,000",-,"-28,841,000","-261,650,000","232,809,000","-11,882,000","4,709,000","-16,591,000","63,000","63,000","5,741,000",-,"5,741,000","-791,000","137,763,000","137,763,000","11,159,000","66,786,000","47,663,000","104,748,000","-57,085,000","19,123,000",-,-,"-3,250,000",-,"-3,250,000",0,0,0,"-5,003,000","-344,000",-,-,"342,025,000","83,377,000","-3,385,000","262,033,000",-,"3,733,000","22,615,000","-5,632,000",0,"104,748,000","-57,085,000","-3,250,000","19,437,000"
1,12/31/2022,"25,069,000","25,069,000","15,076,000","-330,000","-67,000","4,262,000","4,262,000","-1,141,000","-1,141,000","-17,922,000","535,000","5,036,000","19,553,000",-,"4,421,000","-4,992,000","5,343,000","14,781,000","-79,455,000","-79,455,000","-5,632,000","-38,113,000",-,"-28,841,000","-261,650,000","232,809,000","-11,882,000","4,709,000","-16,591,000","63,000","63,000","5,741,000",-,"5,741,000","-791,000","137,763,000","137,763,000","11,159,000","66,786,000","47,663,000","104,748,000","-57,085,000","19,123,000",-,-,"-3,250,000",-,"-3,250,000",0,0,0,"-5,003,000","-344,000",-,-,"342,025,000","83,377,000","-3,385,000","262,033,000",-,"3,733,000","22,615,000","-5,632,000",0,"104,748,000","-57,085,000","-3,250,000","19,437,000"
2,12/31/2021,"61,249,000","61,249,000","21,945,000","241,000","-665,000","3,964,000","3,964,000","1,413,000","1,413,000","-1,287,000",-,"-3,891,000","38,864,000",-,"-3,809,000","-2,139,000","6,839,000","37,973,000","-124,905,000","-124,905,000","-4,119,000","-32,576,000",-,"-90,330,000","-359,158,000","268,828,000","1,745,000","2,918,000","-1,173,000","190,000","190,000",-,-,-,"185,000","17,272,000","17,272,000","-8,240,000","-5,833,000","-4,292,000","70,658,000","-74,950,000","-1,541,000",-,-,"-7,601,000",-,"-7,601,000","-485,000","3,300,000","-3,785,000","-5,198,000","-337,000",-,-,"262,033,000","-46,384,000","-1,198,000","309,615,000",-,"4,028,000","7,143,000","-4,119,000","3,300,000","70,658,000","-74,950,000","-11,386,000","57,130,000"
3,12/31/2020,"-20,621,000","-20,621,000","11,067,000","-1,591,000","-1,756,000","3,937,000","3,937,000","-2,333,000","-2,333,000","4,113,000",-,"17,368,000","-53,182,000","-3,066,000","1,202,000","-1,012,000","558,000","-53,930,000","-95,312,000","-95,312,000","-3,446,000","-43,390,000",-,"-64,386,000","-334,900,000","270,514,000","15,744,000","15,744,000","14,249,000","50,000","50,000",0,-,0,"116,000","233,595,000","233,595,000","33,186,000","-2,479,000","13,056,000","76,458,000","-63,402,000","-15,535,000",-,-,"-2,925,000",-,"-2,925,000","1,495,000","2,995,000","-1,500,000","-5,352,000","-411,000",-,-,"309,615,000","117,662,000","-1,966,000","193,919,000",-,"4,797,000","13,298,000","-3,446,000","2,995,000","76,458,000","-63,402,000","-4,425,000","-24,067,000"
4,12/31/2019,"-12,837,000","-12,837,000","19,405,000","-1,442,000","-1,474,000","3,905,000","3,905,000","-610,000","-610,000","16,955,000",-,"8,218,000","-59,268,000","-20,377,000","-909,000","4,724,000","1,829,000","-64,912,000","-23,374,000","-23,374,000","-5,336,000","19,362,000",-,"-18,267,000","-274,491,000","256,224,000","-19,588,000","2,878,000","-22,466,000","259,000","259,000",0,-,0,"196,000","42,933,000","42,933,000","-11,429,000","20,808,000","8,105,000","59,134,000","-51,029,000","12,703,000",-,-,"-17,571,000",-,"-17,571,000","-484,000","1,496,000","-1,980,000","-5,447,000","-364,000",-,-,"193,919,000","6,722,000","-908,000","188,105,000",-,"4,888,000","28,682,000","-5,336,000","1,496,000","59,134,000","-51,029,000","-19,551,000","-18,173,000"
5,12/31/2018,"36,952,000","36,952,000","18,053,000","-536,000","-421,000","3,754,000","3,754,000","-51,000","-51,000","-7,559,000",-,"7,354,000","15,937,000","6,163,000","770,000","-5,791,000","-871,000","21,829,000","-73,118,000","-73,118,000","-3,774,000","-38,206,000",-,"-7,392,000","-186,987,000","179,595,000","-24,453,000","4,549,000","-29,002,000","212,000","212,000","314,000",-,"314,000","181,000","44,528,000","44,528,000","21,491,000","-9,583,000","2,523,000","60,655,000","-58,132,000","-12,106,000",-,"-12,106,000","-14,433,000",-,"-14,433,000","-793,000",-,"-793,000","-5,020,000","-482,000",-,-,"188,105,000","8,362,000","-773,000","180,516,000",-,"4,313,000","22,963,000","-3,774,000",-,"60,655,000","-58,132,000","-15,226,000","33,178,000"
6,12/31/2017,"-8,587,000","-8,587,000","-6,687,000","-1,289,000","-778,000","3,659,000","3,659,000","24,877,000","24,877,000","-2,956,000",-,"7,503,000","-33,694,000","-5,307,000","247,000","-2,489,000","-3,421,000","-28,031,000","-58,228,000","-58,228,000","-3,361,000","4,335,000","-19,290,000","5,997,000","-185,740,000","191,737,000","-49,697,000","8,365,000","-58,062,000","377,000","377,000","3,411,000",-,"3,411,000",-,"66,854,000","66,854,000","14,456,000","40,725,000","26,974,000","67,960,000","-40,986,000","13,751,000","13,751,000",-,"-14,541,000",-,"-14,541,000",0,0,-,"-3,797,000","-405,000",-,-,"23,775,000","39,000","693,000","23,043,000",-,"2,083,000","15,675,000","-3,361,000",0,"67,960,000","-40,986,000","-14,541,000","-11,948,000"
7,12/31/2016,"53,932,000","53,932,000","14,970,000","-731,000","-948,000","3,720,000","3,720,000","1,459,000","1,459,000","7,000,000",-,"6,749,000","20,765,000","2,226,000","6,603,000","-6,859,000","-28,000","21,049,000","-79,588,000","-79,588,000","-2,756,000","-17,138,000","-25,311,000","-13,694,000","-211,402,000","197,708,000","-21,621,000","18,140,000","-39,761,000","667,000","667,000","265,000",-,"265,000",-,"28,292,000","28,292,000","-4,675,000","17,968,000","8,346,000","63,806,000","-55,460,000","9,622,000","9,622,000",-,"-9,290,000",-,"-9,290,000","2,498,000","2,498,000",-,"-2,287,000","-316,000",-,-,"23,043,000","2,636,000","-493,000","20,900,000",-,"4,359,000","12,067,000","-2,756,000","2,498,000","63,806,000","-55,460,000","-9,290,000","51,176,000"
8,12/31/2015,"39,737,000","39,737,000","17,296,000","-3,574,000","-682,000","3,506,000","3,506,000","2,794,000","2,794,000","-6,603,000",-,"7,108,000","19,210,000","2,278,000","-7,207,000","-32,000","-1,135,000","27,584,000","14,883,000","14,883,000","-3,198,000","22,895,000","15,488,000","-18,845,000","-242,362,000","223,517,000","10,963,000","10,963,000",-,"577,000","577,000","-12,997,000","-18,929,000","5,932,000",-,"-64,773,000","-64,773,000","-26,942,000","-45,480,000","-8,224,000","44,619,000","-52,843,000","-37,256,000",-,"-37,256,000","-5,452,000",-,"-5,452,000","6,227,000","6,227,000",0,"-1,253,000","-428,000",-,-,"20,900,000","-10,153,000","-1,055,000","32,108,000",-,"4,978,000","12,031,000","-3,198,000","6,227,000","44,619,000","-52,843,000","-5,452,000","36,539,000"
9,12/31/2014,"45,434,000","45,434,000","7,315,000","-144,000","-570,000","3,589,000","3,589,000","3,014,000","3,014,000","5,579,000",-,"6,828,000","19,253,000","-4,272,000","-1,144,000","709,000","4,544,000","15,144,000","29,491,000","29,491,000","-3,386,000","14,467,000","40,916,000","-29,051,000","-258,992,000","229,941,000","5,922,000","5,922,000",-,"623,000","623,000",-,-,-,-,"-70,270,000","-70,270,000","-30,074,000","6,814,000","7,913,000","66,836,000","-58,923,000","-1,099,000",-,"-1,099,000","-1,232,000",-,"-1,232,000","3,699,000","3,699,000",0,"-633,000","-508,000",0,-,"32,108,000","4,655,000","-2,432,000","29,885,000",-,"4,632,000","12,868,000","-3,386,000","3,699,000","66,836,000","-58,923,000","-1,232,000","42,048,000"
