,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Cash from Discontinued Operating Activities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Cash from Discontinued Investing Activities,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Net Other Financing Charges,Cash from Discontinued Financing Activities,Cash Flow from Discontinued Operation,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"25,069,000","25,069,000","15,076,000","-330,000","-67,000","4,262,000","4,262,000","-1,141,000","-1,141,000","-17,922,000","535,000","5,036,000","19,553,000",-,"4,421,000","-4,992,000","5,343,000","14,781,000",-,"-79,455,000","-79,455,000","-5,632,000","-38,113,000",-,"-28,841,000","-261,650,000","232,809,000","-11,882,000","4,709,000","-16,591,000","63,000","63,000","5,741,000",-,"5,741,000","-791,000",-,"137,763,000","137,763,000","11,159,000","66,786,000","47,663,000","104,748,000","-57,085,000","19,123,000",-,-,"-3,250,000","-3,250,000",0,0,0,"-5,003,000","-344,000",-,-,"342,025,000","83,377,000","-3,385,000","262,033,000",-,"3,733,000","22,615,000","-5,632,000",0,"104,748,000","-57,085,000","-3,250,000","19,437,000"
1,3/31/2023,"-30,485,000","-30,485,000","4,607,000","-1,045,000","-72,000","1,111,000","1,111,000","-28,000","-28,000","2,978,000",0,"1,975,000","-40,083,000",-,"-1,066,000","-3,608,000","-6,132,000","-29,277,000",-,"-3,073,000","-3,073,000","-1,634,000","-18,797,000",-,"18,291,000","-53,339,000","71,630,000","3,905,000","3,905,000",-,"6,000","6,000","-29,000","-29,000",-,"-4,815,000",-,"15,766,000","15,766,000","55,237,000","-3,639,000","3,270,000","15,741,000","-12,471,000","-6,909,000",-,"-6,909,000",0,0,"1,245,000","1,245,000",0,"-1,267,000","-315,000",-,-,"323,959,000","-17,792,000","-274,000","342,025,000",-,"1,593,000","14,358,000","-1,634,000","1,245,000","15,741,000","-19,380,000",0,"-32,119,000"
2,12/31/2022,"29,239,000","29,239,000","2,515,000","83,000","7,000","1,108,000","1,108,000","-565,000","-565,000","16,393,000",0,"1,820,000","7,885,000",-,"922,000","-2,238,000","4,040,000","5,161,000",-,"-52,633,000","-52,633,000","-1,965,000","-16,187,000",-,"-27,565,000","-45,056,000","17,491,000","-9,171,000","1,632,000","-10,803,000","17,000","17,000","2,499,000",-,"2,499,000","-261,000",-,"66,195,000","66,195,000","-985,000","8,943,000","9,215,000","19,289,000","-10,074,000","-272,000",-,-,0,0,0,0,0,"-1,226,000","-5,000",-,-,"342,025,000","42,801,000","-383,000","299,607,000",-,"1,049,000","10,058,000","-1,965,000",0,"19,289,000","-10,074,000",0,"27,274,000"
3,9/30/2022,"-901,000","-901,000","3,485,000","-577,000","-52,000","1,065,000","1,065,000",-,-,"562,000",0,"1,257,000","-6,117,000",-,"-1,005,000","696,000","3,420,000","-9,228,000",-,"16,479,000","16,479,000","-1,202,000","12,120,000",-,"-6,075,000","-58,749,000","52,674,000","10,517,000","1,515,000","9,002,000","15,000","15,000","1,302,000",-,"1,302,000","-198,000",-,"1,123,000","1,123,000","4,957,000","13,897,000","6,583,000","25,155,000","-18,572,000","7,314,000",-,-,"-50,000","-50,000",0,0,0,"-1,263,000","-5,000",-,-,"299,607,000","16,701,000","-1,124,000","284,030,000",-,"1,023,000","6,273,000","-1,202,000",0,"25,155,000","-18,572,000","-50,000","-2,103,000"
4,6/30/2022,"10,275,000","10,275,000","4,768,000","36,000","58,000","1,074,000","1,074,000",-,-,"-23,104,000",0,"1,225,000","26,276,000",-,"1,281,000","4,047,000","-2,427,000","23,375,000",-,"-8,778,000","-8,778,000","-1,236,000","-15,924,000",-,"11,128,000","-63,324,000","74,452,000","-4,261,000","886,000","-5,147,000","16,000","16,000",-,-,-,"-441,000",-,"12,091,000","12,091,000","-6,022,000","29,168,000","19,258,000","30,636,000","-11,378,000","9,910,000",-,-,"-367,000","-367,000",0,0,0,"-1,228,000","-4,000",-,-,"284,030,000","13,588,000","-1,645,000","272,087,000",-,"1,030,000","3,502,000","-1,236,000",0,"30,636,000","-11,378,000","-367,000","9,039,000"
5,3/31/2022,"-13,544,000","-13,544,000","4,308,000","128,000","-80,000","1,015,000","1,015,000",-,-,"-11,773,000","535,000","734,000","-8,491,000",-,"3,223,000","-7,497,000","310,000","-4,527,000",-,"-34,523,000","-34,523,000","-1,229,000","-18,122,000",-,"-6,329,000","-94,521,000","88,192,000","-8,967,000","676,000","-9,643,000","15,000","15,000",-,-,-,"109,000",-,"58,354,000","58,354,000","13,209,000","14,778,000","12,607,000","29,668,000","-17,061,000","2,171,000",-,-,"-2,833,000","-2,833,000",0,0,0,"-1,286,000","-330,000",-,-,"272,087,000","10,287,000","-233,000","262,033,000",-,"631,000","2,782,000","-1,229,000",0,"29,668,000","-17,061,000","-2,833,000","-14,773,000"
6,12/31/2021,"2,064,000","2,064,000","3,173,000","104,000","-10,000","985,000","985,000",-,-,"874,000",-,"-503,000","-3,982,000",-,"-741,000","-358,000","-2,150,000","-733,000",-,"-12,836,000","-12,836,000","-1,308,000","10,408,000",-,"-16,020,000","-81,284,000","65,264,000","-6,002,000","1,784,000","-7,786,000","47,000","47,000",-,-,-,"39,000",-,"-50,594,000","-50,594,000","-17,899,000","-3,491,000","-1,781,000","16,697,000","-18,478,000","-1,710,000",-,-,"-153,000","-153,000","1,000,000","1,000,000",0,"-1,239,000","-9,000",-,-,"262,033,000","-61,366,000","-409,000","323,808,000",-,"965,000","249,000","-1,308,000","1,000,000","16,697,000","-18,478,000","-153,000","756,000"
7,9/30/2021,"35,622,000","35,622,000","4,645,000","593,000","-117,000","1,035,000","1,035,000",-,-,"-12,093,000",-,"-201,000","41,643,000",-,"146,000","479,000","5,689,000","35,329,000",-,"-33,958,000","-33,958,000","-1,040,000","-28,649,000",-,"-14,415,000","-76,307,000","61,892,000","9,966,000","265,000","9,701,000","115,000","115,000",-,-,-,"65,000",-,"23,252,000","23,252,000","-12,633,000","-3,907,000","-2,128,000","12,450,000","-14,578,000","-1,779,000",-,-,"-3,067,000","-3,067,000",0,0,0,"-1,296,000","-4,000",-,-,"323,808,000","24,916,000","-346,000","299,238,000",-,"887,000","2,349,000","-1,040,000",0,"12,450,000","-14,578,000","-3,067,000","34,582,000"
8,6/30/2021,"365,000","365,000","6,183,000","-124,000","-137,000","982,000","982,000",-,-,"17,687,000",-,"-1,082,000","-23,281,000",-,"-4,775,000","-1,877,000","253,000","-16,882,000",-,"-37,177,000","-37,177,000","-941,000","6,025,000",-,"-29,845,000","-90,380,000","60,535,000","-12,475,000","-9,387,000",-,"18,000","18,000",-,-,-,"41,000",-,"11,359,000","11,359,000","2,649,000","5,908,000","6,533,000","25,995,000","-19,462,000","-625,000",-,-,"-2,900,000","-2,900,000","-2,285,000",0,"-2,285,000","-1,307,000","-12,000",-,-,"299,238,000","-25,453,000","9,000","324,682,000",-,"1,226,000","2,816,000","-941,000",0,"25,995,000","-19,462,000","-5,185,000","-576,000"
9,3/31/2021,"23,198,000","23,198,000","7,944,000","-332,000","-401,000","962,000","962,000",-,-,"-7,755,000",-,"-2,105,000","24,484,000",-,"1,561,000","-383,000","3,047,000","20,259,000",-,"-40,934,000","-40,934,000","-830,000","-20,360,000",-,"-30,050,000","-111,187,000","81,137,000","10,256,000","10,256,000",-,"10,000","10,000",-,-,-,"40,000",-,"33,255,000","33,255,000","19,643,000","-4,343,000","-6,916,000","15,516,000","-22,432,000","2,573,000",-,-,"-1,481,000","-1,481,000","800,000","2,300,000","-1,500,000","-1,356,000","-312,000",-,-,"324,682,000","15,519,000","-452,000","309,615,000",-,"950,000","1,729,000","-830,000","2,300,000","15,516,000","-22,432,000","-2,981,000","22,368,000"
10,12/31/2020,"1,633,000","1,633,000","3,973,000","-261,000","-272,000","1,051,000","1,051,000",-,-,"1,318,000",-,"325,000","-2,440,000","2,960,000","-86,000","-1,097,000","1,628,000","-2,885,000",-,"-12,112,000","-12,112,000","-1,146,000","-5,354,000",-,"2,985,000","-58,816,000","61,801,000","-8,668,000","-8,668,000",-,"25,000","25,000",-,-,-,"46,000",-,"-2,437,000","-2,437,000","-7,702,000","-12,947,000","-5,022,000","10,859,000","-15,881,000","-7,925,000",-,-,0,0,"1,495,000","1,495,000",0,"-1,328,000","-3,000",-,-,"309,615,000","-12,916,000","-1,164,000","323,695,000",-,"960,000","1,796,000","-1,146,000","1,495,000","10,859,000","-15,881,000",0,"487,000"
11,9/30/2020,"-3,046,000","-3,046,000","3,237,000","-274,000","-304,000","1,033,000","1,033,000",-,-,"-12,171,000",-,"2,233,000","2,896,000","-6,216,000","2,488,000","-1,500,000","-3,690,000","5,598,000",-,"8,489,000","8,489,000","-982,000","-6,441,000",-,"230,000","-68,383,000","68,613,000","15,643,000","15,643,000",-,"13,000","13,000",-,-,-,"26,000",-,"8,309,000","8,309,000","-8,495,000","-10,813,000","-8,096,000","7,128,000","-15,224,000","-2,717,000",-,-,0,0,0,0,0,"-1,345,000","-1,000",-,-,"323,695,000","13,752,000","170,000","309,773,000",-,"1,294,000","2,751,000","-982,000",0,"7,128,000","-15,224,000",0,"-4,028,000"
12,6/30/2020,"6,325,000","6,325,000","1,317,000","-679,000","-748,000","926,000","926,000",-,-,"87,000",-,"7,809,000","-3,135,000","3,121,000","193,000","4,595,000","1,015,000","-8,938,000",-,"-18,832,000","-18,832,000","-858,000","-20,381,000",-,"-32,545,000","-99,043,000","66,498,000","34,916,000","8,173,000",-,"10,000","10,000",-,-,-,"26,000",-,"36,365,000","36,365,000","-6,602,000","-4,467,000","10,328,000","29,544,000","-19,216,000","-14,795,000",-,-,0,0,0,0,0,"-1,314,000","-1,000",-,-,"309,773,000","23,858,000","-5,000","285,920,000",-,"1,102,000","3,327,000","-858,000",0,"29,544,000","-19,216,000",0,"5,467,000"
13,3/31/2020,"-25,533,000","-25,533,000","2,540,000","-377,000","-432,000","927,000","927,000",-,-,"14,879,000",-,"7,001,000","-50,503,000","-2,931,000","-1,393,000","-3,010,000","1,605,000","-47,705,000",-,"-72,857,000","-72,857,000","-460,000","-11,214,000",-,"-35,056,000","-108,658,000","73,602,000","-26,147,000","596,000","-26,743,000","2,000","2,000",-,-,-,"18,000",-,"191,358,000","191,358,000","55,985,000","25,748,000","15,846,000","28,927,000","-13,081,000","9,902,000",-,-,"-2,925,000","-2,925,000",0,"1,500,000","-1,500,000","-1,365,000","-406,000",-,-,"285,920,000","92,968,000","-967,000","193,919,000",-,"1,441,000","5,424,000","-460,000","1,500,000","28,927,000","-13,081,000","-4,425,000","-25,993,000"
14,12/31/2019,"22,521,000","22,521,000","4,983,000","-511,000","-515,000","1,039,000","1,039,000",-,-,"785,000",-,"2,123,000","14,712,000","-383,000","-1,196,000","1,858,000","-531,000","14,581,000",-,"-11,282,000","-11,282,000","-976,000","9,803,000",-,"-9,590,000","-77,758,000","68,168,000","-10,787,000","161,000","-10,948,000","177,000","177,000",0,-,0,"91,000",-,"-38,218,000","-38,218,000","-28,708,000","15,648,000","5,829,000","18,960,000","-13,131,000","9,819,000",-,-,"-5,076,000","-5,076,000","-1,500,000",0,"-1,500,000","-1,399,000","-4,000",-,-,"193,919,000","-26,979,000","455,000","220,443,000",-,"1,153,000","6,339,000","-976,000",0,"18,960,000","-13,131,000","-6,576,000","21,545,000"
15,9/30/2019,"2,398,000","2,398,000","4,928,000","-346,000","-361,000","983,000","983,000",-,-,"2,704,000",-,"2,062,000","-7,933,000","-10,685,000","-742,000","8,308,000","-4,102,000","-11,397,000",-,"-17,390,000","-17,390,000","-1,011,000","-1,356,000",-,"-11,824,000","-78,601,000","66,777,000","-3,247,000","468,000","-3,715,000","14,000","14,000",-,-,-,"34,000",-,"32,839,000","32,839,000","13,914,000","-18,357,000","-11,145,000","8,325,000","-19,470,000","-7,212,000",-,-,"-4,977,000","-4,977,000","1,496,000",-,0,"-1,398,000","-1,000",-,-,"220,443,000","17,847,000","-647,000","203,243,000",-,"921,000","8,343,000","-1,011,000",-,"8,325,000","-19,470,000","-4,977,000","1,387,000"
16,6/30/2019,"-140,000","-140,000","4,782,000","-463,000","-468,000","952,000","952,000",-,-,"10,305,000",-,"2,089,000","-17,805,000","1,656,000","-410,000","-2,481,000","3,877,000","-18,791,000",-,"-10,745,000","-10,745,000","-2,831,000","4,726,000",-,"-5,979,000","-48,459,000","42,480,000","-6,724,000","187,000","-6,911,000","30,000","30,000",-,-,-,"33,000",-,"8,775,000","8,775,000","-9,239,000","7,557,000","4,437,000","16,297,000","-11,860,000","3,120,000","3,120,000",-,"-3,463,000","-3,463,000",0,-,0,"-1,330,000","-1,000",-,-,"203,243,000","-2,110,000","-540,000","205,893,000",-,"1,489,000","7,069,000","-2,831,000",-,"16,297,000","-11,860,000","-3,463,000","-2,971,000"
17,3/31/2019,"-37,616,000","-37,616,000","4,712,000","-122,000","-130,000","931,000","931,000",-,-,"3,161,000",-,"1,944,000","-48,242,000","-10,965,000","1,439,000","-2,961,000","2,585,000","-49,305,000",-,"16,043,000","16,043,000","-518,000","6,189,000",-,"9,126,000","-69,673,000","78,799,000","1,170,000","2,062,000","-892,000","38,000","38,000",-,-,-,"38,000",-,"39,537,000","39,537,000","12,604,000","15,960,000","8,984,000","15,552,000","-6,568,000","6,976,000","6,976,000",-,"-4,055,000","-4,055,000","-480,000",-,"-480,000","-1,320,000","-358,000",-,-,"205,893,000","17,964,000","-176,000","188,105,000",-,"1,325,000","6,931,000","-518,000",-,"15,552,000","-6,568,000","-4,535,000","-38,134,000"
18,12/31/2018,"6,886,000","6,886,000","4,321,000","-61,000","-80,000","954,000","954,000",-,-,"3,132,000",-,"1,850,000","-3,259,000","-3,546,000","-610,000","2,905,000","-23,000","-5,531,000",-,"-16,555,000","-16,555,000","-1,092,000","10,256,000",-,"-13,448,000","-57,933,000","44,485,000","-12,343,000","528,000","-12,871,000","38,000","38,000",0,-,0,"34,000",-,"-1,448,000","-1,448,000","1,853,000","-4,728,000","-3,303,000","7,628,000","-10,931,000","-1,425,000",-,"-1,425,000","-4,585,000","-4,585,000","-575,000",-,"-575,000","-1,404,000","-3,000",-,-,"188,105,000","-11,117,000","-64,000","199,286,000",-,"1,052,000","6,685,000","-1,092,000",-,"7,628,000","-10,931,000","-5,160,000","5,794,000"
19,9/30/2018,"21,747,000","21,747,000","4,630,000","-246,000","-69,000","945,000","945,000",-,-,"-238,000",-,"1,906,000","14,750,000","1,972,000","1,527,000","-2,897,000","1,837,000","14,283,000",-,"-19,934,000","-19,934,000","-992,000","-15,414,000",-,"1,273,000","-43,183,000","44,456,000","-5,195,000","804,000","-5,999,000","31,000","31,000",-,-,-,"49,000",-,"-3,323,000","-3,323,000","-1,913,000","-3,306,000","156,000","12,270,000","-12,114,000","-3,462,000",-,"-3,462,000","-5,162,000","-5,162,000",0,-,0,"-1,384,000","-4,000",-,-,"199,286,000","-1,510,000","-106,000","200,902,000",-,"1,022,000","6,321,000","-992,000",-,"12,270,000","-12,114,000","-5,162,000","20,755,000"
20,6/30/2018,"1,363,000","1,363,000","4,475,000","-87,000","-102,000","929,000","929,000",-,-,"-7,618,000",-,"1,795,000","1,869,000","7,582,000","-1,774,000","-2,296,000","-4,246,000","10,185,000",-,"-4,505,000","-4,505,000","-721,000","-7,639,000",-,"3,616,000","-44,841,000","48,457,000","148,000","1,563,000","-1,415,000","42,000","42,000",-,-,-,"49,000",-,"1,936,000","1,936,000","6,069,000","3,922,000","2,783,000","19,988,000","-17,205,000","1,139,000",-,"1,139,000","-2,308,000","-2,308,000","-121,000",-,"-121,000","-1,137,000",0,-,-,"200,902,000","-1,206,000","-596,000","202,704,000",-,"1,501,000","5,371,000","-721,000",-,"19,988,000","-17,205,000","-2,429,000","642,000"
21,3/31/2018,"6,956,000","6,956,000","4,627,000","-142,000","-170,000","926,000","926,000",-,-,"-2,835,000",-,"1,803,000","2,577,000","155,000","1,627,000","-3,503,000","1,561,000","2,892,000",-,"-32,124,000","-32,124,000","-969,000","-25,409,000",-,"1,167,000","-41,030,000","42,197,000","-7,063,000","1,654,000","-8,717,000","101,000","101,000",0,-,0,"49,000",-,"47,363,000","47,363,000","15,482,000","-5,471,000","2,887,000","20,769,000","-17,882,000","-8,358,000",-,"-8,358,000","-2,378,000","-2,378,000","-97,000",-,"-97,000","-1,095,000","-475,000",-,-,"202,704,000","22,195,000","-7,000","180,516,000",-,"738,000","4,586,000","-969,000",-,"20,769,000","-17,882,000","-2,475,000","5,987,000"
