,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Equipment,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Restructuring & Mergers Acquisition,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"75,305,000","48,668,000","74,408,000","41,242,000","41,242,000","18,632,000","4,515,000","7,154,000","2,865,000","25,740,000","11,559,000","2,488,000","5,801,000","4,455,000","1,437,000","26,637,000","91,000","12,959,000","12,959,000","3,784,000",-,"2,546,000","-242,000","9,175,000",-,-,"3,084,000","14,159,000","6,593,000","-460,000","-460,000",-,"-21,000","-5,112,000","51,386,000","2,320,000","2,329,000","28,305,000","26,749,000","26,655,000","94,000",-,"1,556,000","20,761,000",-,-,"18,807,000","3,642,000","13,700,000","14,845,000","14,934,000","15,165,000","-231,000",-,-,"-89,000","1,032,000","41,000","13,741,000",-,-,-,-,"43,556,000","14,845,000","15,076,000","11,669,000","4,262,000","15,076,000","1,059,000","1,059,000",0,0
1,12/31/2022,"75,305,000","48,668,000","74,408,000","41,242,000","41,242,000","18,632,000","4,515,000","7,154,000","2,865,000","25,740,000","11,559,000","2,488,000","5,801,000","4,455,000","1,437,000","26,637,000","91,000","12,959,000","12,959,000","3,784,000",-,"2,546,000","-242,000","9,175,000",-,-,"3,084,000","14,159,000","6,593,000","-460,000","-460,000",-,"-21,000","-5,112,000","51,386,000","2,320,000",-,"28,305,000","26,749,000","26,655,000","94,000",-,"1,556,000","20,761,000",-,-,"18,807,000","3,642,000","13,700,000","14,845,000","14,934,000","15,165,000","-231,000",-,-,"-89,000","1,032,000","41,000","13,741,000",7.04,7.00,"1,946,700","1,964,300","43,556,000","14,845,000","15,076,000","11,669,000","4,262,000","15,076,000",-,-,0,0
2,12/31/2021,"71,887,000","42,494,000","50,475,000","35,440,000","35,440,000","12,753,000","577,000","1,052,000","653,000","7,981,000","2,896,000","121,000","3,470,000","1,012,000","482,000","29,393,000","94,000","17,615,000","17,615,000","3,943,000","3,943,000","3,236,000","281,000","13,672,000",-,-,"6,007,000","10,154,000","3,886,000","459,000","459,000",-,"1,165,000","3,891,000","48,309,000","2,314,000",-,"26,740,000","25,250,000","25,134,000","116,000","7,828,000","1,490,000","19,255,000",-,-,"27,469,000","5,451,000","21,952,000","21,952,000","22,025,000","22,018,000","7,000",-,-,"-73,000","1,040,000","31,000","21,952,000",10.21,10.14,"2,033,000","2,049,400","46,385,000","21,952,000","21,945,000","1,629,000","3,964,000","21,945,000",-,-,0,0
3,12/31/2020,"74,291,000","43,548,000","58,089,000","40,185,000","40,185,000","13,980,000","928,000","2,283,000","579,000","14,541,000","5,334,000","630,000","4,669,000","2,077,000","628,000","30,743,000","125,000","14,857,000","14,857,000","3,472,000","3,472,000","2,960,000","-20,000","11,385,000","8,673,000","134,000","4,483,000","13,885,000","4,158,000","1,581,000","1,581,000",-,"420,000","-17,375,000","42,894,000","2,333,000",-,"23,544,000","22,327,000","22,214,000","113,000","7,383,000","1,217,000","17,017,000",-,-,"14,022,000","2,592,000","11,370,000","11,370,000","11,410,000","11,430,000","-20,000",-,-,"-40,000","1,095,000","30,000","11,370,000",4.74,4.72,"2,085,800","2,099,000","26,173,000","11,370,000","11,390,000","3,211,000","3,937,000","11,390,000",-,-,0,0
4,12/31/2019,"74,286,000","47,347,000","76,510,000","47,751,000","47,751,000","17,345,000","2,682,000","6,872,000","1,673,000","29,163,000","11,852,000","2,465,000","6,494,000","6,263,000","1,308,000","26,939,000","186,000","15,157,000","15,157,000","3,411,000","3,411,000","2,612,000","1,047,000","11,746,000","9,574,000","187,000","3,767,000","8,892,000","1,650,000","1,442,000","1,442,000",-,"1,448,000","-8,310,000","42,075,000","2,328,000","2,328,000","23,022,000","21,506,000","21,433,000","73,000","7,077,000","1,516,000","16,725,000",-,-,"23,901,000","4,430,000","19,401,000","19,401,000","19,467,000","19,471,000","-4,000",-,-,"-66,000","1,109,000","33,000","19,401,000",8.08,8.04,"2,249,200","2,265,300","39,037,000","19,401,000","19,405,000","9,554,000","3,905,000","19,405,000",-,-,0,0
5,12/31/2018,"72,854,000","46,562,000","70,828,000","45,682,000","45,682,000","15,509,000","2,203,000","5,492,000","1,673,000","24,266,000","8,434,000","2,209,000","6,551,000","4,889,000","1,001,000","26,292,000","119,000","15,437,000","15,437,000","3,580,000","3,580,000","2,792,000","1,133,000","11,857,000","8,769,000","269,000","3,568,000","9,062,000","1,423,000","289,000","289,000",-,"1,504,000","-7,467,000","41,942,000","2,324,000","2,324,000","22,800,000","21,255,000","21,154,000","101,000","7,193,000","1,545,000","16,818,000",-,-,"23,445,000","5,357,000","18,045,000","18,045,000","18,080,000","18,088,000","-8,000",-,-,"-35,000","1,173,000",-,"18,045,000",6.69,6.68,"2,493,300","2,494,800","39,095,000","18,045,000","18,053,000","7,695,000","3,754,000","18,053,000",-,-,0,0
6,12/31/2017,"71,449,000","44,687,000","61,204,000","41,361,000","41,361,000","13,575,000","1,635,000","3,248,000","1,163,000","16,517,000","5,337,000","1,059,000","5,573,000","2,661,000","638,000","26,762,000","122,000","16,018,000","16,018,000","3,079,000","3,079,000",-,"1,510,000","12,939,000",-,"222,000","3,613,000","9,168,000","2,488,000","715,000","715,000",-,"861,000","-7,342,000","41,346,000","2,453,000","2,453,000","22,898,000","21,290,000","21,181,000","109,000","6,891,000","1,608,000","15,995,000",-,-,"22,761,000","28,794,000","-6,204,000","-6,204,000","-6,144,000","-6,033,000","-111,000",-,-,"-60,000","1,213,000",0,"-6,204,000",-2.98,-2.98,"2,698,500","2,698,500","37,345,000","-6,204,000","-6,093,000","4,883,000","3,659,000","-6,093,000",-,-,0,0
7,12/31/2016,"69,875,000","45,104,000","57,615,000","39,752,000","39,752,000","13,145,000","971,000","2,543,000","1,029,000","12,511,000","4,155,000","477,000","4,412,000","1,912,000","410,000","24,771,000","836,000","13,885,000","13,885,000","3,364,000","3,364,000",-,"1,324,000","10,521,000",-,"175,000","2,847,000","7,585,000","1,726,000","328,000","328,000",-,"2,137,000","-6,778,000","41,620,000","2,542,000","2,542,000","22,806,000","21,174,000","20,970,000","204,000","6,685,000","1,632,000","16,272,000",-,-,"21,477,000","6,444,000","14,912,000","14,912,000","14,975,000","15,033,000","-58,000",-,-,"-63,000","1,077,000",0,"14,912,000",4.72,4.72,"2,888,100","2,888,300","38,326,000","14,912,000","14,970,000","3,514,000","3,720,000","14,970,000",-,-,0,0
8,12/31/2015,"76,354,000","46,630,000","58,551,000","40,510,000","40,510,000","12,571,000","727,000","2,516,000","1,839,000","11,921,000","3,934,000","522,000","4,517,000","1,614,000","216,000","29,724,000","1,845,000","15,496,000","15,496,000","3,648,000","3,648,000",-,"1,786,000","11,848,000",-,"388,000","3,423,000","6,008,000","1,532,000","417,000","417,000",-,"5,958,000","-7,182,000","44,346,000","2,878,000","2,878,000","24,047,000","22,500,000","21,769,000","731,000","6,581,000","1,547,000","17,421,000",-,-,"24,826,000","7,440,000","17,242,000","17,242,000","17,332,000","17,386,000","-54,000",-,-,"-90,000","769,000",0,"17,242,000",5.41,5.40,"3,004,000","3,007,700","39,448,000","17,242,000","17,296,000","3,243,000","3,506,000","17,296,000",-,-,0,0
9,12/31/2014,"76,882,000","47,993,000","61,683,000","44,776,000","44,776,000","12,630,000","959,000","2,366,000","507,000","13,690,000","4,654,000","580,000","5,355,000","1,895,000","168,000","28,889,000","2,110,000","17,045,000","17,045,000","4,013,000","4,013,000",-,"2,227,000","13,032,000",-,"445,000","3,687,000","6,698,000","2,008,000","146,000","146,000",-,"2,890,000","-6,666,000","55,852,000","3,178,000","3,178,000","26,604,000","24,760,000","23,959,000","801,000","6,436,000","1,844,000","26,070,000",-,-,"14,364,000","6,864,000","7,313,000","7,313,000","7,498,000","7,500,000","-2,000",-,-,"-185,000","511,000",0,"7,313,000",2.21,2.20,"3,031,600","3,037,000","41,327,000","7,313,000","7,315,000","3,325,000","3,589,000","7,315,000",-,-,0,0
