,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Equipment,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"75,305,000","48,668,000","74,408,000","41,242,000","41,242,000","18,632,000","4,515,000","7,154,000","2,865,000","25,740,000","11,559,000","2,488,000","5,801,000","4,455,000","1,437,000","26,637,000","91,000","12,959,000","12,959,000","3,784,000",-,"2,546,000","-242,000","9,175,000",-,-,"3,084,000","14,159,000","6,593,000","-460,000","-460,000",-,"-21,000","-5,112,000","51,386,000","2,320,000","2,329,000","28,305,000","26,749,000","26,655,000","94,000",-,"1,556,000","20,761,000",-,-,-,-,-,-,-,"18,807,000","3,642,000","13,700,000","14,845,000","14,934,000","15,165,000","-231,000",-,"-89,000","1,032,000","41,000","13,741,000",-,-,-,-,"43,556,000","14,845,000","15,076,000","11,669,000","4,262,000","15,076,000","1,059,000","1,059,000",0,0
1,3/31/2023,"20,405,000","13,348,000","29,395,000","13,283,000","13,283,000","6,891,000","3,031,000","5,174,000","1,016,000","16,047,000","7,708,000","1,649,000","2,337,000","3,566,000","787,000","7,057,000","22,000","3,262,000","3,262,000","896,000",-,"637,000","39,000","2,366,000",-,-,"726,000","3,939,000","1,493,000","2,000","2,000",-,"-146,000","-1,968,000","13,313,000","598,000",-,"7,893,000","7,562,000","7,538,000","24,000",-,"331,000","4,822,000","1,059,000","1,059,000",-,-,-,-,-,"6,183,000","1,531,000","4,606,000","4,606,000","4,651,000","4,652,000","-1,000",-,"-45,000","277,000","11,000","4,606,000",2.21,2.19,"1,943,500","1,964,100","11,380,000","4,606,000","3,812,750","8,205,000","1,111,000","4,607,000","1,059,000","1,059,000",0,"264,750"
2,12/31/2022,"18,001,000","13,270,000","25,708,000","12,249,000","12,249,000","6,425,000","2,343,000","3,779,000","912,000","12,438,000","5,998,000","1,420,000","2,072,000","2,267,000","681,000","4,731,000","19,000","2,896,000","2,896,000","880,000",-,"547,000","-46,000","2,016,000",-,-,"607,000","2,419,000","1,853,000","-236,000","-236,000",-,"-348,000","-1,820,000","13,005,000","601,000",-,"7,062,000","6,638,000","6,618,000","20,000",-,"424,000","5,342,000",-,-,-,-,-,-,-,"3,176,000","640,000","2,251,000","2,513,000","2,534,000","2,536,000","-2,000",-,"-21,000","238,000","11,000","2,262,000",1.16,1.16,"1,936,900","1,955,900","11,450,000","2,513,000","2,515,000","6,122,000","1,108,000","2,515,000",-,-,0,0
3,9/30/2022,"18,498,000","12,563,000","19,919,000","10,783,000","10,783,000","4,982,000","1,218,000","2,176,000","760,000","7,356,000","3,270,000","745,000","1,618,000","1,251,000","472,000","5,935,000","23,000","3,054,000","3,054,000","915,000",-,"571,000","-70,000","2,139,000",-,-,"725,000","2,625,000","1,554,000","-44,000","-44,000",-,"300,000","-1,330,000","12,774,000","557,000",-,"7,177,000","6,770,000","6,745,000","25,000",-,"407,000","5,040,000",-,-,-,-,-,-,-,"4,394,000","879,000","3,479,000","3,479,000","3,509,000","3,515,000","-6,000",-,"-30,000","277,000","11,000","3,479,000",1.64,1.63,"1,936,800","1,955,100","11,233,000","3,479,000","3,485,000","3,394,000","1,065,000","3,485,000",-,-,0,0
4,6/30/2022,"19,618,000","11,964,000","15,630,000","9,495,000","9,495,000","4,029,000","658,000","805,000","643,000","3,666,000","1,420,000","268,000","1,186,000","655,000","137,000","7,654,000","23,000","3,475,000","3,475,000","1,023,000",-,"659,000","-50,000","2,452,000",-,-,"845,000","4,525,000","1,639,000","-172,000","-172,000",-,"-174,000","-1,232,000","12,415,000","619,000",-,"6,908,000","6,494,000","6,472,000","22,000",-,"414,000","4,888,000",-,-,-,-,-,-,-,"5,971,000","1,182,000","4,547,000","4,547,000","4,568,000","4,789,000","-221,000",-,"-21,000","238,000","11,000","4,547,000",2.20,2.19,"1,941,500","1,958,100","10,732,000","4,547,000","4,768,000","1,463,000","1,074,000","4,768,000",-,-,0,0
5,3/31/2022,"19,188,000","10,871,000","13,151,000","8,716,000","8,716,000","3,196,000","296,000","394,000","549,000","2,280,000","871,000","55,000","925,000","282,000","147,000","8,317,000","26,000","3,534,000","3,534,000","966,000",-,"767,000","-75,000","2,568,000",-,-,"908,000","4,590,000","1,547,000","-8,000","-8,000",-,"201,000","-730,000","13,192,000","543,000",-,"7,158,000","6,847,000","6,820,000","27,000",-,"311,000","5,491,000",-,-,-,-,-,-,-,"5,266,000","941,000","4,306,000","4,306,000","4,323,000","4,325,000","-2,000",-,"-17,000","279,000","8,000","4,306,000",2.03,2.02,"1,971,700","1,988,200","10,141,000","4,306,000","4,308,000","690,000","1,015,000","4,308,000",-,-,0,0
6,12/31/2021,"17,003,000","10,819,000","12,828,000","8,924,000","8,924,000","3,207,000","159,000","289,000","249,000","2,009,000","-134,000","51,000","856,000","212,000","112,000","6,184,000","19,000","4,182,000","4,182,000","953,000","953,000","700,000","21,000","3,229,000",-,-,"1,504,000","1,704,000","1,035,000","-100,000","-100,000",-,"398,000","506,000","13,559,000","620,000",-,"7,598,000","7,120,000","7,093,000","27,000","2,084,000","478,000","5,341,000",-,-,-,-,-,-,-,"3,950,000","771,000","3,173,000","3,173,000","3,179,000","3,179,000",0,-,"-6,000","229,000","8,000","3,173,000",1.60,1.46,"1,984,300","2,001,600","11,325,000","3,173,000","3,173,000","448,000","985,000","3,173,000",-,-,0,0
7,9/30/2021,"17,164,000","10,398,000","12,650,000","8,874,000","8,874,000","3,169,000","147,000","264,000","196,000","2,252,000","1,023,000","8,000","828,000","287,000","106,000","6,766,000","25,000","4,406,000","4,406,000","1,007,000","1,007,000","773,000","53,000","3,399,000","2,660,000",-,"1,493,000","2,233,000","924,000","96,000","96,000",-,"31,000","204,000","11,506,000","560,000",-,"6,482,000","6,080,000","6,058,000","22,000","1,997,000","402,000","4,464,000","-680,000","-680,000",-,-,-,-,-,"5,862,000","1,193,000","4,352,000","4,644,000","4,668,000","4,669,000","-1,000",-,"-24,000","266,000","8,000","4,360,000",2.17,2.15,"2,009,300","2,026,200","10,602,000","4,644,000","4,645,000","411,000","1,035,000","4,645,000","-680,000","-680,000",0,0
8,6/30/2021,"17,470,000","10,199,000","12,463,000","8,733,000","8,733,000","3,288,000","126,000","205,000","111,000","2,264,000","955,000","31,000","868,000","260,000","150,000","7,271,000","30,000","4,396,000","4,396,000","1,022,000","1,022,000","821,000","132,000","3,374,000","2,515,000",-,"1,386,000","2,304,000","965,000","120,000","120,000",-,"451,000","1,085,000","11,207,000","558,000",-,"6,337,000","5,997,000","5,982,000","15,000","1,895,000","340,000","4,312,000",-,-,-,-,-,-,-,"7,348,000","1,155,000","6,193,000","6,193,000","6,203,000","6,193,000","10,000",-,"-10,000","253,000","8,000","6,193,000",2.87,2.85,"2,056,500","2,073,000","11,284,000","6,193,000","6,183,000","331,000","982,000","6,183,000",-,-,0,0
9,3/31/2021,"19,338,000","10,166,000","12,534,000","8,909,000","8,909,000","3,089,000","145,000","294,000","97,000","2,368,000","712,000","31,000","918,000","253,000","114,000","9,172,000","20,000","4,631,000","4,631,000","961,000","961,000","942,000","75,000","3,670,000","2,171,000",-,"1,624,000","3,913,000","962,000","343,000","343,000",-,"285,000","2,096,000","11,125,000","576,000",-,"6,323,000","6,053,000","6,001,000","52,000","1,852,000","270,000","4,226,000",-,-,-,-,-,-,-,"10,309,000","2,332,000","7,942,000","7,942,000","7,975,000","7,977,000","-2,000",-,"-33,000","292,000","7,000","7,942,000",3.64,3.62,"2,082,000","2,096,600","12,262,000","7,942,000","7,944,000","439,000","962,000","7,944,000",-,-,0,0
