,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/3/2023Current,87.40B,N/A,6.27,7.32,18.30,1.17,0.47,N/A,N/A
1,3/31/2023,91.27B,N/A,6.59,7.51,18.79,1.22,0.50,N/A,N/A
2,12/31/2022,87.60B,N/A,6.07,6.56,N/A,1.20,0.49,N/A,N/A
3,9/30/2022,80.71B,N/A,5.22,5.89,N/A,1.13,0.45,N/A,N/A
4,6/30/2022,89.07B,N/A,5.39,6.95,N/A,1.30,0.50,N/A,N/A
5,3/31/2022,103.70B,N/A,5.27,7.35,N/A,1.52,0.57,N/A,N/A
6,12/31/2021,119.84B,N/A,5.72,7.65,0.68,1.73,0.66,N/A,N/A
7,9/30/2021,139.26B,N/A,7.20,8.91,1.00,2.04,0.76,N/A,N/A
8,6/30/2021,143.40B,N/A,9.71,8.90,1.24,2.00,0.79,N/A,N/A
9,3/31/2021,150.38B,N/A,15.38,11.12,1.59,2.02,0.84,N/A,N/A
10,12/31/2020,128.38B,N/A,12.04,10.55,N/A,1.69,0.73,N/A,N/A
11,9/30/2020,89.75B,N/A,7.43,7.05,1.68,1.19,0.52,N/A,N/A
12,6/30/2020,106.38B,N/A,7.07,16.81,3.57,1.46,0.61,N/A,N/A
13,3/31/2020,87.69B,N/A,5.24,5.03,0.87,1.27,0.50,N/A,N/A
14,12/31/2019,168.90B,N/A,10.60,9.47,1.09,2.52,0.95,N/A,N/A
15,9/30/2019,150.82B,N/A,9.59,8.22,0.95,2.23,0.84,N/A,N/A
16,6/30/2019,161.94B,N/A,10.18,9.33,0.96,2.32,0.89,N/A,N/A
17,3/31/2019,145.63B,N/A,9.30,8.31,0.86,2.10,0.81,N/A,N/A
18,12/31/2018,123.30B,N/A,N/A,N/A,N/A,1.80,0.69,N/A,N/A
19,9/30/2018,180.54B,N/A,N/A,9.63,1.85,2.53,0.97,N/A,N/A
20,6/30/2018,170.64B,N/A,N/A,10.37,N/A,2.42,0.92,N/A,N/A
21,3/31/2018,172.82B,N/A,N/A,10.64,0.78,2.51,0.95,N/A,N/A
22,12/31/2017,196.74B,N/A,14.34,12.72,0.93,2.83,0.92,N/A,N/A
23,9/30/2017,198.18B,N/A,14.52,12.35,0.85,2.83,0.91,N/A,N/A
24,6/30/2017,182.22B,N/A,13.40,12.94,0.89,2.65,0.87,N/A,N/A
25,3/31/2017,164.70B,N/A,12.62,11.55,2.75,2.43,0.80,N/A,N/A
26,12/31/2016,169.36B,N/A,12.81,11.39,2.71,2.40,0.78,N/A,N/A
27,9/30/2016,134.59B,N/A,9.92,9.24,1.71,1.91,0.63,N/A,N/A
28,6/30/2016,123.16B,N/A,8.44,8.86,1.64,1.68,0.59,N/A,N/A
29,3/31/2016,122.53B,N/A,7.70,7.49,0.31,1.62,0.60,N/A,N/A
30,12/31/2015,152.83B,N/A,11.63,8.93,0.34,2.04,0.74,N/A,N/A
31,9/30/2015,147.79B,N/A,12.50,8.33,0.31,1.94,0.72,N/A,N/A
32,6/30/2015,166.26B,N/A,22.18,9.32,4.66,2.16,0.82,N/A,N/A
33,3/31/2015,156.32B,N/A,23.42,9.21,4.61,2.01,0.78,N/A,N/A
34,12/31/2014,163.62B,N/A,18.99,10.65,4.44,2.11,0.80,N/A,N/A
35,9/30/2014,156.99B,N/A,17.57,9.94,3.01,2.07,0.78,N/A,N/A
36,6/30/2014,142.80B,N/A,11.11,8.88,2.69,1.85,0.71,N/A,N/A
37,3/31/2014,144.60B,N/A,11.17,8.56,0.61,1.87,0.73,N/A,N/A
38,12/31/2013,157.85B,N/A,13.06,10.17,0.72,2.01,0.81,N/A,N/A
39,9/30/2013,147.13B,N/A,15.35,9.11,0.50,1.97,0.77,N/A,N/A
40,6/30/2013,145.97B,N/A,17.26,9.15,0.50,2.00,0.77,N/A,N/A
41,3/31/2013,134.57B,N/A,17.35,8.18,1.15,1.90,0.72,N/A,N/A
42,12/31/2012,119.82B,N/A,15.51,8.70,1.22,1.70,0.64,N/A,N/A
43,9/30/2012,95.95B,N/A,9.48,7.12,0.71,1.27,0.52,N/A,N/A
44,6/30/2012,80.37B,N/A,7.68,5.87,0.59,1.04,0.44,N/A,N/A
45,3/31/2012,107.12B,N/A,10.18,7.75,0.79,1.40,0.60,N/A,N/A
46,12/31/2011,76.92B,N/A,N/A,6.07,0.66,0.98,0.43,N/A,N/A
47,9/30/2011,74.89B,N/A,N/A,5.38,0.58,0.95,0.42,N/A,N/A
48,6/30/2011,121.50B,N/A,12.77,N/A,N/A,1.55,0.69,N/A,N/A
49,3/31/2011,129.09B,N/A,14.26,8.19,3.52,1.61,0.76,N/A,N/A
50,12/31/2010,137.45B,N/A,13.51,10.41,2.40,1.62,0.84,N/A,N/A
51,9/30/2010,113.58B,N/A,N/A,N/A,N/A,1.55,0.70,N/A,N/A
52,6/30/2010,108.95B,N/A,N/A,N/A,N/A,1.23,0.71,N/A,N/A
53,3/31/2010,115.91B,N/A,N/A,N/A,N/A,1.54,0.77,N/A,N/A
54,12/31/2009,94.28B,N/A,N/A,N/A,N/A,0.50,0.62,N/A,N/A
55,9/30/2009,110.66B,N/A,N/A,N/A,N/A,0.45,0.79,N/A,N/A
56,6/30/2009,16.36B,N/A,N/A,N/A,N/A,0.23,0.21,N/A,N/A
57,3/31/2009,13.95B,N/A,N/A,N/A,N/A,0.23,0.20,N/A,N/A
58,12/31/2008,38.06B,N/A,N/A,N/A,N/A,0.74,0.54,N/A,N/A
59,9/30/2008,111.77B,N/A,N/A,N/A,N/A,2.01,1.13,N/A,N/A
60,6/30/2008,91.26B,N/A,N/A,N/A,N/A,1.45,0.84,N/A,N/A
61,3/31/2008,112.45B,N/A,N/A,N/A,N/A,1.59,1.03,N/A,N/A
62,12/31/2007,161.26B,N/A,40.89,N/A,N/A,1.80,1.42,N/A,N/A
63,9/30/2007,232.47B,N/A,10.75,N/A,N/A,2.39,1.83,N/A,N/A
64,6/30/2007,255.14B,N/A,12.36,N/A,N/A,2.75,2.11,N/A,N/A
65,3/31/2007,253.95B,N/A,12.08,N/A,N/A,2.86,2.14,N/A,N/A
66,12/31/2006,273.60B,N/A,13.29,N/A,N/A,3.22,2.34,N/A,N/A
67,9/30/2006,244.06B,N/A,12.11,N/A,N/A,2.90,2.13,N/A,N/A
