,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"226,733,000","10,850,000","10,850,000","10,547,000","303,000",-,-,-,"3,236,000","33,841,000",-,"9,834,000","24,007,000","842,000","154,182,000","156,165,000","982,000","51,836,000","30,518,000","72,829,000",-,"1,983,000","1,479,000",-,"1,479,000","844,000","1,706,000","144,000","879,000","622,000","61,000","-862,000","8,370,000","8,173,000","197,000",-,"13,089,000","203,043,000","180,724,000","131,441,000","131,441,000","49,283,000",-,-,0,-,-,-,"3,000","3,000",-,"3,000","1,909,000","15,887,000","15,887,000","8,519,000",-,-,-,"4,520,000","23,690,000","23,690,000","2,020,000","2,014,000","6,000","9,159,000","22,142,000","5,071,000","-4,560,000","39,577,000","2,014,000","21,676,000","15,320,000","37,566,000","13,306,000","15,890,000","5,040,000","645,220","492,282","30,000","152,938"
1,12/31/2021,"188,409,000","9,474,000","9,474,000","9,158,000","316,000",-,-,-,"2,843,000","28,309,000",-,"2,242,000","26,067,000","1,216,000","128,287,000","130,045,000","3,468,000","44,500,000","32,976,000","49,101,000","450,000","1,758,000","1,586,000","506,000","1,586,000","768,000","1,572,000","101,000","805,000","589,000","77,000","-804,000","7,116,000","7,116,000",-,-,"8,810,000","164,989,000","154,361,000","104,918,000","104,918,000","49,443,000","1,000",-,"1,000",-,-,-,"74,000","74,000",-,"74,000","197,000","6,932,000","6,932,000","19,000",-,-,-,"3,425,000","23,420,000","23,420,000","2,020,000","2,014,000","6,000","7,978,000","19,005,000","4,918,000","-665,000","30,352,000","2,014,000","21,406,000","16,304,000","28,412,000","14,290,000","7,006,000",-,"571,259","422,137","1,200,000","149,122"
2,12/31/2020,"183,349,000","13,039,000","13,039,000","12,733,000","306,000",-,-,-,"1,756,000","26,177,000","22,930,000","3,235,000","22,942,000","1,915,000","122,682,000","125,125,000","4,003,000","44,173,000","30,609,000","46,340,000","449,000","2,443,000","1,968,000","504,000","1,968,000","759,000","1,596,000","102,000","800,000","644,000","50,000","-837,000","7,050,000","7,050,000",-,-,"8,003,000","160,676,000","147,164,000","103,333,000","103,333,000","43,831,000","231,000",-,"231,000",-,-,-,"243,000","243,000",-,"243,000","128,000","8,346,000","8,346,000","19,000","629,000","629,000",-,"4,166,000","22,673,000","22,673,000","1,971,000","1,965,000","6,000","6,445,000","18,940,000","4,623,000","-60,000","31,019,000","1,965,000","20,708,000","15,623,000","29,297,000","13,658,000","8,589,000",-,"569,876","427,210","30,000","142,666"
3,12/31/2019,"165,733,000","3,683,000","3,683,000","3,386,000","297,000",-,-,"799,000","1,725,000","24,669,000","854,000","3,202,000","20,613,000","807,000","118,629,000","119,881,000","3,330,000","41,479,000","29,313,000","45,759,000",-,"1,252,000","2,537,000",-,"2,537,000","761,000","1,853,000","102,000","848,000","535,000","368,000","-1,092,000","7,044,000","7,044,000",-,-,"5,878,000","143,532,000","125,313,000","96,080,000","96,080,000","29,233,000","265,000",-,"265,000",0,0,0,"9,000","9,000",0,"9,000","120,000","14,047,000","14,047,000","5,008,000","866,000","866,000",-,"2,912,000","22,201,000","22,201,000","1,576,000","1,570,000","6,000","6,498,000","18,891,000","4,353,000","-411,000","36,248,000","1,570,000","20,631,000","15,157,000","34,687,000","13,587,000","14,056,000","10,373,000","568,239","433,121","30,000","135,118"
4,12/31/2018,"160,518,000","4,222,000","4,222,000","4,074,000","148,000",-,-,"827,000","1,698,000","25,075,000","1,015,000","4,165,000","19,895,000","317,000","113,835,000","115,077,000","1,320,000","40,857,000","26,613,000","46,287,000",-,"1,242,000","2,903,000",-,"2,903,000","791,000","2,275,000","112,000","852,000","1,019,000","292,000","-1,484,000","6,923,000","6,923,000",-,-,"4,754,000","139,701,000","119,575,000","90,117,000","90,117,000","29,458,000","1,156,000","820,000","336,000",0,0,0,"1,653,000","1,653,000",-,"1,653,000","292,000","14,433,000","14,433,000","7,508,000","573,000","573,000",-,"2,019,000","20,817,000","20,817,000","846,000","840,000","6,000","5,385,000","18,815,000","3,133,000","-1,096,000","35,250,000","840,000","19,977,000","13,894,000","36,063,000","13,054,000","16,086,000","11,864,000","566,820","466,008",-,"100,812"
5,12/31/2017,"152,336,000","3,224,000","3,224,000","3,032,000","192,000",-,-,"715,000","1,656,000","25,733,000","891,000","4,685,000","20,157,000","617,000","106,938,000","108,174,000","718,000","37,562,000","25,975,000","43,919,000",-,"1,236,000","3,167,000",-,"3,167,000","685,000","2,590,000","47,000","719,000","1,824,000",-,"-1,905,000","6,887,000","6,887,000",-,-,"3,429,000","132,066,000","115,089,000","85,810,000","85,810,000","29,279,000","815,000","460,000","355,000",-,-,-,"1,856,000","1,856,000",-,"1,856,000","310,000","11,765,000","11,765,000","3,761,000","571,000","571,000",-,"1,660,000","20,270,000","20,270,000","253,000","247,000","6,000","4,019,000","18,781,000","2,108,000","-675,000","32,035,000","247,000","20,023,000","13,383,000","33,644,000","13,136,000","13,621,000","10,397,000","565,851","490,813",250,"75,038"
6,12/31/2016,"149,520,000","4,143,000","4,143,000","3,704,000","439,000",-,-,"942,000","1,612,000","25,610,000","1,038,000","5,071,000","19,501,000","627,000","103,305,000","104,541,000","625,000","37,274,000","23,976,000","42,666,000",-,"1,236,000","3,753,000",-,"3,753,000","601,000","2,445,000","47,000","684,000","1,714,000",-,"-1,844,000","6,876,000","6,876,000",-,-,"2,993,000","129,773,000","109,804,000","81,332,000","81,332,000","28,472,000","1,148,000","533,000","615,000",0,0,0,"3,211,000","3,211,000",-,"3,211,000","659,000","12,790,000","12,790,000","7,264,000","714,000","714,000",-,"1,447,000","19,747,000","19,747,000","253,000","247,000","6,000","2,703,000","18,722,000","1,263,000","-668,000","32,537,000","247,000","19,500,000","12,871,000","35,501,000","12,624,000","16,001,000","11,858,000","564,631","511,955",250,"52,676"
7,12/31/2015,"138,208,000","3,441,000","3,441,000","3,085,000","356,000",-,-,"863,000","1,564,000","24,075,000","933,000","5,258,000","17,884,000","625,000","94,212,000","95,428,000","365,000","33,264,000","20,904,000","40,895,000",-,"1,216,000","3,979,000",-,"3,979,000","595,000","2,326,000","25,000","634,000","1,667,000",-,"-1,731,000","6,876,000","6,876,000",-,-,"2,841,000","118,562,000","102,539,000","74,890,000","74,890,000","27,649,000","802,000",-,"802,000",0,0,0,"2,630,000","2,630,000",-,"2,630,000","485,000","9,886,000","9,886,000","5,018,000","730,000","730,000",-,"1,490,000","19,646,000","19,646,000","253,000","247,000","6,000","1,913,000","18,725,000","858,000","-387,000","29,532,000","247,000","19,399,000","12,770,000","31,915,000","12,523,000","12,516,000","9,075,000","563,117","527,774",250,"35,343"
8,12/31/2014,"132,857,000","3,646,000","3,646,000","3,276,000","370,000",-,-,"867,000","1,527,000","24,676,000","872,000","5,148,000","18,656,000","629,000","88,510,000","89,705,000","281,000","31,431,000","17,727,000","40,266,000",-,"1,195,000","3,986,000",-,"3,986,000","595,000","2,246,000","26,000","607,000","1,613,000",-,"-1,651,000","6,876,000","6,876,000",-,0,"2,412,000","113,589,000","95,707,000","69,621,000","69,621,000","26,086,000","4,276,000","574,000","3,702,000",0,0,0,"6,253,000","6,253,000",-,"6,253,000","612,000","4,642,000","4,642,000","772,000","493,000","493,000",0,"1,606,000","19,268,000","19,268,000","6,000",0,"6,000","1,294,000","18,676,000","336,000","-372,000","23,910,000",-,"19,268,000","12,392,000","30,163,000","12,392,000","10,895,000","7,249,000","560,263","545,885",-,"14,378"
9,12/31/2013,"122,154,000","2,990,000","2,990,000","2,757,000","233,000",-,0,-,"1,339,000","21,245,000","935,000","4,315,000","15,995,000","650,000","82,112,000","83,333,000","1,254,000","28,667,000","14,599,000","38,813,000",-,"1,221,000","4,226,000",-,"4,226,000","592,000","2,267,000","33,000","636,000","1,598,000",-,"-1,675,000","6,876,000","6,876,000",-,"46,000","2,078,000","102,958,000","86,903,000","61,972,000","61,972,000","24,931,000","4,791,000","689,000","4,102,000",-,-,-,"2,251,000","2,251,000",-,"2,251,000","939,000","1,405,000","1,405,000","25,000","199,000","199,000","5,277,000","1,193,000","19,196,000","19,196,000","6,000",0,"6,000","1,235,000","18,603,000",-,"-648,000","20,601,000",-,"19,196,000","12,320,000","22,852,000","12,320,000","3,656,000","666,000","559,998","559,998",-,-
