,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash And Due from Banks,Federal Home Loan Bank Stock,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"222,256,000","8,294,000","8,294,000","7,974,000","320,000",-,"3,244,000","33,522,000",-,-,"9,677,000","23,845,000","569,000","153,109,000","155,126,000","1,855,000","50,450,000","29,325,000","73,496,000",-,"2,017,000","1,417,000",-,"1,417,000","866,000",-,-,-,-,-,-,"8,362,000","8,177,000","185,000",-,"12,873,000","198,055,000","172,194,000","127,868,000","127,868,000","44,326,000",-,-,-,-,-,-,"1,018,000","1,018,000",-,"1,018,000","1,704,000","18,855,000","18,855,000","11,779,000",-,-,-,"4,284,000","24,201,000","24,201,000","2,020,000","2,014,000","6,000","9,416,000","22,183,000","5,475,000","-3,943,000","43,056,000","2,014,000","22,187,000","15,839,000","42,060,000","13,825,000","19,873,000","11,579,000","647,009","483,982","30,000","163,027"
1,12/31/2022,"226,733,000","10,850,000","10,850,000","10,547,000","303,000",-,"3,236,000","33,841,000",-,-,"9,834,000","24,007,000","842,000","154,182,000","156,165,000","982,000","51,836,000","30,518,000","72,829,000",-,"1,983,000","1,479,000",-,"1,479,000","844,000","1,706,000","144,000","879,000","622,000","61,000","-862,000","8,370,000","8,173,000","197,000",-,"13,089,000","203,043,000","180,724,000","131,441,000","131,441,000","49,283,000",-,-,0,-,-,-,"3,000","3,000",-,"3,000","1,909,000","15,887,000","15,887,000","8,519,000",-,-,-,"4,520,000","23,690,000","23,690,000","2,020,000","2,014,000","6,000","9,159,000","22,142,000","5,071,000","-4,560,000","39,577,000","2,014,000","21,676,000","15,320,000","37,566,000","13,306,000","15,890,000","5,040,000","645,220","492,282","30,000","152,938"
2,9/30/2022,"224,684,000","8,421,000","8,421,000","8,160,000","261,000",-,"3,222,000","33,549,000",-,-,"10,071,000","23,478,000","1,352,000","154,678,000","156,658,000","1,962,000","50,989,000","31,794,000","71,913,000",-,"1,980,000","1,444,000",-,"1,444,000","827,000",-,-,-,-,-,-,"8,160,000","8,160,000",-,-,"13,031,000","201,538,000","178,566,000","126,678,000","126,678,000","51,888,000",-,-,-,-,-,-,"263,000","263,000",-,"263,000","2,227,000","16,286,000","16,286,000","9,519,000",-,-,-,"4,196,000","23,146,000","23,146,000","2,020,000","2,014,000","6,000","8,748,000","22,121,000","4,920,000","-4,823,000","39,432,000","2,014,000","21,132,000","14,986,000","37,681,000","12,972,000","16,549,000","8,128,000","645,043","495,844","30,000","149,199"
3,6/30/2022,"226,712,000","6,983,000","6,983,000","6,514,000","469,000",-,"3,207,000","34,528,000",-,-,"9,567,000","24,961,000","1,669,000","156,089,000","158,053,000","3,455,000","51,801,000","32,517,000","70,280,000",-,"1,964,000","1,574,000",-,"1,574,000","885,000",-,-,-,-,-,-,"8,081,000","8,081,000",-,-,"13,696,000","202,384,000","178,925,000","124,756,000","124,756,000","54,169,000",-,-,-,-,-,-,"3,763,000","3,763,000",-,"3,763,000","1,004,000","14,440,000","14,440,000","8,269,000",-,-,-,"4,252,000","24,328,000","24,328,000","2,020,000","2,014,000","6,000","8,346,000","22,100,000","4,920,000","-3,218,000","38,768,000","2,014,000","22,314,000","16,247,000","40,517,000","14,233,000","18,203,000","11,220,000","644,828","495,650","30,000","149,177"
4,3/31/2022,"192,097,000","10,621,000","10,621,000","9,936,000","685,000",-,"2,960,000","27,375,000",-,"2,547,000","2,056,000","25,319,000","1,675,000","129,872,000","131,592,000","1,816,000","45,724,000","33,309,000","50,743,000",-,"1,720,000","1,529,000","511,000","1,529,000","793,000",-,-,-,-,-,-,"7,232,000","7,232,000",-,-,"10,040,000","170,023,000","158,776,000","108,663,000","108,663,000","50,113,000",-,-,-,-,-,-,"25,000","25,000",-,"25,000","635,000","5,894,000","5,894,000","20,000",-,-,-,"4,693,000","22,074,000","22,074,000","2,020,000","2,014,000","6,000","8,209,000","19,021,000","4,918,000","-2,258,000","27,968,000","2,014,000","20,060,000","14,842,000","25,979,000","12,828,000","5,919,000",-,"572,154","423,032","30,000","149,122"
5,12/31/2021,"188,409,000","9,474,000","9,474,000","9,158,000","316,000",-,"2,843,000","28,309,000",-,-,"2,242,000","26,067,000","1,216,000","128,287,000","130,045,000","3,468,000","44,500,000","32,976,000","49,101,000","450,000","1,758,000","1,586,000","506,000","1,586,000","768,000","1,572,000","101,000","805,000","589,000","77,000","-804,000","7,116,000","7,116,000",-,-,"8,810,000","164,989,000","154,361,000","104,918,000","104,918,000","49,443,000","1,000",-,"1,000",-,-,-,"74,000","74,000",-,"74,000","197,000","6,932,000","6,932,000","19,000",-,-,-,"3,425,000","23,420,000","23,420,000","2,020,000","2,014,000","6,000","7,978,000","19,005,000","4,918,000","-665,000","30,352,000","2,014,000","21,406,000","16,304,000","28,412,000","14,290,000","7,006,000",-,"571,259","422,137","1,200,000","149,122"
6,9/30/2021,"187,007,000","14,005,000","14,005,000","13,716,000","289,000",-,"2,428,000","27,403,000",-,"24,899,000","2,492,000","24,911,000","1,769,000","123,140,000","124,995,000","3,270,000","41,854,000","31,961,000","47,910,000","464,000","1,855,000","1,593,000","517,000","1,593,000","732,000",-,-,-,-,-,-,"7,065,000","7,065,000",-,-,"8,872,000","163,584,000","152,221,000","104,037,000","104,037,000","48,184,000",-,-,-,-,-,-,"8,000","8,000",-,"8,000","187,000","6,947,000","6,947,000","20,000","689,000","689,000",-,"3,532,000","23,423,000","23,423,000","2,020,000","2,014,000","6,000","7,648,000","18,981,000","4,718,000","-508,000","30,370,000","2,014,000","21,409,000","16,358,000","28,364,000","14,344,000","6,955,000",-,"571,111","426,200","30,000","144,911"
7,6/30/2021,"185,104,000","13,042,000","13,042,000","12,641,000","401,000",-,"2,268,000","27,294,000",-,"24,566,000","2,711,000","24,583,000","1,655,000","122,503,000","124,450,000","3,698,000","42,842,000","31,119,000","46,791,000","467,000","1,947,000","1,829,000","521,000","1,829,000","735,000",-,-,-,-,-,-,"7,050,000","7,050,000",-,-,"8,728,000","161,905,000","150,636,000","103,156,000","103,156,000","47,480,000",-,-,-,-,-,-,"62,000","62,000",-,"62,000","144,000","6,957,000","6,957,000","18,000","720,000","720,000",-,"3,386,000","23,199,000","23,199,000","2,020,000","2,014,000","6,000","7,314,000","18,964,000","4,718,000","-381,000","30,156,000","2,014,000","21,185,000","16,149,000","28,204,000","14,135,000","7,019,000",-,"570,994","426,083","30,000","144,911"
8,3/31/2021,"187,217,000","14,968,000","14,968,000","14,660,000","308,000",-,"2,135,000","27,462,000",-,"24,454,000","2,995,000","24,467,000","1,298,000","122,578,000","124,772,000","4,379,000","44,058,000","30,726,000","45,609,000","122,195,000","2,194,000","1,802,000","500,000","1,802,000","743,000",-,-,-,-,-,-,"7,050,000","7,050,000",-,-,"9,181,000","164,564,000","151,349,000","105,282,000","105,282,000","46,067,000",-,-,-,-,-,-,"70,000","70,000",-,"70,000","111,000","8,316,000","8,316,000","19,000","593,000","593,000",-,"4,125,000","22,653,000","22,653,000","1,971,000","1,965,000","6,000","6,866,000","18,945,000","4,718,000","-411,000","30,969,000","1,965,000","20,688,000","15,603,000","29,074,000","13,638,000","8,386,000",-,"570,841","425,930","30,000","144,911"
9,12/31/2020,"183,349,000","13,039,000","13,039,000","12,733,000","306,000",-,"1,756,000","26,177,000",-,"22,930,000","3,235,000","22,942,000","1,915,000","122,682,000","125,125,000","4,003,000","44,173,000","30,609,000","46,340,000","449,000","2,443,000","1,968,000","504,000","1,968,000","759,000","1,596,000","102,000","800,000","644,000","50,000","-837,000","7,050,000","7,050,000",-,-,"8,003,000","160,676,000","147,164,000","103,333,000","103,333,000","43,831,000","231,000",-,"231,000",-,-,-,"243,000","243,000",-,"243,000","128,000","8,346,000","8,346,000","19,000","629,000","629,000",-,"4,166,000","22,673,000","22,673,000","1,971,000","1,965,000","6,000","6,445,000","18,940,000","4,623,000","-60,000","31,019,000","1,965,000","20,708,000","15,623,000","29,297,000","13,658,000","8,589,000",-,"569,876","427,210","30,000","142,666"
10,9/30/2020,"179,228,000","9,544,000","9,544,000","9,216,000","328,000",-,"1,751,000","26,124,000",-,"662,000","2,578,000","22,884,000","2,030,000","122,955,000","125,497,000","3,714,000","45,185,000","29,754,000","46,844,000","470,000","2,542,000","2,307,000","527,000","2,307,000","747,000",-,-,-,-,-,-,"7,050,000","7,050,000",-,-,"6,720,000","156,759,000","142,921,000","101,672,000","101,672,000","41,249,000",-,-,-,0,0,0,"252,000","252,000",-,"252,000","100,000","9,109,000","9,109,000","19,000","638,000","638,000",-,"3,739,000","22,469,000","22,469,000","1,971,000","1,965,000","6,000","6,189,000","18,922,000","4,623,000","10,000","31,578,000","1,965,000","20,504,000","15,419,000","29,865,000","13,454,000","9,361,000",-,"569,739","427,073","30,000","142,666"
11,6/30/2020,"179,874,000","7,921,000","7,921,000","7,446,000","475,000",-,"1,739,000","25,657,000",-,"657,000","2,856,000","22,144,000","2,069,000","125,830,000","128,278,000","4,993,000","48,017,000","28,997,000","46,271,000","530,000","2,448,000","2,479,000","588,000","2,479,000","751,000",-,-,-,-,-,-,"7,050,000","7,050,000",-,-,"6,378,000","157,456,000","143,618,000","103,073,000","103,073,000","40,545,000",-,-,-,"155,000","155,000","155,000","255,000","255,000","297,000","255,000","198,000","9,202,000","9,202,000","6,000","709,000","709,000",-,"3,319,000","22,418,000","22,418,000","1,971,000","1,965,000","6,000","6,068,000","18,908,000","4,623,000","94,000","31,620,000","1,965,000","20,453,000","15,368,000","29,910,000","13,403,000","9,457,000","1,536,000","569,491","426,825","30,000","142,666"
12,3/31/2020,"176,719,000","4,338,000","4,338,000","4,058,000","280,000",-,"1,736,000","26,352,000",-,"974,000","3,071,000","22,307,000","1,968,000","126,180,000","128,351,000","3,261,000","49,092,000","29,783,000","46,215,000","507,000","2,171,000","2,438,000","567,000","2,438,000","746,000",-,-,-,-,-,-,"7,050,000","7,050,000",-,-,"5,911,000","154,769,000","133,475,000","101,077,000","101,077,000","32,398,000",-,-,-,0,0,0,"1,059,000","1,059,000","298,000","1,059,000","234,000","16,437,000","16,437,000","8,007,000","782,000","782,000",-,"2,782,000","21,950,000","21,950,000","1,576,000","1,570,000","6,000","6,011,000","18,901,000","4,623,000","85,000","38,387,000","1,570,000","20,380,000","14,900,000","37,876,000","13,330,000","17,496,000","13,158,000","569,253","426,587","30,000","142,666"
13,12/31/2019,"165,733,000","3,683,000","3,683,000","3,386,000","297,000","799,000","1,725,000","24,669,000",-,"854,000","3,202,000","20,613,000","807,000","118,629,000","119,881,000","3,330,000","41,479,000","29,313,000","45,759,000",-,"1,252,000","2,537,000",-,"2,537,000","761,000","1,853,000","102,000","848,000","535,000","368,000","-1,092,000","7,044,000","7,044,000",-,-,"5,878,000","143,532,000","125,313,000","96,080,000","96,080,000","29,233,000","265,000",-,"265,000",0,0,0,"9,000","9,000",0,"9,000","120,000","14,047,000","14,047,000","5,008,000","866,000","866,000",-,"2,912,000","22,201,000","22,201,000","1,576,000","1,570,000","6,000","6,498,000","18,891,000","4,353,000","-411,000","36,248,000","1,570,000","20,631,000","15,157,000","34,687,000","13,587,000","14,056,000","10,373,000","568,239","433,121","30,000","135,118"
14,9/30/2019,"164,362,000","4,000,000","4,000,000","3,842,000","158,000",-,"1,720,000","25,602,000",-,"781,000","3,319,000","21,502,000","1,027,000","116,075,000","117,338,000","2,015,000","41,356,000","28,025,000","45,942,000",-,"1,263,000","2,814,000",-,"2,814,000","747,000",-,-,-,-,-,-,"7,044,000","7,044,000",-,-,"5,333,000","142,511,000","124,714,000","94,775,000","94,775,000","29,939,000","867,000","600,000","267,000","206,000","206,000","206,000","210,000","210,000","749,000","210,000","161,000","12,806,000","12,806,000","3,007,000","752,000","752,000",-,"2,795,000","21,851,000","21,851,000","1,139,000","1,133,000","6,000","6,229,000","18,876,000","3,953,000","-440,000","34,657,000","1,133,000","20,718,000","14,807,000","33,734,000","13,674,000","13,016,000","9,016,000","568,125","443,914","12,000","124,212"
