,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Other Current Assets,Change in Other Current Liabilities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Intangibles Purchase And Sale,Purchase of Intangibles,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"4,119,000","4,119,000","2,073,000","-9,000",-,-,-,-,"565,000","565,000",-,-,-,"57,000","57,000","1,733,000",-,-,"84,000","474,000",-,"-858,000","-1,894,000","1,036,000","-12,637,000","-12,637,000","-126,000","13,000","-5,141,000","-10,776,000","5,635,000","-6,257,000","2,677,000","-8,934,000",-,-,-,-,-,"-255,000","-255,000","-871,000","9,907,000","9,907,000",-,"4,831,000","4,926,000","24,617,000","-19,691,000","-95,000","-95,000","-153,000","-153,000",0,0,0,"-892,000","-779,000","-113,000","-25,000","10,547,000","1,389,000","9,158,000","183,000","989,000","-126,000",0,"24,617,000","-19,786,000","-153,000","3,993,000"
1,12/31/2022,"4,119,000","4,119,000","2,073,000","-9,000",-,-,-,-,"565,000","565,000",-,-,-,"57,000","57,000","1,733,000",-,-,"84,000","474,000",-,"-858,000","-1,894,000","1,036,000","-12,637,000","-12,637,000","-126,000","13,000","-5,141,000","-10,776,000","5,635,000","-6,257,000","2,677,000","-8,934,000",-,-,-,-,-,"-255,000","-255,000","-871,000","9,907,000","9,907,000",-,"4,831,000","4,926,000","24,617,000","-19,691,000","-95,000","-95,000","-153,000","-153,000",0,0,0,"-892,000","-779,000","-113,000","-25,000","10,547,000","1,389,000","9,158,000","183,000","989,000","-126,000",0,"24,617,000","-19,786,000","-153,000","3,993,000"
2,12/31/2021,"2,275,000","2,275,000","2,319,000","-11,000",-,-,-,-,"625,000","625,000",-,-,-,"-429,000","-429,000","1,085,000",-,-,"59,000","-411,000",-,"-962,000","-1,719,000","757,000","-10,486,000","-10,486,000","-124,000","-10,000","-2,800,000","-12,406,000","9,606,000","-6,021,000","934,000","-6,955,000",-,-,-,-,-,"-165,000","-165,000","-1,366,000","4,636,000","4,636,000",-,"-1,506,000","-1,352,000",0,"-1,352,000","-154,000","-154,000","-295,000","-295,000","46,000","296,000","-250,000","-783,000","-670,000","-113,000","-23,000","9,158,000","-3,575,000","12,733,000","1,247,000","347,000","-124,000","296,000",0,"-1,506,000","-545,000","2,151,000"
3,12/31/2020,"111,000","111,000","1,057,000","-4,000",-,0,"-4,000",-,"578,000","578,000","567,000","11,000","11,000","-238,000","-238,000","32,000",-,-,"48,000","1,616,000",-,"-2,978,000","-3,979,000","1,001,000","-6,136,000","-6,136,000","-118,000","-9,000","-846,000","-9,271,000","8,425,000","-5,095,000",-,"-5,095,000",-,-,-,-,-,"-3,000","-3,000","-65,000","15,372,000","15,372,000",-,"-5,738,000","-5,699,000","8,323,000","-14,022,000","-39,000","-39,000","-270,000","-270,000","395,000","395,000",-,"-770,000","-672,000","-98,000","-96,000","12,733,000","9,347,000","3,386,000","261,000","837,000","-118,000","395,000","8,323,000","-14,061,000","-270,000","-7,000"
4,12/31/2019,"1,697,000","1,697,000","1,791,000","-29,000",-,"-6,000","-25,000",0,"633,000","633,000",-,-,-,"64,000","64,000","-672,000",-,"1,000","41,000","393,000",-,"-525,000","-856,000","331,000","-3,875,000","-3,875,000",-,"-149,000","1,099,000","-9,650,000","10,749,000","-4,334,000",-,"-4,334,000","-95,000","-126,000","31,000","-240,000","-240,000","-129,000","-129,000","-27,000","1,490,000","1,490,000","-891,000","-2,164,000","-2,007,000","12,850,000","-14,857,000","-157,000",-,"-1,220,000","-1,220,000","730,000","730,000",-,"-682,000","-617,000","-65,000","-21,000","3,386,000","-688,000","4,074,000","326,000","1,560,000","-366,000","730,000","12,850,000","-14,857,000","-1,220,000","1,331,000"
5,12/31/2018,"1,767,000","1,767,000","1,721,000","-16,000",-,0,"-19,000",0,"489,000","489,000",-,-,-,"97,000","97,000","26,000",-,"-3,000","41,000","326,000",-,"-914,000","-1,217,000","303,000","-7,077,000","-7,077,000",-,"44,000","384,000","-5,186,000","5,570,000","-6,445,000",-,"-6,445,000","-232,000","-232,000",0,"-253,000","-253,000","-533,000","-533,000","-42,000","6,352,000","6,352,000","341,000","2,455,000","7,666,000","22,503,000","-14,837,000","-5,211,000",-,"-1,025,000","-1,025,000","593,000","593,000",-,"-485,000","-471,000","-14,000","-13,000","4,074,000","1,042,000","3,032,000","241,000","1,184,000","-485,000","593,000","22,503,000","-14,837,000","-1,025,000","1,282,000"
6,12/31/2017,"1,883,000","1,883,000","1,652,000","-22,000",-,0,"-12,000","-17,000","502,000","502,000",-,-,-,"-136,000","-136,000","156,000","-15,000","-2,000","48,000","321,000",-,"-621,000","-502,000","-119,000","-3,984,000","-3,984,000",-,"247,000","-113,000","-6,291,000","6,178,000","-3,634,000",-,"-3,634,000","-253,000","-253,000",0,"-187,000","-187,000",-,-,"-44,000","1,429,000","1,429,000","-333,000","-2,347,000","2,612,000","15,363,000","-12,751,000","-4,959,000",-,"-820,000","-820,000",0,0,-,"-336,000","-322,000","-14,000","-20,000","3,032,000","-672,000","3,704,000","371,000","716,000","-440,000",0,"15,363,000","-12,751,000","-820,000","1,443,000"
7,12/31/2016,"1,490,000","1,490,000","1,045,000","-81,000",0,"-2,000","-19,000","-72,000","523,000","523,000",-,-,-,"153,000","153,000","-197,000","-8,000","-4,000","23,000","369,000",-,"-333,000","-274,000","-59,000","-11,326,000","-11,326,000",-,"-83,000","-1,821,000","-8,599,000","6,778,000","-9,074,000",-,"-9,074,000","-135,000","-138,000","3,000","-165,000","-165,000",-,-,"-48,000","10,455,000","10,455,000","346,000","3,529,000","6,715,000","15,144,000","-8,429,000","-3,186,000",-,"-430,000","-430,000",0,0,-,"-255,000","-241,000","-14,000",-,"3,704,000","619,000","3,085,000","94,000","505,000","-303,000",0,"15,144,000","-8,429,000","-430,000","1,187,000"
8,12/31/2015,"1,229,000","1,229,000","840,000","-37,000",-,"-9,000","-32,000",-,"471,000","471,000",-,-,-,"249,000","249,000",-,"17,000","-9,000","24,000","302,000",-,"-628,000","-467,000","-161,000","-5,905,000","-5,905,000",-,"14,000","421,000","-7,963,000","8,384,000","-6,019,000",-,"-6,019,000","-106,000","-121,000","15,000","-178,000","-178,000",-,-,"-37,000","4,485,000","4,485,000","-3,474,000","1,601,000","5,984,000","6,750,000","-766,000","-4,383,000",-,"-500,000","-500,000","247,000","247,000",-,"-221,000","-214,000","-7,000",-,"3,085,000","-191,000","3,276,000","157,000","454,000","-299,000","247,000","6,750,000","-766,000","-500,000","930,000"
9,12/31/2014,"1,390,000","1,390,000","865,000","7,000","9,000","27,000","-28,000","-11,000","386,000","386,000",-,-,-,"141,000","141,000","-366,000","46,000","-5,000","53,000","319,000",0,"-56,000","-295,000","239,000","-10,274,000","-10,274,000",-,"-137,000","-2,741,000","-9,573,000","6,832,000","-6,900,000",-,"-6,900,000","-138,000","-141,000","3,000","-170,000","-170,000",-,-,"-188,000","9,403,000","9,403,000","-515,000","7,245,000","3,243,000","3,249,000","-6,000","4,002,000",-,"-334,000","-334,000",-,-,-,"-806,000","-806,000",-,-,"3,276,000","519,000","2,757,000","391,000","338,000","-311,000",-,"3,249,000","-6,000","-334,000","1,079,000"
