,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Other Current Assets,Change in Other Current Liabilities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Intangibles Purchase And Sale,Purchase of Intangibles,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"4,119,000","4,119,000","2,073,000","-9,000",-,-,-,-,"565,000","565,000",-,-,-,"57,000","57,000","1,733,000",-,-,"84,000","474,000","-858,000","-1,894,000","1,036,000","-12,637,000","-12,637,000","-126,000","13,000","-5,141,000","-10,776,000","5,635,000","-6,257,000","2,677,000","-8,934,000",-,-,-,-,-,"-255,000","-255,000","-871,000","9,907,000","9,907,000",-,"4,831,000","4,926,000","24,617,000","-19,691,000","-95,000","-95,000","-153,000","-153,000",0,0,0,"-892,000","-779,000","-113,000","-25,000","10,547,000","1,389,000","9,158,000","183,000","989,000","-126,000",0,"24,617,000","-19,786,000","-153,000","3,993,000"
1,3/31/2023,"1,158,000","1,158,000","511,000","-5,000",-,"-5,000",-,-,"118,000","118,000",-,-,-,"-63,000","-63,000","-81,000",-,-,"33,000","168,000","477,000","-372,000","849,000","1,492,000","1,492,000","-52,000","-17,000","777,000","-1,223,000","2,000,000","1,011,000","1,011,000",0,-,-,-,-,-,0,0,"-227,000","-5,223,000","-5,223,000",-,"3,973,000","2,958,000","5,710,000","-2,752,000","1,015,000",-,"-404,000",-,-,-,-,"-238,000","-205,000","-33,000","-24,000","7,974,000","-2,573,000","10,547,000",-,-,"-52,000",-,"5,710,000","-2,752,000",-,"1,106,000"
2,12/31/2022,"1,441,000","1,441,000","653,000","-4,000",-,-,-,-,"117,000","117,000",-,-,-,"-67,000","-67,000","329,000",-,-,"16,000","132,000","265,000","-194,000","459,000","-158,000","-158,000","15,000","-42,000","-41,000","-1,004,000","963,000","-31,000","959,000","-990,000",-,-,-,-,-,"-20,000","-20,000","-39,000","1,104,000","1,104,000",-,"-669,000","-400,000","13,101,000","-13,501,000","-269,000",-,"-151,000","-151,000",0,0,0,"-233,000","-210,000","-23,000","-1,000","10,547,000","2,387,000","8,160,000",-,-,-,0,"13,101,000","-13,596,000","-151,000","1,456,000"
3,9/30/2022,"3,000,000","3,000,000","636,000",0,-,-,-,-,"121,000","121,000",-,-,-,"46,000","46,000","184,000",-,-,"16,000","123,000","1,874,000","1,645,000","229,000","883,000","883,000","-85,000","208,000","-185,000","-1,134,000","949,000","951,000","1,301,000","-350,000",-,-,-,-,-,"-1,000","-1,000","-5,000","-2,237,000","-2,237,000",-,"-1,635,000","1,865,000","6,299,000","-4,434,000","-3,500,000",-,0,0,0,0,-,"-243,000","-209,000","-34,000",0,"8,160,000","1,646,000","6,514,000",-,-,"-85,000",0,"6,299,000","-4,434,000",0,"2,915,000"
4,6/30/2022,"-1,876,000","-1,876,000","364,000","-1,000",-,-,-,-,"260,000","260,000",-,-,-,"125,000","125,000","322,000",-,-,"19,000","216,000","-3,181,000","-2,129,000","-1,052,000","-9,448,000","-9,448,000","-5,000","216,000","-4,356,000","-5,982,000","1,626,000","-4,568,000","112,000","-4,680,000",-,-,-,-,-,"-91,000","-91,000","-644,000","7,902,000","7,902,000",-,"8,191,000","4,465,000",-,"-752,000","3,726,000",-,"-2,000","-2,000",-,-,-,"-218,000","-195,000","-23,000","-1,000","6,514,000","-3,422,000","9,936,000",-,-,"-5,000",-,-,"-752,000","-2,000","-1,881,000"
5,3/31/2022,"1,554,000","1,554,000","420,000","-4,000",-,"-4,000",-,-,"67,000","67,000",-,-,-,"-47,000","-47,000","898,000",-,-,"33,000","3,000","184,000","-1,216,000","1,400,000","-3,914,000","-3,914,000","-51,000","-369,000","-559,000","-2,656,000","2,097,000","-2,609,000","305,000","-2,914,000",-,-,-,-,-,"-143,000","-143,000","-183,000","3,138,000","3,138,000",-,"-1,056,000","-1,004,000",-,"-1,004,000","-52,000",-,0,0,-,-,-,"-198,000","-165,000","-33,000","-23,000","9,936,000","778,000","9,158,000",-,-,"-51,000",-,-,"-1,004,000",0,"1,503,000"
6,12/31/2021,"1,105,000","1,105,000","530,000","-1,000",-,-,-,-,"172,000","172,000",-,-,-,"-643,000","-643,000","462,000",-,-,"12,000","-25,000","598,000","674,000","-76,000","-7,499,000","-7,499,000","-65,000","-27,000","-1,100,000","-3,737,000","2,637,000","-5,637,000",-,-,-,-,-,-,-,"-151,000","-151,000","-519,000","1,836,000","1,836,000",-,"90,000","4,000",0,"4,000","86,000",-,"-200,000","-200,000",0,0,0,"-193,000","-168,000","-25,000","-1,000","9,158,000","-4,558,000","13,716,000",-,-,"-65,000",0,0,"-150,000","-200,000","1,040,000"
7,9/30/2021,"1,280,000","1,280,000","530,000","-3,000",-,0,"-3,000",-,"136,000","136,000",-,-,-,"15,000","15,000","301,000",-,-,"12,000","-33,000","322,000","-264,000","586,000","-1,284,000","-1,284,000","-27,000","112,000","-242,000","-2,256,000","2,014,000","-881,000",-,-,-,-,-,-,-,"-14,000","-14,000","-232,000","1,079,000","1,079,000",-,"-56,000","1,000",0,"1,000","-57,000",-,0,0,"-250,000",0,-,"-200,000","-167,000","-33,000",0,"13,716,000","1,075,000","12,641,000",-,-,"-27,000",0,0,"1,000","-250,000","1,253,000"
8,6/30/2021,"580,000","580,000","648,000","-4,000",-,-,-,-,"165,000","165,000",-,-,-,"119,000","119,000","944,000",-,-,"13,000","-213,000","-1,092,000","-1,356,000","264,000","-631,000","-631,000","-22,000","-93,000","222,000","-2,157,000","2,379,000","-545,000",-,-,-,-,-,-,-,0,0,"-193,000","-1,968,000","-1,968,000",-,"-1,360,000","-1,353,000",0,"-1,353,000","-7,000",-,0,0,-,-,-,"-191,000","-168,000","-23,000",0,"12,641,000","-2,019,000","14,660,000",-,-,"-22,000",-,0,"-1,353,000",0,"558,000"
9,3/31/2021,"-690,000","-690,000","611,000","-3,000",-,-,-,-,"152,000","152,000",-,-,-,"80,000","80,000","-622,000",-,-,"22,000","-140,000","-790,000","-773,000","-17,000","-1,072,000","-1,072,000","-10,000","-2,000","-1,680,000","-4,256,000","2,576,000","1,042,000",-,-,-,-,-,-,-,0,0,"-422,000","3,689,000","3,689,000",-,"-180,000","-4,000",0,"-4,000","-176,000",-,"-95,000","-95,000",-,-,-,"-199,000","-167,000","-32,000","-22,000","14,660,000","1,927,000","12,733,000",-,-,"-10,000",-,0,"-4,000","-95,000","-700,000"
