,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"8,052,000","6,012,000","7,060,000","6,092,000","6,092,000","840,000","128,000","1,048,000","651,000","23,000","374,000",-,"2,040,000",-,"1,730,000","1,730,000","840,000","249,000","368,000","273,000",-,-,"188,000","9,000","9,000","113,000","-474,000","4,679,000","1,058,000","410,000","648,000","2,811,000","2,645,000","2,549,000","96,000",-,"166,000",-,-,-,-,"810,000","-244,000",-,"244,000",-,-,-,-,-,"2,655,000","582,000","1,960,000","2,073,000","2,073,000","2,073,000","113,000","1,960,000",-,-,-,-,"5,538,000","2,073,000","2,263,491","128,000","565,000","2,073,000","-244,000","-244,000",0,"-53,509"
1,12/31/2022,"8,021,000","6,012,000","7,060,000","6,092,000","6,092,000","840,000","128,000","1,048,000","651,000","23,000","374,000",-,"2,009,000",-,"1,730,000","1,730,000","840,000","249,000","368,000","273,000",-,-,"188,000","9,000","9,000","82,000","-474,000","4,892,000","1,058,000","410,000","648,000","2,549,000","2,549,000","2,549,000","96,000",-,"166,000",-,-,-,-,"1,285,000","-244,000",-,"244,000",-,-,-,-,-,"2,655,000","582,000","1,960,000","2,073,000","2,073,000","2,073,000","113,000","1,960,000",4.12,4.10,"475,960","477,803","5,538,000","2,073,000","2,073,000","128,000","565,000","2,073,000","-244,000","-244,000",0,0
2,12/31/2021,"6,647,000","4,512,000","4,851,000","4,348,000","4,348,000","487,000","16,000","339,000","160,000","1,000","178,000",-,"2,135,000",-,"1,916,000","1,916,000","999,000","239,000","428,000","250,000",-,-,"120,000","10,000","10,000","89,000","411,000","4,081,000","943,000","333,000","610,000","2,132,000","2,132,000","2,132,000",-,-,"111,000",-,-,-,-,"1,006,000","-35,000",-,"35,000",-,-,-,-,-,"2,977,000","658,000","2,206,000","2,319,000","2,319,000","2,319,000","113,000","2,206,000",5.18,5.16,"425,669","427,436","4,923,000","2,319,000","2,319,000","16,000","625,000","2,319,000","-35,000","-35,000",0,0
3,12/31/2020,"6,905,000","4,586,000","5,357,000","4,827,000","4,827,000","519,000","11,000","771,000","509,000","2,000","260,000",-,"2,319,000","57,000","2,128,000","2,128,000","1,458,000","203,000","250,000","217,000","250,000","553,000","120,000","4,000","4,000","67,000","-1,616,000","3,991,000","896,000","331,000","565,000","2,123,000","2,123,000","2,123,000","66,000",-,"100,000",-,-,-,-,"972,000",-,-,-,-,-,-,-,-,"1,298,000","241,000","950,000","1,057,000","1,057,000","1,057,000","107,000","950,000",2.22,2.22,"427,063","428,158","2,970,000","1,057,000","1,057,000","11,000","578,000","1,057,000",-,-,0,0
4,12/31/2019,"6,491,000","4,614,000","6,189,000","5,517,000","5,517,000","642,000","30,000","1,575,000","1,155,000","2,000","410,000","8,000","1,877,000","55,000","1,614,000","1,614,000","942,000","202,000","216,000","254,000","216,000","498,000","155,000","19,000","19,000","89,000","-393,000","3,847,000","847,000","333,000","514,000","2,026,000","2,026,000","2,026,000","62,000",-,"112,000",-,-,-,-,"974,000","-12,000",-,"18,000",-,-,-,"-6,000","-302,000","2,251,000","460,000","1,718,000","1,791,000","1,791,000","1,791,000","73,000","1,718,000",3.82,3.81,"449,731","451,214","4,221,000","1,791,000","1,791,000","30,000","633,000","1,791,000","-12,000","-12,000",0,0
5,12/31/2018,"6,128,000","4,532,000","5,758,000","5,057,000","5,057,000","672,000","29,000","1,226,000","785,000","57,000","378,000","6,000","1,596,000","56,000","1,387,000","1,387,000","793,000","171,000","179,000","244,000","179,000","447,000","126,000","19,000","19,000","64,000","-326,000","3,619,000","608,000","333,000","275,000","1,880,000","1,880,000","1,880,000","104,000","47,000","129,000","189,000","189,000","189,000","189,000","942,000","-49,000",-,"25,000",-,-,-,"49,000","-215,000","2,183,000","462,000","1,692,000","1,721,000","1,721,000","1,721,000","29,000","1,692,000",3.54,3.52,"478,822","480,431","4,206,000","1,721,000","1,721,000","29,000","189,000","1,721,000","-49,000","-49,000",0,0
6,12/31/2017,"5,707,000","4,173,000","4,920,000","4,277,000","4,277,000","625,000","18,000","747,000","441,000","31,000","272,000","3,000","1,534,000","54,000","1,330,000","1,330,000","745,000","158,000","194,000","233,000","194,000","404,000","109,000","11,000","11,000","84,000","-321,000","3,474,000","582,000","319,000","263,000","1,761,000","1,761,000","1,761,000","137,000","54,000","105,000","180,000","180,000","180,000","180,000","951,000","-18,000",-,-,-,"26,000",-,"18,000","-251,000","1,912,000","260,000","1,638,000","1,652,000","1,652,000","1,652,000","14,000","1,638,000",3.26,3.25,"502,157","503,685","3,852,000","1,652,000","1,652,000","18,000","180,000","1,652,000","-18,000","-18,000",0,0
7,12/31/2016,"5,255,000","3,758,000","4,266,000","3,674,000","3,674,000","584,000","8,000","508,000","270,000","40,000","196,000","2,000","1,497,000","54,000","1,185,000","1,185,000","711,000","146,000","125,000","203,000","125,000","377,000","90,000","16,000","16,000","152,000","-369,000","3,352,000","570,000","307,000","263,000","1,709,000","1,709,000","1,709,000","120,000","62,000","98,000","170,000","170,000","170,000","170,000","903,000","-34,000",-,-,-,-,-,"34,000","-246,000","1,534,000","489,000","1,031,000","1,045,000","1,045,000","1,045,000","14,000","1,031,000",1.97,1.97,"522,094","523,931","3,389,000","1,045,000","1,045,000","8,000","170,000","1,045,000","-34,000","-34,000",0,0
8,12/31/2015,"4,824,000","3,402,000","3,854,000","3,228,000","3,228,000","621,000","5,000","452,000","237,000","67,000","132,000","16,000","1,422,000","56,000","1,153,000","1,153,000","676,000","157,000","88,000","232,000","88,000","371,000","90,000","29,000","29,000","94,000","-302,000","3,209,000","576,000","319,000","257,000","1,636,000","1,636,000","1,636,000","115,000","89,000","101,000","146,000","146,000","146,000","146,000","851,000","-50,000",-,"50,000",0,-,"-3,000","15,000","-225,000","1,263,000","423,000","833,000","840,000","840,000","840,000","7,000","833,000",1.55,1.55,"535,600","538,221","3,100,000","840,000","873,240","5,000","146,000","840,000","-50,000","-50,000",0,"-16,760"
9,12/31/2014,"4,691,000","3,301,000","3,664,000","3,040,000","3,040,000","619,000","5,000","363,000","160,000","89,000","82,000","32,000","1,390,000","49,000","1,127,000","1,127,000","645,000","158,000","91,000","233,000","91,000","420,000","95,000","28,000","28,000","91,000","-319,000","3,223,000","576,000","326,000","250,000","1,678,000","1,678,000","1,678,000","95,000","137,000","86,000","145,000","145,000","145,000","145,000","824,000","119,000","288,000","169,000",0,-,-,"55,000","-255,000","1,268,000","403,000","865,000","865,000","865,000","865,000",-,"865,000",1.55,1.55,"556,674","557,725","2,982,000","865,000","783,842","5,000","145,000","865,000","119,000","119,000",0,"37,842"
