,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 4/18/2023Current,14.77B,N/A,7.31,6.63,N/A,1.76,0.67,N/A,N/A
1,3/31/2023,14.71B,N/A,7.41,6.19,N/A,1.80,0.68,N/A,N/A
2,12/31/2022,19.39B,N/A,9.82,7.50,0.27,2.40,0.92,N/A,N/A
3,9/30/2022,17.04B,N/A,8.74,6.62,0.24,2.17,0.76,N/A,N/A
4,6/30/2022,17.69B,N/A,7.56,7.94,N/A,2.30,0.88,N/A,N/A
5,3/31/2022,19.18B,N/A,8.78,10.68,N/A,2.91,0.90,N/A,N/A
6,12/31/2021,19.95B,N/A,9.49,11.11,N/A,3.05,0.93,N/A,N/A
7,9/30/2021,20.02B,N/A,10.49,10.44,N/A,2.97,0.95,N/A,N/A
8,6/30/2021,19.54B,N/A,12.88,10.82,N/A,2.84,0.94,N/A,N/A
9,3/31/2021,18.80B,N/A,19.89,12.09,N/A,2.74,0.91,N/A,N/A
10,12/31/2020,15.28B,N/A,16.18,11.92,N/A,2.25,0.75,N/A,N/A
11,9/30/2020,10.80B,N/A,10.11,9.93,N/A,1.65,0.53,N/A,N/A
12,6/30/2020,10.77B,N/A,8.64,19.12,N/A,1.70,0.53,N/A,N/A
13,3/31/2020,8.02B,N/A,4.94,4.87,N/A,1.31,0.39,N/A,N/A
14,12/31/2019,17.59B,N/A,10.74,10.21,N/A,2.90,0.85,N/A,N/A
15,9/30/2019,15.70B,N/A,9.48,8.74,N/A,2.60,0.75,N/A,N/A
16,6/30/2019,16.21B,N/A,9.66,9.18,N/A,2.68,0.79,N/A,N/A
17,3/31/2019,14.96B,N/A,9.23,8.47,N/A,2.55,0.75,N/A,N/A
18,12/31/2018,13.85B,N/A,7.62,7.71,N/A,2.40,0.70,N/A,N/A
19,9/30/2018,18.36B,N/A,10.54,10.12,N/A,3.22,0.92,N/A,N/A
20,6/30/2018,18.86B,N/A,11.37,11.47,N/A,3.35,0.95,N/A,N/A
21,3/31/2018,20.47B,N/A,12.92,12.59,N/A,3.71,1.02,N/A,N/A
22,12/31/2017,20.65B,N/A,17.07,14.81,N/A,3.82,1.04,N/A,N/A
23,9/30/2017,18.96B,N/A,16.18,13.42,N/A,3.52,0.95,N/A,N/A
24,6/30/2017,18.05B,N/A,16.44,15.06,N/A,3.43,0.92,N/A,N/A
25,3/31/2017,17.60B,N/A,17.54,15.15,N/A,3.45,0.90,N/A,N/A
26,12/31/2016,18.24B,N/A,19.36,15.90,N/A,3.68,0.92,N/A,N/A
27,9/30/2016,12.80B,N/A,14.71,12.00,N/A,2.66,0.64,N/A,N/A
28,6/30/2016,10.57B,N/A,12.65,11.01,N/A,2.19,0.54,N/A,N/A
29,3/31/2016,11.08B,N/A,13.52,9.44,N/A,2.34,0.57,N/A,N/A
30,12/31/2015,13.82B,N/A,17.18,13.81,N/A,2.90,0.71,N/A,N/A
31,9/30/2015,12.59B,N/A,16.33,12.14,N/A,2.71,0.65,N/A,N/A
32,6/30/2015,14.67B,N/A,16.47,13.46,N/A,3.18,0.75,N/A,N/A
33,3/31/2015,13.21B,N/A,15.23,11.67,N/A,2.81,0.69,N/A,N/A
34,12/31/2014,13.57B,N/A,16.98,15.06,N/A,2.81,0.70,N/A,N/A
35,9/30/2014,13.12B,N/A,16.93,N/A,N/A,2.65,0.67,N/A,N/A
