,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"85,406,000","6,282,000","6,282,000","1,758,000",-,"4,524,000",-,-,-,-,"19,169,000",-,"17,919,000",-,"19,169,000","52,032,000","52,642,000","30,909,000","2,311,000","18,225,000","1,197,000","610,000",-,"7,523,000",-,-,"7,523,000",-,"400,000","1,336,000","81,000","737,000","518,000","-936,000","635,000","635,000",-,-,"80,225,000","71,397,000","31,452,000",-,"31,452,000","39,945,000",-,"2,593,000","2,593,000","3,211,000","3,211,000","841,000","3,211,000","3,024,000","3,024,000",-,-,-,"5,181,000","5,181,000","1,535,000","394,000","1,141,000","11,258,000","2,220,000","6,090,000","-3,742,000",-,"8,205,000","394,000","4,787,000","5,181,000","11,022,000","4,787,000","6,235,000",-,"228,165","130,967",-,"97,198"
1,12/31/2021,"94,616,000","22,679,000","22,679,000","1,236,000",-,"21,443,000",-,-,-,-,"17,183,000",-,-,-,"17,183,000","48,057,000","48,645,000","29,366,000","2,097,000","15,974,000","1,208,000","588,000",-,"6,243,000",-,-,"6,243,000",-,"454,000","1,453,000","85,000","852,000","516,000","-999,000","635,000","635,000",-,-,"86,719,000","82,339,000","36,539,000",-,"36,539,000","45,800,000",-,"1,584,000","1,584,000","877,000","877,000","877,000",-,"2,796,000","2,796,000",-,"30,000",-,"7,897,000","7,897,000","1,535,000","394,000","1,141,000","10,494,000","2,175,000","6,095,000","-212,000",-,"10,693,000","394,000","7,503,000","7,897,000","10,299,000","7,503,000","2,796,000",-,"228,165","130,688",-,"97,477"
2,12/31/2020,"88,129,000","15,767,000","15,767,000","1,031,000",-,"14,736,000",-,-,-,-,"15,200,000",-,-,-,"15,200,000","50,749,000","51,697,000","33,679,000","2,194,000","15,824,000","52,291,000","948,000",-,"5,954,000",-,-,"5,954,000",-,"459,000","1,418,000","86,000","847,000","485,000","-959,000","636,000","635,000","1,000",-,"80,079,000","72,869,000","33,449,000",-,"33,449,000","39,420,000",-,"1,482,000","1,482,000",0,0,"905,000",0,"5,728,000","5,728,000","2,800,000",-,-,"8,050,000","8,050,000","1,535,000","394,000","1,141,000","9,623,000","2,185,000","5,461,000","168,000",-,"13,778,000","394,000","7,656,000","8,050,000","13,384,000","7,656,000","5,728,000",-,"228,165","139,167",-,"88,997"
3,12/31/2019,"73,402,000","5,818,000","5,818,000","973,000",-,"4,845,000",-,-,-,-,"12,553,000",-,-,-,"12,553,000","49,144,000","49,781,000","32,482,000","2,440,000","14,859,000","50,369,000","637,000",-,"5,430,000",-,-,"5,430,000",-,"457,000","1,417,000","86,000","818,000","513,000","-960,000","637,000","635,000","2,000",-,"66,075,000","57,295,000","29,913,000",-,"29,913,000","27,382,000",-,"1,440,000","1,440,000","71,000","71,000","884,000","71,000","7,269,000","7,269,000","3,800,000",-,-,"7,327,000","7,327,000","1,141,000",-,"1,141,000","9,538,000","2,174,000","5,291,000","-235,000",-,"14,596,000",-,"7,327,000","7,327,000","14,667,000","7,327,000","7,340,000","1,522,000","228,169","142,100",-,"86,069"
4,12/31/2018,"70,818,000","4,561,000","4,561,000","1,390,000",-,"3,171,000",-,-,-,-,"12,179,000",-,-,0,"12,179,000","49,492,000","50,163,000","31,976,000","2,514,000","14,153,000","50,163,000","671,000",-,"4,111,000",-,-,"4,111,000",-,"475,000","1,419,000","85,000","842,000","492,000","-944,000","639,000","635,000","4,000",-,"63,311,000","55,561,000","26,871,000",-,"26,871,000","28,690,000",-,"1,243,000","1,243,000","44,000","44,000","861,000","44,000","6,463,000","6,463,000","3,800,000",-,-,"7,507,000","7,507,000","1,141,000",-,"1,141,000","8,781,000","2,148,000","3,954,000","-609,000",-,"13,970,000",-,"7,507,000","7,507,000","14,014,000","7,507,000","6,507,000","1,946,000","228,165","160,084",-,"68,081"
5,12/31/2017,"71,567,000","5,845,000","5,845,000","1,438,000",-,"4,407,000",-,-,-,-,"12,300,000",-,-,"1,266,000","11,034,000","47,993,000","48,705,000","31,060,000","738,000","15,924,000","983,000","712,000",-,"4,963,000",-,-,"4,963,000",-,"466,000","1,382,000","85,000","813,000","484,000","-916,000","641,000","635,000","6,000",-,"63,604,000","57,903,000","25,832,000",-,"25,832,000","32,071,000",-,"1,069,000","1,069,000","10,000","10,000","347,000","10,000","4,622,000","4,622,000","2,800,000",-,-,"7,963,000","7,963,000","1,141,000",-,"1,141,000","7,800,000","2,122,000","2,736,000","-364,000",-,"12,585,000",-,"7,963,000","7,963,000","12,595,000","7,963,000","4,632,000",-,"228,165","172,858",-,"55,306"
6,12/31/2016,"72,978,000","7,218,000","7,218,000","1,249,000",-,"5,969,000",-,-,-,-,"12,461,000",-,-,"1,582,000","10,879,000","47,786,000","48,516,000","30,994,000","722,000","15,542,000","1,258,000","730,000",-,"5,012,000",-,-,"5,012,000",-,"501,000","1,416,000","86,000","831,000","499,000","-915,000","643,000","635,000","8,000",-,"65,182,000","58,985,000","27,445,000",-,"27,445,000","31,540,000",-,"1,012,000","1,012,000","25,000","25,000",-,"25,000","5,160,000","5,160,000","2,800,000",-,-,"7,796,000","7,796,000","1,141,000",-,"1,141,000","7,331,000","2,135,000","2,428,000","-383,000",-,"12,956,000",-,"7,796,000","7,796,000","12,981,000","7,796,000","5,185,000",-,"228,165","175,314",-,"52,851"
7,12/31/2015,"71,877,000","6,147,000","6,147,000","1,157,000",-,"4,990,000",-,-,-,-,"12,613,000",-,-,"1,981,000","10,632,000","47,726,000","48,360,000","31,659,000","765,000","14,568,000","1,368,000","634,000",-,"4,841,000",-,-,"4,841,000",-,"550,000","1,439,000","87,000","862,000","490,000","-889,000",-,-,-,-,"64,317,000","59,853,000","29,014,000",-,"29,014,000","30,839,000",-,"1,383,000","1,383,000","23,000","23,000","349,000","23,000","3,058,000","3,058,000",-,-,-,"7,560,000","7,560,000","1,141,000",-,"1,141,000","7,084,000","2,173,000","2,409,000","-429,000",-,"10,618,000",-,"7,560,000","7,560,000","10,641,000","7,560,000","3,081,000",-,"175,700","175,700",-,-
8,12/31/2014,"69,190,000","6,071,000","6,071,000","1,026,000",-,"5,045,000",-,-,-,-,"10,150,000",-,-,"1,935,000","8,215,000","47,194,000","47,788,000","31,520,000","724,000","14,048,000","1,496,000","594,000",-,"5,243,000",-,-,"5,243,000",-,"532,000","1,404,000","88,000","808,000","508,000","-872,000",-,-,-,-,"61,788,000","57,486,000","30,262,000",-,"30,262,000","27,224,000",-,"1,507,000","1,507,000","116,000","116,000","349,000","116,000","2,679,000","2,679,000",-,-,-,"7,402,000","7,402,000","1,141,000",-,"1,141,000","6,744,000","2,188,000","2,259,000","-412,000",-,"10,081,000",-,"7,402,000","7,402,000","10,197,000","7,402,000","2,795,000",-,"228,165","179,019",-,"49,146"
9,12/31/2013,"65,227,000","6,451,000","6,451,000","1,140,000",-,"5,311,000",-,0,0,-,"9,419,000",-,-,-,"9,419,000","44,027,000","44,625,000","28,815,000","720,000","13,763,000","1,327,000","598,000",-,"4,736,000",-,-,"4,736,000",-,"594,000","1,435,000","90,000","830,000","515,000","-841,000",-,-,-,-,"58,074,000","53,292,000","29,417,000",-,"29,417,000","23,875,000",-,"986,000","986,000","253,000","253,000",-,"253,000","3,543,000","3,543,000","1,000,000",-,-,"7,153,000","7,153,000","1,141,000",-,"1,141,000","6,321,000","2,179,000","2,097,000","-391,000",-,"10,696,000",-,"7,153,000","7,153,000","10,949,000","7,153,000","3,796,000",-,"228,165","182,304",-,"45,861"
10,12/31/2012,"65,359,000","4,534,000","4,434,000","1,395,000",-,"3,039,000","100,000","100,000","100,000",-,"10,422,000",-,-,-,"10,422,000","44,569,000","45,198,000","29,513,000","616,000","13,776,000","1,293,000","629,000",-,"5,212,000",-,-,"5,212,000",-,"622,000","1,415,000","90,000","816,000","509,000","-793,000","655,000","635,000","20,000",-,"58,417,000","52,202,000","28,923,000",-,"28,923,000","23,279,000",-,"1,385,000","1,385,000","110,000","110,000",-,"110,000","4,720,000","4,720,000","2,000,000",-,-,"6,942,000","6,942,000","1,141,000",-,"1,141,000","5,931,000","2,162,000","1,879,000","-413,000",-,"11,662,000",-,"6,942,000","6,942,000","11,772,000","6,942,000","4,830,000","396,000","228,165","188,275",-,"39,890"
