,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"91,127,000","10,734,000","10,734,000","1,563,000",-,"9,171,000",-,-,-,-,"18,649,000",-,-,-,"18,649,000",-,"53,519,000","54,160,000","31,630,000","2,316,000","18,981,000","1,233,000","641,000",-,"7,826,000",-,-,"7,826,000",-,"399,000",-,-,-,-,-,-,-,-,-,"85,133,000","64,706,000","31,533,000",-,"31,533,000","33,173,000",-,"2,327,000",-,-,-,"2,327,000","11,016,000","11,016,000",-,"11,016,000",-,"7,084,000","7,084,000",-,-,-,"5,994,000","5,994,000","1,535,000","394,000","1,141,000","11,476,000","2,209,000","6,055,000","-3,171,000",-,"13,078,000","394,000","5,600,000","5,994,000","23,700,000","5,600,000","18,100,000","7,366,000","132,000","132,000",-,-
1,12/31/2022,"85,406,000","6,282,000","6,282,000","1,758,000",-,"4,524,000",-,-,-,-,"19,169,000",-,"17,919,000",-,"19,169,000",-,"52,032,000","52,642,000","30,909,000","2,311,000","18,225,000","1,197,000","610,000",-,"7,523,000",-,-,"7,523,000",-,"400,000","1,336,000","81,000","737,000","518,000","-936,000","635,000","635,000",-,-,"80,225,000","71,397,000","31,452,000",-,"31,452,000","39,945,000",-,"2,593,000",-,-,-,"2,593,000","3,211,000","3,211,000","841,000","3,211,000",-,"3,024,000","3,024,000",-,-,-,"5,181,000","5,181,000","1,535,000","394,000","1,141,000","11,258,000","2,220,000","6,090,000","-3,742,000",-,"8,205,000","394,000","4,787,000","5,181,000","11,022,000","4,787,000","6,235,000",-,"228,165","130,967",-,"97,198"
2,9/30/2022,"84,143,000","5,970,000","5,970,000","1,735,000",-,"4,235,000",-,-,-,-,"19,611,000",-,"18,360,000",-,"19,611,000",-,"50,423,000","50,999,000","30,713,000","2,262,000","16,808,000","1,216,000","576,000",-,"7,727,000",-,-,"7,727,000",-,"412,000",-,-,-,-,-,-,-,-,-,"79,074,000","73,016,000","30,720,000",-,"30,720,000","42,296,000",-,"2,534,000",-,-,-,"2,534,000","508,000","508,000","840,000","508,000",-,"3,016,000","3,016,000",-,-,-,"5,069,000","5,069,000","1,535,000","394,000","1,141,000","11,005,000","2,209,000","6,093,000","-3,587,000",-,"8,085,000","394,000","4,675,000","5,069,000","8,199,000","4,675,000","3,524,000",-,"228,165","130,921",-,"97,244"
3,6/30/2022,"86,889,000","7,533,000","7,533,000","1,631,000",-,"5,902,000",-,-,-,-,"20,989,000",-,-,-,"20,989,000",-,"50,238,000","50,801,000","31,259,000","2,178,000","16,073,000","1,291,000","563,000",-,"7,707,000",-,-,"7,707,000",-,"422,000",-,-,-,-,-,-,-,-,"2,800,000","80,454,000","75,765,000","33,457,000",-,"33,457,000","42,308,000",-,"2,059,000",-,-,-,"2,059,000","847,000","847,000","847,000",-,-,"2,630,000","2,630,000",-,-,-,"6,435,000","6,435,000","1,535,000","394,000","1,141,000","10,752,000","2,204,000","6,102,000","-1,954,000",-,"9,065,000","394,000","6,041,000","6,435,000","8,671,000","6,041,000","2,630,000",-,"228,165","130,777",-,"97,388"
4,3/31/2022,"89,165,000","13,550,000","13,550,000","1,466,000",-,"12,084,000",-,-,-,-,"18,991,000",-,-,-,"18,991,000","1,500,000","48,365,000","48,919,000","29,562,000","2,047,000","16,062,000","1,248,000","554,000",-,"7,815,000","120,000",-,"7,815,000",-,"444,000",-,-,-,-,-,"646,000","635,000","11,000",-,"82,129,000","77,608,000","34,931,000",-,"34,931,000","42,677,000",-,"1,839,000","6,000","6,000","6,000","1,839,000","857,000","857,000","857,000",-,"440,000","2,682,000","2,682,000",-,"45,000",-,"7,036,000","7,036,000","1,535,000","394,000","1,141,000","10,585,000","2,194,000","6,105,000","-1,173,000",-,"9,718,000","394,000","6,642,000","7,036,000","9,324,000","6,642,000","2,682,000",-,"228,165","130,729",-,"97,435"
5,12/31/2021,"94,616,000","22,679,000","22,679,000","1,236,000",-,"21,443,000",-,-,-,-,"17,183,000",-,-,-,"17,183,000",-,"48,057,000","48,645,000","29,366,000","2,097,000","15,974,000","1,208,000","588,000",-,"6,243,000",-,-,"6,243,000",-,"454,000","1,453,000","85,000","852,000","516,000","-999,000","635,000","635,000",-,-,"86,719,000","82,339,000","36,539,000",-,"36,539,000","45,800,000",-,"1,584,000",-,-,-,"1,584,000","877,000","877,000","877,000",-,-,"2,796,000","2,796,000",-,"30,000",-,"7,897,000","7,897,000","1,535,000","394,000","1,141,000","10,494,000","2,175,000","6,095,000","-212,000",-,"10,693,000","394,000","7,503,000","7,897,000","10,299,000","7,503,000","2,796,000",-,"228,165","130,688",-,"97,477"
6,9/30/2021,"94,529,000","23,589,000","23,589,000","1,050,000",-,"22,539,000",-,-,-,-,"17,033,000",-,-,-,"17,033,000",-,"47,017,000","47,626,000","29,486,000","2,102,000","16,038,000","48,195,000","609,000",-,"6,443,000","118,000",-,"6,443,000",-,"447,000",-,-,-,-,-,"647,000","635,000","12,000",-,"86,726,000","82,284,000","38,191,000",-,"38,191,000","44,093,000",-,"1,605,000",-,-,-,"1,605,000",0,0,"887,000",0,-,"2,837,000","2,837,000",-,-,-,"7,803,000","7,803,000","1,535,000","394,000","1,141,000","10,366,000","2,170,000","6,061,000","-207,000",-,"10,640,000","394,000","7,409,000","7,803,000","10,246,000","7,409,000","2,837,000",-,"228,165","131,006",-,"97,158"
7,6/30/2021,"88,355,000","16,501,000","16,501,000","1,008,000",-,"15,493,000",-,-,-,-,"16,020,000",-,-,-,"16,020,000",-,"48,987,000","49,639,000","31,243,000","2,083,000","16,313,000","50,228,000","652,000",-,"6,393,000",-,-,"6,393,000",-,"454,000",-,-,-,-,-,"649,000","635,000","14,000",-,"80,424,000","76,066,000","35,552,000",-,"35,552,000","40,514,000",-,"1,504,000",-,-,-,"1,504,000",0,0,"892,000",0,-,"2,854,000","2,854,000",-,-,-,"7,931,000","7,931,000","1,535,000","394,000","1,141,000","10,202,000","2,163,000","5,849,000","-120,000",-,"10,785,000","394,000","7,537,000","7,931,000","10,391,000","7,537,000","2,854,000",-,"228,165","133,917",-,"94,247"
8,3/31/2021,"86,291,000","14,871,000","14,871,000","1,064,000",-,"13,807,000",-,-,-,-,"15,771,000",-,-,-,"15,771,000",-,"49,228,000","50,005,000","30,886,000","2,093,000","16,036,000","990,000","777,000",-,"5,965,000",-,-,"5,965,000",-,"456,000",-,-,-,-,-,"649,000","635,000","14,000",-,"78,139,000","73,807,000","34,985,000",-,"34,985,000","38,822,000",-,"1,480,000",-,-,-,"1,480,000",0,0,"898,000",0,-,"2,852,000","2,852,000",-,-,-,"8,152,000","8,152,000","1,535,000","394,000","1,141,000","9,975,000","2,183,000","5,436,000","-105,000",-,"11,004,000","394,000","7,758,000","8,152,000","10,610,000","7,758,000","2,852,000",-,"228,165","139,585",-,"88,580"
9,12/31/2020,"88,129,000","15,767,000","15,767,000","1,031,000",-,"14,736,000",-,-,-,-,"15,200,000",-,-,-,"15,200,000",-,"50,749,000","51,697,000","33,679,000","2,194,000","15,824,000","52,291,000","948,000",-,"5,954,000",-,-,"5,954,000",-,"459,000","1,418,000","86,000","847,000","485,000","-959,000","636,000","635,000","1,000",-,"80,079,000","72,869,000","33,449,000",-,"33,449,000","39,420,000",-,"1,482,000",-,-,-,"1,482,000",0,0,"905,000",0,-,"5,728,000","5,728,000","2,800,000",-,-,"8,050,000","8,050,000","1,535,000","394,000","1,141,000","9,623,000","2,185,000","5,461,000","168,000",-,"13,778,000","394,000","7,656,000","8,050,000","13,384,000","7,656,000","5,728,000",-,"228,165","139,167",-,"88,997"
