,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Other non-cash items,Change in working capital,Change in Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Accrued Expense,Change in Other Current Assets,Change in Other Working Capital,Cash from Discontinued Operating Activities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net PPE Purchase And Sale,Purchase of PPE,Net Business Purchase And Sale,Sale of Business,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Other Investing Changes,Cash from Discontinued Investing Activities,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Cash from Discontinued Financing Activities,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"638,000","638,000","1,151,000","-91,000",-,-,"-91,000","92,000","92,000","-27,000","-27,000","30,000",-,"60,000",-,"-2,000","-635,000","-152,000","131,000",-,-,"131,000",-,"-614,000",-,"-9,952,000","-9,952,000","-82,000","-82,000",-,-,-,-,"-4,959,000","-7,470,000","2,511,000","-87,000",-,"-7,083,000","-7,083,000","3,711,000","500,000","500,000",0,"3,211,000",-,"-15,000","28,000","-43,000",0,0,-,"-376,000","-353,000","-23,000",-,"-2,000",-,-,"6,282,000","-16,397,000","22,679,000",-,"277,000","130,000","-82,000","28,000","500,000",0,"-43,000","556,000"
1,12/31/2022,"638,000","638,000","1,151,000","-91,000",-,-,"-91,000","92,000","92,000","-27,000","-27,000","30,000",-,"60,000",-,"-2,000","-635,000","-152,000","131,000",-,-,"131,000",-,"-614,000",-,"-9,952,000","-9,952,000","-82,000","-82,000",-,-,-,-,"-4,959,000","-7,470,000","2,511,000","-87,000",-,"-7,083,000","-7,083,000","3,711,000","500,000","500,000",0,"3,211,000",-,"-15,000","28,000","-43,000",0,0,-,"-376,000","-353,000","-23,000",-,"-2,000",-,-,"6,282,000","-16,397,000","22,679,000",-,"277,000","130,000","-82,000","28,000","500,000",0,"-43,000","556,000"
2,12/31/2021,"634,000","634,000","1,168,000","-81,000",-,0,"-81,000","99,000","99,000","79,000","79,000","36,000",-,"41,000",-,-,"-324,000","13,000","132,000",-,-,"132,000",-,"-469,000",-,"1,723,000","1,723,000","-70,000","-70,000",-,-,-,-,"-2,400,000","-7,936,000","5,536,000","126,000",-,"4,555,000","4,555,000","-2,800,000","-2,800,000",0,"-2,800,000",0,-,"-695,000","34,000","-729,000",0,0,-,"-392,000","-369,000","-23,000",-,"4,000",-,-,"22,679,000","6,912,000","15,767,000",-,"157,000","57,000","-70,000","34,000",0,"-2,800,000","-729,000","564,000"
3,12/31/2020,"928,000","928,000","474,000","-25,000",-,0,"-25,000","108,000","108,000","-89,000","-89,000","15,000","-1,000","24,000",-,-,"-115,000","25,000","-29,000",-,-,"-29,000",-,"-111,000",-,"-4,602,000","-4,602,000","-79,000","-79,000",-,-,-,-,"-2,454,000","-5,804,000","3,350,000","67,000",-,"13,623,000","13,623,000","-1,746,000","-1,675,000",0,"-1,675,000","-71,000",-,"-195,000","4,000","-199,000","394,000","394,000",-,"-383,000","-375,000","-8,000",-,"-1,000",-,-,"15,767,000","9,949,000","5,818,000",-,"141,000","203,000","-79,000","398,000",0,"-1,675,000","-199,000","849,000"
4,12/31/2019,"1,090,000","1,090,000","1,198,000","-22,000",-,"7,000","-29,000","114,000","114,000","12,000","12,000","2,000",-,"39,000",-,"1,000","-328,000","17,000","-27,000",-,-,"-27,000",-,"-318,000",-,"-494,000","-494,000","-86,000","-86,000",-,-,"1,000","1,000","-97,000","-3,346,000","3,249,000","13,000",-,"661,000","661,000","727,000","700,000","1,050,000","-350,000","27,000",-,"-1,376,000","18,000","-1,394,000",-,-,-,"-402,000","-402,000",-,-,"1,000",-,-,"5,818,000","1,257,000","4,561,000",-,"266,000","462,000","-86,000","18,000","1,050,000","-350,000","-1,394,000","1,004,000"
5,12/31/2018,"1,616,000","1,616,000","1,235,000","1,000",-,"19,000","-18,000","120,000","120,000","24,000","24,000","3,000",-,"48,000",-,"-1,000","188,000","-45,000","49,000",-,-,"49,000",-,"184,000",-,"-1,156,000","-1,156,000","-90,000","-90,000",-,-,"8,000","8,000","5,000","-3,032,000","3,037,000","-26,000",-,"-1,744,000","-1,744,000","1,884,000","1,850,000","1,850,000",0,"34,000",-,"-1,286,000","52,000","-1,338,000",-,-,-,"-263,000","-263,000",-,-,"3,000",-,-,"4,561,000","-1,284,000","5,845,000",-,"200,000","261,000","-90,000","52,000","1,850,000",0,"-1,338,000","1,526,000"
6,12/31/2017,"1,103,000","1,103,000","743,000","-18,000",-,0,"-18,000","121,000","121,000","79,000","79,000","6,000",-,"39,000",-,"-3,000","65,000","-33,000","41,000",-,-,"41,000",-,"57,000",-,"-138,000","-138,000","-69,000","-69,000",-,-,"22,000","22,000","81,000","-3,112,000","3,193,000","25,000",-,"-2,338,000","-2,338,000","-531,000","-516,000",0,"-516,000","-15,000",-,"-442,000","110,000","-552,000",-,-,-,"-180,000","-180,000",-,-,"-5,000",-,-,"5,845,000","-1,373,000","7,218,000",-,"336,000","122,000","-69,000","110,000",0,"-516,000","-552,000","1,034,000"
7,12/31/2016,"493,000","493,000","477,000","11,000",-,"5,000","6,000","121,000","121,000","-51,000","-51,000","8,000",-,"34,000","-9,000","-4,000","-338,000","-20,000","37,000",-,-,"37,000",-,"-355,000",-,"-270,000","-270,000","-95,000","-95,000",-,-,"20,000","20,000","56,000","-2,045,000","2,101,000","-95,000",-,"848,000","848,000","2,152,000","2,150,000","2,800,000","-650,000","2,000",-,"-158,000","152,000","-310,000",-,-,-,"-152,000","-152,000",-,-,"4,000",-,-,"7,218,000","1,071,000","6,147,000",-,"106,000","111,000","-95,000","152,000","2,800,000","-650,000","-310,000","398,000"
8,12/31/2015,"862,000","862,000","521,000","50,000",-,"2,000","48,000","118,000","118,000","-71,000","-71,000","13,000","-2,000","38,000","-3,000",-,"58,000","-12,000","-35,000",-,-,"-35,000",-,"105,000",-,"-3,255,000","-3,255,000","-119,000","-119,000",-,-,"12,000","12,000","-2,509,000","-4,590,000","2,081,000","17,000",-,"2,469,000","2,469,000","317,000","410,000","1,016,000","-606,000","-93,000",-,"-228,000","22,000","-250,000",-,-,-,"-147,000","-147,000",-,-,"-2,000",-,-,"6,147,000","76,000","6,071,000",-,"88,000","94,000","-119,000","22,000","1,016,000","-606,000","-250,000","743,000"
9,12/31/2014,"639,000","639,000","593,000","8,000",-,0,"40,000","123,000","123,000","130,000","130,000","13,000","-4,000","38,000","-7,000",-,"-248,000","-4,000","-14,000",-,-,"-14,000",-,"-230,000",-,"-3,743,000","-3,743,000","-70,000","-70,000",-,-,"20,000","20,000","-591,000","-2,372,000","1,781,000","62,000",-,"2,724,000","2,724,000","-947,000","-810,000","596,000","-1,406,000","-137,000",-,"-211,000","49,000","-260,000",-,-,-,"-137,000","-137,000",-,-,"6,000",-,-,"6,071,000","-380,000","6,451,000",-,"218,000","101,000","-70,000","49,000","596,000","-1,406,000","-260,000","569,000"
