,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Change in Prepaid Assets,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Cash from Discontinued Operating Activities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Business Purchase And Sale,Sale of Business,Net Other Investing Changes,Cash from Discontinued Investing Activities,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Cash from Discontinued Financing Activities,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"638,000","638,000","1,151,000","-91,000",-,-,"-91,000","92,000","92,000","-27,000","-27,000","-2,000",-,"30,000",-,"60,000",-,"60,000","-635,000","-152,000",-,"131,000","131,000",-,-,"-614,000",-,"-9,952,000","-9,952,000",-,"-4,959,000","-7,470,000","2,511,000",-,-,"-4,824,000",-,"-82,000","-82,000",-,-,"-87,000",-,"-7,083,000","-7,083,000","3,711,000","500,000","500,000",0,"3,211,000",-,-,"-15,000","28,000","-43,000",0,0,-,"-376,000","-353,000","-23,000","-2,000",-,-,"6,282,000","-16,397,000","22,679,000",-,"277,000","130,000","-82,000","28,000","500,000",0,"-43,000","556,000"
1,12/31/2022,"597,000","597,000","350,000","-23,000",-,-,"-23,000","21,000","21,000","4,000","4,000",0,-,"6,000",-,"12,000",-,"33,000","194,000","-57,000",-,"113,000","113,000",-,-,"138,000",-,"-1,424,000","-1,424,000",-,"508,000",0,"508,000",-,-,"-1,811,000",-,"-24,000","-24,000",-,-,"-97,000",-,"1,139,000","1,139,000","2,703,000",0,0,0,"2,703,000",-,-,"1,000","1,000",0,-,-,-,"-93,000","-87,000","-6,000",-,-,-,"6,282,000","312,000","5,970,000",-,"95,000","75,000","-24,000","1,000",0,0,0,"573,000"
2,9/30/2022,"393,000","393,000","351,000","-23,000",-,-,"-23,000","25,000","25,000","-8,000","-8,000",0,-,"6,000",-,"9,000",-,"28,000","5,000","-53,000",-,"62,000","62,000",-,-,"-4,000",-,"-289,000","-289,000",-,"220,000","-329,000","549,000",-,-,"-485,000",-,"-17,000","-17,000",-,-,"-7,000",-,"-1,667,000","-1,667,000","1,008,000","500,000",-,0,-,-,-,"24,000",-,"-3,000",-,-,-,"-94,000","-88,000","-6,000",-,-,-,"5,970,000","-1,563,000","7,533,000",-,"80,000","27,000","-17,000",-,-,0,"-3,000","376,000"
3,6/30/2022,"358,000","358,000","261,000","-23,000",-,-,"-23,000","23,000","23,000","-21,000","-21,000",-,-,"8,000",-,"11,000",-,"10,000","91,000","-41,000",-,"49,000","49,000",-,-,"83,000",-,"-5,042,000","-5,042,000",-,"-2,888,000","-3,536,000","648,000",-,-,"-2,137,000",-,"-24,000","-24,000",-,-,"7,000",-,"-1,333,000","-1,333,000",0,0,-,0,-,-,-,"-19,000",-,"-1,000",-,-,-,"-94,000","-89,000","-5,000","1,000",-,-,"7,533,000","-6,017,000","13,550,000",-,"97,000","12,000","-24,000",-,-,0,"-1,000","334,000"
4,3/31/2022,"-710,000","-710,000","189,000","-22,000",-,-,"-22,000","23,000","23,000","-2,000","-2,000",-,-,"10,000",-,"28,000",-,"-11,000","-925,000","-1,000",-,"-93,000","-93,000",-,-,"-831,000",-,"-3,197,000","-3,197,000",-,"-2,799,000","-3,605,000","806,000",-,-,"-391,000",-,"-17,000","-17,000",-,-,"10,000",-,"-5,222,000","-5,222,000",0,0,-,0,-,-,-,"-21,000","18,000","-39,000",-,-,-,"-95,000","-89,000","-6,000","-2,000",-,-,"13,550,000","-9,129,000","22,679,000",-,"5,000","16,000","-17,000","18,000",-,0,"-39,000","-727,000"
5,12/31/2021,"429,000","429,000","228,000","-20,000",-,-,"-20,000","23,000","23,000","-40,000","-40,000",-,-,"10,000",-,"5,000",-,"-25,000","248,000","-4,000",-,"48,000","48,000",-,-,"204,000",-,"-1,447,000","-1,447,000",-,"-276,000","-1,609,000","1,333,000",-,-,"-1,155,000",-,"-20,000","-20,000",-,-,"4,000",-,"108,000","108,000",0,0,-,0,0,-,-,"-38,000","12,000","-50,000",0,0,-,"-94,000","-88,000","-6,000","2,000",-,-,"22,679,000","-910,000","23,589,000",-,"42,000","10,000","-20,000","12,000",-,0,"-50,000","409,000"
6,9/30/2021,"202,000","202,000","262,000","-20,000",-,-,"-20,000","25,000","25,000","50,000","50,000",-,-,"10,000",-,"7,000",-,"-42,000","-90,000","16,000",-,"53,000","53,000",-,-,"-159,000",-,"1,481,000","1,481,000",-,"-1,115,000","-2,499,000","1,384,000",-,-,"2,606,000",-,"-15,000","-15,000",-,-,"5,000",-,"5,405,000","5,405,000",0,0,-,0,0,-,-,"-216,000","4,000","-220,000",0,0,-,"-97,000","-91,000","-6,000","-1,000",-,-,"23,589,000","7,088,000","16,501,000",-,"19,000","17,000","-15,000","4,000",-,0,"-220,000","187,000"
7,6/30/2021,"-156,000","-156,000","328,000","-21,000",-,-,"-21,000","26,000","26,000","30,000","30,000",-,-,"8,000",-,"7,000",-,"-135,000","-399,000","6,000",-,"5,000","5,000",-,-,"-410,000",-,"681,000","681,000",-,"-251,000","-2,078,000","1,827,000",-,-,"931,000",-,"-17,000","-17,000",-,-,"18,000",-,"1,105,000","1,105,000",0,0,-,0,0,-,-,"-443,000","8,000","-451,000",-,-,-,"-100,000","-95,000","-5,000","-9,000",-,-,"16,501,000","1,630,000","14,871,000",-,"95,000","10,000","-17,000","8,000",-,0,"-451,000","-173,000"
8,3/31/2021,"159,000","159,000","350,000","-20,000",-,0,"-20,000","25,000","25,000","39,000","39,000",-,-,"8,000",-,"22,000",-,"-182,000","-83,000","-5,000",-,"26,000","26,000",-,-,"-104,000",-,"1,008,000","1,008,000",-,"-758,000","-1,750,000","992,000",-,-,"1,685,000",-,"-18,000","-18,000",-,-,"99,000",-,"-2,063,000","-2,063,000","-2,800,000","-2,800,000",-,"-2,800,000",0,-,-,"2,000","10,000","-8,000",-,-,-,"-101,000","-95,000","-6,000","12,000",-,-,"14,871,000","-896,000","15,767,000",-,"1,000","20,000","-18,000","10,000",-,"-2,800,000","-8,000","141,000"
9,12/31/2020,"208,000","208,000","215,000","-6,000",-,0,"-6,000","26,000","26,000","15,000","15,000",-,-,"8,000",-,"6,000",-,"-17,000","-39,000","-7,000",-,"21,000","21,000",-,-,"-53,000",-,"28,000","28,000",-,"-2,000","-1,008,000","1,006,000",-,-,"49,000",-,"-28,000","-28,000",-,-,"9,000",-,"4,390,000","4,390,000","-10,000",0,0,0,"-10,000",-,-,"2,000","2,000",0,0,0,-,"-101,000",-,-,-,-,-,"15,767,000","4,626,000","11,141,000",-,"8,000","17,000","-28,000","2,000",0,0,0,"180,000"
