,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Write Off,Loss on Extinguishment of Debt,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"3,534,000","2,466,000","2,672,000","2,153,000","2,153,000","519,000",-,-,-,"206,000","102,000","17,000","87,000",-,-,"1,068,000","47,000","869,000","869,000","342,000","233,000","21,000","273,000",-,-,"4,000","13,000",-,"113,000","113,000",-,"22,000","-60,000","1,998,000","225,000","175,000","50,000",-,"1,277,000","1,239,000","1,208,000","31,000",-,"38,000","496,000",-,-,-,-,-,-,-,"1,476,000","325,000","1,122,000","1,151,000","1,151,000","1,151,000",-,"23,000","1,122,000",-,-,-,-,"2,406,000","1,151,000","1,151,000",-,"92,000","1,151,000",-,-,0,0
1,12/31/2022,"3,534,000","2,466,000","2,672,000","2,153,000","2,153,000","519,000",-,-,-,"206,000","102,000","17,000","87,000",-,-,"1,068,000","47,000","869,000","869,000","342,000","233,000","21,000","273,000",-,-,"4,000","13,000",-,"109,000","109,000",-,"43,000","-60,000","1,998,000","225,000","175,000","50,000",-,"1,277,000","1,239,000","1,208,000","31,000",-,"38,000","496,000",-,-,-,-,-,-,-,"1,476,000","325,000","1,122,000","1,151,000","1,151,000","1,151,000",-,"23,000","1,122,000",-,-,-,-,"2,406,000","1,151,000","1,151,000",-,"92,000","1,151,000",-,-,0,0
2,12/31/2021,"2,967,000","1,844,000","1,901,000","1,594,000","1,594,000","307,000","27,000",-,-,"57,000","22,000",0,"35,000",-,-,"1,123,000","43,000","882,000","882,000","339,000","231,000","14,000","298,000",-,"266,000","11,000","-1,000",-,"99,000","99,000",-,"99,000","384,000","1,851,000","211,000","161,000","50,000",-,"1,190,000","1,155,000","1,133,000","22,000",-,"35,000","450,000",-,"-10,000",0,-,-,-,"10,000","1,490,000","322,000","1,140,000","1,168,000","1,168,000","1,168,000",-,"23,000","1,140,000",8.45,8.35,"135,000","137,000","2,228,000","1,168,000","1,175,839","27,000","99,000","1,168,000","-10,000","-10,000",0,"-2,161"
3,12/31/2020,"2,912,000","1,911,000","2,093,000","1,773,000","1,773,000","320,000",-,-,-,"182,000","101,000","1,000","80,000",-,-,"1,001,000","44,000","799,000","799,000","299,000","209,000","21,000","270,000","37,000","242,000","11,000","23,000","40,000",0,0,-,"118,000","-537,000","1,784,000","205,000","156,000","49,000",-,"1,087,000","1,052,000","1,019,000","33,000","396,000","35,000","492,000",-,0,0,0,-,-,-,"591,000","117,000","459,000","474,000","474,000","474,000",-,"13,000","459,000",3.45,3.43,"139,000","140,000","1,374,000","474,000","474,000",-,"108,000","474,000",0,0,0,0
4,12/31/2019,"3,343,000","2,339,000","2,807,000","2,439,000","2,439,000","368,000",-,-,-,"468,000","262,000","9,000","197,000",-,-,"1,004,000","41,000","823,000","823,000","332,000","206,000","28,000","257,000","38,000","264,000","6,000","9,000","44,000","-7,000","-7,000",-,"103,000","-74,000","1,743,000","204,000","154,000","50,000",-,"1,077,000","1,043,000","1,020,000","23,000","381,000","34,000","462,000",-,"6,000","6,000",0,-,-,-,"1,532,000","334,000","1,191,000","1,198,000","1,198,000","1,198,000",-,-,"1,191,000",7.98,7.90,"150,000","151,000","2,265,000","1,198,000","1,193,308",-,"114,000","1,198,000","6,000","6,000",0,"1,308"
5,12/31/2018,"3,328,000","2,352,000","2,619,000","2,262,000","2,262,000","357,000",-,-,-,"267,000","122,000","1,000","144,000",-,-,"976,000","39,000","813,000","813,000","336,000","206,000","27,000","244,000","40,000","255,000","9,000","8,000","47,000","-19,000","-19,000",-,"96,000","1,000","1,740,000","200,000","152,000","48,000",-,"1,081,000","1,051,000","1,009,000","42,000","380,000","30,000","459,000",-,"-54,000",-,"53,000",-,-,"1,000","1,535,000","300,000","1,227,000","1,235,000","1,235,000","1,235,000",-,-,"1,227,000",7.31,7.20,"168,000","171,000","2,353,000","1,235,000","1,278,446",-,"120,000","1,235,000","-54,000","-54,000",0,"-10,554"
6,12/31/2017,"3,168,000","2,061,000","2,182,000","1,872,000","1,872,000","310,000",-,-,-,"121,000","42,000","3,000","76,000",-,-,"1,107,000","43,000","911,000","911,000","357,000","198,000","23,000","333,000","45,000","366,000","9,000","8,000","45,000","-3,000","-3,000",-,"111,000","-74,000","1,817,000","199,000","154,000","45,000",-,"991,000","963,000","912,000","51,000","492,000","28,000","627,000",-,"-43,000",-,"45,000",-,-,"-2,000","1,234,000","491,000","738,000","743,000","743,000","743,000",-,-,"738,000",4.23,4.14,"174,000","178,000","1,987,000","743,000","768,891",-,"121,000","743,000","-43,000","-43,000",0,"-17,109"
7,12/31/2016,"2,848,000","1,797,000","1,909,000","1,635,000","1,635,000","274,000",-,-,-,"112,000","40,000",-,"72,000",-,-,"1,051,000","42,000","870,000","870,000","358,000","190,000","19,000","303,000","50,000","336,000","7,000","6,000","42,000","-5,000","-5,000",-,"102,000","-248,000","1,836,000","210,000","157,000","53,000",-,"1,036,000","1,015,000","961,000","54,000","455,000","21,000","590,000","-2,000","-94,000",-,"93,000",-,0,"1,000","670,000","193,000","473,000","477,000","477,000","477,000",-,-,"473,000",2.74,2.68,"172,000","177,000","1,549,000","477,000","543,928",-,"121,000","477,000","-94,000","-94,000",0,"-27,072"
8,12/31/2015,"2,739,000","1,689,000","1,784,000","1,551,000","1,551,000","233,000",-,-,-,"95,000","43,000",-,"52,000",-,-,"1,050,000","40,000","869,000","869,000","375,000","187,000","17,000","290,000","53,000","332,000","12,000","9,000","40,000","-2,000","-2,000",-,"103,000","-147,000","1,874,000","212,000","159,000","53,000",-,"1,070,000","1,046,000","1,009,000","37,000","431,000","24,000","592,000","2,000","32,000",-,-,-,-,"-32,000","750,000","229,000","515,000","521,000","521,000","521,000",-,-,"515,000",2.93,2.84,"176,000","181,000","1,542,000","521,000","498,771",-,"118,000","521,000","32,000","32,000",0,"9,771"
9,12/31/2014,"2,523,000","1,655,000","1,750,000","1,525,000","1,525,000","225,000",-,-,-,"95,000","45,000",-,"50,000",-,-,"868,000","39,000","647,000","647,000","370,000","180,000","17,000","80,000","57,000","122,000","18,000","10,000","40,000",0,0,-,"142,000","-27,000","1,654,000","228,000","171,000","57,000",-,"1,036,000","1,013,000","980,000","33,000","217,000","23,000","390,000",-,"28,000",-,0,-,"-32,000","4,000","870,000","277,000","586,000","593,000","593,000","593,000",-,-,"586,000",3.28,3.16,"179,000","185,000","1,628,000","593,000","573,915",-,"123,000","593,000","28,000","28,000",0,"8,915"
