,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Loss on Extinguishment of Debt,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"3,534,000","2,466,000","2,672,000","2,153,000","2,153,000","519,000",-,-,-,"206,000","102,000","17,000","87,000",-,-,"1,068,000","47,000","869,000","869,000","342,000","233,000","21,000","273,000",-,-,"4,000","13,000",-,"113,000","113,000",-,"22,000","-60,000","1,998,000","225,000","175,000","50,000",-,"1,277,000","1,239,000","1,208,000","31,000",-,"38,000","496,000",-,-,-,-,-,-,"1,476,000","325,000","1,122,000","1,151,000","1,151,000","1,151,000",-,-,"23,000","1,122,000",-,-,-,-,"2,406,000","1,151,000","1,151,000",-,"92,000","1,151,000",-,-,0,0
1,3/31/2023,"990,000","708,000","949,000","777,000","777,000","172,000",-,-,-,"241,000","118,000","66,000","57,000",-,-,"282,000","10,000","209,000","209,000","74,000","58,000","8,000","69,000",-,-,-,-,-,"39,000","39,000",-,"24,000","-30,000","551,000","53,000","41,000","12,000",-,"347,000","339,000","326,000","13,000",-,"8,000","151,000",-,-,-,-,-,-,"409,000","85,000","317,000","324,000","324,000","324,000",-,-,"6,000","317,000",2.41,2.39,"131,535","132,489","678,000","324,000","324,000",-,-,"324,000",-,-,0,0
2,12/31/2022,"1,020,000","742,000","876,000","719,000","719,000","157,000",-,-,-,"134,000","78,000","16,000","40,000",-,-,"278,000","10,000","215,000","215,000","85,000","55,000","7,000","68,000",-,-,"1,000","4,000",-,"23,000","23,000",-,"30,000","-33,000","541,000","67,000","53,000","14,000",-,"339,000","325,000","318,000","7,000",-,"14,000","135,000",-,-,-,-,-,-,"446,000","96,000","342,000","350,000","350,000","350,000",-,-,"6,000","342,000",2.61,2.58,"131,034","132,382","709,000","350,000","350,000",-,"21,000","350,000",-,-,0,0
3,9/30/2022,"985,000","707,000","750,000","597,000","597,000","153,000",-,-,-,"43,000","16,000","1,000","26,000",-,-,"278,000","12,000","220,000","220,000","89,000","58,000","6,000","67,000",-,-,"1,000","4,000",-,"35,000","35,000",-,"11,000","-28,000","502,000","56,000","44,000","12,000",-,"324,000","315,000","307,000","8,000",-,"9,000","122,000",-,-,-,-,-,-,"455,000","104,000","343,000","351,000","351,000","351,000",-,-,"6,000","343,000",2.63,2.60,"131,000","132,000","679,000","351,000","351,000",-,"25,000","351,000",-,-,0,0
4,6/30/2022,"829,000","561,000","577,000","454,000","454,000","123,000",-,-,-,"16,000","4,000",-,"12,000",-,-,"268,000","12,000","224,000","224,000","89,000","62,000","4,000","69,000",-,-,"1,000","2,000",-,"29,000","29,000",-,"3,000","-10,000","482,000","53,000","40,000","13,000",-,"310,000","302,000","294,000","8,000",-,"8,000","119,000",-,-,-,-,-,-,"337,000","76,000","255,000","261,000","261,000","261,000",-,-,"5,000","255,000",1.94,1.92,"131,000","132,000","551,000","261,000","261,000",-,"23,000","261,000",-,-,0,0
5,3/31/2022,"700,000","456,000","469,000","383,000","383,000","86,000",-,-,-,"13,000","4,000",-,"9,000",-,-,"244,000","13,000","210,000","210,000","79,000","58,000","4,000","69,000",-,-,"1,000","3,000",-,"22,000","22,000",-,"-1,000","11,000","467,000","49,000","38,000","11,000",-,"298,000","291,000","283,000","8,000",-,"7,000","120,000",-,"-6,000",-,"6,000",-,-,"238,000","49,000","182,000","189,000","189,000","189,000",-,-,"6,000","182,000",1.39,1.37,"131,000","133,000","467,000","189,000","193,765",-,"23,000","189,000","-6,000","-6,000",0,"-1,235"
6,12/31/2021,"750,000","461,000","474,000","393,000","393,000","81,000",-,-,-,"13,000","5,000",0,"8,000",-,-,"289,000","11,000","222,000","222,000","88,000","60,000","3,000","71,000",-,"66,000","2,000","-2,000",-,"27,000","27,000",-,"29,000","25,000","486,000","56,000","44,000","12,000",-,"307,000","297,000","292,000","5,000",-,"10,000","123,000",-,-,-,-,-,-,"289,000","61,000","221,000","228,000","228,000","228,000",-,-,"6,000","221,000",1.69,1.66,"130,769","132,870","486,000","228,000","228,000",-,"23,000","228,000",-,-,0,0
7,9/30/2021,"755,000","475,000","489,000","411,000","411,000","78,000",-,-,-,"14,000","5,000",0,"9,000",-,-,"280,000","12,000","224,000","224,000","91,000","58,000","3,000","72,000",-,"65,000","3,000","-3,000",-,"20,000","20,000",-,"24,000","42,000","465,000","53,000","40,000","13,000",-,"296,000","286,000","282,000","4,000",-,"10,000","116,000",-,-,-,-,-,-,"332,000","70,000","255,000","262,000","262,000","262,000",-,-,"6,000","255,000",1.92,1.90,"133,000","134,000","517,000","262,000","262,000",-,"25,000","262,000",-,-,0,0
8,6/30/2021,"749,000","465,000","479,000","404,000","404,000","75,000",-,-,-,"14,000","5,000",0,"9,000",-,-,"284,000","9,000","232,000","232,000","84,000","60,000","4,000","84,000",-,"71,000","2,000","2,000",-,"22,000","22,000",-,"21,000","135,000","458,000","51,000","38,000","13,000",-,"293,000","284,000","277,000","7,000",-,"9,000","114,000",-,"-5,000",-,-,-,"5,000","421,000","93,000","321,000","328,000","328,000","328,000",-,-,"5,000","321,000",2.35,2.32,"136,000","138,000","600,000","328,000","331,895",-,"26,000","328,000","-5,000","-5,000",0,"-1,105"
9,3/31/2021,"713,000","443,000","459,000","386,000","386,000","73,000",-,-,-,"16,000","7,000",0,"9,000",-,-,"270,000","11,000","204,000","204,000","76,000","53,000","4,000","71,000",-,"64,000","4,000","2,000",-,"30,000","30,000",-,"25,000","182,000","447,000","51,000","39,000","12,000",-,"294,000","288,000","282,000","6,000",-,"6,000","102,000",-,-,-,-,-,-,"448,000","98,000","343,000","350,000","350,000","350,000",-,-,"6,000","343,000",2.46,2.43,"140,000","141,000","625,000","350,000","350,000",-,"25,000","350,000",-,-,0,0
