,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 4/19/2023Current,6.05B,N/A,4.83,5.38,N/A,1.59,1.08,N/A,N/A
1,3/31/2023,5.73B,N/A,5.13,4.67,N/A,1.63,1.20,N/A,N/A
2,12/31/2022,8.75B,N/A,8.84,6.58,0.31,2.73,1.87,N/A,N/A
3,9/30/2022,9.31B,N/A,10.33,7.90,0.36,3.13,1.54,N/A,N/A
4,6/30/2022,9.60B,N/A,10.07,10.30,3.81,3.35,1.44,N/A,N/A
5,3/31/2022,11.82B,N/A,10.83,14.16,3.94,4.18,1.58,N/A,N/A
6,12/31/2021,11.37B,N/A,10.82,15.41,0.79,4.08,1.53,N/A,N/A
7,9/30/2021,10.55B,N/A,10.58,14.90,0.89,3.86,1.40,N/A,N/A
8,6/30/2021,9.55B,N/A,11.66,12.30,1.05,3.47,1.23,N/A,N/A
9,3/31/2021,10.01B,N/A,21.94,13.00,0.99,3.45,1.31,N/A,N/A
10,12/31/2020,7.77B,N/A,15.39,13.62,N/A,2.63,1.04,N/A,N/A
11,9/30/2020,5.32B,N/A,9.22,11.17,22.34,1.76,0.72,N/A,N/A
12,6/30/2020,5.30B,N/A,7.19,23.64,8.45,1.72,0.72,N/A,N/A
13,3/31/2020,4.08B,N/A,3.73,4.89,1.53,1.33,0.56,N/A,N/A
14,12/31/2019,10.20B,N/A,9.08,9.81,1.64,3.30,1.42,N/A,N/A
15,9/30/2019,9.51B,N/A,8.46,8.30,1.34,3.15,1.30,N/A,N/A
16,6/30/2019,11.20B,N/A,9.41,8.88,1.20,3.60,1.47,N/A,N/A
17,3/31/2019,11.58B,N/A,10.18,9.07,1.08,3.77,1.52,N/A,N/A
18,12/31/2018,11.00B,N/A,11.53,N/A,N/A,3.62,1.41,N/A,N/A
