,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"455,249,000","31,256,000","30,856,000","5,193,000",-,"25,663,000","400,000","400,000",-,-,-,"76,919,000","76,199,000",-,"76,919,000","299,294,000","312,534,000","203,000","57,223,000","217,655,000","37,453,000",-,"13,240,000","2,104,000","2,104,000",-,-,"4,351,000","9,355,000","320,000","4,345,000","4,044,000","646,000","-5,004,000","14,777,000","14,777,000",-,"26,548,000","402,667,000","332,992,000","300,789,000","300,789,000","32,203,000","883,000","527,000","527,000","527,000",-,-,-,"47,832,000","47,832,000",-,"33,000","20,433,000","52,582,000","52,582,000","7,000",0,"7,000","57,184,000","34,725,000","29,418,000","-9,916,000",-,-,-,"100,414,000",-,"52,582,000","33,000","37,805,000","100,414,000","37,805,000","47,832,000","16,976,000","690,334","381,319","159,000","309,016"
1,12/31/2021,"432,381,000","22,054,000","21,746,000","4,164,000",-,"17,582,000","308,000","308,000",-,-,-,"95,261,000","89,117,000",-,"95,261,000","271,798,000","283,228,000","5,888,000","49,660,000","192,418,000","35,262,000",-,"11,430,000","1,460,000","1,460,000",-,-,"4,210,000","8,744,000","336,000","3,854,000","3,822,000","732,000","-4,534,000","14,782,000","14,782,000","531,000","22,816,000","371,352,000","310,980,000","272,937,000","272,937,000","38,043,000","820,000","281,000","281,000","281,000",-,-,-,"42,266,000","42,266,000",-,"53,000","17,005,000","61,029,000","61,029,000","7,000",0,"7,000","51,006,000","34,112,000","24,470,000","374,000",-,-,-,"103,295,000",-,"61,029,000","53,000","46,247,000","103,295,000","46,247,000","42,266,000","20,520,000","685,058","413,859","159,000","271,199"
2,12/31/2020,"421,602,000","40,771,000","40,509,000","4,708,000",-,"35,801,000","262,000","262,000",-,-,-,"100,445,000","99,813,000",-,"100,445,000","238,770,000","254,334,000","2,710,000","45,099,000","175,844,000","30,681,000",-,"15,564,000","1,471,000","1,471,000",-,-,"4,287,000","8,993,000","366,000","3,742,000","4,117,000","768,000","-4,706,000","14,653,000","14,653,000","457,000","21,205,000","361,398,000","305,442,000","274,300,000","274,300,000","31,142,000","668,000","352,000","352,000","352,000",-,-,-,"39,871,000","39,871,000",-,"75,000","15,065,000","60,204,000","60,204,000","7,000",0,"7,000","40,088,000","33,480,000","16,865,000","3,494,000",-,-,-,"100,075,000",-,"60,204,000","75,000","45,551,000","100,075,000","45,551,000","39,871,000",-,"679,933","458,972","159,000","220,961"
3,12/31/2019,"390,365,000","13,749,000","13,407,000","4,129,000",-,"9,278,000","342,000","342,000",-,-,-,"79,213,000","78,710,000",0,"79,213,000","259,001,000","266,209,000","400,000","44,263,000","191,301,000","30,245,000",-,"7,208,000","1,758,000","1,758,000",-,-,"4,378,000","9,188,000","382,000","3,903,000","4,214,000","689,000","-4,810,000","14,653,000","14,653,000","474,000","17,613,000","332,354,000","262,697,000","239,209,000","239,209,000","23,488,000","314,000","439,000","439,000","439,000","7,000,000","7,000,000","7,000,000","55,383,000","55,383,000","7,000,000",-,"13,521,000","58,011,000","58,011,000","7,000",0,"7,000","40,340,000","32,980,000","16,472,000","1,156,000",-,-,-,"113,394,000",-,"58,011,000",-,"43,358,000","113,394,000","43,358,000","55,383,000","41,976,000","672,969","456,562","159,000","216,407"
4,12/31/2018,"372,538,000","13,489,000","13,186,000","4,768,000",-,"8,418,000","303,000","303,000",-,-,-,"82,921,000","45,457,000","36,771,000","46,150,000","239,871,000","247,091,000","1,192,000","41,091,000","175,566,000","29,242,000",-,"7,220,000","1,614,000","1,614,000",-,-,"4,191,000","8,727,000","386,000","3,994,000","3,865,000","482,000","-4,536,000","14,544,000","14,544,000",-,"15,908,000","320,870,000","249,764,000","226,281,000","226,281,000","23,483,000","352,000","458,000","458,000","458,000","9,050,000","9,050,000","9,050,000","58,553,000","58,553,000","9,050,000",-,"11,743,000","51,668,000","51,668,000","7,000",0,"7,000","35,875,000","32,040,000","14,991,000","-1,263,000",-,-,-,"110,221,000",-,"51,668,000",-,"37,124,000","110,221,000","37,124,000","58,553,000","45,367,000","667,969","467,717","139,000","200,252"
5,12/31/2017,"365,693,000","14,352,000","14,040,000","4,458,000",-,"9,582,000","312,000","312,000",-,-,-,"66,639,000","37,031,000","28,984,000","37,655,000","247,942,000","255,444,000","971,000","38,025,000","172,207,000","44,183,000","58,000","7,502,000","1,536,000","1,536,000",-,-,"4,033,000","8,264,000","406,000","3,302,000","3,654,000","902,000","-4,231,000","14,533,000","14,533,000",-,"16,658,000","316,963,000","243,702,000","217,298,000","217,298,000","26,404,000","576,000","413,000","413,000","413,000","8,609,000","8,609,000","8,609,000","59,705,000","59,705,000","8,609,000",-,"12,567,000","48,730,000","48,730,000","7,000",0,"7,000","30,700,000","31,656,000","12,707,000","-926,000",-,-,-,"108,435,000",-,"48,730,000",-,"34,197,000","108,435,000","34,197,000","59,705,000","45,665,000","661,725","485,525","139,000","176,200"
6,12/31/2016,"357,033,000","12,493,000","9,976,000","4,185,000",-,"5,791,000","2,517,000","2,517,000",-,-,-,"66,449,000","39,218,000","25,712,000","40,737,000","240,126,000","246,629,000","1,043,000","39,824,000","157,022,000","48,676,000","64,000","6,503,000","1,351,000","1,351,000",-,-,"3,675,000","7,487,000","423,000","2,958,000","3,515,000","591,000","-3,812,000","14,519,000","14,519,000",-,"18,420,000","309,519,000","236,768,000","211,266,000","211,266,000","25,502,000","992,000","327,000","327,000","327,000","17,179,000","17,179,000","17,179,000","59,468,000","59,468,000","17,179,000","32,000","11,964,000","47,514,000","47,514,000","7,000",0,"7,000","29,766,000","31,157,000","12,467,000","-949,000",-,-,-,"106,982,000",-,"47,514,000","32,000","32,995,000","106,982,000","32,995,000","59,468,000","49,492,000","653,718","480,200","139,000","173,518"
7,12/31/2015,"334,048,000","9,040,000","7,984,000","3,407,000",-,"4,577,000","1,017,000","1,017,000","39,000","39,000",-,"63,680,000",-,"24,619,000","39,061,000","225,625,000","230,755,000","904,000","37,135,000","141,270,000","51,358,000","88,000","5,130,000","1,189,000","1,189,000",-,-,"3,584,000","6,999,000","458,000","2,674,000","3,353,000","514,000","-3,415,000","14,480,000","14,480,000",-,"16,450,000","286,764,000","217,721,000","191,874,000","191,874,000","25,847,000","981,000","299,000","299,000","299,000","20,098,000","20,098,000","20,098,000","58,134,000","58,134,000","20,098,000","33,000","9,629,000","47,284,000","47,284,000","6,000",0,"6,000","27,045,000","29,655,000","8,806,000","-616,000",-,-,-,"105,418,000",-,"47,284,000","33,000","32,804,000","105,418,000","32,804,000","58,134,000","50,150,000","648,317","527,260","95,000","121,057"
8,12/31/2014,"308,854,000","7,476,000","7,242,000","3,147,000",-,"4,095,000","234,000","234,000",-,0,-,"62,008,000",-,"22,500,000","39,508,000","204,559,000","208,942,000","626,000","26,972,000","127,280,000","53,953,000","111,000","4,383,000","1,435,000","1,435,000",-,-,"3,685,000","6,882,000","552,000","2,577,000","3,286,000","467,000","-3,197,000","13,978,000","13,978,000",-,"15,713,000","263,801,000","205,548,000","180,467,000","180,467,000","25,081,000","880,000","317,000","317,000","317,000",-,-,-,"47,577,000","47,577,000",-,-,"9,479,000","45,053,000","45,053,000","6,000",0,"6,000","23,973,000","27,869,000","6,365,000","-430,000",-,-,-,"92,630,000",-,"45,053,000",-,"31,075,000","92,630,000","31,075,000","47,577,000","40,335,000","643,557","553,391","75,000","90,166"
9,12/31/2013,"297,048,000","7,165,000","5,952,000","2,821,000",-,"3,131,000","874,000","874,000","339,000","339,000",-,"60,932,000",-,"19,132,000","41,800,000","193,102,000","197,417,000","218,000","23,309,000","116,785,000","56,984,000","121,000","4,315,000","1,418,000","1,418,000",-,-,"3,839,000","7,183,000","569,000","2,388,000","3,506,000","720,000","-3,344,000","13,978,000","13,978,000",-,"16,614,000","255,304,000","204,523,000","181,880,000","181,880,000","22,643,000","915,000","307,000","307,000","307,000",-,-,-,"39,739,000","39,739,000",-,-,"9,820,000","41,744,000","41,744,000","6,000",0,"6,000","20,404,000","26,526,000","4,320,000","-872,000",-,-,-,"81,483,000",-,"41,744,000",-,"27,766,000","81,483,000","27,766,000","39,739,000","33,787,000","637,152","572,675","35,000","64,476"
