,Breakdown,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"471,660,000","417,007,000","54,653,000","102,888,000",-,"54,653,000",-,"39,874,000","102,888,000","39,874,000","48,235,000","1,722,000","381,319","381,319","159,000",-
1,12/31/2022,"455,249,000","402,667,000","52,582,000","100,414,000",-,"52,582,000","33,000","37,805,000","100,414,000","37,805,000","47,832,000","16,976,000","690,334","381,319","159,000","309,016"
2,9/30/2022,"444,232,000","393,371,000","50,861,000","104,940,000",-,"50,861,000","38,000","36,090,000","104,940,000","36,090,000","54,079,000","29,187,000","689,413","381,976","159,000","307,437"
3,6/30/2022,"440,288,000","386,878,000","53,410,000","111,908,000",-,"53,410,000","43,000","38,632,000","111,908,000","38,632,000","58,498,000","36,945,000","688,277","383,818","159,000","304,460"
4,3/31/2022,"434,195,000","377,850,000","56,345,000","101,109,000",-,"56,345,000",-,"41,561,000","101,109,000","41,561,000","44,764,000","17,960,000","687,602","398,988","159,000","288,614"
5,12/31/2021,"432,381,000","371,352,000","61,029,000","103,295,000",-,"61,029,000","53,000","46,247,000","103,295,000","46,247,000","42,266,000","20,520,000","685,058","413,859","159,000","271,199"
6,9/30/2021,"425,377,000","361,833,000","63,544,000","100,220,000",-,"63,544,000","58,000","48,892,000","100,220,000","48,892,000","36,676,000","10,052,000","430,400","430,400","186,000",-
7,6/30/2021,"423,420,000","358,796,000","64,624,000","100,122,000",-,"64,624,000",-,"49,970,000","100,122,000","49,970,000","35,498,000","652,000","446,114","446,114","186,000",-
8,3/31/2021,"425,175,000","363,987,000","61,188,000","98,796,000",-,"61,188,000",-,"46,534,000","98,796,000","46,534,000","37,608,000",-,"682,762","456,801","159,000","225,961"
9,12/31/2020,"421,602,000","361,398,000","60,204,000","100,075,000",-,"60,204,000","75,000","45,551,000","100,075,000","45,551,000","39,871,000",-,"679,933","458,972","159,000","220,961"
