,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Cash from Discontinued Operating Activities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Cash from Discontinued Investing Activities,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Cash from Discontinued Financing Activities,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"13,809,000","13,812,000","7,360,000","-187,000",-,"9,000","-196,000","3,210,000","3,210,000","-772,000","-772,000","897,000",-,"314,000","5,847,000","-2,857,000","-641,000","-641,000","246,000","246,000","246,000","-2,973,000","511,000","-3,000","-29,738,000","-29,738,000","6,794,000","-14,850,000","21,644,000","-33,794,000","2,091,000","-35,885,000","-934,000","-934,000","-1,176,000","-1,176,000",-,"-628,000",-,"25,131,000","25,131,000","8,423,000","8,423,000","31,044,000","-22,621,000",-,"-4,672,000","276,000","-4,948,000",0,0,0,"-1,178,000","-950,000","-228,000","19,000",-,-,-,"31,256,000","9,202,000","22,054,000",-,"1,852,000","3,609,000","-934,000","276,000","31,044,000","-22,621,000","-4,948,000","12,875,000"
1,12/31/2022,"13,809,000","13,812,000","7,360,000","-187,000",-,"9,000","-196,000","3,210,000","3,210,000","-772,000","-772,000","897,000",-,"314,000","5,847,000","-2,857,000","-641,000","-641,000","246,000","246,000","246,000","-2,973,000","511,000","-3,000","-29,738,000","-29,738,000","6,794,000","-14,850,000","21,644,000","-33,794,000","2,091,000","-35,885,000","-934,000","-934,000","-1,176,000","-1,176,000",-,"-628,000",-,"25,131,000","25,131,000","8,423,000","8,423,000","31,044,000","-22,621,000",-,"-4,672,000","276,000","-4,948,000",0,0,0,"-1,178,000","-950,000","-228,000","19,000",-,-,-,"31,256,000","9,202,000","22,054,000",-,"1,852,000","3,609,000","-934,000","276,000","31,044,000","-22,621,000","-4,948,000","12,875,000"
2,12/31/2021,"12,310,000","12,316,000","12,390,000","-1,000",-,"-2,000","1,000","3,481,000","3,481,000","605,000","605,000","28,000",-,"331,000","-1,944,000","-2,574,000","17,000","17,000","-71,000","-71,000","-71,000","-4,114,000","1,594,000","-6,000","-31,501,000","-31,501,000","1,861,000","-27,884,000","29,745,000","-31,327,000","2,506,000","-33,833,000","-698,000","-698,000","-669,000","-669,000",-,"-668,000",-,"474,000","474,000","3,554,000","3,554,000","10,847,000","-7,293,000",-,"-7,352,000","253,000","-7,605,000","-48,000","2,052,000","-2,100,000","-1,422,000","-1,148,000","-274,000","55,000",-,-,-,"22,054,000","-18,717,000","40,771,000",-,"2,527,000","2,158,000","-698,000","2,305,000","10,847,000","-7,293,000","-9,705,000","11,612,000"
3,12/31/2020,"16,699,000","16,696,000","2,714,000","-31,000",-,"-25,000","-6,000","3,501,000","3,501,000","-1,627,000","-1,627,000","-719,000",-,"203,000","10,264,000","2,391,000","287,000","287,000","-87,000","-87,000","-87,000","979,000","1,212,000","3,000","-14,841,000","-14,841,000","-19,890,000","-43,026,000","23,136,000","6,588,000","6,588,000",-,"-710,000","-710,000","-7,000","-7,000",-,"-822,000",-,"25,164,000","25,164,000","-16,480,000","-16,480,000","5,235,000","-21,715,000",-,"-152,000","241,000","-393,000","-45,000","1,330,000","-1,375,000","-740,000","-460,000","-280,000","62,000",-,-,-,"40,771,000","27,022,000","13,749,000",-,"988,000","3,580,000","-710,000","1,571,000","5,235,000","-21,715,000","-1,768,000","15,989,000"
4,12/31/2019,"16,639,000","16,632,000","5,546,000","-76,000",-,"-26,000","-50,000","3,339,000","3,339,000","-296,000","-296,000","870,000",-,"239,000","6,236,000","774,000","-63,000","-63,000","-19,000","-19,000","-19,000","662,000","194,000","7,000","-22,998,000","-22,998,000","5,882,000","-12,501,000","18,383,000","-18,723,000","2,557,000","-21,280,000","-887,000","-887,000","-8,393,000","-8,393,000",-,"-877,000",-,"6,619,000","6,619,000","-4,186,000","-4,186,000","10,798,000","-14,984,000",-,"-1,282,000","199,000","-1,481,000","462,000","1,462,000","-1,000,000","-1,035,000","-753,000","-282,000","17,000","17,000",-,-,"13,749,000","260,000","13,489,000",-,"626,000","4,790,000","-887,000","1,661,000","10,798,000","-14,984,000","-2,481,000","15,752,000"
5,12/31/2018,"12,978,000","12,984,000","6,015,000","-339,000",-,"209,000","-548,000","2,396,000","2,396,000","714,000","714,000","-722,000",-,"170,000","5,856,000","-1,106,000","-74,000","-74,000","45,000","45,000","45,000","476,000","-1,553,000","-6,000","-15,618,000","-15,618,000","-16,860,000","-33,188,000","16,328,000","3,518,000","2,503,000","1,015,000","-874,000","-874,000","-600,000","-600,000",-,"-802,000",-,"1,777,000","1,777,000","-1,191,000","-1,191,000","6,974,000","-8,165,000",-,"-2,109,000","175,000","-2,284,000",0,0,-,"-1,038,000","-773,000","-265,000","38,000","38,000",-,-,"13,489,000","-863,000","14,352,000",-,"407,000","3,933,000","-874,000","175,000","6,974,000","-8,165,000","-2,284,000","12,104,000"
6,12/31/2017,"14,182,000","14,543,000","1,982,000","-137,000",-,"-70,000","-72,000","2,440,000","2,440,000","1,434,000","1,434,000","658,000",-,"244,000","7,551,000","371,000","-157,000","-157,000","85,000","85,000","85,000","-714,000","1,157,000","-361,000","-15,541,000","-15,541,000","-309,000","-18,297,000","17,988,000","-10,364,000","1,951,000","-12,315,000","-1,018,000","-1,018,000","-3,187,000","-3,187,000",-,"-663,000",-,"3,218,000","3,218,000","-2,778,000","-2,778,000","41,409,000","-44,187,000",-,"-76,000","164,000","-240,000",0,0,-,"-1,045,000","-780,000","-265,000","124,000","124,000",-,-,"14,352,000","1,859,000","12,493,000",-,"1,187,000","2,772,000","-1,018,000","164,000","41,409,000","-44,187,000","-240,000","13,164,000"
7,12/31/2016,"11,856,000","11,831,000","3,751,000","-69,000",-,"-6,000","-80,000","2,428,000","2,428,000","-686,000","-686,000","-266,000",-,"239,000","6,459,000","-25,000","-159,000","-159,000","28,000","28,000","28,000","-1,907,000","2,013,000","25,000","-25,630,000","-25,630,000","-3,247,000","-17,941,000","14,694,000","-20,543,000","1,493,000","-22,036,000","-779,000","-779,000","-629,000","-629,000",-,"-432,000",-,"15,727,000","15,727,000","1,544,000","1,533,000","29,243,000","-27,710,000","11,000","-3,530,000","131,000","-3,661,000","1,066,000","1,066,000",-,"-1,026,000","-812,000","-214,000","142,000","-1,500,000",-,-,"9,976,000","1,953,000","8,023,000",-,"2,121,000","2,250,000","-779,000","1,197,000","29,243,000","-27,710,000","-3,661,000","11,077,000"
8,12/31/2015,"10,127,000","10,206,000","4,050,000","-54,000",-,"2,000","-86,000","2,100,000","2,100,000",-,-,"-137,000",-,"161,000","4,536,000","-450,000","-72,000","-72,000","45,000","45,000","45,000","-998,000","575,000","-79,000","-29,726,000","-29,726,000","-2,193,000","-16,477,000","14,284,000","-17,077,000","1,498,000","-18,575,000","-532,000","-532,000","-9,314,000","-9,314,000",-,"-610,000",-,"20,380,000","20,380,000","10,747,000","10,747,000","36,892,000","-26,145,000",-,"-2,330,000","111,000","-2,441,000","1,472,000","1,472,000",-,"-974,000","-816,000","-158,000","85,000","-783,000",-,-,"8,023,000","781,000","7,242,000",-,"1,732,000","1,643,000","-532,000","1,583,000","36,892,000","-26,145,000","-2,441,000","9,595,000"
9,12/31/2014,"9,304,000","9,491,000","4,428,000","-45,000",-,"-21,000","-48,000","2,002,000","2,002,000",-,-,"-254,000",0,"205,000","3,541,000","-386,000","-17,000","-17,000","10,000","10,000","10,000","-308,000","-71,000","-187,000","-15,991,000","-15,991,000","-621,000","-17,477,000","16,856,000","-14,981,000","1,582,000","-16,563,000","-502,000","-502,000","-24,000","-24,000",-,"137,000",-,"7,638,000","7,638,000","7,557,000","7,557,000","12,924,000","-5,367,000",-,"-1,945,000","100,000","-2,045,000","969,000","969,000",-,"-746,000","-679,000","-67,000","146,000","640,000",-,-,"7,242,000","951,000","6,291,000",-,"1,603,000","1,569,000","-502,000","1,069,000","12,924,000","-5,367,000","-2,045,000","8,802,000"
10,12/31/2013,"9,984,000","10,239,000","4,159,000","2,000",-,"-7,000","-32,000","2,065,000","2,065,000",-,-,"193,000",0,"240,000","3,453,000","127,000","276,000","276,000","-143,000","-143,000","-143,000","-245,000","239,000","-255,000","3,721,000","3,721,000","407,000","-16,062,000","16,469,000","3,880,000","3,880,000",-,"-818,000","-818,000","-204,000","-204,000",-,"456,000",-,"-18,472,000","-18,472,000","-8,608,000","-8,608,000","4,263,000","-12,871,000",-,"-952,000","81,000","-1,033,000",0,0,-,"-608,000","-555,000","-53,000","114,000","-446,000",-,-,"6,291,000","-4,767,000","11,058,000",-,"1,721,000","1,936,000","-818,000","81,000","4,263,000","-12,871,000","-1,033,000","9,166,000"
