,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Cash from Discontinued Operating Activities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Cash from Discontinued Investing Activities,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Cash from Discontinued Financing Activities,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"13,809,000","13,812,000","7,360,000","-187,000","9,000","-196,000","3,210,000","3,210,000","-772,000","-772,000","897,000",-,"314,000","5,847,000","-2,857,000","-641,000","-641,000","246,000","246,000","246,000","-2,973,000","511,000",-,"-3,000","-29,738,000","-29,738,000","6,794,000","-14,850,000","21,644,000","-33,794,000","2,091,000","-35,885,000","-934,000","-934,000","-1,176,000","-1,176,000",-,"-628,000",-,"25,131,000","25,131,000","8,423,000","8,423,000","31,044,000","-22,621,000",-,"-4,672,000","276,000","-4,948,000",0,0,0,"-1,178,000","-950,000","-228,000","19,000",-,-,-,"31,256,000","9,202,000","22,054,000",-,"1,852,000","3,609,000","-934,000","276,000","31,044,000","-22,621,000","-4,948,000","12,875,000"
1,3/31/2023,"2,992,000","2,992,000","960,000","-5,000",0,"-5,000","1,251,000","1,251,000","-169,000","-169,000","-159,000",-,"154,000","2,795,000","-1,835,000","-131,000","-131,000","94,000","94,000","94,000","398,000","-2,196,000",-,-,"-2,994,000","-2,994,000","-3,853,000","-5,843,000","1,990,000","3,942,000","3,942,000",-,"-235,000","-235,000","-2,539,000","-2,539,000",-,"-309,000",-,"15,719,000","15,719,000","-468,000","-468,000","3,489,000","-3,957,000",-,"-170,000","76,000","-246,000",-,-,-,"-291,000","-234,000","-57,000",0,-,-,-,"46,973,000","15,717,000","31,256,000",-,"103,000","2,084,000","-235,000","76,000","3,489,000","-3,957,000","-246,000","2,757,000"
2,12/31/2022,"8,157,000","8,159,000","1,232,000","-3,000",0,"-3,000","843,000","843,000","-401,000","-401,000","1,529,000",-,"76,000","2,416,000","2,467,000","-251,000","-251,000","94,000","94,000","94,000","2,925,000","-301,000",-,"-2,000","-11,447,000","-11,447,000","-1,067,000","-3,236,000","2,169,000","-9,956,000","460,000","-10,416,000","-290,000","-290,000","-49,000",-,-,"-85,000",-,"9,255,000","9,255,000","-6,138,000","-6,138,000","1,543,000","-7,681,000",-,"-95,000","62,000","-157,000",0,0,0,"-288,000","-231,000","-57,000","8,000",-,-,-,"31,256,000","5,965,000","25,291,000",-,"861,000","1,682,000","-290,000","62,000","1,543,000","-7,681,000","-157,000","7,867,000"
3,9/30/2022,"2,777,000","2,777,000","1,694,000","-9,000","3,000","-12,000","744,000","744,000","-360,000","-360,000","-966,000",-,"66,000","1,669,000","-61,000","-239,000","-239,000","100,000","100,000","100,000","-320,000","398,000",-,0,"-5,789,000","-5,789,000","3,190,000","-3,916,000","7,106,000","-7,578,000","539,000","-8,117,000","-221,000","-221,000","-1,127,000",-,-,"-53,000",-,"6,053,000","6,053,000","-3,109,000","-3,109,000","5,490,000","-8,599,000",-,"-243,000","76,000","-319,000",0,0,-,"-289,000","-232,000","-57,000","10,000",-,-,-,"25,291,000","3,041,000","22,250,000",-,"518,000","958,000","-221,000","76,000","5,490,000","-8,599,000","-319,000","2,556,000"
4,6/30/2022,"2,954,000","2,955,000","2,031,000","12,000","7,000","5,000","784,000","784,000","-198,000","-198,000","205,000",-,"65,000","1,085,000","-1,029,000","-132,000","-132,000","72,000","72,000","72,000","-862,000","-107,000",-,"-1,000","-14,275,000","-14,275,000","3,131,000","-3,870,000","7,001,000","-16,918,000","434,000",-,"-193,000","-193,000",-,-,-,"-295,000",-,"6,486,000","6,486,000","14,171,000","14,171,000","14,957,000","-786,000",-,"-1,918,000","70,000","-1,988,000",-,-,-,"-293,000","-236,000","-57,000",0,-,-,-,"22,250,000","-4,835,000","27,085,000",-,"393,000","460,000","-193,000","70,000","14,957,000","-786,000","-1,988,000","2,761,000"
5,3/31/2022,"-79,000","-79,000","2,403,000","-187,000","-1,000","-186,000","839,000","839,000","187,000","187,000","129,000",-,"107,000","677,000","-4,234,000","-19,000","-19,000","-20,000","-20,000","-20,000","-4,716,000","521,000",-,0,"1,773,000","1,773,000","1,540,000","-3,828,000","5,368,000","658,000","658,000",-,"-230,000","-230,000",-,-,-,"-195,000",-,"3,337,000","3,337,000","3,499,000","3,499,000","9,054,000","-5,555,000",-,"-2,416,000","68,000","-2,484,000",-,-,-,"-308,000","-251,000","-57,000","1,000",-,-,-,"27,085,000","5,031,000","22,054,000",-,"80,000","509,000","-230,000","68,000","9,054,000","-5,555,000","-2,484,000","-309,000"
6,12/31/2021,"4,662,000","4,662,000","2,425,000","13,000","4,000","9,000","853,000","853,000","25,000","25,000","804,000",-,"61,000","381,000","100,000","-42,000","-42,000","40,000","40,000","40,000","719,000","-617,000",-,0,"-16,455,000","-16,455,000","1,282,000","-5,933,000","7,215,000","-17,043,000","605,000","-17,648,000","-194,000","-194,000","-118,000",-,-,"-382,000",-,"6,989,000","6,989,000","5,917,000","5,917,000","6,721,000","-804,000",-,"-2,590,000","62,000","-2,652,000","-1,101,000","-1,000","-1,100,000","-328,000","-254,000","-74,000","1,000",-,-,-,"22,054,000","-4,804,000","26,858,000",-,"855,000","455,000","-194,000","61,000","6,721,000","-804,000","-3,752,000","4,468,000"
7,9/30/2021,"1,954,000","1,957,000","3,104,000","-5,000","-2,000","-3,000","914,000","914,000","6,000","6,000","-1,288,000",-,"64,000","-342,000","-496,000","-40,000","-40,000","-60,000","-60,000","-60,000","-1,650,000","1,254,000",-,"-3,000","-7,355,000","-7,355,000","4,027,000","-3,766,000","7,793,000","-10,432,000","593,000","-11,025,000","-163,000","-163,000","-527,000",-,-,"-260,000",-,"-2,829,000","-2,829,000","1,334,000","1,334,000","3,965,000","-2,631,000",-,"-2,639,000","71,000","-2,710,000","-588,000","412,000","-1,000,000","-608,000","-529,000","-79,000","20,000",-,-,-,"26,858,000","-8,230,000","35,088,000",-,"659,000","558,000","-163,000","483,000","3,965,000","-2,631,000","-3,710,000","1,791,000"
8,6/30/2021,"4,058,000","4,060,000","3,536,000",0,0,0,"859,000","859,000","229,000","229,000","709,000",-,"87,000","-1,160,000","-200,000","8,000","8,000","13,000","13,000","13,000","-1,613,000","1,392,000",-,"-2,000","-14,963,000","-14,963,000","-3,177,000","-10,304,000","7,127,000","-11,521,000","-6,361,000",-,"-163,000","-163,000",-,-,-,"-78,000",-,"-6,281,000","-6,281,000","-2,095,000","-2,095,000","-8,000","-2,087,000",-,"-1,608,000","60,000","-1,668,000","1,641,000","1,641,000",0,"-241,000","-181,000","-60,000","15,000",-,-,-,"35,088,000","-17,186,000","52,274,000",-,"902,000","508,000","-163,000","1,701,000","-8,000","-2,087,000","-1,668,000","3,895,000"
9,3/31/2021,"1,636,000","1,637,000","3,325,000","-9,000","-4,000","-5,000","855,000","855,000","345,000","345,000","-197,000",-,"119,000","-823,000","-1,978,000","91,000","91,000","-64,000","-64,000","-64,000","-1,570,000","-435,000",-,"-1,000","7,272,000","7,272,000","-271,000","-7,881,000","7,610,000","7,669,000","7,669,000",-,"-178,000","-178,000",-,-,-,"52,000",-,"2,595,000","2,595,000","-1,602,000","-1,602,000","169,000","-1,771,000",-,"-515,000","60,000","-575,000",0,0,0,"-245,000","-184,000","-61,000","19,000",-,-,-,"52,274,000","11,503,000","40,771,000",-,"111,000","637,000","-178,000","60,000","169,000","-1,771,000","-575,000","1,458,000"
