,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Other Customer Services,Fees & Commission Expense,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"34,250,000","27,114,000","31,237,000","28,910,000","28,910,000","1,884,000",-,"443,000","4,123,000","2,535,000",-,"1,588,000",-,-,"7,136,000","6,424,000","6,424,000","6,424,000",-,-,-,"243,000","51,000","192,000","469,000","-5,847,000","19,091,000","2,050,000",-,-,"1,807,000","12,442,000","8,425,000","8,425,000",-,"4,017,000","70,000","70,000","70,000","70,000","2,722,000","-72,000",-,"72,000",-,-,"-177,000",-,"9,240,000","1,880,000","7,044,000","7,360,000","7,360,000","7,360,000",0,-,"228,000","7,044,000",-,-,-,-,"21,267,000","7,360,000","7,417,384",-,"3,210,000","7,360,000","-72,000","-72,000",0,"-14,616"
1,12/31/2022,"34,250,000","27,114,000","31,237,000","28,910,000","28,910,000","1,884,000",-,"443,000","4,123,000","2,535,000",-,"1,588,000",-,-,"7,136,000","6,231,000","6,231,000","6,231,000",-,-,-,"243,000","51,000","192,000","905,000","-5,847,000","19,412,000","2,050,000",-,-,"1,807,000","12,442,000","8,425,000","8,425,000",-,"4,017,000","70,000","70,000","70,000","70,000","3,043,000","249,000",-,"-72,000",-,-,"-177,000",-,"9,240,000","1,880,000","7,044,000","7,360,000","7,360,000","7,360,000",0,-,"228,000","7,044,000",17.98,17.91,"391,800","393,200","21,267,000","7,360,000","7,161,547",-,"70,000","7,360,000","249,000","249,000",0,"50,547"
2,12/31/2021,"30,435,000","24,171,000","25,769,000","24,263,000","24,263,000","1,446,000",-,"60,000","1,598,000","956,000",-,"642,000",-,-,"6,264,000","5,438,000","5,438,000","5,438,000",-,-,-,"2,000","2,000",-,"824,000","1,944,000","16,470,000","2,003,000",-,-,"1,440,000","10,292,000","7,421,000","7,421,000",-,"2,871,000","29,000","29,000","29,000","29,000","2,706,000","-100,000",-,-,-,-,"100,000",-,"15,809,000","3,415,000","11,965,000","12,390,000","12,390,000","12,394,000","-4,000",-,"274,000","11,965,000",27.04,26.94,"442,500","444,200","26,115,000","12,390,000","12,472,400",-,"29,000","12,394,000","-100,000","-100,000",0,"-21,600"
3,12/31/2020,"28,523,000","22,913,000","26,033,000","24,074,000","24,074,000","1,877,000",-,"82,000","3,120,000","2,165,000",-,"955,000",-,-,"5,610,000","4,260,000","4,260,000","4,260,000",-,"590,000",-,"25,000","25,000",-,"1,325,000","-10,264,000","14,716,000","2,118,000",-,-,"1,312,000","8,415,000","6,805,000","6,805,000","1,215,000","1,610,000","60,000","60,000","60,000","60,000","2,811,000","-340,000",-,-,-,-,"340,000",-,"3,203,000","486,000","2,375,000","2,714,000","2,714,000","2,717,000","-3,000",-,"280,000","2,375,000",5.19,5.18,"457,800","458,900","12,649,000","2,714,000","3,005,320",-,"60,000","2,717,000","-340,000","-340,000",0,"-51,680"
4,12/31/2019,"28,593,000","23,340,000","28,513,000","25,862,000","25,862,000","2,411,000",-,"240,000","5,173,000","3,420,000",-,"1,753,000",-,-,"5,253,000","4,509,000","4,509,000","4,509,000",-,"762,000",-,"26,000","26,000",-,"718,000","-6,236,000","14,994,000","2,098,000",-,-,"1,237,000","8,662,000","6,388,000","6,388,000","1,290,000","2,274,000","112,000","112,000","112,000","112,000","2,885,000","-489,000",-,"239,000",-,-,"250,000",-,"6,874,000","1,341,000","5,192,000","5,546,000","5,546,000","5,533,000","13,000",-,"282,000","5,192,000",11.10,11.05,"467,600","469,900","17,104,000","5,546,000","5,926,645",-,"112,000","5,533,000","-489,000","-489,000",0,"-95,355"
5,12/31/2018,"27,461,000","22,875,000","27,176,000","24,728,000","24,728,000","2,211,000",-,"237,000","4,301,000","2,598,000",-,"1,703,000",-,-,"4,586,000","4,408,000","4,408,000","4,408,000",-,"903,000",-,"-209,000","-209,000",-,"387,000","-5,856,000","14,599,000","2,118,000",-,-,"1,145,000","7,901,000","5,727,000","5,727,000","1,260,000","2,174,000","174,000","174,000","174,000","174,000","3,261,000","312,000","615,000","34,000",-,-,"269,000",-,"7,318,000","1,293,000","5,710,000","6,015,000","6,015,000","6,025,000","-10,000",-,"265,000","5,710,000",11.90,11.82,"479,900","483,100","17,019,000","6,015,000","5,768,224",-,"174,000","6,025,000","312,000","312,000",0,"55,224"
6,12/31/2017,"27,237,000","22,460,000","25,222,000","23,388,000","23,388,000","1,711,000",-,"123,000","2,762,000","1,602,000",-,"1,160,000",-,-,"4,777,000","4,170,000","4,170,000","4,170,000",-,"990,000",-,"65,000","65,000",-,"542,000","-7,551,000","13,763,000","1,939,000",-,-,"1,097,000","7,569,000","5,899,000","5,899,000","1,177,000","1,670,000","245,000","245,000","245,000","245,000","2,913,000","-431,000",-,"301,000",-,-,"130,000",-,"5,492,000","3,375,000","1,704,000","1,982,000","1,982,000","2,117,000","-135,000",-,"265,000","1,704,000",3.52,3.49,"484,200","488,600","14,909,000","1,982,000","2,375,600",-,"245,000","2,117,000","-431,000","-431,000",0,"-172,400"
7,12/31/2016,"25,501,000","20,873,000","22,891,000","21,203,000","21,203,000","1,599,000",-,"89,000","2,018,000","1,213,000",-,"805,000",-,-,"4,628,000","4,098,000","4,098,000","4,098,000",-,"853,000",-,"-11,000","-11,000",-,"541,000","-6,459,000","13,558,000","1,944,000",-,-,"1,075,000","7,013,000","5,202,000","5,202,000","1,169,000","1,811,000","386,000","386,000","386,000","386,000","3,140,000","-17,000",-,-,"17,000",-,"331,000",-,"5,484,000","1,714,000","3,513,000","3,751,000","3,751,000","3,770,000","-19,000",-,"214,000","3,513,000",6.96,6.89,"504,900","509,800","14,414,000","3,751,000","3,770,000",-,"386,000","3,770,000","-17,000","-17,000",0,0
8,12/31/2015,"23,413,000","18,834,000","20,459,000","18,785,000","18,785,000","1,575,000",-,"99,000","1,625,000","1,091,000",-,"534,000",-,-,"4,579,000","3,950,000","3,950,000","3,950,000",-,"766,000",-,"-30,000","-30,000",-,"659,000","-4,536,000","12,849,000","1,829,000",-,-,"1,292,000","6,719,000","4,975,000","4,975,000","883,000","1,744,000","430,000","430,000","430,000","430,000","2,579,000","-147,000",-,"147,000",-,-,"316,000",-,"5,881,000","1,869,000","3,872,000","4,050,000","4,050,000","4,012,000","38,000",-,"158,000","3,872,000",7.15,7.07,"541,800","548,000","14,298,000","4,050,000","4,112,254",-,"430,000","4,012,000","-147,000","-147,000",0,"-46,746"
9,12/31/2014,"22,290,000","17,818,000","19,397,000","17,662,000","17,662,000","1,628,000",-,"107,000","1,579,000","1,088,000",-,"491,000",-,-,"4,472,000","3,888,000","3,888,000","3,888,000",-,"837,000",-,"-24,000","-24,000",-,"608,000","-3,541,000","12,116,000","1,745,000",-,-,"1,216,000","6,154,000","4,593,000","4,593,000","798,000","1,561,000","532,000","532,000","532,000","532,000","2,469,000","-64,000",-,"64,000",0,-,"275,000",-,"6,569,000","2,146,000","4,343,000","4,428,000","4,428,000","4,423,000","5,000",-,"67,000","4,343,000",7.71,7.59,"563,100","571,900","14,277,000","4,428,000","4,466,072",-,"532,000","4,423,000","-64,000","-64,000",0,"-20,928"
