,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Other Customer Services,Fees & Commission Expense,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"34,250,000","27,114,000","31,237,000","28,910,000","28,910,000","1,884,000",-,"443,000","4,123,000","2,535,000",-,"1,588,000",-,-,"7,136,000","6,424,000","6,424,000","6,424,000",-,-,-,"243,000","51,000","192,000",-,"469,000","-5,847,000","19,091,000","2,050,000",-,-,"1,807,000","12,442,000","8,425,000","8,425,000",-,-,"4,017,000","70,000","70,000","70,000","70,000","2,722,000","-72,000",-,"72,000",-,"-177,000",-,"9,240,000","1,880,000","7,044,000","7,360,000","7,360,000","7,360,000",0,-,"228,000","7,044,000",-,-,-,-,"21,267,000","7,360,000","7,417,384",-,"3,210,000","7,360,000","-72,000","-72,000",0,"-14,616"
1,3/31/2023,"8,903,000","7,186,000","9,754,000","8,723,000","8,723,000","615,000",-,"416,000","2,568,000","1,856,000",-,"712,000",-,-,"1,717,000","1,518,000","1,518,000","1,518,000",-,-,-,"117,000","117,000",-,-,"199,000","-2,795,000","4,945,000","508,000",-,-,"324,000","3,324,000","2,427,000","2,427,000",-,-,"897,000","14,000","14,000","14,000","14,000","775,000",-,-,-,-,-,-,"1,163,000","203,000","887,000","960,000","960,000","960,000",0,-,"57,000","887,000",2.32,2.31,"382,600","383,800","4,391,000","960,000","960,000",-,"14,000","960,000",-,-,0,0
2,12/31/2022,"9,040,000","7,197,000","9,158,000","8,360,000","8,360,000","548,000",-,"250,000","1,961,000","1,335,000",-,"626,000",-,-,"1,843,000","1,572,000","1,572,000","1,572,000",-,-,-,"280,000","88,000",-,-,"271,000","-2,416,000","5,329,000","554,000",-,-,"481,000","3,384,000","2,266,000","2,266,000",-,-,"1,118,000","25,000","25,000","25,000","25,000","885,000","249,000",-,"-72,000",-,"-177,000",-,"1,544,000","312,000","1,161,000","1,232,000","1,232,000","1,232,000",0,-,"57,000","1,161,000",3.03,3.03,"382,600","383,700","4,781,000","1,232,000","1,033,298",-,"25,000","1,232,000","249,000","249,000",0,"50,298"
3,9/30/2022,"8,805,000","7,003,000","8,200,000","7,578,000","7,578,000","499,000",-,"123,000","1,197,000","689,000",-,"508,000",-,-,"1,802,000","1,610,000","1,610,000","1,610,000",-,-,-,"7,000","7,000",-,-,"192,000","-1,669,000","4,949,000","502,000",-,-,"471,000","3,165,000","2,187,000","2,187,000",-,-,"978,000","17,000","17,000","17,000","17,000","794,000",0,-,-,-,-,-,"2,187,000","493,000","1,616,000","1,694,000","1,694,000","1,694,000",0,-,"57,000","1,616,000",4.21,4.20,"383,400","384,600","5,334,000","1,694,000","1,694,000",-,"17,000","1,694,000",0,0,0,0
4,6/30/2022,"8,232,000","6,517,000","7,095,000","6,605,000","6,605,000","435,000",-,"55,000","578,000","293,000",-,"285,000",-,-,"1,715,000","1,616,000","1,616,000","1,616,000",-,-,-,"-26,000","-26,000",-,-,"99,000","-1,085,000","4,583,000","481,000",-,-,"458,000","2,949,000","1,946,000","1,946,000",-,-,"1,003,000","14,000","14,000","14,000","14,000","681,000",0,-,-,-,-,-,"2,564,000","533,000","1,949,000","2,031,000","2,031,000","2,031,000",0,-,"57,000","1,949,000",4.98,4.96,"391,200","392,600","5,432,000","2,031,000","2,031,000",-,"14,000","2,031,000",0,0,0,0
5,3/31/2022,"8,173,000","6,397,000","6,784,000","6,367,000","6,367,000","402,000",-,"15,000","387,000","218,000",-,"169,000",-,-,"1,776,000","1,433,000","1,433,000","1,433,000",-,-,-,"-18,000","-18,000",-,-,"343,000","-677,000","4,551,000","513,000",-,-,"397,000","2,944,000","2,026,000","2,026,000",-,-,"918,000","14,000","14,000","14,000","14,000","683,000",0,-,-,-,-,-,"2,945,000","542,000","2,318,000","2,403,000","2,403,000","2,403,000",0,-,"57,000","2,318,000",5.65,5.62,"410,400","412,200","5,720,000","2,403,000","2,403,000",-,"14,000","2,403,000",0,0,0,0
6,12/31/2021,"8,118,000","6,450,000","6,831,000","6,451,000","6,451,000","368,000",-,"12,000","381,000","222,000",-,"159,000",-,-,"1,668,000","1,440,000","1,440,000","1,440,000",-,-,-,"-4,000","-4,000",-,-,"232,000","-381,000","4,678,000","527,000",-,-,"449,000","2,940,000","1,941,000","1,941,000",-,-,"999,000","13,000","13,000","13,000","13,000","749,000",0,-,-,-,-,-,"3,059,000","633,000","2,296,000","2,425,000","2,425,000","2,426,000","-1,000",-,"74,000","2,296,000",5.43,5.41,"422,500","424,300","6,069,000","2,425,000","2,426,000",-,"13,000","2,426,000",0,0,0,0
7,9/30/2021,"7,830,000","6,156,000","6,538,000","6,205,000","6,205,000","317,000",-,"16,000","382,000","228,000",-,"154,000",-,-,"1,674,000","1,429,000","1,429,000","1,429,000",-,-,-,"2,000","2,000",-,-,"243,000","342,000","4,141,000","481,000",-,-,"358,000","2,603,000","1,852,000","1,852,000",-,"319,000","751,000","5,000","5,000","5,000","5,000","694,000","-45,000",-,-,-,"45,000",-,"3,986,000","882,000","2,987,000","3,104,000","3,104,000","3,104,000",0,-,"79,000","2,987,000",6.81,6.78,"438,800","440,500","6,498,000","3,104,000","3,139,055",-,"5,000","3,104,000","-45,000","-45,000",0,"-9,945"
8,6/30/2021,"7,374,000","5,743,000","6,139,000","5,753,000","5,753,000","370,000",-,"16,000","396,000","237,000",-,"159,000",-,-,"1,631,000","1,400,000","1,400,000","1,400,000",-,"133,000",-,0,0,-,-,"231,000","1,160,000","3,911,000","523,000",-,-,"341,000","2,401,000","1,781,000","1,781,000",-,"315,000","620,000","5,000","5,000","5,000","5,000","641,000","-55,000",-,-,-,"55,000",-,"4,568,000","1,031,000","3,446,000","3,536,000","3,536,000","3,537,000","-1,000",-,"60,000","3,446,000",7.65,7.62,"450,600","452,300","6,903,000","3,536,000","3,579,570",-,"5,000","3,537,000","-55,000","-55,000",0,"-12,430"
9,3/31/2021,"7,113,000","5,822,000","6,261,000","5,854,000","5,854,000","391,000",-,"16,000","439,000","269,000",-,"170,000",-,-,"1,291,000","1,169,000","1,169,000","1,169,000",-,"136,000",-,"4,000","4,000",-,-,"118,000","823,000","3,740,000","472,000",-,-,"292,000","2,348,000","1,847,000","1,847,000",-,"302,000","501,000","6,000","6,000","6,000","6,000","622,000","-35,000",-,-,-,"35,000",-,"4,196,000","869,000","3,236,000","3,325,000","3,325,000","3,327,000","-2,000",-,"61,000","3,236,000",7.06,7.03,"458,600","460,100","6,645,000","3,325,000","3,327,000",-,"6,000","3,327,000","-35,000","-35,000",0,0
