,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 4/27/2023Current,37.21B,N/A,5.43,6.68,6.68,1.12,0.71,N/A,N/A
1,3/31/2023,36.78B,N/A,5.37,6.31,6.31,1.10,0.70,N/A,N/A
2,12/31/2022,35.48B,N/A,4.57,5.34,N/A,1.12,0.70,N/A,N/A
3,9/30/2022,35.21B,N/A,4.02,4.83,N/A,1.19,0.66,N/A,N/A
4,6/30/2022,39.99B,N/A,4.08,5.06,N/A,1.43,0.71,N/A,N/A
5,3/31/2022,52.38B,N/A,4.87,6.57,N/A,1.92,0.86,N/A,N/A
6,12/31/2021,60.05B,N/A,5.41,7.61,0.39,2.21,0.94,N/A,N/A
7,9/30/2021,69.71B,N/A,6.44,9.28,0.52,2.54,1.08,N/A,N/A
8,6/30/2021,69.01B,N/A,10.10,9.66,0.62,2.50,1.13,N/A,N/A
9,3/31/2021,58.12B,N/A,24.51,10.70,0.53,2.05,0.97,N/A,N/A
10,12/31/2020,45.37B,N/A,47.99,11.63,N/A,1.59,0.78,N/A,N/A
11,9/30/2020,32.87B,N/A,N/A,10.27,N/A,1.18,0.59,N/A,N/A
12,6/30/2020,28.56B,N/A,12.37,250.00,1.46,1.02,0.50,N/A,N/A
13,3/31/2020,22.96B,N/A,4.58,4.42,0.57,0.83,0.40,N/A,N/A
14,12/31/2019,46.98B,N/A,9.13,8.61,2.50,1.76,0.81,N/A,N/A
15,9/30/2019,42.37B,N/A,7.86,7.46,2.02,1.56,0.76,N/A,N/A
16,6/30/2019,42.61B,N/A,7.51,8.18,3.41,1.56,0.80,N/A,N/A
17,3/31/2019,38.34B,N/A,6.90,7.36,36.80,1.43,0.74,N/A,N/A
18,12/31/2018,35.35B,N/A,10.20,N/A,N/A,1.31,0.70,N/A,N/A
19,9/30/2018,45.42B,N/A,14.32,8.42,0.35,1.65,0.90,N/A,N/A
20,6/30/2018,44.70B,N/A,18.91,8.98,0.37,1.63,0.89,N/A,N/A
21,3/31/2018,46.58B,N/A,25.48,9.95,0.44,1.72,0.96,N/A,N/A
22,12/31/2017,48.27B,N/A,13.91,11.76,1.66,1.81,0.96,N/A,N/A
23,9/30/2017,40.95B,N/A,12.31,9.98,1.41,1.59,0.83,N/A,N/A
24,6/30/2017,39.96B,N/A,12.54,10.60,1.44,1.60,0.83,N/A,N/A
25,3/31/2017,41.84B,N/A,12.51,10.95,1.49,1.73,0.88,N/A,N/A
26,12/31/2016,42.08B,N/A,12.43,10.93,1.93,1.81,0.87,N/A,N/A
27,9/30/2016,35.14B,N/A,10.15,8.95,1.59,1.55,0.73,N/A,N/A
28,6/30/2016,32.13B,N/A,9.23,8.31,1.51,1.43,0.67,N/A,N/A
29,3/31/2016,35.66B,N/A,9.90,8.26,2.95,1.62,0.75,N/A,N/A
30,12/31/2015,38.06B,N/A,10.15,9.03,2.32,1.74,0.80,N/A,N/A
31,9/30/2015,38.79B,N/A,10.27,9.07,2.32,1.78,0.83,N/A,N/A
32,6/30/2015,47.72B,N/A,11.51,10.75,3.36,2.21,1.04,N/A,N/A
33,3/31/2015,43.19B,N/A,10.40,9.71,2.21,2.02,0.96,N/A,N/A
34,12/31/2014,45.68B,N/A,11.11,10.72,3.57,2.16,1.04,N/A,N/A
35,9/30/2014,45.59B,N/A,11.09,10.56,3.52,2.16,1.04,N/A,N/A
36,6/30/2014,46.41B,N/A,11.22,10.75,5.12,2.18,1.08,N/A,N/A
37,3/31/2014,44.21B,N/A,10.50,10.16,4.84,2.03,1.06,N/A,N/A
38,12/31/2013,43.87B,N/A,10.52,10.47,3.27,2.00,1.05,N/A,N/A
39,9/30/2013,40.00B,N/A,9.24,9.54,2.89,1.78,0.97,N/A,N/A
40,6/30/2013,36.69B,N/A,11.34,9.07,6.48,1.67,0.89,N/A,N/A
41,3/31/2013,32.09B,N/A,8.40,7.51,4.42,1.50,0.81,N/A,N/A
42,12/31/2012,33.73B,N/A,8.86,8.34,1.70,1.58,0.85,N/A,N/A
43,9/30/2012,33.11B,N/A,9.78,8.16,1.67,1.57,0.89,N/A,N/A
44,6/30/2012,31.72B,N/A,7.09,8.76,7.96,1.51,0.86,N/A,N/A
45,3/31/2012,30.97B,N/A,7.93,8.18,0.87,1.57,1.09,N/A,N/A
46,12/31/2011,19.44B,N/A,5.49,6.98,0.75,1.20,0.66,N/A,N/A
47,9/30/2011,18.21B,N/A,5.15,6.55,0.64,1.13,0.62,N/A,N/A
48,6/30/2011,23.73B,N/A,6.79,8.76,0.90,1.48,0.83,N/A,N/A
49,3/31/2011,23.84B,N/A,7.08,9.39,0.95,1.49,0.87,N/A,N/A
50,12/31/2010,19.45B,N/A,6.37,8.77,0.88,1.20,0.73,N/A,N/A
51,9/30/2010,18.07B,N/A,6.49,N/A,N/A,1.15,0.69,N/A,N/A
52,6/30/2010,18.41B,N/A,7.50,N/A,N/A,1.21,0.73,N/A,N/A
53,3/31/2010,18.90B,N/A,14.09,N/A,N/A,1.28,0.78,N/A,N/A
54,12/31/2009,17.45B,N/A,39.12,N/A,N/A,1.34,0.66,N/A,N/A
55,9/30/2009,16.26B,N/A,N/A,N/A,N/A,1.09,0.62,N/A,N/A
56,6/30/2009,9.95B,N/A,N/A,N/A,N/A,0.68,0.39,N/A,N/A
57,3/31/2009,4.80B,N/A,N/A,N/A,N/A,0.36,0.20,N/A,N/A
58,12/31/2008,12.49B,N/A,227.79,N/A,N/A,0.87,0.53,N/A,N/A
59,9/30/2008,19.98B,N/A,10.52,N/A,N/A,1.32,0.78,N/A,N/A
60,6/30/2008,14.28B,N/A,6.36,N/A,N/A,0.98,0.57,N/A,N/A
61,3/31/2008,18.47B,N/A,7.42,N/A,N/A,1.27,0.75,N/A,N/A
62,12/31/2007,17.62B,N/A,7.22,N/A,N/A,1.29,0.73,N/A,N/A
63,9/30/2007,27.75B,N/A,10.24,N/A,N/A,1.85,1.10,N/A,N/A
64,6/30/2007,32.60B,N/A,12.29,N/A,N/A,2.16,1.25,N/A,N/A
65,3/31/2007,31.11B,N/A,9.90,N/A,N/A,1.98,1.23,N/A,N/A
66,12/31/2006,31.49B,N/A,10.33,N/A,N/A,1.99,1.89,N/A,N/A
67,9/30/2006,23.95B,N/A,10.70,N/A,N/A,2.07,1.51,N/A,N/A
68,6/30/2006,25.97B,N/A,11.63,N/A,N/A,2.25,1.63,N/A,N/A
