,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Foreclosed Assets,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Due to Related Parties,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Current Capital Lease Obligation,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
0,12/31/2022,"531,358,000","127,731,000","68,933,000","68,478,000",-,"455,000",-,-,-,"58,798,000",-,"20,000",-,"59,291,000","54,360,000","3,213,000",-,"1,718,000","1,619,000","11,101,000","280,255,000","281,689,000","16,090,000","64,612,000","43,340,000","132,947,000","24,700,000","1,363,000","-71,000","16,401,000","16,401,000",-,"927,000","6,929,000","15,646,000","215,000","859,000","8,809,000","1,601,000","4,162,000","-8,717,000","3,361,000","2,903,000","458,000","305,000","305,000","4,117,000","22,000","19,279,000","486,027,000","245,140,000","245,140,000","11,905,000","233,235,000",-,"20,280,000","15,818,000","15,818,000","15,281,000","537,000","537,000",-,"12,414,000","12,414,000","12,414,000",-,"9,393,000","9,099,000","159,654,000","157,235,000","2,419,000","1,552,000","269,000","269,000","1,378,000","1,378,000",-,"11,030,000","45,331,000","45,129,000","160,000","160,000","23,632,000","38,615,000","428,000","-16,850,000",-,"202,000","202,364,000","45,129,000","2,419,000","41,768,000","214,778,000","41,768,000","172,068,000","100,716,000","4,002,158","3,941,250","60,908"
1,12/31/2021,"755,833,000","270,047,000","166,141,000","164,818,000",-,"1,323,000",-,-,-,"103,906,000","103,906,000","9,000",-,"97,904,000","93,582,000","4,168,000",-,"154,000","1,644,000","17,771,000","299,610,000","300,988,000","7,924,000","72,452,000","56,328,000","139,062,000","25,222,000","1,297,000","-81,000","19,571,000","19,571,000",-,"509,000","7,305,000","15,434,000","241,000","1,107,000","8,146,000","1,722,000","4,218,000","-8,129,000","3,193,000","2,917,000","276,000","3,707,000","3,707,000","4,215,000","96,000","30,252,000","711,603,000","411,784,000","411,784,000","18,965,000","392,819,000",-,"35,274,000","17,714,000","17,714,000","17,029,000","685,000","685,000",-,"19,393,000","19,393,000","19,393,000",-,"16,689,000","10,856,000","169,487,000","166,896,000","2,591,000","1,925,000","353,000","353,000","754,000","754,000",-,"27,374,000","44,230,000","43,954,000","106,000","106,000","31,064,000","34,938,000","828,000","-21,326,000",-,"276,000","210,850,000","43,954,000","2,591,000","40,761,000","230,243,000","40,761,000","188,880,000","20,148,000","2,800,418","2,714,778","85,640"
2,12/31/2020,"805,822,000","219,543,000","140,410,000","139,112,000",-,"1,298,000","50,773,000","635,000","50,773,000","79,133,000","79,133,000","16,000",-,"163,357,000","157,338,000","6,019,000",-,"607,000","2,631,000","25,662,000","291,908,000","291,908,000",-,"77,475,000","56,677,000","140,315,000","19,072,000","1,536,000","-95,000","35,941,000","35,941,000","35,941,000","448,000","7,376,000","15,003,000","291,000","1,425,000","7,038,000","1,775,000","4,474,000","-7,627,000","4,663,000","4,426,000","237,000","3,667,000","3,667,000","2,872,000","7,077,000","90,410,000","762,881,000","407,344,000","407,344,000","16,423,000","390,921,000",-,"23,851,000","21,653,000","21,653,000","21,653,000","555,000","555,000",-,"20,868,000","20,868,000","20,868,000",-,"45,871,000","17,790,000","161,087,000","161,087,000","2,759,000","2,080,000","410,000","410,000","530,000","530,000",-,"82,207,000","42,941,000","42,677,000","98,000","98,000","32,834,000","33,323,000","428,000","-23,150,000",-,"264,000","203,764,000","42,677,000","2,759,000","38,014,000","224,632,000","38,014,000","181,955,000","41,545,000","2,585,956","2,542,004","43,952"
3,12/31/2019,"787,295,000","209,617,000","102,620,000","101,879,000",-,"741,000","40,647,000","428,000","40,219,000","106,997,000","106,997,000","24,000","1,052,000","139,220,000","136,066,000","2,986,000",-,"168,000","2,367,000","17,914,000","296,779,000","297,841,000",-,"89,910,000","48,765,000","138,799,000","20,367,000","946,000","-116,000","40,336,000","40,336,000","35,648,000","431,000","7,832,000","14,985,000","294,000","1,436,000","6,478,000","1,855,000","4,922,000","-7,153,000","4,954,000","4,663,000","291,000","4,399,000","4,399,000","2,878,000","8,971,000","51,573,000","743,581,000","400,527,000","400,527,000","16,744,000","383,783,000",-,"27,533,000","31,462,000","31,462,000","30,784,000","678,000","678,000",-,"28,385,000","28,385,000","28,385,000","3,213,000","24,714,000","13,520,000","155,218,000","152,005,000","3,213,000","1,179,000","455,000","455,000","523,000","523,000",-,"60,065,000","43,714,000","43,644,000","102,000","102,000","30,634,000","34,661,000","1,484,000","-20,269,000",-,"70,000","195,649,000","43,644,000","3,213,000","38,690,000","224,034,000","38,690,000","183,603,000","77,770,000","2,700,333","2,573,809","126,524"
4,12/31/2018,"772,069,000","217,483,000","100,388,000","99,314,000",-,"1,074,000","41,696,000","465,000","41,696,000","117,095,000","117,095,000","3,000","1,137,000","140,160,000","132,427,000","4,824,000",-,"2,909,000","2,467,000","18,345,000","292,875,000","292,875,000",-,"89,591,000","45,939,000","134,572,000","18,494,000","902,000","-113,000","38,907,000","38,907,000","38,907,000","613,000","4,530,000","4,530,000","347,000","1,617,000","5,909,000","1,880,000","4,530,000","-6,720,000","4,275,000","4,056,000","219,000","4,943,000","4,943,000","1,794,000","6,744,000","73,839,000","726,042,000","380,483,000","380,483,000","15,220,000","365,263,000",-,"24,623,000","30,923,000","30,923,000","30,923,000","927,000","927,000",-,"22,419,000","22,419,000","22,419,000",-,"42,171,000","15,231,000","153,433,000","153,433,000",-,"928,000","518,000","518,000","438,000","438,000",-,"71,990,000","46,027,000","45,329,000","102,000","102,000","26,973,000","34,889,000","61,000","-17,981,000",-,"698,000","198,762,000","45,329,000",-,"41,054,000","221,181,000","41,054,000","175,852,000","75,464,000","2,700,304","2,694,599","5,705"
5,12/31/2017,"796,289,000","225,887,000","110,541,000","109,815,000",-,"726,000","38,564,000","490,000","38,074,000","115,346,000","115,346,000","41,000","1,374,000","140,196,000","136,713,000","2,616,000",-,"867,000","3,066,000","19,671,000","279,149,000","280,137,000",-,"85,544,000","46,258,000","132,638,000","15,697,000","882,000","-106,000","51,637,000","51,637,000","46,968,000","379,000","4,686,000","12,487,000","346,000","2,163,000","5,727,000","2,102,000","2,149,000","-7,801,000","4,965,000","4,742,000","223,000","5,522,000","5,522,000","2,170,000","8,300,000","50,620,000","754,100,000","376,575,000","376,575,000","15,413,000","361,162,000",-,"26,496,000","49,594,000","49,594,000","48,894,000","700,000","700,000",-,"25,889,000","25,889,000","25,889,000",-,"24,465,000","14,753,000","173,032,000","173,032,000",-,"1,007,000","541,000","541,000","394,000","394,000",-,"61,354,000","42,189,000","41,902,000","102,000","102,000","24,973,000","35,668,000","103,000","-18,738,000",-,"287,000","214,934,000","41,902,000",-,"36,937,000","240,823,000","36,937,000","198,921,000","88,380,000","2,700,333","2,694,251","6,083"
6,12/31/2016,"819,833,000","256,772,000","121,933,000","121,161,000",-,"772,000","32,564,000","1,237,000","32,564,000","134,839,000","134,839,000","29,000","1,657,000","174,416,000","165,150,000","6,777,000",-,"2,489,000","3,121,000","26,930,000","275,976,000","275,976,000",-,"88,013,000","40,758,000","130,351,000","17,921,000","938,000","-129,000","33,431,000","33,431,000","33,431,000","394,000","4,711,000","4,711,000","328,000","2,197,000","6,676,000","2,164,000","4,711,000","-8,773,000","5,126,000","4,913,000","213,000","5,828,000","5,828,000","1,061,000","8,214,000","69,401,000","777,250,000","378,633,000","378,633,000","22,800,000","355,833,000",-,"33,016,000","39,852,000","39,852,000","39,852,000","636,000","636,000",-,"15,385,000","15,385,000","15,385,000",-,"44,930,000","20,367,000","193,315,000","193,315,000",-,"4,077,000","516,000","516,000","129,000","129,000",-,"72,119,000","42,583,000","42,169,000","84,000","84,000","26,226,000","32,131,000",0,"-16,272,000",-,"414,000","235,484,000","42,169,000",-,"37,043,000","250,869,000","37,043,000","208,700,000","86,767,000","2,288,169","2,288,169",-
7,12/31/2015,"820,805,000","216,244,000","93,195,000","92,328,000",-,"867,000","28,511,000","327,000","28,511,000","123,049,000","123,049,000",-,"1,733,000","200,848,000","190,737,000","7,021,000",-,"3,090,000","2,876,000","28,551,000","272,995,000","272,995,000",-,"81,345,000","41,712,000","129,615,000","21,334,000","866,000","-145,000","34,542,000","34,542,000","34,542,000","448,000","4,644,000","4,644,000","417,000","2,326,000","5,908,000","2,064,000","4,644,000","-8,106,000","5,004,000","4,808,000","196,000","6,179,000","6,179,000",-,"26,061,000","86,528,000","775,787,000","363,759,000","363,759,000","21,054,000","342,705,000",-,"46,598,000","39,452,000","39,452,000","39,452,000","608,000","608,000",-,"8,657,000","8,657,000","8,657,000",-,"48,971,000","110,000","197,608,000","197,608,000",-,"1,851,000",-,-,"54,000","54,000",-,"70,742,000","45,018,000","44,382,000","78,000","78,000","29,139,000","31,925,000","125,000","-16,635,000",-,"636,000","241,990,000","44,382,000",-,"39,378,000","250,647,000","39,378,000","206,265,000","113,070,000","2,143,067","2,136,607","6,460"
8,12/31/2014,"921,415,000","243,801,000","80,593,000","79,349,000",-,"1,244,000","26,854,000","3,238,000","26,854,000","163,208,000","163,208,000",-,"1,896,000","252,535,000","241,131,000","11,404,000",-,"2,791,000","3,453,000","39,551,000","272,551,000","272,551,000",-,"78,937,000","44,141,000","128,000,000","22,343,000","758,000","-112,000","41,629,000","41,629,000","41,629,000","517,000","4,641,000","4,641,000","420,000","2,303,000","6,484,000","2,180,000","4,641,000","-9,136,000","8,893,000","8,644,000","249,000","6,077,000","6,077,000",-,0,"97,365,000","876,184,000","395,067,000","395,067,000","26,009,000","369,058,000",-,"70,119,000","56,977,000","56,977,000","56,977,000","821,000","821,000",-,"25,921,000","25,921,000","25,921,000",-,"72,655,000","469,000","177,898,000","177,898,000",-,"1,358,000",-,-,"47,000","47,000",0,"77,547,000","45,231,000","44,189,000","64,000","64,000","32,313,000","27,007,000","192,000","-15,003,000",-,"1,042,000","222,087,000","44,189,000",-,"35,296,000","248,008,000","35,296,000","203,819,000","123,226,000","1,810,463","1,801,827","8,636"
9,12/31/2013,"872,602,000","230,229,000","70,207,000","68,692,000",-,"1,515,000","24,212,000","1,412,000","22,800,000","160,022,000","160,022,000",-,"1,654,000","242,729,000","229,413,000","13,316,000",-,"2,987,000","2,043,000","2,062,000","247,065,000","248,014,000",-,"66,381,000","37,503,000","122,290,000","21,840,000","858,000","-91,000","56,904,000","56,904,000","52,045,000","552,000","5,091,000","5,091,000","491,000","2,415,000","5,740,000","2,043,000","5,091,000","-7,968,000","8,209,000","7,999,000","210,000","5,971,000","5,971,000",-,"20,890,000","52,900,000","824,693,000","356,197,000","356,197,000","23,108,000","333,089,000",-,"94,032,000","79,623,000","79,623,000","78,759,000","864,000","864,000",-,"20,193,000","20,193,000","20,193,000",-,"76,635,000","384,000","130,042,000","130,042,000",-,"1,732,000",-,-,"394,000","394,000","1,140,000","64,321,000","47,909,000","42,907,000","64,000","64,000","31,004,000","27,852,000","139,000","-15,874,000",-,"5,002,000","172,949,000","42,907,000",-,"34,698,000","193,142,000","34,698,000","150,235,000","80,028,000","1,798,016","1,792,177","5,839"
