,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Due to Related Parties,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Current Capital Lease Obligation,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
0,12/31/2022,"531,358,000","127,731,000","68,933,000","68,478,000",-,"455,000",-,-,-,"58,798,000",-,-,"20,000",-,-,"59,291,000","54,360,000","3,213,000",-,"1,718,000","1,619,000","11,101,000","280,255,000","281,689,000","16,090,000","64,612,000","43,340,000","132,947,000","24,700,000","1,363,000","-71,000","16,401,000","16,401,000",-,"927,000","6,929,000","15,646,000","215,000","859,000","8,809,000","1,601,000","4,162,000","-8,717,000","3,361,000","2,903,000","458,000","305,000","305,000","4,117,000","22,000","19,279,000","486,027,000","245,140,000","245,140,000","11,905,000","233,235,000",-,"20,280,000","15,818,000","15,818,000","15,281,000","537,000","537,000",-,"12,414,000","12,414,000","12,414,000",-,"9,393,000","9,099,000","159,654,000","157,235,000","2,419,000","1,552,000","269,000","269,000","1,378,000","1,378,000",-,"11,030,000","45,331,000","45,129,000","160,000","160,000","23,632,000","38,615,000","428,000","-16,850,000",-,"202,000","202,364,000","45,129,000","2,419,000","41,768,000","214,778,000","41,768,000","172,068,000","100,716,000","4,002,158","3,941,250","60,908"
1,9/30/2022,"700,358,000","257,577,000","149,872,000","149,191,000",-,"681,000",-,-,-,"107,705,000","107,705,000",-,-,-,-,"77,449,000","72,311,000","3,389,000",-,"1,749,000","1,688,000","18,202,000","290,014,000","291,470,000","8,222,000","70,804,000","50,080,000","135,387,000","26,977,000","1,366,000","-90,000","13,573,000","13,573,000",-,"1,243,000","7,371,000",-,-,-,-,-,-,-,"3,442,000","3,018,000","424,000","306,000","306,000","4,382,000","27,000","25,084,000","656,849,000","388,842,000","388,842,000","17,572,000","371,270,000",-,"22,187,000","12,789,000","12,789,000","12,189,000","600,000","600,000",-,"17,798,000","17,798,000","17,798,000",-,"12,231,000","15,052,000","165,076,000","162,605,000","2,471,000","2,465,000","354,000","354,000","1,200,000","1,200,000",-,"18,855,000","43,509,000","43,267,000","106,000","106,000","25,025,000","34,770,000","359,000","-16,275,000",-,"242,000","205,872,000","43,267,000","2,471,000","39,825,000","223,670,000","39,825,000","182,874,000","30,531,000","2,800,368","2,764,448","35,920"
2,6/30/2022,"727,365,000","264,479,000","160,323,000","159,472,000",-,"851,000",-,-,-,"104,156,000","104,156,000",-,"21,000",-,-,"89,116,000","85,026,000","4,065,000",-,"25,000","1,660,000","16,142,000","293,088,000","294,521,000","7,515,000","72,300,000","51,077,000","136,736,000","26,893,000","1,360,000","-73,000","18,019,000","18,019,000",-,"1,259,000","7,448,000",-,-,-,-,-,-,-,"3,314,000","2,974,000","340,000","3,867,000","3,867,000","4,376,000","44,000","24,532,000","681,299,000","413,100,000","413,100,000","23,616,000","389,484,000",-,"21,568,000","12,596,000","12,596,000","11,955,000","641,000","641,000",-,"20,145,000","20,145,000","20,145,000",-,"14,015,000","15,956,000","160,546,000","158,010,000","2,536,000","2,612,000","349,000","349,000","1,043,000","1,043,000",-,"19,369,000","46,066,000","45,842,000","106,000","106,000","29,059,000","34,631,000","417,000","-17,537,000",-,"224,000","203,852,000","45,842,000","2,536,000","42,528,000","223,997,000","42,528,000","180,691,000","17,832,000","2,800,418","2,758,172","42,246"
3,3/31/2022,"739,554,000","264,230,000","168,948,000","167,950,000",-,"998,000",-,-,-,"95,282,000","95,282,000",-,-,-,-,"94,313,000","90,161,000","4,121,000",-,"31,000","1,657,000","16,810,000","296,324,000","297,735,000","8,642,000","71,579,000","53,059,000","138,722,000","25,733,000","1,330,000","-81,000","21,371,000","21,371,000",-,"1,335,000","7,390,000",-,-,-,-,-,-,-,"3,238,000","2,931,000","307,000","4,052,000","4,052,000","4,306,000","37,000","24,491,000","694,878,000","417,515,000","417,515,000","18,891,000","398,624,000",-,"27,711,000","18,158,000","18,158,000","17,510,000","648,000","648,000",-,"17,399,000","17,399,000","17,399,000",-,"15,818,000","12,481,000","162,931,000","160,320,000","2,611,000","2,187,000","351,000","351,000","793,000","793,000",-,"19,534,000","44,676,000","44,442,000","106,000","106,000","30,791,000","35,114,000","923,000","-20,646,000",-,"234,000","204,762,000","44,442,000","2,611,000","41,204,000","222,161,000","41,204,000","180,330,000","8,771,000","2,800,418","2,700,430","99,988"
4,12/31/2021,"755,833,000","270,047,000","166,141,000","164,818,000",-,"1,323,000",-,-,-,"103,906,000","103,906,000",-,"9,000",-,-,"97,904,000","93,582,000","4,168,000",-,"154,000","1,644,000","17,771,000","299,610,000","300,988,000","7,924,000","72,452,000","56,328,000","139,062,000","25,222,000","1,297,000","-81,000","19,571,000","19,571,000",-,"509,000","7,305,000","15,434,000","241,000","1,107,000","8,146,000","1,722,000","4,218,000","-8,129,000","3,193,000","2,917,000","276,000","3,707,000","3,707,000","4,215,000","96,000","30,252,000","711,603,000","411,784,000","411,784,000","18,965,000","392,819,000",-,"35,274,000","17,714,000","17,714,000","17,029,000","685,000","685,000",-,"19,393,000","19,393,000","19,393,000",-,"16,689,000","10,856,000","169,487,000","166,896,000","2,591,000","1,925,000","353,000","353,000","754,000","754,000",-,"27,374,000","44,230,000","43,954,000","106,000","106,000","31,064,000","34,938,000","828,000","-21,326,000",-,"276,000","210,850,000","43,954,000","2,591,000","40,761,000","230,243,000","40,761,000","188,880,000","20,148,000","2,800,418","2,714,778","85,640"
5,9/30/2021,"805,889,000","260,649,000","153,073,000","151,751,000",-,"1,322,000",-,-,-,"107,576,000","107,576,000",-,-,-,-,"107,735,000","103,429,000","4,117,000",-,"189,000","1,797,000","21,793,000","296,593,000","298,053,000",-,"74,806,000","59,801,000","141,436,000","22,010,000","1,363,000","-97,000","33,402,000","33,402,000",-,"624,000","7,508,000",-,-,-,-,-,-,-,"4,849,000","4,615,000","234,000","3,807,000","3,807,000","3,211,000","12,443,000","51,478,000","761,086,000","421,598,000","421,598,000","21,080,000","400,518,000",-,"23,357,000","26,184,000","26,184,000","25,519,000","665,000","665,000",-,"20,092,000","20,092,000","20,092,000",-,"20,927,000","12,321,000","177,943,000","175,320,000","2,623,000","1,756,000","393,000","393,000","619,000","619,000","5,494,000","50,402,000","44,803,000","44,498,000","106,000","106,000","33,149,000","34,813,000","2,357,000","-21,213,000",-,"305,000","219,818,000","44,498,000","2,623,000","39,649,000","239,910,000","39,649,000","198,035,000","42,339,000","2,800,418","2,527,174","273,244"
6,6/30/2021,"796,799,000","242,316,000","147,671,000","146,358,000",-,"1,313,000",-,-,-,"94,645,000","94,645,000",-,-,-,-,"109,010,000","106,349,000","2,487,000",-,"174,000","1,757,000","24,613,000","299,844,000","301,350,000",-,"77,507,000","61,140,000","141,687,000","21,016,000","1,412,000","-94,000","37,227,000","37,227,000","33,072,000","693,000","7,428,000","7,428,000",-,-,-,-,"7,428,000",-,"4,833,000","4,588,000","245,000","4,201,000","4,201,000","3,047,000","8,169,000","53,661,000","752,924,000","418,246,000","418,246,000","20,948,000","397,298,000",-,"20,924,000","25,182,000","25,182,000","24,560,000","622,000","622,000",-,"22,366,000","22,366,000","22,366,000",-,"20,369,000","12,615,000","172,879,000","170,227,000","2,652,000","1,256,000","414,000","414,000","578,000","578,000",-,"58,095,000","43,875,000","43,580,000","106,000","106,000","32,715,000","34,633,000","2,177,000","-21,697,000",-,"295,000","213,807,000","43,580,000","2,652,000","38,747,000","236,173,000","38,747,000","195,245,000","44,922,000","2,800,418","2,547,417","253,001"
7,3/31/2021,"851,395,000","225,853,000","134,732,000","133,285,000",-,"1,447,000",-,-,-,"91,121,000","91,121,000",-,-,-,-,"163,393,000","157,139,000","6,254,000",-,-,-,-,"304,188,000","304,188,000",-,-,-,-,-,-,-,"47,682,000","47,682,000","47,682,000",-,-,-,-,-,-,-,-,-,"4,883,000","4,644,000","239,000",-,-,-,-,"105,396,000","806,511,000","425,491,000","425,491,000","19,422,000","406,069,000",-,"22,853,000","26,890,000","26,890,000","26,890,000",-,-,-,"24,887,000","24,887,000","24,887,000",-,"47,740,000",-,"170,453,000","170,453,000",-,-,-,-,-,-,-,"88,197,000","44,884,000","44,590,000","98,000","98,000","32,582,000","33,523,000","946,000","-20,667,000",-,"294,000","215,043,000","44,590,000",-,"39,707,000","239,930,000","39,707,000","195,340,000","60,608,000","2,585,956","2,497,491","88,466"
8,12/31/2020,"805,822,000","219,543,000","140,410,000","139,112,000",-,"1,298,000","50,773,000","635,000","50,773,000","79,133,000","79,133,000",-,"16,000",-,-,"163,357,000","157,338,000","6,019,000",-,"607,000","2,631,000","25,662,000","291,908,000","291,908,000",-,"77,475,000","56,677,000","140,315,000","19,072,000","1,536,000","-95,000","35,941,000","35,941,000","35,941,000","448,000","7,376,000","15,003,000","291,000","1,425,000","7,038,000","1,775,000","4,474,000","-7,627,000","4,663,000","4,426,000","237,000","3,667,000","3,667,000","2,872,000","7,077,000","90,410,000","762,881,000","407,344,000","407,344,000","16,423,000","390,921,000",-,"23,851,000","21,653,000","21,653,000","21,653,000","555,000","555,000",-,"20,868,000","20,868,000","20,868,000",-,"45,871,000","17,790,000","161,087,000","161,087,000","2,759,000","2,080,000","410,000","410,000","530,000","530,000",-,"82,207,000","42,941,000","42,677,000","98,000","98,000","32,834,000","33,323,000","428,000","-23,150,000",-,"264,000","203,764,000","42,677,000","2,759,000","38,014,000","224,632,000","38,014,000","181,955,000","41,545,000","2,585,956","2,542,004","43,952"
9,9/30/2020,"821,296,000","236,380,000","139,052,000","137,821,000",-,"1,231,000","45,791,000","727,000","45,064,000","97,328,000","97,328,000",-,"16,000","83,000","995,000","133,178,000","130,906,000","2,151,000",0,"121,000","2,893,000","27,148,000","291,263,000","292,954,000",-,"79,091,000","55,641,000","139,764,000","18,458,000","1,593,000","-98,000","44,867,000","44,867,000","40,227,000","601,000","7,529,000","7,529,000",-,-,-,-,"7,529,000",-,"4,833,000","4,577,000","256,000","3,901,000","3,901,000","3,140,000","6,958,000","58,589,000","775,296,000","407,373,000","407,373,000","19,109,000","388,264,000",-,"30,667,000","34,538,000","34,538,000","33,975,000","563,000","563,000",-,"22,245,000","22,245,000","22,245,000","2,847,000","31,228,000","15,027,000","167,243,000","164,396,000","2,847,000","1,413,000","384,000","384,000","672,000","672,000",-,"64,506,000","46,000,000","45,740,000","98,000","98,000","33,354,000","33,246,000","259,000","-20,699,000",-,"260,000","210,136,000","45,740,000","2,847,000","40,907,000","232,381,000","40,907,000","189,488,000","47,589,000","2,585,956","2,558,532","27,424"
