,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Accrued Expense,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Cash from Discontinued Operating Activities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,Cash Flow from Discontinued Operation,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"13,820,000","13,820,000","-7,306,000","35,881,000","35,984,000","-103,000","1,737,000","1,737,000","3,810,000","3,810,000","-15,073,000","779,000","16,000","-6,024,000",-,-,-,-,-,-,-,"1,356,000","-7,380,000",-,-,"55,542,000","55,542,000","-1,438,000","38,854,000","885,000",-,-,"-447,000","-1,230,000","783,000","17,388,000","2,754,000","14,634,000",0,-,0,"-286,000","-286,000","586,000","-163,883,000","-163,883,000","-7,487,000","6,922,000","14,509,000","64,153,000","-49,644,000","-7,587,000",-,-,"3,695,000","3,924,000","-229,000",-,-,"-280,000",-,"-148,000",-,-,"68,478,000","-94,521,000","-1,819,000","164,818,000",-,"678,000","7,835,000","-1,438,000","3,924,000","64,153,000","-49,644,000","-229,000","12,382,000"
1,12/31/2022,"13,820,000","13,820,000","-7,306,000","35,881,000","35,984,000","-103,000","1,737,000","1,737,000","3,810,000","3,810,000","-15,073,000","779,000","16,000","-6,024,000",-,-,-,-,-,-,-,"1,356,000","-7,380,000",-,-,"55,542,000","55,542,000","-1,438,000","38,854,000","885,000",-,-,"-447,000","-1,230,000","783,000","17,388,000","2,754,000","14,634,000",0,-,0,"-286,000","-286,000","586,000","-163,883,000","-163,883,000","-7,487,000","6,922,000","14,509,000","64,153,000","-49,644,000","-7,587,000",-,-,"3,695,000","3,924,000","-229,000",-,-,"-280,000",-,"-148,000",-,-,"68,478,000","-94,521,000","-1,819,000","164,818,000",-,"678,000","7,835,000","-1,438,000","3,924,000","64,153,000","-49,644,000","-229,000","12,382,000"
2,12/31/2021,"36,938,000","36,938,000","-1,626,000","26,872,000","27,054,000","-182,000","3,041,000","3,041,000","225,000","225,000","1,213,000","922,000","4,205,000","2,086,000",-,-,-,-,-,-,-,"14,623,000","-12,537,000",-,-,"-10,082,000","-10,082,000","-1,419,000","-8,895,000","-7,000",-,-,"170,000","-630,000","800,000","1,661,000","5,371,000","-3,710,000","3,000",-,"3,000","-2,049,000","-2,049,000","454,000","-47,000","-47,000","-2,996,000","3,250,000","3,587,000","56,552,000","-52,965,000","-337,000",-,-,"-1,057,000","20,858,000","-21,915,000",-,-,"-257,000",-,"-204,000",-,-,"164,818,000","26,809,000","-1,103,000","139,112,000",-,"815,000","5,703,000","-1,419,000","20,858,000","56,552,000","-52,965,000","-21,915,000","35,519,000"
3,12/31/2020,"-6,514,000","-6,514,000","2,666,000","-7,251,000","-7,130,000","-121,000","1,356,000","1,356,000","434,000","434,000","2,206,000",-,"1,096,000","-7,021,000",-,-,-,-,-,-,-,"-7,923,000","902,000",-,-,"16,674,000","16,674,000","-1,188,000","19,219,000","-519,000",-,-,"1,089,000","-402,000","1,491,000","-1,875,000","3,860,000","-5,735,000","45,000",-,"45,000","-210,000","-210,000","113,000","29,740,000","29,740,000","-1,464,000","9,995,000","15,241,000","58,009,000","-42,768,000","-5,246,000",-,-,"-889,000","12,364,000","-13,253,000",-,-,"-716,000","-716,000","1,450,000",-,-,"139,112,000","39,900,000","-2,667,000","101,879,000",-,"757,000","8,376,000","-1,188,000","12,364,000","58,009,000","-42,768,000","-13,253,000","-7,702,000"
4,12/31/2019,"-18,424,000","-18,424,000","3,425,000","-27,971,000","-27,892,000","-79,000","1,275,000","1,275,000","589,000","589,000","7,741,000",-,"324,000","-3,807,000",-,-,-,-,-,-,-,"2,808,000","-6,615,000",-,-,"-1,326,000","-1,326,000","-1,293,000","8,386,000","411,000",-,-,"1,614,000","-557,000","2,171,000","-10,732,000","4,612,000","-15,344,000","30,000",-,"30,000","-285,000","-285,000","543,000","22,189,000","22,189,000","3,381,000","-4,408,000","-11,327,000","34,963,000","-46,290,000","6,919,000",-,-,"-1,912,000","9,624,000","-11,536,000",-,-,"-696,000","-696,000","971,000",-,-,"101,879,000","2,439,000","-607,000","100,047,000",-,"729,000","13,115,000","-1,293,000","9,624,000","34,963,000","-46,290,000","-11,536,000","-19,717,000"
5,12/31/2018,"12,760,000","12,760,000","2,011,000","25,302,000","25,413,000","-111,000","936,000","936,000","800,000","800,000","-5,693,000",-,"245,000","-10,841,000",-,-,-,-,-,-,-,"3,453,000","-14,294,000",-,-,"-7,392,000","-7,392,000","-1,095,000","-1,372,000","-427,000",-,-,"2,197,000","-683,000","2,880,000","-6,520,000","5,980,000","-12,500,000","30,000",-,"30,000","-547,000","-547,000","342,000","-15,146,000","-15,146,000","-2,052,000","-13,669,000","-10,679,000","33,172,000","-43,851,000","-2,990,000",-,-,"-748,000","11,693,000","-12,441,000",-,-,"-666,000","-666,000","181,000",-,-,"100,047,000","-9,778,000","10,000","109,815,000",-,"678,000","12,772,000","-1,095,000","11,693,000","33,172,000","-43,851,000","-12,441,000","11,665,000"
6,12/31/2017,"-8,542,000","-8,542,000","-948,000","4,499,000","4,652,000","-153,000","894,000","894,000","2,238,000","2,238,000","2,093,000",-,"210,000","-17,528,000",-,-,-,-,-,-,-,"-15,597,000","-1,931,000",-,-,"10,814,000","10,814,000","-1,068,000","14,286,000","40,000",-,-,"2,320,000","-86,000","2,406,000","-3,736,000","9,938,000","-13,674,000","1,000",-,"1,000","-1,094,000","-1,094,000","65,000","-12,791,000","-12,791,000","-5,251,000","-13,980,000","-18,998,000","43,556,000","-62,554,000","5,018,000",-,-,"3,530,000","16,287,000","-12,757,000",-,-,"-590,000","-590,000","77,000",-,-,"109,815,000","-10,519,000","-827,000","121,161,000",-,"540,000","9,961,000","-1,068,000","16,287,000","43,556,000","-62,554,000","-12,757,000","-9,610,000"
7,12/31/2016,"26,775,000","26,775,000","-2,707,000","21,035,000","21,100,000","-65,000","937,000","937,000","-193,000","-193,000","-905,000",-,"252,000","8,356,000",-,-,-,-,-,-,-,"9,611,000","-1,255,000",-,-,"-7,953,000","-7,953,000","-1,164,000","-7,056,000","117,000",-,-,"2,026,000","-88,000","2,114,000","-1,277,000","2,468,000","-3,745,000","55,000",-,"55,000","-1,403,000","-1,403,000","749,000","8,767,000","8,767,000","-14,525,000","12,446,000","5,852,000","52,984,000","-47,132,000","6,594,000",-,-,"695,000","16,892,000","-16,197,000",-,-,"-493,000","-493,000","377,000",0,-,"121,161,000","27,589,000","1,244,000","92,328,000",-,"662,000","9,136,000","-1,164,000","16,892,000","52,984,000","-47,132,000","-16,197,000","25,611,000"
8,12/31/2015,"15,068,000","15,068,000","-2,945,000","26,111,000","26,245,000","-134,000","4,889,000","4,889,000","32,000","32,000","-1,933,000",-,"324,000","-11,410,000",-,-,-,-,-,-,-,"11,395,000","-22,805,000",-,-,"34,661,000","34,661,000","-1,102,000","36,964,000","349,000",-,-,"2,489,000","-376,000","2,865,000","-3,867,000","1,579,000","-5,446,000","13,000",-,"13,000","-594,000","-594,000","409,000","-36,168,000","-36,168,000","-22,149,000","10,345,000","28,493,000","77,858,000","-49,365,000","-18,148,000",-,-,"5,026,000","24,787,000","-19,761,000",-,-,"-427,000","-427,000","186,000",0,-,"92,328,000","13,561,000","-582,000","79,349,000",-,"1,010,000","10,208,000","-1,102,000","24,787,000","77,858,000","-49,365,000","-19,761,000","13,966,000"
9,12/31/2014,"-17,620,000","-17,620,000","2,324,000","-5,379,000","-5,513,000","134,000","1,285,000","1,285,000","684,000","684,000","1,094,000",-,"186,000","-17,814,000",-,-,-,-,-,-,-,"6,062,000","-23,876,000",-,-,"-10,339,000","-10,339,000","-1,056,000","11,685,000","275,000",-,-,"1,763,000","-1,060,000","2,823,000","-22,349,000","1,255,000","-23,604,000","1,000",-,"1,000","-1,264,000","-1,264,000","606,000","33,286,000","33,286,000","-31,001,000","41,197,000","37,688,000","74,159,000","-36,471,000","3,509,000",-,-,"-506,000","9,691,000","-10,197,000",-,-,"-1,252,000","-1,252,000","-1,192,000","-460,000",-,"79,349,000","4,867,000","5,790,000","68,692,000",-,"1,502,000","9,527,000","-1,056,000","9,691,000","74,159,000","-36,471,000","-10,197,000","-18,676,000"
