,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Cash from Discontinued Operating Activities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Cash from Discontinued Investing Activities,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,Cash from Discontinued Financing Activities,Cash Flow from Discontinued Operation,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"13,820,000","13,820,000","-7,306,000","35,881,000","35,984,000","-103,000","1,737,000","1,737,000","3,810,000","3,810,000","-15,073,000",-,"779,000","16,000",-,"-6,024,000",-,-,"1,356,000","-7,380,000",-,-,"55,542,000","55,542,000","-1,438,000","38,854,000","885,000",-,-,"-447,000","-1,230,000","783,000","17,388,000","2,754,000","14,634,000",0,-,0,"-286,000","-286,000","586,000",-,"-163,883,000","-163,883,000","-7,487,000","6,922,000","14,509,000","64,153,000","-49,644,000","-7,587,000",-,-,"3,695,000","3,924,000","-229,000","-280,000",-,"-148,000",-,-,-,"68,478,000","-94,521,000","-1,819,000","164,818,000","678,000","7,835,000","-1,438,000","3,924,000","64,153,000","-49,644,000","-229,000","12,382,000"
1,12/31/2022,"8,463,000","8,463,000","-1,397,000","13,577,000","13,592,000","-15,000","438,000","438,000","76,000","76,000","-1,960,000",-,"32,000","41,000",-,"-2,344,000",-,-,"-1,361,000","-983,000",-,-,"50,874,000","50,874,000","-343,000","44,704,000","235,000",-,-,"143,000","-2,000","145,000","5,854,000","1,175,000","4,679,000",0,-,0,"-49,000","-49,000","330,000",-,"-139,044,000","-139,044,000","-674,000","-2,520,000","3,901,000","11,613,000","-7,712,000","-6,421,000",-,-,"3,833,000","-6,529,000","10,362,000",0,-,"-72,000",-,-,-,"68,478,000","-79,707,000","-1,006,000","149,191,000","110,000","2,764,000","-343,000","-6,529,000","11,613,000","-7,712,000","10,362,000","8,120,000"
2,9/30/2022,"8,594,000","8,594,000","-4,040,000","8,428,000","8,469,000","-41,000","524,000","524,000","3,757,000","3,757,000","-2,966,000",-,"225,000","21,000",-,"2,645,000",-,-,"3,031,000","-386,000",-,-,"985,000","985,000","-384,000","-1,506,000","188,000",-,-,"-1,087,000","-1,147,000","60,000","3,772,000","195,000","3,577,000",0,-,0,"-18,000","-18,000","20,000",-,"-19,045,000","-19,045,000","114,000","5,801,000","7,876,000","20,624,000","-12,748,000","-2,075,000",-,-,"-7,000","2,448,000","-2,455,000",0,-,"48,000",-,-,-,"149,191,000","-9,466,000","-815,000","159,472,000","74,000","2,264,000","-384,000","2,448,000","20,624,000","-12,748,000","-2,455,000","8,210,000"
3,6/30/2022,"1,408,000","1,408,000","-1,592,000","9,508,000","9,522,000","-14,000","415,000","415,000","259,000","259,000","-6,143,000",-,"248,000","64,000",-,"-1,351,000",-,-,"4,265,000","-5,616,000",-,-,"-10,812,000","-10,812,000","-360,000","-14,017,000","140,000",-,-,"167,000","-2,000","169,000","3,351,000","468,000","2,883,000",-,-,-,"-94,000","-94,000","1,000",-,"765,000","765,000","907,000","7,426,000","4,949,000","20,365,000","-15,416,000","2,477,000",-,-,"36,000","3,342,000","-3,306,000",-,-,"-130,000",-,-,-,"159,472,000","-8,639,000","161,000","167,950,000","263,000","1,761,000","-360,000","3,342,000","20,365,000","-15,416,000","-3,306,000","1,048,000"
4,3/31/2022,"-4,645,000","-4,645,000","-277,000","4,368,000","4,401,000","-33,000","360,000","360,000","-282,000","-282,000","-4,004,000",-,"274,000","-110,000",-,"-4,974,000",-,-,"-4,579,000","-395,000",-,-,"14,495,000","14,495,000","-351,000","9,673,000","322,000",-,-,"330,000","-79,000","409,000","4,411,000","916,000","3,495,000",-,-,-,"-125,000","-125,000","235,000",-,"-6,559,000","-6,559,000","-7,834,000","-3,785,000","-2,217,000","11,551,000","-13,768,000","-1,568,000",-,-,"-167,000","4,663,000","-4,830,000",-,-,"6,000",-,-,-,"167,950,000","3,291,000","-159,000","164,818,000","231,000","1,046,000","-351,000","4,663,000","11,551,000","-13,768,000","-4,830,000","-4,996,000"
5,12/31/2021,"7,924,000","7,924,000","-2,080,000","4,999,000","5,033,000","-34,000","2,020,000","2,020,000","68,000","68,000","653,000",-,"145,000","-20,000",-,"2,139,000",-,-,"10,196,000","-8,057,000",-,-,"17,218,000","17,218,000","-457,000","15,037,000","-3,000",-,-,"-637,000","-257,000","-380,000","3,015,000","1,534,000","1,481,000","1,000",-,"1,000","-110,000","-110,000","372,000",-,"-8,893,000","-8,893,000","-1,275,000","-2,617,000","-4,232,000","9,065,000","-13,297,000","1,615,000",-,-,"-241,000","4,470,000","-4,711,000",0,-,"39,000",-,-,-,"164,818,000","16,249,000","-3,182,000","151,751,000","195,000","1,050,000","-457,000","4,470,000","9,065,000","-13,297,000","-4,711,000","7,467,000"
6,9/30/2021,"8,339,000","8,339,000","438,000","1,427,000","1,502,000","-75,000","315,000","315,000","459,000","459,000","-1,108,000",-,-,"-144,000",-,"6,175,000",-,-,"5,266,000","909,000",-,-,"-10,782,000","-10,782,000","-340,000","-12,081,000","-13,000",-,-,"55,000","-160,000","215,000","3,215,000","1,621,000","1,594,000",0,-,0,"-1,651,000","-1,651,000","33,000",-,"7,614,000","7,614,000","2,210,000","3,613,000","5,735,000","18,082,000","-12,347,000","-2,122,000",-,-,"-201,000","4,724,000","-4,925,000",0,-,"-512,000",-,-,-,"151,751,000","5,171,000","222,000","146,358,000","191,000","1,430,000","-340,000","4,724,000","18,082,000","-12,347,000","-4,925,000","7,999,000"
7,6/30/2021,"22,419,000","22,419,000","247,000","8,790,000","8,840,000","-50,000","342,000","342,000","-233,000","-233,000","1,813,000",-,-,"-25,000",-,"11,775,000",-,-,"19,868,000","-8,093,000",-,-,"-3,464,000","-3,464,000","-339,000","-4,644,000","141,000",-,-,"537,000","-195,000","732,000","1,035,000","1,530,000","-495,000",-,-,-,"-230,000","-230,000","34,000",-,"-4,922,000","-4,922,000","-1,683,000","-2,556,000","-10,000","13,829,000","-13,839,000","-2,546,000",-,-,"-46,000","4,898,000","-4,944,000",-,-,"198,000",-,-,-,"146,358,000","14,033,000","-960,000","133,285,000","162,000","1,649,000","-339,000","4,898,000","13,829,000","-13,839,000","-4,944,000","22,080,000"
8,3/31/2021,"-1,744,000","-1,744,000","-231,000","11,656,000","11,679,000","-23,000","364,000","364,000","-69,000","-69,000","-145,000",-,"290,000","4,394,000",-,"-18,003,000",-,-,"-20,707,000","2,704,000",-,-,"-13,054,000","-13,054,000","-283,000","-7,207,000","-132,000",-,-,"215,000","-18,000","233,000","-5,604,000","686,000","-6,290,000",-,-,-,"-58,000","-58,000","15,000",-,"6,154,000","6,154,000","-2,248,000","4,810,000","2,094,000","15,576,000","-13,482,000","2,716,000",-,-,"-569,000","6,766,000","-7,335,000",-,-,"71,000",-,-,-,"133,285,000","-8,644,000","2,817,000","139,112,000","267,000","1,574,000","-283,000","6,766,000","15,576,000","-13,482,000","-7,335,000","-2,027,000"
9,12/31/2020,"-6,520,000","-6,520,000","-350,000","-6,073,000","-6,026,000","-47,000","356,000","356,000","179,000","179,000","2,621,000",-,-,"138,000",-,"-3,391,000",-,-,"1,023,000","-4,414,000",-,-,"11,980,000","11,980,000","-339,000","15,253,000","-65,000",-,-,"40,000","-143,000","183,000","-2,874,000","970,000","-3,844,000",0,-,0,"-59,000","-59,000","24,000",-,"-3,085,000","-3,085,000","-6,020,000","-3,345,000","-2,371,000","8,592,000","-10,963,000","-974,000",-,-,"-177,000","6,152,000","-6,329,000","-358,000","-358,000","82,000",-,-,-,"139,112,000","2,375,000","-1,084,000","137,821,000","117,000","1,338,000","-339,000","6,152,000","8,592,000","-10,963,000","-6,329,000","-6,859,000"
