,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Leases,Interest Income from Securities,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"13,760,000","5,341,000","12,251,000","5,887,000","5,887,000",-,"2,553,000","2,135,000","1,676,000","6,910,000","1,746,000","131,000","3,590,000","768,000","675,000","8,419,000",-,"7,350,000","8,362,000","2,957,000","3,079,000","2,326,000",-,"1,012,000","491,000","-980,000","529,000","-39,000","94,000","-133,000",-,"1,068,000","-148,000","15,270,000","2,937,000","973,000","1,964,000","2,143,000","9,930,000","9,930,000","9,000,000",-,"930,000",-,"4,000","4,000",-,"4,000","4,000","256,000","167,000","-1,767,000","-618,000","533,000","23,000","10,000","583,000","-3,258,000","4,048,000","-7,293,000","-7,293,000","-7,306,000","-7,306,000",-,-,-,"13,000",-,"-7,293,000",-,-,-,-,"5,193,000","-7,293,000","-6,232,800","2,135,000","1,737,000","-7,293,000","-1,767,000","-1,767,000",0,"-706,800"
1,12/31/2022,"13,760,000","5,341,000","12,251,000","5,887,000","5,887,000",-,"2,553,000","2,135,000","1,676,000","6,910,000","1,746,000","131,000","3,590,000","768,000","675,000","8,419,000",-,"7,350,000","8,362,000","2,957,000","3,079,000","2,326,000",-,"1,012,000","491,000","-980,000","529,000","-39,000","94,000","-133,000",-,"1,068,000","-148,000","15,270,000","2,937,000","973,000","1,964,000","2,143,000","9,930,000","9,930,000","9,000,000",-,"930,000",-,"4,000","4,000",-,"4,000","4,000","256,000","167,000","-1,767,000","-618,000","533,000","23,000","10,000","583,000","-3,258,000","4,048,000","-7,293,000","-7,293,000","-7,306,000","-7,306,000",-,-,-,"13,000",-,"-7,293,000",-,-,-,-,"5,193,000","-7,293,000","-6,232,800","2,135,000","1,737,000","-7,293,000","-1,767,000","-1,767,000",0,"-706,800"
2,12/31/2021,"15,987,000","5,811,000","9,658,000","5,049,000","5,049,000",-,"2,839,000","1,172,000","598,000","3,847,000","159,000","86,000","2,518,000","812,000","272,000","10,176,000",-,"9,429,000","10,672,000","4,050,000","3,497,000","3,125,000","2,173,000","1,243,000","2,493,000","846,000","1,585,000","-4,128,000","-4,038,000","-90,000",-,"-49,000","86,000","14,662,000","2,528,000","979,000","1,549,000","1,996,000","10,099,000","10,099,000","9,129,000",-,"970,000",-,"8,000","8,000",-,"8,000","8,000","31,000","60,000","-2,071,000","581,000","103,000","1,623,000","113,000","813,000","-600,000","1,026,000","-1,650,000","-1,650,000","-1,626,000","-1,626,000",-,-,-,"-24,000",-,"-1,650,000",-0.63,-0.63,"2,627,600","2,627,600","5,897,000","-1,650,000","111,800","1,172,000","3,041,000","-1,650,000","-2,071,000","-2,071,000",0,"-309,200"
3,12/31/2020,"21,133,000","5,948,000","13,919,000","5,733,000","5,733,000",-,"5,819,000","1,596,000","771,000","7,971,000","1,113,000","166,000","2,753,000","907,000","3,032,000","15,185,000",-,"10,597,000","11,853,000","3,101,000","3,187,000","3,310,000","1,470,000","1,256,000","2,255,000","3,295,000","2,473,000",0,0,"-34,000","15,000","1,293,000","-1,096,000","16,413,000","2,410,000","982,000","1,428,000","1,546,000","16,413,000","16,413,000","9,890,000",-,"6,523,000",-,"8,000","8,000",-,"8,000","8,000","-192,000","-254,000","-157,000","419,000","157,000","414,000","414,000","730,000","3,467,000","801,000","2,669,000","2,669,000","2,666,000","2,666,000",-,-,-,"3,000",-,"2,669,000",1.02,0.99,"2,624,100","2,693,500","4,852,000","2,669,000","2,789,890","1,596,000","1,356,000","2,669,000","-157,000","-157,000",0,"-36,110"
4,12/31/2019,"20,471,000","7,017,000","20,184,000","7,179,000","7,179,000",-,"7,349,000","2,926,000","2,730,000","13,167,000","3,055,000","409,000","3,412,000","1,668,000","4,623,000","13,454,000",-,"8,318,000","9,594,000","3,200,000","3,438,000","2,956,000","1,513,000","1,276,000","1,564,000","1,071,000","668,000","1,127,000","1,141,000","-14,000","251,000","706,000","-324,000","15,667,000","2,433,000","1,090,000","1,343,000","1,712,000","11,369,000","11,369,000","10,240,000",-,"1,129,000",-,"10,000","10,000",-,"10,000","10,000","143,000","232,000","8,000","2,000",-,-,-,"-6,000","4,720,000","1,295,000","3,419,000","3,419,000","3,425,000","3,425,000",-,-,-,"-6,000",-,"3,419,000",1.28,1.25,"2,666,725","2,732,860","6,693,000","3,419,000","3,413,192","2,926,000","1,275,000","3,419,000","8,000","8,000",0,"2,192"
5,12/31/2018,"19,561,000","7,125,000","19,623,000","6,770,000","6,770,000",-,"7,211,000","2,856,000","2,776,000","12,498,000","2,287,000","359,000","3,816,000","1,877,000","4,265,000","12,436,000",-,"10,483,000","11,742,000","3,729,000","3,582,000","2,861,000","1,798,000","1,259,000","1,718,000","456,000","367,000",0,0,"-4,000","28,000","1,497,000","-245,000","15,899,000","2,138,000","964,000","1,174,000","1,803,000","15,899,000","15,899,000","8,864,000",-,"7,035,000",-,"9,000","9,000",-,"9,000","9,000","132,000","228,000","-528,000","71,000","528,000",-,-,"228,000","2,889,000","1,134,000","1,762,000","1,762,000","1,755,000","1,755,000",-,-,-,"7,000",-,"1,762,000",0.75,0.73,"2,719,549","2,779,556","6,880,000","1,762,000","2,082,748","2,856,000","936,000","1,762,000","-528,000","-528,000",0,"-207,252"
6,12/31/2017,"19,242,000","6,557,000","17,057,000","5,979,000","5,979,000",-,"6,744,000","2,515,000","1,819,000","10,500,000","1,354,000","166,000","3,722,000","1,284,000","3,974,000","12,685,000",-,"8,581,000","10,011,000","3,467,000","3,494,000","3,050,000","1,628,000","1,430,000","1,806,000","-672,000","1,989,000","83,000","80,000","3,000",-,"898,000","-210,000","16,511,000","2,156,000","1,000,000","1,156,000","2,446,000","11,703,000","11,703,000","10,177,000",-,"1,526,000",-,"9,000","9,000",-,"9,000","9,000","197,000","233,000","-961,000","13,000","455,000",0,-,"519,000","1,793,000","2,741,000","-983,000","-983,000","-948,000","-948,000",-,-,-,"-35,000",-,"-983,000",-0.39,-0.39,"2,550,092","2,550,092","6,347,000","-983,000","-256,580","2,515,000","894,000","-983,000","-961,000","-961,000",0,"-234,580"
7,12/31/2016,"18,762,000","7,562,000","17,374,000","5,628,000","5,628,000",-,"7,543,000","2,767,000","1,436,000","9,812,000","1,043,000","84,000","3,494,000","1,387,000","3,804,000","11,200,000",-,"9,637,000","11,092,000","3,445,000","3,209,000","3,074,000","1,627,000","1,455,000","1,364,000","313,000","-2,529,000",0,0,"-51,000","72,000","1,250,000","-252,000","19,478,000","2,170,000","1,004,000","1,166,000","2,984,000","20,042,000","20,042,000","10,572,000",-,"9,470,000",-,"8,000","8,000",-,"8,000","8,000","-564,000","208,000","-998,000","34,000","540,000",0,-,"492,000","-1,966,000","469,000","-2,438,000","-2,438,000","-2,435,000","-2,435,000",0,-,-,"-3,000",-,"-2,438,000",-1.20,-1.20,"2,257,451","2,257,451","7,310,000","-2,438,000","-1,634,610","2,767,000","937,000","-2,438,000","-998,000","-998,000",0,"-194,610"
8,12/31/2015,"22,174,000","9,299,000","19,341,000","5,413,000","5,413,000",-,"9,111,000","2,625,000","2,192,000","10,042,000","884,000","105,000","3,728,000","1,264,000","4,061,000","12,875,000",-,"10,421,000","12,044,000","3,251,000","3,436,000","3,713,000","1,673,000","1,623,000","1,644,000","1,340,000","-1,121,000",0,0,"-19,000","95,000","1,114,000","-324,000","20,120,000","2,290,000","1,022,000","1,268,000","3,241,000","20,120,000","20,120,000","11,546,000",-,"8,574,000",-,"19,000","19,000",-,"19,000","19,000","628,000","243,000","-4,152,000","34,000","355,000","3,797,000",-,"399,000","-2,422,000","523,000","-2,944,000","-2,944,000","-2,945,000","-2,945,000",0,-,-,"1,000",-,"-2,944,000",-1.56,-1.56,"1,896,035","1,896,035","8,975,000","-2,944,000","311,168","2,625,000","4,889,000","-2,944,000","-4,152,000","-4,152,000",0,"-896,832"
9,12/31/2014,"24,681,000","9,034,000","19,061,000","5,077,000","5,077,000",-,"9,542,000","2,317,000","2,125,000","10,027,000","1,045,000","119,000","3,594,000","1,042,000","4,227,000","15,647,000",-,"11,490,000","13,051,000","3,649,000","3,734,000","3,790,000","1,897,000","1,561,000","1,878,000","2,026,000","-4,398,000",0,0,"-4,000",-,"2,131,000","-186,000","20,591,000","2,623,000","1,177,000","1,446,000","2,381,000","20,591,000","20,591,000","11,334,000",-,"9,257,000",-,"24,000","24,000",-,"24,000","24,000","2,783,000","252,000","392,000",-,-,0,-,"-392,000","3,904,000","1,452,000","1,962,000","2,105,000","2,554,000","2,452,000","102,000",-,-,"-449,000","53,000","1,962,000",0.96,0.95,"1,823,070","1,837,304","8,848,000","2,105,000","2,003,000","2,317,000","1,285,000","2,003,000","392,000","392,000",0,0
