,Breakdown,Total Revenue,Credit Losses Provision,Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"13,760,000","-148,000","15,270,000","167,000","-1,767,000","-3,258,000","4,048,000","-7,293,000","-7,293,000",-,-,-,-,"5,193,000","-7,293,000","-6,232,800","2,135,000","1,737,000","-7,293,000","-1,767,000","-1,767,000",0,"-706,800"
1,12/31/2022,"2,945,000","-41,000","3,736,000",-,"-483,000","-1,315,000","82,000","-1,393,000","-1,393,000",-0.46,-0.46,"3,039,000","3,039,000","1,443,000","-1,393,000","-1,103,200",-,"438,000","-1,393,000","-483,000","-483,000",0,"-193,200"
2,9/30/2022,"3,493,000","-11,000","3,642,000","45,000","-227,000","-342,000","3,698,000","-4,034,000","-4,034,000",-1.45,-1.45,"2,792,656","2,792,656","1,192,000","-4,034,000","-3,897,800","734,000","524,000","-4,034,000","-227,000","-227,000",0,"-90,800"
3,6/30/2022,"3,508,000","-62,000","3,963,000","53,000","-709,000","-1,173,000","419,000","-1,593,000","-1,593,000",-0.57,-0.57,"2,795,931","2,795,931","1,133,000","-1,593,000","-1,167,600","386,000","415,000","-1,593,000","-709,000","-709,000",0,"-283,600"
4,3/31/2022,"4,399,000","-38,000","3,950,000","43,000","-882,000","-428,000","-151,000","-273,000","-273,000",-0.09,-0.09,"2,765,716","2,765,716","1,421,000","-273,000","297,654","233,000","360,000","-273,000","-882,000","-882,000",0,"-311,346"
5,12/31/2021,"4,325,000","20,000","3,813,000",-,"-2,118,000","-1,586,000","416,000","-2,007,000","-2,007,000",-0.78,-0.78,"2,678,400","2,678,400","1,338,000","-2,007,000","-205,217",-,"2,020,000","-2,007,000","-2,118,000","-2,118,000",0,"-316,217"
6,9/30/2021,"5,374,000","-47,000","4,268,000","-57,000","6,000","1,008,000","570,000","434,000","434,000",0.15,0.15,"2,567,312","2,643,272","1,376,000","434,000","428,896","268,000","315,000","434,000","6,000","6,000",0,895.8
7,6/30/2021,"4,298,000","81,000","3,718,000","55,000","97,000","813,000","566,000","253,000","253,000",0.09,0.09,"2,592,456","2,651,512","1,497,000","253,000","170,482","311,000","342,000","253,000","97,000","97,000",0,"14,482"
8,3/31/2021,"7,101,000","-4,394,000","3,541,000",-,"77,000","-757,000","-526,000","-252,000","-252,000",-0.09,-0.09,"2,584,744","2,584,744","-2,740,000","-252,000","-317,504",-,"364,000","-252,000","77,000","77,000",0,"11,496"
9,12/31/2020,"4,918,000","-138,000","4,818,000","-361,000","-50,000","-88,000","262,000","-353,000","-353,000",-0.14,-0.14,"2,570,799","2,570,799","1,310,000","-353,000","-310,420","343,000","356,000","-353,000","-50,000","-50,000",0,"-7,420"
