,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 4/26/2023Current,3.51B,N/A,N/A,9.83,2.89,0.16,0.07,N/A,N/A
1,12/31/2022,11.86B,N/A,N/A,N/A,N/A,0.52,0.26,N/A,N/A
2,9/30/2022,10.67B,N/A,N/A,5.48,1.61,0.61,0.23,N/A,N/A
3,6/30/2022,14.83B,N/A,N/A,9.51,2.80,0.81,0.34,N/A,N/A
4,3/31/2022,20.32B,N/A,N/A,7.39,0.61,1.18,0.45,N/A,N/A
5,12/31/2021,24.94B,N/A,310.31,6.53,0.54,1.35,0.54,N/A,N/A
6,9/30/2021,23.79B,N/A,121.07,6.79,0.56,1.48,0.53,N/A,N/A
7,6/30/2021,25.37B,N/A,23.20,5.03,0.41,1.15,0.55,N/A,N/A
8,3/31/2021,24.85B,N/A,9.95,7.37,0.52,1.29,0.58,N/A,N/A
9,12/31/2020,31.40B,N/A,7.72,8.08,1.09,1.39,0.62,N/A,N/A
10,9/30/2020,24.34B,N/A,5.87,5.89,0.65,1.14,0.50,N/A,N/A
11,6/30/2020,25.15B,N/A,6.68,9.82,1.24,1.27,0.52,N/A,N/A
12,3/31/2020,19.99B,N/A,6.22,6.33,0.80,1.04,0.45,N/A,N/A
13,12/31/2019,32.95B,N/A,12.63,8.70,0.42,1.85,0.74,N/A,N/A
14,9/30/2019,30.53B,N/A,14.05,8.12,0.39,1.76,0.72,N/A,N/A
15,6/30/2019,30.05B,N/A,15.44,9.47,0.46,1.69,0.71,N/A,N/A
16,3/31/2019,29.74B,N/A,15.91,9.28,0.45,1.67,0.70,N/A,N/A
17,12/31/2018,27.98B,N/A,N/A,N/A,N/A,1.48,0.67,N/A,N/A
18,9/30/2018,38.49B,N/A,919.99,8.64,N/A,1.99,0.93,N/A,N/A
19,6/30/2018,38.05B,N/A,N/A,12.06,N/A,2.04,0.94,N/A,N/A
20,3/31/2018,42.63B,N/A,N/A,10.31,N/A,2.13,1.03,N/A,N/A
21,12/31/2017,45.41B,N/A,N/A,18.83,N/A,2.27,1.07,N/A,N/A
22,9/30/2017,40.32B,N/A,N/A,16.23,N/A,1.92,0.95,N/A,N/A
23,6/30/2017,37.03B,N/A,N/A,20.79,N/A,1.71,0.90,N/A,N/A
24,3/31/2017,31.03B,N/A,N/A,15.55,N/A,1.88,0.81,N/A,N/A
25,12/31/2016,29.98B,N/A,N/A,15.13,N/A,1.87,0.75,N/A,N/A
26,9/30/2016,27.47B,N/A,N/A,15.67,N/A,1.45,0.65,N/A,N/A
27,6/30/2016,21.90B,N/A,N/A,15.60,N/A,1.04,0.53,N/A,N/A
28,3/31/2016,27.45B,N/A,N/A,8.85,0.37,1.17,0.65,N/A,N/A
29,12/31/2015,42.82B,N/A,11.57,10.24,0.42,1.70,1.02,N/A,N/A
30,9/30/2015,39.39B,N/A,11.96,9.62,0.39,1.79,1.01,N/A,N/A
31,6/30/2015,45.29B,N/A,24.85,11.45,0.47,1.97,1.08,N/A,N/A
32,3/31/2015,42.30B,N/A,29.07,10.47,0.43,1.99,1.04,N/A,N/A
33,12/31/2014,40.57B,N/A,103.47,8.09,0.27,1.87,1.02,N/A,N/A
34,9/30/2014,44.55B,N/A,N/A,11.70,0.39,2.05,1.16,N/A,N/A
35,6/30/2014,45.53B,N/A,33.51,8.24,0.27,1.93,1.05,N/A,N/A
36,3/31/2014,51.17B,N/A,20.61,9.49,0.29,2.08,1.20,N/A,N/A
37,12/31/2013,48.89B,N/A,19.76,9.36,0.29,1.94,1.17,N/A,N/A
38,9/30/2013,48.57B,N/A,19.71,8.68,0.25,1.86,1.17,N/A,N/A
39,6/30/2013,35.63B,N/A,18.74,7.97,0.23,1.69,1.19,N/A,N/A
40,3/31/2013,33.94B,N/A,31.29,9.03,0.41,1.63,1.04,N/A,N/A
41,12/31/2012,31.55B,N/A,28.06,10.36,0.47,1.46,0.92,N/A,N/A
42,9/30/2012,27.28B,N/A,50.75,9.95,0.47,1.31,0.83,N/A,N/A
43,6/30/2012,21.89B,N/A,40.68,6.17,0.23,1.11,0.76,N/A,N/A
44,3/31/2012,34.67B,N/A,21.39,8.23,0.43,0.98,1.06,N/A,N/A
45,12/31/2011,28.23B,N/A,9.76,6.91,1.13,1.12,0.91,N/A,N/A
