,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Properties,Land And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Preferred Securities Outside Stock Equity,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Unrealized Gain Loss,Minimum Pension Liabilities,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
0,12/31/2022,"1,336,788,000","263,580,000","186,091,000","178,896,000",-,"7,195,000","77,489,000","77,489,000","11,478,000","66,011,000","17,414,000",-,"143,165,000","84,867,000","32,848,000",-,"25,450,000","1,124,000","299,686,000","496,974,000","501,764,000","4,069,000","264,208,000","212,344,000",-,"21,143,000","4,790,000",-,"76,422,000","74,838,000",-,"1,584,000","6,103,000","12,863,000",-,-,"2,434,000","216,000","3,523,000","6,690,000","-6,760,000","7,092,000","2,919,000","4,173,000","7,272,000","7,272,000","40,000","17,916,000","1,264,460,000","621,457,000","621,457,000","85,053,000","536,404,000",-,"49,090,000","573,000","48,517,000","13,000","85,925,000","85,925,000","85,537,000","388,000","388,000",-,-,"5,122,000","5,122,000","1,899,000","3,223,000","51,472,000","282,353,000","141,257,000","136,787,000","4,470,000","2,449,000","650,000","650,000","500,000","208,000","23,964,000","72,328,000","70,537,000","5,291,000","5,291,000","17,800,000","40,513,000","331,000","-1,314,000",-,-,-,-,"8,578,000","1,791,000","207,324,000","70,537,000","4,470,000","63,445,000","212,446,000","63,445,000","146,379,000",-,"2,066,773","2,037,842","28,932"
1,12/31/2021,"1,323,993,000","268,893,000","199,363,000","192,021,000",-,"7,342,000","69,530,000","69,530,000","8,368,000","61,162,000","18,418,000",-,"141,157,000","93,196,000","24,584,000",-,"23,377,000","1,091,000","299,732,000","485,924,000","490,678,000","4,370,000","253,958,000","209,754,000",-,"22,596,000","4,754,000",-,"74,793,000","73,579,000",-,"1,214,000","5,535,000","11,736,000",-,-,"2,283,000","398,000","3,102,000","5,953,000","-6,201,000","6,824,000","2,805,000","4,019,000","6,218,000","6,218,000","398,000","15,010,000","1,255,962,000","603,750,000","603,750,000","84,315,000","519,435,000",-,"54,111,000","747,000","53,364,000","24,000","72,390,000","72,390,000","71,790,000","600,000","600,000",-,-,"4,034,000","4,034,000","1,840,000","2,194,000","56,115,000","287,108,000","152,155,000","148,190,000","3,965,000","2,641,000","501,000","501,000","528,000","252,000","22,353,000","68,031,000","66,333,000","5,291,000","5,291,000","12,607,000","40,580,000","6,000","-444,000",-,-,-,-,"8,305,000","1,698,000","214,523,000","66,333,000","3,965,000","59,509,000","218,557,000","59,509,000","156,189,000",-,"2,066,773","2,066,094",678.948
2,12/31/2020,"1,324,961,000","183,871,000","175,338,000","166,208,000",-,"9,130,000","8,533,000","8,533,000","8,533,000","47,600,000",0,-,"240,321,000","107,929,000","76,558,000",-,"55,834,000","901,000","343,493,000","426,691,000","426,691,000","4,635,000","218,234,000","203,246,000",-,"426,691,000","4,808,000",-,"986,000","76,220,000",-,"986,000","5,549,000","11,058,000",-,-,"2,343,000","387,000","2,897,000","5,431,000","-5,509,000","6,725,000","2,739,000","3,986,000","6,063,000","6,063,000","6,097,000","110,361,000","1,262,776,000","567,745,000","567,745,000","75,432,000","567,745,000","220,646,000","2,325,000","2,325,000","41,636,000","1,697,000","574,000","574,000","81,550,000","574,000","574,000",-,-,"3,553,000","3,553,000","1,748,000","3,553,000","90,898,000","327,775,000","149,163,000","149,163,000","3,974,000","2,430,000","561,000","561,000","1,321,000","9,850,000","114,734,000","62,185,000","60,598,000","5,291,000","5,291,000","10,014,000","40,606,000","7,000","-1,118,000",-,-,-,-,"60,598,000","1,587,000","209,761,000","60,598,000","3,974,000","53,873,000","213,314,000","53,873,000","152,716,000",-,"2,066,773","2,065,427","1,346"
3,12/31/2019,"1,298,000,000","215,810,000","147,228,000","137,592,000",-,"9,636,000","68,582,000","68,582,000","13,801,000","54,781,000","18,346,000",-,"174,524,000","98,575,000","36,735,000",-,"39,214,000","929,000","332,931,000","430,000,000","434,000,000","4,874,000","227,878,000","195,762,000",-,"434,000,000","4,000,000",-,"66,941,000","66,015,000",-,"926,000","4,929,000","9,685,000","656,000",-,"2,380,000","155,000","2,961,000","4,189,000","-4,756,000","7,029,000","2,881,000","4,148,000","5,986,000","5,986,000","4,976,000","868,000,000","1,242,000,000","572,000,000","572,208,000","76,856,000","495,352,000","228,731,000","45,838,000","3,115,000","42,723,000","259,000","74,358,000","74,358,000","73,707,000","651,000","651,000",-,-,"5,218,000","5,218,000","1,585,000","3,633,000","39,912,000","316,506,000","141,235,000","141,235,000",-,"2,622,000","545,000","545,000","2,013,000","9,650,000","670,000,000","56,000,000","56,000,000","5,291,000","5,291,000","9,644,000","40,505,000","4,000","421,000",-,-,-,-,"4,665,000","1,638,000","201,757,000","56,000,000",-,"56,000,000","206,975,000","56,000,000","146,453,000",-,"2,066,773","2,066,102",671.357
4,12/31/2018,"1,348,137,000","251,474,000","197,612,000","188,731,000",-,"8,881,000","53,862,000","53,862,000","8,222,000","45,640,000","27,606,000",-,"210,470,000","141,238,000","24,239,000",-,"44,993,000","879,000","320,058,000","429,629,000","433,888,000","5,092,000","206,269,000","187,422,000",-,"35,105,000","4,259,000",-,"70,181,000","69,211,000",-,"970,000","2,422,000","6,382,000","778,000",-,"2,602,000","142,000","2,860,000","778,000","-3,960,000","9,141,000","3,876,000","5,265,000","7,230,000","7,230,000","2,679,000","16,368,000","1,279,399,000","564,405,000","564,405,000","81,980,000","482,425,000","221,746,000","51,121,000","4,867,000","46,254,000","3,359,000","94,138,000","94,138,000","93,194,000","944,000","944,000",-,-,"14,158,000","14,158,000","2,752,000","11,406,000","61,819,000","301,487,000","157,690,000","157,690,000",-,"2,711,000","512,000","512,000","3,168,000","1,242,000","23,589,000","68,738,000","67,170,000","5,291,000","5,291,000","16,714,000","40,252,000","15,000","253,000",-,-,-,-,"4,675,000","1,568,000","224,860,000","67,170,000",-,"58,029,000","239,018,000","58,029,000","171,848,000",-,"2,066,773","2,065,429","1,344"
5,12/31/2017,"1,474,732,000","244,891,000","234,920,000","225,655,000",-,"9,265,000","9,971,000","9,971,000","9,971,000","57,843,000","16,732,000",-,"328,504,000","184,661,000","91,315,000","3,170,000","49,358,000","866,000","361,032,000","401,699,000","401,699,000","2,685,000","199,149,000","189,712,000","179,452,000","401,699,000","3,921,000","-259,000","1,215,000","85,389,000",-,"1,215,000","2,663,000","6,742,000","1,387,000",-,"2,473,000","139,000","2,743,000","1,387,000","-4,081,000","8,839,000","3,781,000","5,058,000","6,799,000","6,799,000","45,000","101,492,000","1,406,633,000","580,812,000","354,473,000","98,041,000","354,473,000","226,339,000","18,105,000","18,105,000","53,840,000","6,688,000","1,001,000","1,001,000","109,365,000","1,001,000","1,001,000",-,-,"18,411,000","18,411,000","5,274,000","18,411,000","135,336,000","342,726,000","159,715,000","159,715,000",-,"5,219,000","346,000","346,000","5,491,000","16,000","132,783,000","68,099,000","67,849,000","5,291,000","5,291,000","17,454,000","39,918,000","9,000","520,000",-,-,-,-,"4,675,000","250,000","227,564,000","67,849,000",-,"59,010,000","245,975,000","59,010,000","178,126,000",-,"2,066,773","2,066,402",371.09
6,12/31/2016,"1,590,546,000","256,661,000","192,970,000","181,364,000",-,"11,606,000","63,691,000","63,691,000","16,287,000","47,404,000","41,217,000",-,"225,256,000","157,844,000","11,541,000","3,206,000","52,665,000","1,831,000","485,150,000","432,373,000","436,919,000","2,759,000","193,097,000","202,536,000","178,145,000","38,527,000","4,546,000","-88,000","109,092,000","107,533,000",-,"1,559,000","2,804,000","6,982,000","1,516,000",-,"2,406,000","240,000","2,820,000","1,516,000","-4,178,000","8,982,000","4,103,000","4,879,000","8,666,000","8,666,000","563,000","17,951,000","1,525,728,000","550,204,000","550,204,000","116,094,000","434,110,000","200,122,000","76,137,000","25,740,000","50,397,000","3,598,000","126,060,000","126,060,000","124,731,000","1,329,000","1,329,000",-,-,"17,295,000","17,295,000","3,219,000","14,076,000","60,611,000","463,858,000","178,830,000","178,830,000",-,"10,973,000","486,000","486,000","6,373,000","701,000","30,602,000","64,818,000","64,502,000","3,531,000","3,531,000","18,987,000","33,765,000",0,"3,550,000",-,-,-,-,"4,669,000","316,000","243,332,000","64,502,000",-,"55,520,000","260,627,000","55,520,000","196,125,000","3,155,000","1,545,391","1,545,163",227.944
7,12/31/2015,"1,629,130,000","132,238,000","109,782,000","96,940,000",-,"12,842,000","22,456,000","22,456,000","22,456,000","51,073,000","33,557,000",-,"378,871,000","196,035,000","109,253,000",-,"73,583,000","1,013,000","515,594,000","427,749,000","427,749,000","3,102,000","91,065,000","45,317,000","197,782,000","427,749,000","5,028,000","-772,000","9,046,000","97,588,000",-,"9,046,000","2,846,000","7,284,000","1,432,000",-,"3,060,000","130,000","2,662,000","1,432,000","-4,437,000","10,078,000","4,890,000","5,188,000","7,762,000","7,762,000","3,491,000","118,138,000","1,561,506,000","566,975,000","374,965,000","119,065,000","374,965,000","192,010,000","9,803,000","9,803,000","31,637,000","3,270,000","2,445,000","2,445,000","137,244,000","2,445,000","2,445,000",-,-,"28,010,000","28,010,000","9,327,000","28,010,000","97,156,000","494,076,000","160,016,000","160,016,000",-,"9,207,000","746,000","746,000","7,020,000","37,000","183,528,000","67,624,000","67,354,000","3,531,000","3,531,000","21,182,000","33,572,000","10,000","4,404,000",-,-,-,-,"4,675,000","270,000","227,370,000","67,354,000",-,"57,276,000","255,380,000","57,276,000","188,026,000","78,244,000","1,545,391","1,544,971",420.012
8,12/31/2014,"1,708,703,000","161,842,000","83,573,000","20,055,000",-,"63,518,000","78,269,000","78,269,000","17,796,000","60,473,000","46,238,000",-,"260,474,000","178,981,000","21,078,000",-,"60,415,000","5,119,000","629,958,000","439,385,000","444,655,000","2,906,000","32,533,000","44,839,000","188,904,000","175,473,000","5,212,000","-58,000","120,829,000","117,845,000",-,"2,984,000","2,908,000","7,027,000","1,560,000",-,"2,947,000","141,000","2,379,000","1,560,000","-4,119,000","14,951,000","9,518,000","5,433,000","6,865,000","6,865,000","180,000","19,954,000","1,635,480,000","532,934,000","532,934,000","108,350,000","424,584,000","160,733,000","31,940,000","10,887,000","21,053,000","2,339,000","147,771,000","147,771,000","146,163,000","1,608,000","1,608,000",-,-,"42,931,000","42,931,000","14,787,000","28,144,000","47,904,000","610,202,000","154,855,000","154,855,000",-,"6,677,000","1,175,000","1,175,000","10,573,000",0,"46,179,000","73,223,000","72,970,000","3,531,000","3,531,000","29,279,000","33,626,000","8,000","1,923,000",-,-,-,-,"4,619,000","253,000","227,825,000","72,970,000",-,"58,019,000","270,756,000","58,019,000","197,786,000","114,213,000","1,545,401","1,545,110",291.518
9,12/31/2013,"1,611,400,000","239,266,000","95,139,000","17,155,000",-,"77,984,000","144,127,000","144,127,000","27,363,000","116,764,000","53,355,000",-,"257,369,000","192,283,000","19,768,000",-,"45,318,000","4,418,000","504,590,000","410,689,000","416,193,000","2,170,000","30,193,000","45,440,000","182,335,000","156,055,000","5,589,000","85,000","90,172,000","86,421,000",-,"3,751,000","4,420,000","10,085,000","3,749,000",-,"3,926,000","170,000","2,240,000","3,749,000","-5,665,000","13,932,000","9,074,000","4,858,000","7,071,000","7,071,000","6,670,000","19,448,000","1,556,433,000","527,750,000","527,750,000","114,176,000","413,574,000","149,471,000","87,023,000","13,381,000","73,642,000","2,304,000","124,265,000","124,265,000","122,665,000","1,600,000","1,600,000",-,-,"59,767,000","59,767,000","20,852,000","38,915,000","62,731,000","483,428,000","142,617,000","142,617,000",-,"4,524,000","1,101,000","1,101,000","11,926,000","6,264,000","42,733,000","54,967,000","54,720,000","2,610,000","2,610,000","28,376,000","26,204,000","13,000","-2,457,000",-,-,-,-,-,"247,000","197,337,000","54,720,000",-,"40,788,000","257,104,000","40,788,000","202,384,000","107,245,000","1,197,639","1,197,437",201.941
