,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Properties,Land And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Preferred Securities Outside Stock Equity,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Unrealized Gain Loss,Minimum Pension Liabilities,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
0,3/31/2023,"1,306,777,000","176,656,000","166,640,000","160,777,000",-,"5,863,000","10,016,000","10,016,000",-,-,"24,000",-,"240,009,000","110,901,000","100,021,000",-,"29,087,000","1,074,000","246,299,000","482,642,000","487,636,000",-,-,-,-,"487,636,000","4,994,000",-,"1,594,000",-,-,"1,594,000","6,101,000",-,-,-,-,-,-,-,-,"7,088,000",-,-,"6,883,000","6,883,000",-,"138,407,000","1,233,399,000","591,937,000","591,937,000",-,"591,937,000",-,"451,000",-,-,"9,000","512,000","512,000",-,"512,000","512,000",-,-,"4,908,000","4,908,000",-,"4,908,000","138,324,000","231,823,000","127,680,000","127,680,000",-,"2,759,000","621,000","621,000","508,000",-,"133,867,000","73,378,000","71,580,000","5,223,000","5,223,000","19,286,000","39,861,000","60,000","-1,270,000",-,-,-,-,"8,540,000","1,798,000","199,260,000","71,580,000",-,"64,492,000","204,168,000","64,492,000","132,588,000",-,"2,078,600","2,078,600",-
1,12/31/2022,"1,336,788,000","263,580,000","186,091,000","178,896,000",-,"7,195,000","77,489,000","77,489,000","11,478,000","66,011,000","17,414,000",-,"143,165,000","84,867,000","32,848,000",-,"25,450,000","1,124,000","299,686,000","496,974,000","501,764,000","4,069,000","264,208,000","212,344,000",-,"21,143,000","4,790,000",-,"76,422,000","74,838,000",-,"1,584,000","6,103,000","12,863,000",-,-,"2,434,000","216,000","3,523,000","6,690,000","-6,760,000","7,092,000","2,919,000","4,173,000","7,272,000","7,272,000","40,000","17,916,000","1,264,460,000","621,457,000","621,457,000","85,053,000","536,404,000",-,"49,090,000","573,000","48,517,000","13,000","85,925,000","85,925,000","85,537,000","388,000","388,000",-,-,"5,122,000","5,122,000","1,899,000","3,223,000","51,472,000","282,353,000","141,257,000","136,787,000","4,470,000","2,449,000","650,000","650,000","500,000","208,000","23,964,000","72,328,000","70,537,000","5,291,000","5,291,000","17,800,000","40,513,000","331,000","-1,314,000",-,-,-,-,"8,578,000","1,791,000","207,324,000","70,537,000","4,470,000","63,445,000","212,446,000","63,445,000","146,379,000",-,"2,066,773","2,037,842","28,932"
2,9/30/2022,"1,498,067,000","201,987,000","191,642,000","182,050,000",-,"9,592,000","10,345,000","10,345,000",-,-,0,-,"227,416,000","108,509,000","83,798,000",-,"35,109,000","1,244,000","394,993,000","497,937,000","502,911,000",-,-,-,-,"502,911,000","4,974,000",-,"1,493,000",-,-,"1,493,000","5,955,000",-,-,-,-,-,-,-,-,"7,399,000",-,-,"6,239,000","6,239,000",-,"153,404,000","1,427,152,000","630,766,000","630,766,000",-,"630,766,000",-,"1,715,000",-,-,"30,000","551,000","551,000",-,"551,000","551,000",-,-,"6,251,000","6,251,000",-,"6,251,000","115,480,000","377,839,000","146,044,000","146,044,000",-,"2,546,000","696,000","696,000","503,000",-,"144,731,000","70,915,000","69,048,000","5,291,000","5,291,000","15,739,000","40,366,000","340,000","665,000",-,-,-,-,"7,327,000","1,867,000","215,092,000","69,048,000",-,"61,649,000","221,343,000","61,649,000","152,295,000",-,"2,066,800","2,037,200","29,600"
3,6/30/2022,"1,386,660,000","194,093,000","184,972,000","177,070,000",-,"7,902,000","9,121,000","9,121,000",-,-,"164,000",-,"224,287,000","103,953,000","88,819,000",-,"31,515,000","1,185,000","322,978,000","488,430,000","493,244,000",-,-,-,-,"493,244,000","4,814,000",-,"1,326,000",-,-,"1,326,000","5,595,000",-,-,-,-,-,-,-,-,"7,155,000",-,-,"6,338,000","6,338,000",-,"135,109,000","1,317,775,000","612,583,000","612,583,000",-,"612,583,000",-,"1,213,000",-,-,"8,000","690,000","690,000",-,"690,000","690,000",-,-,"5,189,000","5,189,000",-,"5,189,000","119,071,000","303,475,000","143,923,000","143,923,000",-,"2,539,000","882,000","882,000","521,000",-,"127,681,000","68,885,000","67,116,000","5,291,000","5,291,000","14,448,000","40,367,000","396,000","78,000",-,-,-,-,"7,328,000","1,769,000","211,039,000","67,116,000",-,"59,961,000","216,228,000","59,961,000","149,112,000",-,"2,066,800","2,033,000","33,800"
4,3/31/2022,"1,343,066,000","186,501,000","177,706,000","167,408,000",-,"10,298,000","8,795,000","8,795,000",-,-,"232,000",-,"227,131,000","112,493,000","83,163,000",-,"31,475,000","1,069,000","292,011,000","476,132,000","481,020,000",-,-,-,-,"481,020,000","4,888,000",-,"1,237,000",-,-,"1,237,000","5,563,000",-,-,-,-,-,-,-,-,"6,902,000",-,-,"6,405,000","6,405,000",-,"139,883,000","1,274,333,000","603,882,000","603,882,000",-,"603,882,000",-,"936,000",-,-,"20,000","708,000","708,000",-,"708,000","708,000",-,-,"4,456,000","4,456,000",-,"4,456,000","113,316,000","271,833,000","143,414,000","143,414,000",-,"3,176,000","641,000","641,000","518,000",-,"131,433,000","68,733,000","66,977,000","5,291,000","5,291,000","13,857,000","40,292,000","260,000","-515,000",-,-,-,-,"8,312,000","1,756,000","210,391,000","66,977,000",-,"60,075,000","214,847,000","60,075,000","147,870,000",-,"2,066,773","2,066,773",-
5,12/31/2021,"1,323,993,000","268,893,000","199,363,000","192,021,000",-,"7,342,000","69,530,000","69,530,000","8,368,000","61,162,000","18,418,000",-,"141,157,000","93,196,000","24,584,000",-,"23,377,000","1,091,000","299,732,000","485,924,000","490,678,000","4,370,000","253,958,000","209,754,000",-,"22,596,000","4,754,000",-,"74,793,000","73,579,000",-,"1,214,000","5,535,000","11,736,000",-,-,"2,283,000","398,000","3,102,000","5,953,000","-6,201,000","6,824,000","2,805,000","4,019,000","6,218,000","6,218,000","398,000","15,010,000","1,255,962,000","603,750,000","603,750,000","84,315,000","519,435,000",-,"54,111,000","747,000","53,364,000","24,000","72,390,000","72,390,000","71,790,000","600,000","600,000",-,-,"4,034,000","4,034,000","1,840,000","2,194,000","56,115,000","287,108,000","152,155,000","148,190,000","3,965,000","2,641,000","501,000","501,000","528,000","252,000","22,353,000","68,031,000","66,333,000","5,291,000","5,291,000","12,607,000","40,580,000","6,000","-444,000",-,-,-,-,"8,305,000","1,698,000","214,523,000","66,333,000","3,965,000","59,509,000","218,557,000","59,509,000","156,189,000",-,"2,066,773","2,066,094",678.948
6,9/30/2021,"1,326,058,000","213,214,000","204,462,000","196,892,000",-,"7,570,000","8,752,000","8,752,000","8,752,000",-,"223,000",-,"234,893,000","121,016,000","81,313,000",-,"32,564,000","1,081,000","277,147,000","451,433,000","456,230,000",-,-,-,-,"456,230,000","4,797,000",-,"1,057,000",-,-,"1,057,000","5,317,000",-,-,-,-,-,-,-,-,"6,725,000",-,-,"5,880,000","5,880,000",-,"129,088,000","1,260,122,000","585,748,000","585,748,000",-,"585,748,000",-,"2,077,000","2,077,000",-,"1,166,000","794,000","794,000",-,"794,000","794,000",-,-,"3,128,000","3,128,000",-,"3,128,000","115,661,000","264,168,000","147,961,000","147,961,000",-,"2,507,000","526,000","526,000","1,034,000",-,"135,352,000","65,936,000","64,302,000","5,291,000","5,291,000","12,182,000","40,493,000","16,000","-715,000",-,-,-,-,"7,067,000","1,634,000","212,263,000","64,302,000",-,"57,577,000","215,391,000","57,577,000","151,089,000",-,"2,096,700","2,095,000","1,700"
7,6/30/2021,"1,320,384,000","215,146,000","206,627,000","198,268,000",-,"8,359,000","8,519,000","8,519,000","8,519,000",-,"33,000",-,"232,808,000","112,120,000","83,502,000",-,"37,186,000","1,110,000","273,877,000","440,308,000","445,062,000",-,-,-,-,"445,062,000","4,754,000",-,"1,036,000",-,-,"1,036,000","5,378,000",-,-,-,-,-,-,-,-,"6,846,000",-,-,"5,890,000","5,890,000",-,"137,952,000","1,255,156,000","581,329,000","581,329,000",-,"581,329,000",-,"3,144,000","3,144,000",-,"1,123,000","871,000","871,000",-,"871,000","871,000",-,-,"3,428,000","3,428,000",-,"3,428,000","109,042,000","264,556,000","149,139,000","149,139,000",-,"2,556,000","509,000","509,000","1,044,000",-,"138,415,000","65,228,000","63,637,000","5,291,000","5,291,000","11,800,000","40,460,000","28,000","-954,000",-,-,-,-,"7,068,000","1,591,000","212,776,000","63,637,000",-,"56,791,000","216,204,000","56,791,000","152,567,000",-,"2,066,773","2,063,733","3,040"
8,3/31/2021,"1,317,392,000","200,428,000","191,778,000","179,981,000",-,"11,797,000","8,650,000","8,650,000","8,650,000",-,"37,000",-,"235,749,000","109,830,000","84,248,000",-,"41,671,000","1,062,000","290,616,000","435,722,000","435,722,000",-,-,-,-,"435,722,000",-,-,"958,000",-,-,"958,000","5,457,000",-,-,-,-,-,-,-,-,"6,852,000",-,-,"5,840,000","5,840,000",-,"134,671,000","1,253,641,000","577,858,000","577,858,000",-,"577,858,000",-,"3,022,000","3,022,000",-,"1,536,000","781,000","781,000",-,"781,000","781,000",-,-,"4,723,000","4,723,000",-,"4,723,000","99,432,000","275,577,000","149,296,000","149,296,000",-,"2,734,000","560,000","560,000","1,334,000",-,"136,788,000","63,751,000","62,109,000","5,291,000","5,291,000","11,320,000","40,401,000","35,000","-693,000",-,-,-,-,"5,825,000","1,642,000","211,405,000","62,109,000",-,"55,257,000","216,128,000","55,257,000","154,019,000",-,"2,098,900","2,095,200","3,700"
9,12/31/2020,"1,324,961,000","183,871,000","175,338,000","166,208,000",-,"9,130,000","8,533,000","8,533,000","8,533,000","47,600,000",0,-,"240,321,000","107,929,000","76,558,000",-,"55,834,000","901,000","343,493,000","426,691,000","426,691,000","4,635,000","218,234,000","203,246,000",-,"426,691,000","4,808,000",-,"986,000","76,220,000",-,"986,000","5,549,000","11,058,000",-,-,"2,343,000","387,000","2,897,000","5,431,000","-5,509,000","6,725,000","2,739,000","3,986,000","6,063,000","6,063,000","6,097,000","110,361,000","1,262,776,000","567,745,000","567,745,000","75,432,000","567,745,000","220,646,000","2,325,000","2,325,000","41,636,000","1,697,000","574,000","574,000","81,550,000","574,000","574,000",-,-,"3,553,000","3,553,000","1,748,000","3,553,000","90,898,000","327,775,000","149,163,000","149,163,000","3,974,000","2,430,000","561,000","561,000","1,321,000","9,850,000","114,734,000","62,185,000","60,598,000","5,291,000","5,291,000","10,014,000","40,606,000","7,000","-1,118,000",-,-,-,-,"60,598,000","1,587,000","209,761,000","60,598,000","3,974,000","53,873,000","213,314,000","53,873,000","152,716,000",-,"2,066,773","2,065,427","1,346"
