,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Provision for Loan Lease And Other Losses,Change in working capital,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"-2,113,000","-2,114,000","5,659,000","-1,000","128,000","-129,000",-,-,"-852,000","-852,000","-117,000","3,529,000","1,226,000","-11,557,000","-24,288,000","-459,000","12,377,000","813,000","-17,175,000","-17,176,000",-,-,"-16,214,000","-59,858,000","43,644,000",-,-,-,"-315,000","-337,000","22,000","439,000",-,-,"-1,085,000","614,000","614,000",-,"2,019,000","2,019,000","2,716,000","-697,000",-,"-695,000",0,"-695,000",0,0,0,"-406,000",-,"-304,000",-,"165,626,000","-18,674,000","4,354,000","179,946,000",-,"1,288,000","9,468,000","-337,000",0,"2,716,000","-697,000","-695,000","-2,450,000"
1,12/31/2022,"-2,113,000","-2,114,000","5,659,000","-1,000","128,000","-129,000",-,-,"-852,000","-852,000","-117,000","3,529,000","1,226,000","-11,557,000","-24,288,000","-459,000","12,377,000","813,000","-17,175,000","-17,176,000",-,-,"-16,214,000","-59,858,000","43,644,000",-,-,-,"-315,000","-337,000","22,000","439,000",-,-,"-1,085,000","614,000","614,000",-,"2,019,000","2,019,000","2,716,000","-697,000",-,"-695,000",0,"-695,000",0,0,0,"-406,000",-,"-304,000",-,"165,626,000","-18,674,000","4,354,000","179,946,000",-,"1,288,000","9,468,000","-337,000",0,"2,716,000","-697,000","-695,000","-2,450,000"
2,12/31/2021,"-2,952,000","-2,953,000","2,510,000","-473,000","-276,000","-197,000",-,-,"19,000","19,000","262,000","3,568,000","515,000","-9,353,000","-50,489,000","8,046,000","-17,823,000","50,913,000","23,595,000","23,595,000",-,-,"25,046,000","-54,067,000","79,113,000",-,-,-,"-436,000","-550,000","114,000","-5,000",-,-,"-1,010,000","1,630,000","1,629,000",-,"425,000","425,000","1,146,000","-721,000",-,"-311,000","35,000","-346,000","-504,000",0,"-504,000",0,-,"2,020,000",-,"179,946,000","22,273,000","1,345,000","156,328,000",-,"1,031,000","5,557,000","-550,000","35,000","1,146,000","-721,000","-850,000","-3,502,000"
3,12/31/2020,"30,736,000","30,734,000","624,000","-768,000","-665,000","-103,000",-,-,"-296,000","-296,000","487,000","2,192,000","1,792,000","26,705,000","16,912,000","-11,743,000","7,030,000","14,506,000","-1,892,000","-1,893,000",-,-,"-365,000","-86,723,000","86,358,000",-,-,-,"-488,000","-512,000","24,000","5,000",-,-,"-1,044,000","-311,000","-311,000",-,"-137,000","-137,000","1,684,000","-1,821,000",-,"-203,000","76,000","-279,000","-676,000",0,"-676,000",0,0,"705,000",-,"156,328,000","28,533,000","-1,074,000","128,869,000",-,"805,000","6,937,000","-512,000","76,000","1,684,000","-1,821,000","-955,000","30,224,000"
4,12/31/2019,"-40,449,000","-40,449,000","-5,265,000","-381,000","-277,000","-104,000",-,-,"1,868,000","1,868,000","644,000","3,993,000","723,000","-42,031,000","-59,801,000","7,464,000","-16,563,000","26,869,000","-10,280,000","-10,280,000",-,-,"-10,829,000","-76,719,000","65,890,000",-,-,-,"-235,000","-327,000","92,000","1,762,000",-,-,"-978,000","-2,802,000","-2,802,000",-,"-1,709,000","-1,709,000","473,000","-2,182,000",-,"-168,000","1,191,000","-1,359,000","-290,000","12,064,000","-12,354,000","-227,000","-227,000","-408,000",-,"128,869,000","-53,531,000","1,578,000","180,822,000",-,"945,000","11,493,000","-327,000","13,255,000","473,000","-2,182,000","-13,713,000","-40,776,000"
5,12/31/2018,"-54,066,000","-54,066,000","341,000","-748,000","-619,000","-129,000",-,-,"276,000","276,000","360,000","2,391,000","525,000","-57,211,000","-12,516,000","6,284,000","-19,119,000","-31,860,000","7,528,000","7,528,000",-,-,"8,814,000","-41,341,000","50,155,000",-,-,-,"-109,000","-465,000","356,000","114,000",-,-,"-1,291,000","-3,334,000","-3,334,000",-,"-1,103,000","-1,103,000","68,000","-1,171,000",-,"-207,000","3,912,000","-4,119,000","-2,729,000","4,000","-2,733,000","-227,000","-227,000","932,000",-,"180,822,000","-49,872,000","1,668,000","229,025,000",-,"468,000","11,743,000","-465,000","3,916,000","68,000","-1,171,000","-6,852,000","-54,531,000"
6,12/31/2017,"39,576,000","39,576,000","-735,000","-716,000","-575,000","-141,000",-,-,"1,234,000","1,234,000","447,000","2,159,000","525,000","36,662,000","-3,616,000","21,970,000","-23,107,000","41,415,000","2,433,000","2,433,000",-,-,"4,051,000","-13,484,000","17,535,000",-,-,-,"-372,000","-485,000","113,000","82,000",-,-,"-1,328,000","7,138,000","7,138,000",-,"705,000","705,000","881,000","-176,000",-,"7,596,000","15,508,000","-7,912,000","-400,000","266,000","-666,000","-392,000","-392,000","-371,000",-,"229,025,000","49,147,000","-5,772,000","185,649,000",-,"689,000","11,784,000","-485,000","15,774,000","881,000","-176,000","-8,578,000","39,091,000"
7,12/31/2016,"70,610,000","70,610,000","-1,356,000","-1,082,000","-899,000","-183,000",-,-,"-312,000","-312,000","484,000","3,745,000","1,383,000","67,748,000","55,688,000","-7,847,000","-12,888,000","32,795,000","11,239,000","11,239,000",-,-,"11,214,000","-21,720,000","32,934,000",-,-,-,"-519,000","-725,000","206,000","2,023,000",-,-,"-1,479,000","-1,649,000","-1,649,000",-,"-287,000","-287,000","815,000","-1,102,000",-,"-281,000","4,983,000","-5,264,000","-719,000","121,000","-840,000",0,0,"-362,000",-,"185,649,000","80,200,000","-28,000","105,478,000",-,"1,572,000","10,808,000","-725,000","5,104,000","815,000","-1,102,000","-6,104,000","69,885,000"
8,12/31/2015,"67,252,000","67,252,000","-6,772,000","-1,138,000","-430,000","-708,000",-,-,"-987,000","-987,000","710,000","8,908,000","956,000","65,575,000","-27,856,000","26,756,000","-14,177,000","80,852,000","-8,242,000","-8,242,000",-,-,"-7,582,000","-29,760,000","22,178,000",-,-,-,"-160,000","-432,000","272,000","555,000",-,-,"-1,055,000","-5,583,000","-5,583,000",-,"899,000","899,000","2,942,000","-2,043,000",-,"-861,000","8,316,000","-9,177,000","-4,326,000","788,000","-5,114,000","-1,034,000","-1,034,000","-261,000",-,"105,478,000","53,427,000","94,000","51,960,000",-,"902,000","10,608,000","-432,000","9,104,000","2,942,000","-2,043,000","-14,291,000","66,820,000"
9,12/31/2014,"-630,000","-630,000","1,691,000","-960,000","-391,000","-569,000",-,-,"673,000","673,000","133,000","4,567,000","1,134,000","-7,868,000","-27,982,000","-28,812,000","22,183,000","26,743,000","-12,824,000","-12,824,000",-,-,"-13,393,000","-34,236,000","20,843,000",-,-,-,"-536,000","-669,000","133,000","1,931,000",-,-,"-826,000","8,477,000","8,477,000",-,"-3,041,000","-3,041,000","101,000","-3,142,000",-,"7,639,000","16,826,000","-9,187,000","46,000","49,000","-3,000","-765,000","-765,000","4,598,000",-,"51,960,000","-4,977,000","897,000","56,041,000",-,"377,000","11,423,000","-669,000","16,875,000","101,000","-3,142,000","-9,190,000","-1,299,000"
