,Breakdown,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Other Cash Adjustment Inside Change in Cash,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"-2,113,000","-17,175,000","614,000",-,"165,626,000","1,288,000","9,468,000","-337,000",0,"2,716,000","-697,000","-695,000","-2,450,000"
1,12/31/2018,"-12,468,000","-887,000","-112,000",-,"180,822,000","265,000","2,313,000","-130,000","569,000","1,000","-108,000","-566,000","-12,598,000"
2,9/30/2018,"-6,950,000","-1,521,000","-300,000",-,"193,343,000","-95,000","2,519,000","-139,000","508,000","20,000","-261,000","-557,000","-7,089,000"
3,12/31/2017,"19,989,000","1,431,000","812,000",-,"229,025,000","149,000","3,599,000","-64,000","1,056,000","829,000","-42,000","-1,042,000","19,925,000"
4,9/30/2017,"-21,952,000","1,187,000","-331,000",-,"208,028,000","234,000","2,661,000","-152,000","1,414,000","5,000","-102,000","-1,632,000","-22,104,000"
5,6/30/2017,"44,495,000","-400,000","6,775,000",-,"231,537,000","65,000","2,628,000","-124,000","12,049,000","1,000","-32,000","-4,507,000","44,371,000"
6,3/31/2017,"-2,956,000","215,000","-118,000",-,"182,439,000","241,000","2,896,000","-145,000","1,255,000","46,000",0,"-1,397,000","-3,101,000"
7,12/31/2016,"61,689,000","10,170,000","-51,000",-,"185,649,000","446,000","2,538,000","-290,000","1,536,000","31,000","-101,000","-1,516,000","61,399,000"
8,9/30/2016,"-20,826,000","5,095,000","-185,000",-,"113,473,000","373,000","2,848,000","-178,000","681,000","3,000","-168,000","-696,000","-21,004,000"
9,6/30/2016,"13,244,000","-2,537,000","-279,000",-,"129,295,000","331,000","3,216,000","-147,000","1,097,000","778,000","-663,000","-1,140,000","13,097,000"
10,3/31/2016,"16,503,000","-1,489,000","-1,134,000",-,"119,049,000","422,000","2,206,000","-110,000","1,790,000","3,000","-170,000","-2,752,000","16,393,000"
11,12/31/2015,"19,300,000","-2,697,000","-5,681,000",-,"105,478,000","141,000","2,170,000","-121,000","752,000","59,000","-1,094,000","-5,350,000","19,179,000"
12,9/30/2015,"44,079,000","877,000","3,824,000",-,"97,306,000","333,000","2,807,000","-100,000","2,988,000","-6,000","8,000","865,000","43,979,000"
13,6/30/2015,"-15,135,000","-1,834,000","-485,000",-,"48,556,000","206,000","3,174,000","-114,000","2,566,000","1,429,000","-102,000","-3,125,000","-15,249,000"
14,3/31/2015,"19,008,000","-4,588,000","-3,241,000",-,"65,699,000","222,000","2,457,000","-97,000","2,798,000","1,460,000","-855,000","-6,681,000","18,911,000"
15,12/31/2014,"-18,819,000","-2,473,000","1,040,000",-,"51,960,000","267,000","2,513,000","-225,000","1,194,000","58,000","-207,000","-1,116,000","-19,044,000"
16,9/30/2014,"18,070,000","-3,797,000","363,000",-,"71,801,000",-,"2,662,000","-215,000","2,375,000","28,000","-820,000","-1,242,000","17,855,000"
17,6/30/2014,"3,947,000","-3,920,000","10,355,000",-,"56,807,000",-,"2,845,000","-117,000","10,119,000","11,000","-751,000","-1,708,000","3,830,000"
18,3/31/2014,"-3,828,000","-2,634,000","-3,281,000",-,"46,407,000","12,000","3,403,000","-112,000","3,187,000","4,000","-1,364,000","-5,124,000","-3,940,000"
19,12/31/2013,"-3,416,000","-342,000","-1,271,000",-,"56,041,000","388,000","1,373,000","-132,000","2,821,000","91,000","-1,117,000","-3,006,000","-3,548,000"
20,9/30/2013,"16,239,000","1,041,000","-620,000",-,"61,325,000","26,000","3,391,000","-138,000","2,523,000","-52,000","-155,000","-2,993,000","16,101,000"
21,6/30/2013,"-13,395,000","-2,385,000","3,213,000",-,"44,883,000","-2,000","2,957,000","-130,000","7,502,000","1,159,000","-157,000","-4,529,000","-13,525,000"
22,3/31/2013,"7,756,000","-1,329,000","-1,866,000",-,"57,598,000","330,000","2,966,000","-113,000","2,620,000","19,000","-1,347,000","-3,169,000","7,643,000"
