,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Other Customer Services,Fees & Commission Expense,Dividend Income,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Minority Interests,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"26,656,000","13,650,000","24,299,000","14,088,000","14,088,000","5,450,000","352,000","504,000","3,905,000","10,649,000","3,902,000","111,000","2,409,000","304,000","3,923,000","13,006,000","3,000","8,471,000","11,146,000","5,621,000","4,024,000","1,501,000",-,"2,675,000",-,"1,368,000","2,782,000","-151,000","-409,000","258,000",-,"533,000","-1,226,000","19,784,000","1,429,000",-,-,"858,000","16,979,000","16,814,000","10,712,000",-,"6,102,000","165,000","518,000","152,000","-203,000",-,"126,000","68,000","9,000","5,594,000","-64,000","5,046,000","5,525,000","5,659,000","5,658,000",-,"-134,000",0,"5,046,000",-,-,-,-,"12,424,000","5,525,000","5,646,800","856,000",-,"5,525,000","-203,000","-203,000",0,"-81,200"
1,12/31/2022,"26,656,000","13,650,000","24,299,000","14,088,000","14,088,000","5,450,000","352,000","504,000","3,905,000","10,649,000","3,902,000","111,000","2,409,000","304,000","3,923,000","13,006,000","3,000","8,471,000","11,146,000","5,621,000","4,024,000","1,501,000",-,"2,675,000",-,"1,368,000","2,782,000","-151,000","-409,000","258,000",-,"533,000","-1,226,000","19,784,000","1,429,000",-,-,"858,000","16,979,000","16,814,000","10,712,000",-,"6,102,000","165,000","518,000","152,000","-203,000",-,"126,000","68,000","9,000","5,594,000","-64,000","5,046,000","5,525,000","5,659,000","5,658,000",-,"-134,000",0,"5,046,000",2.42,2.37,"2,084,900","2,125,600","12,424,000","5,525,000","5,646,800","856,000",-,"5,525,000","-203,000","-203,000",0,"-81,200"
2,12/31/2021,"25,303,000","11,154,000","16,599,000","10,477,000","10,477,000","3,875,000","67,000","273,000","1,907,000","5,445,000","1,244,000","71,000","1,484,000","148,000","2,498,000","14,149,000","3,000","8,670,000","11,466,000","5,726,000","3,956,000","1,784,000",-,"2,796,000",-,"2,264,000","1,859,000","1,548,000","1,471,000","77,000","10,000","-195,000","-515,000","19,562,000","1,727,000",-,-,"924,000","17,570,000","17,392,000","10,418,000",-,"6,974,000","178,000","-659,000","98,000","-1,934,000",-,"1,473,000","5,000","456,000","3,390,000","880,000","2,002,000","2,365,000","2,510,000","2,510,000",-,"-144,000",0,"2,002,000",0.96,0.93,"2,096,500","2,143,200","10,639,000","2,365,000","3,796,160","340,000",-,"2,365,000","-1,934,000","-1,934,000",0,"-502,840"
3,12/31/2020,"23,891,000","11,549,000","17,954,000","11,439,000","11,439,000","4,491,000","325,000","318,000","1,234,000","6,405,000","1,941,000","62,000","1,612,000","169,000","2,497,000","12,342,000","3,000","9,424,000","9,424,000","5,446,000","3,429,000","1,665,000",-,"2,803,000",-,"1,688,000","2,230,000","2,979,000","2,979,000","-107,000",-,"-61,000","-1,792,000","20,730,000","1,724,000",-,-,"982,000","20,730,000","20,730,000","10,471,000",-,"10,259,000","174,000","61,000","120,000","-485,000",-,"485,000",0,"148,000","1,003,000","391,000","483,000","483,000","612,000","612,000",-,"-129,000",0,"483,000",0.06,0.06,"2,108,000","2,170,000","9,757,000","483,000","778,850","643,000",-,"483,000","-485,000","-485,000",0,"-189,150"
4,12/31/2019,"22,948,000","13,749,000","25,149,000","13,760,000","13,760,000","8,150,000","293,000","340,000","2,606,000","11,400,000","3,643,000","163,000","2,002,000","367,000","5,224,000","9,199,000","3,000","9,520,000","9,520,000","5,329,000","3,547,000","1,751,000",-,"2,763,000",-,"1,656,000","197,000","453,000","453,000","-361,000",-,"-774,000","-723,000","22,089,000","1,720,000",-,-,"1,324,000","23,395,000","23,395,000","11,142,000",-,"12,253,000","251,000","-1,306,000","110,000","-2,882,000",-,"1,950,000","1,037,000","-105,000","-2,634,000","2,630,000","-5,390,000","-5,390,000","-5,265,000","-5,264,000",-,"-125,000",-,"-5,390,000",-2.71,-2.71,"2,110,000","2,110,000","13,026,000","-5,390,000","-3,372,600","633,000",-,"-5,390,000","-2,882,000","-2,882,000",0,"-864,600"
5,12/31/2018,"25,095,000","13,192,000","24,792,000","12,992,000","12,992,000","8,999,000","223,000","221,000","2,357,000","11,600,000","3,122,000","139,000","1,981,000","379,000","5,979,000","11,903,000","3,000","8,341,000","11,223,000","5,549,000","3,436,000","2,238,000",-,"2,882,000",-,"1,696,000","52,000","1,099,000","-99,000","1,198,000",-,"712,000","-525,000","22,795,000","1,723,000",-,-,"1,530,000","19,745,000","19,467,000","11,814,000",0,"7,653,000","278,000","-203,000","219,000","-665,000",-,"563,000","14,000","88,000","1,330,000","989,000","-25,000","267,000","341,000","341,000",-,"-75,000",0,"-25,000",-0.01,-0.01,"2,102,200","2,102,200","12,667,000","267,000","732,500","444,000",-,"267,000","-665,000","-665,000",0,"-199,500"
6,12/31/2017,"26,310,000","12,378,000","24,092,000","11,941,000","11,941,000","9,050,000","245,000","292,000","2,476,000","11,714,000","2,833,000","135,000","1,795,000","431,000","6,521,000","13,932,000","4,000","11,002,000","11,002,000",-,-,-,-,"3,100,000","88,000",-,"3,374,000","3,405,000","3,405,000","-367,000",-,"-475,000","-525,000","23,890,000","1,849,000",-,-,"1,769,000","24,226,000","24,226,000","12,253,000",0,"11,973,000","309,000","-336,000","137,000","-804,000",-,"570,000","21,000","213,000","1,228,000","1,963,000","-751,000","-751,000","-735,000","-735,000",-,"-15,000",0,"-751,000",-0.53,-0.53,"1,967,700","1,967,700","11,853,000","-751,000","-186,512","537,000",-,"-751,000","-804,000","-804,000",0,"-239,512"
7,12/31/2016,"29,576,000","14,500,000","25,430,000","12,311,000","12,311,000","10,659,000","684,000","359,000","1,417,000","10,930,000","2,583,000","179,000","1,759,000","255,000","6,154,000","15,076,000","89,000","11,744,000","14,999,000",-,-,-,-,"3,255,000","205,000",-,"547,000","1,373,000","1,299,000","88,000","-14,000","1,118,000","-1,398,000","24,956,000","1,972,000",-,-,"2,305,000","20,876,000","20,591,000","11,874,000","374,000","8,343,000","285,000","-197,000","455,000","-4,490,000","-3,000","681,000","1,409,000","2,397,000","-810,000","546,000","-1,678,000","-1,402,000","-1,356,000","-1,356,000",-,"-45,000",0,"-1,678,000",-1.08,-1.08,"1,555,300","1,555,300","13,102,000","-1,402,000","1,763,411","1,043,000",-,"-1,402,000","-4,504,000","-4,504,000",0,"-1,338,589"
8,12/31/2015,"33,360,000","15,881,000","25,967,000","12,219,000","12,219,000","11,788,000","499,000","377,000","783,000","10,086,000","2,764,000","229,000","1,480,000","153,000","5,459,000","17,479,000","108,000","12,765,000","12,765,000",-,-,-,-,"3,647,000","300,000",-,"3,874,000","4,045,000","4,045,000","628,000","22,000","669,000","-956,000","32,181,000","1,944,000",-,-,"2,283,000","32,181,000","32,181,000","13,293,000","256,000","18,632,000","294,000","-255,000","164,000","-6,486,000","-24,000","710,000","5,776,000","5,218,000","-6,097,000","675,000","-6,794,000","-6,794,000","-6,772,000","-6,772,000",-,"-21,000",0,"-6,794,000",-4.52,-4.52,"1,555,057","1,555,057","14,925,000","-6,794,000","-2,231,099","876,000",-,"-6,794,000","-6,486,000","-6,486,000",0,"-1,923,099"
9,12/31/2014,"31,331,000","14,272,000","14,272,000","11,820,000","11,820,000","11,146,000","683,000","95,000","1,161,000","10,729,000","3,210,000","214,000","1,725,000","160,000","5,420,000","17,059,000","141,000","12,409,000","12,409,000",-,-,-,-,"3,337,000","97,000",-,"4,407,000","4,493,000","4,493,000","-544,000","62,000","157,000","-1,134,000","27,455,000","1,978,000",-,-,"2,029,000","27,455,000","27,455,000","12,512,000","289,000","14,654,000","313,000","-1,559,000","619,000","-245,000","18,000","134,000","111,000","1,713,000","3,116,000","1,425,000","1,663,000","1,663,000","1,691,000","1,691,000",-,"-28,000",0,"1,663,000",1.20,1.17,"1,391,585","1,421,837","13,138,000","1,663,000","1,871,250","778,000",-,"1,663,000","-245,000","-245,000",0,"-36,750"
10,12/31/2013,"31,568,000","14,752,000","25,519,000","11,941,000","11,941,000","12,041,000","759,000","37,000","741,000","10,767,000","3,360,000","285,000","1,352,000","186,000","5,584,000","16,816,000","190,000","12,309,000","15,252,000",-,-,-,-,"2,943,000","81,000",-,"3,662,000","537,000","109,000","408,000","20,000","37,000","-2,092,000","24,496,000","2,073,000",-,-,"1,804,000","20,922,000","20,608,000","12,329,000","460,000","7,819,000","314,000","-303,000","369,000","-3,893,000","4,000","702,000","195,000","3,000,000","1,456,000","775,000","666,000","666,000","681,000","681,000",-,"-15,000",0,"666,000",0.57,0.55,"1,171,307","1,202,455","12,660,000","666,000","3,958,050","796,000",-,"666,000","-3,873,000","-3,873,000",0,"-580,950"
11,12/31/2012,"33,582,000","15,891,000","15,891,000","13,662,000","13,662,000","15,573,000","919,000","965,000","985,000","16,351,000","5,725,000","342,000","2,350,000","315,000","7,619,000","17,691,000","220,000","11,510,000","11,510,000",-,-,-,-,"2,422,000","138,000",-,"5,561,000","5,900,000","5,900,000","106,000","13,000","281,000","-1,721,000","28,956,000","2,115,000",-,-,"1,870,000","28,956,000","28,956,000","13,526,000","414,000","15,016,000","376,000","-487,000","159,000","-2,280,000","41,000","394,000","1,886,000","2,500,000","784,000","493,000","237,000","237,000","291,000","291,000",-,"-54,000",0,"237,000",0.21,0.21,"1,097,200","1,127,743","14,170,000","237,000","2,175,000","1,884,000",-,"237,000","-2,280,000","-2,280,000",0,"-342,000"
