,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"26,656,000","13,650,000","24,299,000","14,088,000","14,088,000","5,450,000","352,000","504,000","3,905,000","10,649,000","3,902,000","111,000","2,409,000","304,000","3,923,000","13,006,000","3,000","8,471,000","11,146,000","5,621,000","4,024,000","1,501,000",-,"2,675,000","1,368,000","2,782,000","-151,000","-409,000","258,000",-,"533,000","-1,226,000","19,784,000","1,429,000","858,000","16,979,000","16,814,000","10,712,000",-,"6,102,000","165,000","518,000","152,000","-203,000","126,000","68,000","9,000","5,594,000","-64,000","5,046,000","5,525,000","5,659,000","5,658,000",-,"-134,000",-,0,"5,046,000",-,-,-,-,"12,424,000","5,525,000","5,646,800","856,000",-,"5,525,000","-203,000","-203,000",0,"-81,200"
1,3/31/2023,"7,683,000","3,424,000","9,710,000",-,-,-,-,-,-,"6,286,000",-,-,-,-,-,"4,259,000",-,"2,348,000","2,348,000",-,-,-,-,-,-,-,"1,643,000","1,643,000",-,-,"268,000","-372,000","5,368,000",-,-,"5,391,000","5,391,000","2,696,000",-,"2,695,000",-,"-23,000","-4,000","-89,000","23,000",0,"66,000","1,852,000","531,000","1,158,000","1,296,000","1,322,000","1,321,000",-,"-25,000",-,-,"1,158,000",-,-,-,-,"3,052,000","1,296,000","1,359,482",-,-,"1,296,000","-89,000","-89,000",0,"-25,518"
2,12/31/2022,"6,091,000","3,738,000","8,218,000",-,-,-,-,-,-,"4,480,000",-,-,-,-,-,"2,353,000",-,"2,180,000","2,180,000",-,-,-,-,-,-,-,"97,000","97,000",-,-,"76,000","-351,000","4,929,000",-,-,"5,154,000","5,154,000","2,659,000",-,"2,495,000",-,"-225,000","-37,000","2,000","-35,000","68,000","-35,000","775,000","-1,204,000","1,803,000","1,950,000","1,978,000","1,979,000",-,"-28,000",-,-,"1,803,000",0.94,0.92,"2,084,000","2,130,000","3,387,000","1,950,000","1,948,800",-,-,"1,950,000","2,000","2,000",0,800
3,9/30/2022,"6,824,000","3,664,000","6,411,000",-,-,-,-,-,-,"2,747,000",-,-,-,-,-,"3,160,000",-,"2,400,000","2,400,000",-,-,-,-,-,-,-,"654,000","654,000",-,-,"106,000","-350,000","4,856,000",-,-,"4,958,000","4,958,000","2,706,000",-,"2,252,000",-,"-102,000","94,000","-97,000","52,000",0,"45,000","1,615,000","372,000","1,115,000","1,209,000","1,242,000","1,243,000",-,"-33,000",-,-,"1,115,000",0.58,0.57,"2,082,200","2,116,100","3,314,000","1,209,000","1,283,690",-,-,"1,209,000","-97,000","-97,000",0,"-22,310"
4,6/30/2022,"6,579,000","3,371,000","5,245,000",-,-,-,-,-,-,"1,874,000",-,-,-,-,-,"3,208,000",-,"2,159,000","2,858,000","1,459,000","1,009,000","390,000",-,"699,000","341,000",-,"562,000","562,000",-,-,"146,000","-233,000","4,801,000",-,-,"4,907,000","4,907,000","2,690,000",-,"2,217,000",-,"-106,000","67,000","-68,000","-46,000",0,"114,000","1,547,000","336,000","1,046,000","1,179,000","1,211,000","1,211,000",-,"-33,000",-,-,"1,046,000",0.34,0.33,"2,080,700","2,115,200","3,138,000","1,179,000","1,232,040",-,-,"1,179,000","-68,000","-68,000",0,"-14,960"
5,3/31/2022,"7,292,000","2,877,000","4,425,000",-,-,-,-,-,-,"1,548,000",-,-,-,-,-,"4,415,000",-,"2,756,000","2,756,000",-,-,-,-,-,-,-,"1,468,000","1,468,000",-,-,"191,000","-292,000","5,347,000",-,-,"5,395,000","5,395,000","2,657,000",-,"2,738,000",-,"-48,000","29,000","-24,000","5,000",0,"19,000","1,658,000","431,000","1,060,000","1,187,000","1,227,000","1,227,000",-,"-40,000",-,-,"1,060,000",0.57,0.55,"2,092,400","2,142,600","2,585,000","1,187,000","1,204,760",-,-,"1,187,000","-24,000","-24,000",0,"-6,240"
6,12/31/2021,"5,846,000","2,923,000","4,268,000",-,-,-,-,-,-,"1,345,000",-,-,-,-,-,"2,923,000",-,"2,987,000","2,987,000",-,-,-,-,-,-,-,"99,000","99,000",-,-,"-163,000","-254,000","4,952,000",-,-,"5,408,000","5,408,000","2,715,000",-,"2,693,000",-,"-456,000","42,000","-600,000","455,000","2,000","143,000","82,000","-234,000","145,000","263,000","315,000","316,000",-,"-52,000",-,-,"145,000",0.13,0.12,"2,097,000","2,153,000","2,669,000","263,000","683,000",-,-,"263,000","-600,000","-600,000",0,"-180,000"
7,9/30/2021,"6,049,000","2,773,000","4,147,000",-,-,-,-,-,-,"1,374,000",-,-,-,-,-,"3,276,000",-,"2,634,000","2,634,000",-,-,-,-,-,-,-,"729,000","729,000",-,-,"-87,000","-117,000","5,360,000",-,-,"5,360,000","5,360,000","2,520,000",-,"2,840,000",-,"87,000","-8,000","-8,000","5,000","3,000",-,"554,000","225,000","194,000","306,000","329,000","329,000",-,"-23,000",-,-,"194,000",0.15,0.14,"2,096,400","2,143,600","2,656,000","306,000","311,600",-,-,"306,000","-8,000","-8,000",0,"-2,400"
8,6/30/2021,"6,164,000","2,658,000","3,950,000",-,-,-,-,-,-,"1,292,000",-,-,-,-,-,"3,506,000",-,"2,010,000","2,757,000","1,384,000","936,000","437,000",-,"747,000","564,000","833,000","185,000","185,000",-,-,"-86,000","-75,000","4,628,000",-,-,"4,912,000","4,912,000","2,551,000",-,"2,361,000",-,"-284,000","40,000","-335,000","222,000",0,"113,000","1,165,000","338,000","692,000","795,000","828,000","827,000",-,"-33,000",-,-,"692,000",0.21,0.20,"2,096,400","2,141,800","2,583,000","795,000","1,032,850",-,-,"795,000","-335,000","-335,000",0,"-97,150"
9,3/31/2021,"7,499,000","2,796,000","4,275,000",-,-,-,-,-,-,"1,479,000",-,-,-,-,-,"4,703,000",-,"2,739,000","2,739,000",-,-,-,-,-,-,-,"1,708,000","1,708,000",-,-,"256,000","-69,000","5,322,000",-,-,"5,479,000","5,479,000","2,631,000",-,"2,848,000",-,"-157,000","25,000","-228,000","174,000",-,"54,000","1,905,000","661,000","1,115,000","1,208,000","1,244,000","1,244,000",-,"-36,000",-,-,"1,115,000",0.48,0.47,"2,096,200","2,139,700","2,727,000","1,208,000","1,356,888",-,-,"1,208,000","-228,000","-228,000",0,"-79,112"
