,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 4/27/2023Current,22.35B,N/A,4.21,5.38,N/A,0.80,0.29,N/A,N/A
1,3/31/2023,20.79B,N/A,3.97,5.08,N/A,0.75,0.27,N/A,N/A
2,12/31/2022,22.99B,N/A,6.84,6.11,0.13,0.87,0.32,N/A,N/A
3,9/30/2022,15.31B,N/A,6.55,4.50,0.10,0.62,0.23,N/A,N/A
4,6/30/2022,17.66B,N/A,8.28,5.36,0.11,0.71,0.25,N/A,N/A
5,3/31/2022,26.54B,N/A,12.19,8.33,0.18,0.96,0.35,N/A,N/A
6,12/31/2021,25.77B,N/A,12.98,8.48,0.18,0.98,0.35,N/A,N/A
7,9/30/2021,26.82B,N/A,12.59,8.71,0.19,0.97,0.36,N/A,N/A
8,6/30/2021,26.98B,N/A,17.17,15.90,0.34,0.95,0.37,N/A,N/A
9,3/31/2021,25.02B,N/A,146.23,19.23,N/A,0.93,0.35,N/A,N/A
10,12/31/2020,22.73B,N/A,N/A,52.36,N/A,0.79,0.30,N/A,N/A
11,9/30/2020,17.43B,N/A,N/A,35.97,N/A,0.66,0.24,N/A,N/A
12,6/30/2020,19.58B,N/A,N/A,N/A,N/A,0.78,0.28,N/A,N/A
13,3/31/2020,13.59B,N/A,N/A,N/A,N/A,0.54,0.20,N/A,N/A
14,12/31/2019,16.01B,N/A,N/A,N/A,N/A,0.62,0.23,N/A,N/A
15,9/30/2019,15.53B,N/A,N/A,76.34,1.41,0.59,0.22,N/A,N/A
16,6/30/2019,15.92B,N/A,671.06,15.24,N/A,0.57,0.21,N/A,N/A
17,3/31/2019,16.83B,N/A,N/A,16.81,N/A,0.61,0.22,N/A,N/A
18,12/31/2018,16.46B,N/A,N/A,N/A,N/A,0.59,0.22,N/A,N/A
19,9/30/2018,23.56B,N/A,N/A,13.37,N/A,0.79,0.30,N/A,N/A
