,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Payables And Accrued Expenses,Payables,Accounts Payable,Dividends Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"131,628,000","21,105,000","21,105,000","21,105,000",-,"8,856,000",-,"41,000","41,000",-,-,-,"12,208,000","10,280,000","221,000","1,707,000","104,746,000","112,120,000",-,-,"108,419,000",-,"112,120,000","7,374,000",-,-,-,-,"1,003,000","2,860,000","37,000","587,000","2,236,000",-,-,"-1,857,000","255,000","255,000",-,-,"4,519,000","117,038,000","91,636,000","91,636,000","91,636,000","1,485,000",-,-,"5,294,000",-,-,-,"5,294,000",0,0,-,0,"20,108,000","20,108,000","525,000",-,-,-,"14,590,000","14,590,000","1,062,000","1,056,000","6,000","28,453,000","4,468,000","19,054,000","-339,000","-339,000","34,698,000","1,056,000","14,590,000",-,"14,335,000","20,108,000","14,335,000","20,108,000","11,252,000","569,689","267,384",-,"302,305"
1,12/31/2021,"110,242,000","18,236,000","18,236,000","18,236,000",-,"8,750,000",-,"2,582,000","2,582,000",-,-,-,"6,906,000","4,684,000","206,000","2,016,000","86,862,000","93,684,000",-,-,"91,418,000",-,"93,684,000","6,822,000","914,000","914,000",-,-,"983,000","2,832,000","38,000","676,000","2,118,000",-,-,"-1,849,000","255,000","255,000",-,-,"3,906,000","96,834,000","72,393,000","72,393,000","72,393,000","1,575,000",-,-,"4,214,000",-,-,-,"4,214,000","1,250,000","1,250,000",-,"1,250,000","18,977,000","18,977,000",-,-,-,-,"13,408,000","13,408,000","1,062,000","1,056,000","6,000","24,766,000","4,369,000","16,695,000","-94,000","-94,000","32,385,000","1,056,000","13,408,000",-,"13,153,000","20,227,000","13,153,000","20,227,000","1,991,000","568,831","288,328",-,"280,503"
2,12/31/2020,"112,889,000","25,703,000","25,703,000","25,703,000",-,"25,703,000",-,"25,000","25,000",-,-,-,"12,114,000","9,193,000","260,000","2,661,000","82,223,000","90,449,000",-,-,"88,603,000",-,"90,449,000","8,226,000","944,000","944,000",-,-,"1,027,000","2,737,000","38,000","673,000","2,026,000",-,-,"-1,710,000","350,000","255,000","95,000",-,"3,586,000","102,005,000","76,904,000","76,904,000","76,904,000","1,209,000",-,-,"3,860,000",-,-,-,"3,860,000",0,0,-,0,"21,241,000","21,241,000",-,-,-,-,"10,884,000","10,884,000","1,062,000","1,056,000","6,000","19,955,000","4,257,000","14,435,000","45,000","45,000","32,125,000","1,056,000","10,884,000",-,"10,534,000","21,241,000","10,534,000","21,241,000","7,677,000","567,898","306,597",10.7,"261,301"
3,12/31/2019,"113,996,000","17,559,000","17,559,000","17,559,000",-,"17,559,000",-,"40,000","40,000",-,-,-,"10,595,000","9,448,000","272,000","875,000","92,511,000","95,894,000",-,-,"94,521,000",-,"95,894,000","3,383,000",-,-,-,-,"1,057,000","2,668,000","42,000","693,000","1,933,000",-,-,"-1,611,000","410,000","255,000","155,000",-,"2,459,000","102,137,000","72,746,000","72,746,000","72,746,000","791,000",-,-,"3,690,000",-,-,-,"3,690,000",-,-,-,-,"25,701,000","25,701,000",-,-,-,-,"11,859,000","11,859,000","569,000","563,000","6,000","21,290,000","4,206,000","14,087,000","-119,000","-119,000","37,560,000","563,000","11,859,000",-,"11,449,000","25,701,000","11,449,000","25,701,000","8,142,000","566,654","310,157",5.7,"256,496"
4,12/31/2018,"109,553,000","18,515,000","18,515,000","18,515,000",-,"13,299,000",-,"1,846,000","1,846,000",-,-,-,"3,370,000","3,133,000","237,000",0,"87,471,000","90,512,000",0,-,"89,695,000",0,"90,512,000","3,041,000",-,-,-,-,"936,000","2,398,000","42,000","671,000","1,685,000",-,-,"-1,462,000","416,000","255,000","161,000",-,"2,215,000","98,423,000","67,759,000","67,759,000","67,759,000","675,000",-,-,"3,436,000",-,-,-,"3,436,000",-,-,-,-,"27,228,000","27,228,000",-,-,-,-,"11,130,000","11,130,000","569,000","563,000","6,000","18,906,000","4,130,000","12,319,000","-156,000","-156,000","38,358,000","563,000","11,130,000",-,"10,714,000","27,228,000","10,714,000","27,228,000","8,713,000","564,852","331,446",5.7,"233,406"
5,12/31/2017,"100,087,000","14,955,000","14,955,000","14,955,000",-,"13,306,000",-,"81,000","81,000",-,-,-,"1,568,000","723,000","173,000","672,000","81,627,000","84,248,000",-,-,"83,825,000",-,"84,248,000","2,621,000",-,-,-,-,"825,000","2,159,000","42,000","641,000","1,474,000",-,"2,000","-1,334,000","418,000","255,000","163,000",-,"2,262,000","89,195,000","58,764,000","58,764,000","58,764,000","599,000",-,-,"4,105,000",-,-,-,"4,105,000",-,-,-,-,"26,326,000","26,326,000",-,-,-,-,"10,892,000","10,892,000","569,000","563,000","6,000","16,687,000","4,042,000","10,254,000","-152,000","-152,000","37,218,000","563,000","10,892,000",-,"10,474,000","26,326,000","10,474,000","26,326,000","11,371,000","563,498","357,920",5.7,"205,578"
6,12/31/2016,"92,308,000","13,766,000","13,766,000","13,766,000",-,"11,914,000",-,"95,000","95,000",-,-,-,"1,757,000","1,605,000","152,000",0,"75,087,000","77,254,000",-,-,"76,980,000",-,"77,254,000","2,167,000",-,-,-,-,"734,000","1,957,000","42,000","617,000","1,296,000",-,"2,000","-1,223,000","421,000","255,000","166,000",-,"2,300,000","80,985,000","51,992,000","51,992,000","51,992,000","531,000",-,-,"3,550,000",-,-,-,"3,550,000",-,-,-,-,"25,443,000","25,443,000",-,-,-,-,"11,323,000","11,323,000","565,000","560,000","5,000","15,130,000","3,962,000","8,173,000","-161,000","-161,000","36,766,000","560,000","11,323,000",-,"10,902,000","25,443,000","10,902,000","25,443,000","11,677,000","562,414","388,766","23,000","173,648"
7,12/31/2015,"86,936,000","12,755,000","12,755,000","12,755,000",-,"9,572,000",-,"99,000","99,000",-,-,-,"3,085,000","1,867,000","121,000","1,097,000","70,516,000","72,385,000",0,-,"72,149,000",0,"72,385,000","1,869,000",-,-,-,-,"693,000","1,932,000","42,000","607,000","1,281,000",-,"2,000","-1,239,000","423,000","255,000","168,000",-,"2,549,000","75,661,000","47,594,000","47,594,000","47,594,000","437,000",-,-,"3,343,000",-,-,-,"3,343,000",0,0,-,0,"24,724,000","24,724,000",-,-,-,-,"11,275,000","11,275,000","565,000","560,000","5,000","13,250,000","3,885,000","6,265,000","-160,000","-160,000","35,999,000","560,000","11,275,000",-,"10,852,000","24,724,000","10,852,000","24,724,000","11,969,000","560,679","421,679","23,000","139,000"
8,12/31/2014,"83,126,000","11,339,000","11,339,000","11,339,000",-,"7,284,000",-,"106,000","106,000",-,-,-,"3,949,000","2,596,000","101,000","1,252,000","68,223,000","69,969,000","122,000",-,"69,645,000","122,000","69,969,000","1,746,000",-,-,-,-,"670,000","1,809,000","43,000","589,000","1,175,000",-,"2,000","-1,139,000","433,000","257,000","176,000",-,"2,461,000","71,992,000","46,089,000","46,089,000","46,089,000","297,000",-,-,"3,246,000",-,-,-,"3,246,000","113,000","113,000",-,"113,000","22,657,000","22,657,000",-,"1,000",-,-,"11,134,000","11,134,000","565,000","560,000","5,000","11,467,000","3,790,000","4,550,000","-138,000","-138,000","33,791,000","560,000","11,134,000","1,000","10,701,000","22,657,000","10,701,000","22,657,000","11,318,000","558,194","449,188","23,000","109,006"
9,12/31/2013,"79,340,000","11,727,000","11,727,000","11,727,000",-,"6,554,000",-,"182,000","182,000",-,-,-,"4,991,000","3,703,000","59,000","1,229,000","64,123,000","65,771,000","148,000",-,"65,488,000","148,000","65,771,000","1,648,000",-,-,-,-,"654,000","1,718,000","43,000","547,000","1,126,000",-,"2,000","-1,064,000","469,000","284,000","185,000",-,"2,367,000","68,531,000","44,959,000","44,959,000","44,959,000","193,000",-,-,"2,958,000",-,-,-,"2,958,000","140,000","140,000",-,"140,000","20,614,000","20,614,000",-,"1,000",-,-,"10,809,000","10,809,000","565,000","560,000","5,000","9,611,000","3,687,000","2,986,000","-68,000","-68,000","31,423,000","560,000","10,809,000","1,000","10,340,000","20,614,000","10,340,000","20,614,000","8,887,000","555,350","472,244","23,000","83,106"
