,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Payables And Accrued Expenses,Payables,Accounts Payable,Dividends Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"133,061,000","22,411,000","22,411,000","22,411,000",-,"10,130,000",-,"33,000","33,000",-,-,-,"12,248,000","10,189,000","231,000","1,828,000","104,983,000","112,674,000",-,-,"108,609,000",-,"112,674,000","7,691,000",-,-,-,-,-,"1,031,000",-,-,-,-,-,-,-,"255,000","255,000",-,-,"4,381,000","118,746,000","95,740,000","95,740,000","95,740,000","1,421,000",-,-,"4,843,000",-,-,-,"4,843,000",-,-,-,-,"18,163,000","18,163,000","525,000",-,-,-,"14,315,000","14,315,000","1,062,000","1,056,000","6,000","29,292,000","4,493,000","20,297,000","-235,000","-235,000","32,478,000","1,056,000","14,315,000",-,"14,060,000","18,163,000","14,060,000","18,163,000","8,033,000","570,858","257,000",-,"313,858"
1,12/31/2022,"131,628,000","21,105,000","21,105,000","21,105,000",-,"8,856,000",-,"41,000","41,000",-,-,-,"12,208,000","10,280,000","221,000","1,707,000","104,746,000","112,120,000",-,-,"108,419,000",-,"112,120,000","7,374,000",-,-,-,-,-,"1,003,000","2,860,000","37,000","587,000","2,236,000",-,-,"-1,857,000","255,000","255,000",-,-,"4,519,000","117,038,000","91,636,000","91,636,000","91,636,000","1,485,000",-,-,"5,294,000",-,-,-,"5,294,000",0,0,-,0,"20,108,000","20,108,000","525,000",-,-,-,"14,590,000","14,590,000","1,062,000","1,056,000","6,000","28,453,000","4,468,000","19,054,000","-339,000","-339,000","34,698,000","1,056,000","14,590,000",-,"14,335,000","20,108,000","14,335,000","20,108,000","11,252,000","569,689","267,384",-,"302,305"
2,9/30/2022,"121,886,000","18,767,000","18,767,000","18,767,000",-,"10,004,000",-,"1,866,000","1,866,000",-,-,-,"6,897,000","4,970,000","216,000","1,711,000","97,847,000","104,908,000",-,-,"101,653,000",-,"104,908,000","7,061,000",-,-,-,-,-,"1,015,000",-,-,-,-,-,-,-,"255,000","255,000",-,-,"4,002,000","107,600,000","82,897,000","82,897,000","82,897,000","1,524,000",-,-,"4,526,000",-,-,-,"4,526,000",0,0,-,0,"20,177,000","20,177,000",-,-,-,-,"14,286,000","14,286,000","1,062,000","1,056,000","6,000","27,585,000","4,444,000","18,452,000","-353,000","-353,000","34,463,000","1,056,000","14,286,000",-,"14,031,000","20,177,000","14,031,000","20,177,000","1,410,000","569,412","273,000",-,"296,412"
3,6/30/2022,"114,600,000","17,007,000","17,007,000","17,007,000",-,"11,439,000",-,"32,000","32,000",-,-,-,"5,536,000","3,608,000","208,000","1,720,000","92,544,000","99,301,000",-,-,"96,456,000",-,"99,301,000","6,757,000",-,-,-,-,-,"984,000",-,-,-,-,-,-,-,"255,000","255,000",-,-,"3,810,000","100,836,000","76,412,000","76,412,000","76,412,000","1,514,000",-,-,"4,439,000",-,-,-,"4,439,000","1,800,000","1,800,000",-,"1,800,000","19,985,000","19,985,000",-,-,-,-,"13,764,000","13,764,000","1,062,000","1,056,000","6,000","26,776,000","4,417,000","18,240,000","-251,000","-251,000","33,749,000","1,056,000","13,764,000",-,"13,509,000","19,985,000","13,509,000","19,985,000","2,978,000","569,564","275,268",-,"294,296"
4,3/31/2022,"107,412,000","15,620,000","15,620,000","15,620,000",-,"9,625,000",-,"18,000","18,000",-,-,-,"6,249,000","4,413,000","205,000","1,631,000","86,824,000","93,471,000",-,-,"91,001,000",-,"93,471,000","6,647,000",-,"928,000","928,000",-,-,"984,000",-,-,-,-,-,-,-,"255,000","255,000",-,-,"3,729,000","93,979,000","72,482,000","72,482,000","72,482,000","1,541,000",-,-,"4,365,000",-,-,-,"4,365,000",0,0,-,0,"17,132,000","17,132,000",-,-,-,-,"13,433,000","13,433,000","1,062,000","1,056,000","6,000","25,833,000","4,390,000","17,639,000","-213,000","-213,000","30,565,000","1,056,000","13,433,000",-,"13,178,000","17,132,000","13,178,000","17,132,000","1,512,000","569,504","280,964",-,"288,540"
5,12/31/2021,"110,242,000","18,236,000","18,236,000","18,236,000",-,"8,750,000",-,"2,582,000","2,582,000",-,-,-,"6,906,000","4,684,000","206,000","2,016,000","86,862,000","93,684,000",-,-,"91,418,000",-,"93,684,000","6,822,000",-,"914,000","914,000",-,-,"983,000","2,832,000","38,000","676,000","2,118,000",-,-,"-1,849,000","255,000","255,000",-,-,"3,906,000","96,834,000","72,393,000","72,393,000","72,393,000","1,575,000",-,-,"4,214,000",-,-,-,"4,214,000","1,250,000","1,250,000",-,"1,250,000","18,977,000","18,977,000",-,-,-,-,"13,408,000","13,408,000","1,062,000","1,056,000","6,000","24,766,000","4,369,000","16,695,000","-94,000","-94,000","32,385,000","1,056,000","13,408,000",-,"13,153,000","20,227,000","13,153,000","20,227,000","1,991,000","568,831","288,328",-,"280,503"
6,9/30/2021,"108,544,000","20,762,000","20,762,000","20,762,000",-,"12,716,000",-,"32,000","32,000",-,-,-,"8,014,000","5,148,000","223,000","2,643,000","82,681,000","89,542,000",-,-,"87,394,000",-,"89,542,000","6,861,000",-,-,-,-,-,"987,000",-,-,-,-,-,-,-,"256,000","255,000","1,000",-,"3,858,000","95,281,000","72,562,000","72,562,000","72,562,000","1,436,000",-,-,"4,203,000",-,-,-,"4,203,000",0,0,-,0,"18,516,000","18,516,000",-,-,-,-,"13,263,000","13,263,000","1,062,000","1,056,000","6,000","23,846,000","4,345,000","15,922,000","-68,000","-68,000","31,779,000","1,056,000","13,263,000",-,"13,007,000","18,516,000","13,007,000","18,516,000","5,800,000","568,761","294,760",10.7,"274,001"
7,6/30/2021,"110,985,000","25,209,000","25,209,000","25,209,000",-,"15,445,000",-,"923,000","923,000",-,-,-,"8,841,000","5,698,000","239,000","2,904,000","80,648,000","87,674,000",-,-,"85,615,000",-,"87,674,000","7,026,000",-,-,-,-,-,"986,000",-,-,-,-,-,-,-,"256,000","255,000","1,000",-,"3,886,000","97,814,000","74,476,000","74,476,000","74,476,000","1,347,000",-,-,"3,988,000",-,-,-,"3,988,000",0,0,-,0,"19,350,000","19,350,000",-,-,-,-,"13,171,000","13,171,000","1,062,000","1,056,000","6,000","22,936,000","4,319,000","15,107,000","-39,000","-39,000","32,521,000","1,056,000","13,171,000",-,"12,915,000","19,350,000","12,915,000","19,350,000","3,905,000","568,693","301,233",10.7,"267,461"
8,3/31/2021,"113,871,000","30,106,000","30,106,000","30,106,000",-,"20,348,000",-,"326,000","326,000",-,-,-,"9,432,000","6,139,000","255,000","3,038,000","79,000,000","86,347,000",-,-,"84,418,000",-,"86,347,000","7,347,000",-,-,-,-,-,"1,021,000",-,-,-,-,-,-,-,"350,000","255,000","95,000",-,"3,394,000","101,717,000","76,745,000","76,745,000","76,745,000","1,824,000",-,-,"3,961,000",-,-,-,"3,961,000",0,0,-,0,"21,011,000","21,011,000",-,-,-,-,"12,154,000","12,154,000","1,062,000","1,056,000","6,000","21,373,000","4,280,000","14,554,000","-7,000","-7,000","33,165,000","1,056,000","12,154,000",-,"11,804,000","21,011,000","11,804,000","21,011,000","663,000","568,580","305,985",10.7,"262,595"
9,12/31/2020,"112,889,000","25,703,000","25,703,000","25,703,000",-,"25,703,000",-,"25,000","25,000",-,-,-,"12,114,000","9,193,000","260,000","2,661,000","82,223,000","90,449,000",-,-,"88,603,000",-,"90,449,000","8,226,000",-,"944,000","944,000",-,-,"1,027,000","2,737,000","38,000","673,000","2,026,000",-,-,"-1,710,000","350,000","255,000","95,000",-,"3,586,000","102,005,000","76,904,000","76,904,000","76,904,000","1,209,000",-,-,"3,860,000",-,-,-,"3,860,000",0,0,-,0,"21,241,000","21,241,000",-,-,-,-,"10,884,000","10,884,000","1,062,000","1,056,000","6,000","19,955,000","4,257,000","14,435,000","45,000","45,000","32,125,000","1,056,000","10,884,000",-,"10,534,000","21,241,000","10,534,000","21,241,000","7,677,000","567,898","306,597",10.7,"261,301"
10,9/30/2020,"124,349,000","38,991,000","38,991,000","38,991,000",-,"38,991,000",-,"576,000","576,000",-,-,-,"22,993,000","20,812,000","281,000","1,900,000","80,434,000","88,660,000",-,-,"86,883,000",-,"88,660,000","8,226,000",-,"961,000","961,000",-,-,"1,121,000",-,-,-,-,-,-,-,"350,000","255,000","95,000",-,"3,453,000","114,097,000","78,015,000","78,015,000","78,015,000","1,077,000",-,-,"3,541,000",-,-,-,"3,541,000","10,700,000","10,700,000",-,"10,700,000","21,841,000","21,841,000",-,-,-,-,"10,252,000","10,252,000","1,062,000","1,056,000","6,000","19,292,000","4,235,000","14,430,000","93,000","93,000","32,093,000","1,056,000","10,252,000",-,"9,902,000","32,541,000","9,902,000","32,541,000","23,028,000","567,744","306,496",10.7,"261,248"
11,6/30/2020,"113,792,000","28,201,000","28,201,000","28,201,000",-,"28,201,000",-,"29,000","29,000",-,-,-,"13,034,000","8,810,000","284,000","3,940,000","80,743,000","88,927,000",-,-,"87,247,000",-,"88,927,000","8,184,000",-,"927,000","927,000",-,-,"1,115,000",-,-,-,-,-,-,-,"351,000","255,000","96,000",-,"3,382,000","104,149,000","77,364,000","77,364,000","77,364,000","999,000",-,-,"3,591,000",-,-,-,"3,591,000",-,-,-,-,"23,194,000","23,194,000",-,-,-,-,"9,643,000","9,643,000","1,062,000","1,056,000","6,000","18,673,000","4,216,000","14,430,000","122,000","122,000","32,837,000","1,056,000","9,643,000",-,"9,292,000","23,194,000","9,292,000","23,194,000","8,056,000","567,653","306,420",10.7,"261,233"
12,3/31/2020,"112,657,000","21,993,000","21,993,000","21,993,000",-,"21,993,000",-,"1,183,000","1,183,000",-,-,-,"10,782,000","9,366,000","279,000","1,137,000","86,050,000","92,963,000",-,-,"91,419,000",-,"92,963,000","6,913,000",-,"978,000","978,000",-,-,"1,070,000",-,-,-,-,-,-,-,"410,000","255,000","155,000",-,"3,134,000","102,992,000","73,418,000","73,418,000","73,418,000","826,000",-,-,"3,476,000",-,-,-,"3,476,000",-,-,-,-,"26,098,000","26,098,000",-,-,-,-,"9,665,000","9,665,000","569,000","563,000","6,000","19,175,000","4,217,000","14,430,000","134,000","134,000","35,763,000","563,000","9,665,000",-,"9,255,000","26,098,000","9,255,000","26,098,000","4,105,000","567,530","306,302",5.7,"261,228"
13,12/31/2019,"113,996,000","17,559,000","17,559,000","17,559,000",-,"17,559,000",-,"40,000","40,000",-,-,-,"10,595,000","9,448,000","272,000","875,000","92,511,000","95,894,000",-,-,"94,521,000",-,"95,894,000","3,383,000",-,-,-,-,-,"1,057,000","2,668,000","42,000","693,000","1,933,000",-,-,"-1,611,000","410,000","255,000","155,000",-,"2,459,000","102,137,000","72,746,000","72,746,000","72,746,000","791,000",-,-,"3,690,000",-,-,-,"3,690,000",-,-,-,-,"25,701,000","25,701,000",-,-,-,-,"11,859,000","11,859,000","569,000","563,000","6,000","21,290,000","4,206,000","14,087,000","-119,000","-119,000","37,560,000","563,000","11,859,000",-,"11,449,000","25,701,000","11,449,000","25,701,000","8,142,000","566,654","310,157",5.7,"256,496"
14,9/30/2019,"110,786,000","17,761,000","17,761,000","17,761,000",-,"17,761,000","1,000,000","37,000","37,000",-,-,-,"10,649,000","9,756,000","269,000","624,000","89,194,000","92,493,000",-,-,"91,300,000",-,"92,493,000","3,299,000",-,-,-,-,-,"1,028,000",-,-,-,-,-,-,-,"414,000","255,000","159,000",-,"2,389,000","99,069,000","71,021,000","71,021,000","71,021,000","694,000",-,-,"3,594,000",-,-,-,"3,594,000",-,-,-,-,"24,454,000","24,454,000",-,-,-,-,"11,717,000","11,717,000","569,000","563,000","6,000","20,720,000","4,188,000","13,686,000","-74,000","-74,000","36,171,000","563,000","11,717,000",-,"11,303,000","24,454,000","11,303,000","24,454,000","6,693,000","566,604","314,981",5.7,"251,623"
15,6/30/2019,"110,707,000","19,934,000","19,934,000","19,934,000",-,"10,313,000","1,000,000","1,040,000","1,040,000",-,-,-,"7,581,000","6,949,000","258,000","374,000","87,027,000","90,229,000",-,-,"89,182,000",-,"90,229,000","3,202,000",-,-,-,-,-,"1,008,000",-,-,-,-,-,-,-,"415,000","255,000","160,000",-,"2,323,000","99,214,000","69,734,000","69,734,000","69,734,000","670,000",-,-,"4,317,000",-,-,-,"4,317,000",-,-,-,-,"25,163,000","25,163,000",-,-,-,-,"11,493,000","11,493,000","569,000","563,000","6,000","20,107,000","4,167,000","13,267,000","-83,000","-83,000","36,656,000","563,000","11,493,000",-,"11,078,000","25,163,000","11,078,000","25,163,000","5,229,000","566,019","319,475",5.7,"246,543"
16,3/31/2019,"110,720,000","21,456,000","21,456,000","21,456,000",-,"15,169,000","1,000,000","44,000","44,000",-,-,-,"5,243,000","4,875,000","243,000","125,000","85,609,000","88,743,000",-,-,"87,819,000",-,"88,743,000","3,134,000",-,-,-,-,-,"980,000",-,-,-,-,-,-,-,"415,000","255,000","160,000",-,"2,260,000","99,461,000","68,916,000","68,916,000","68,916,000","662,000",-,-,"4,269,000",-,-,-,"4,269,000",-,-,-,-,"26,276,000","26,276,000",-,-,-,-,"11,259,000","11,259,000","569,000","563,000","6,000","19,484,000","4,148,000","12,806,000","-136,000","-136,000","37,535,000","563,000","11,259,000",-,"10,844,000","26,276,000","10,844,000","26,276,000","4,820,000","565,973","325,386",5.7,"240,588"
17,12/31/2018,"109,553,000","18,515,000","18,515,000","18,515,000",-,"13,299,000",-,"1,846,000","1,846,000",-,-,-,"3,370,000","3,133,000","237,000",0,"87,471,000","90,512,000",0,-,"89,695,000",0,"90,512,000","3,041,000",-,-,-,-,-,"936,000","2,398,000","42,000","671,000","1,685,000",-,-,"-1,462,000","416,000","255,000","161,000",-,"2,215,000","98,423,000","67,759,000","67,759,000","67,759,000","675,000",-,-,"3,436,000",-,-,-,"3,436,000",-,-,-,-,"27,228,000","27,228,000",-,-,-,-,"11,130,000","11,130,000","569,000","563,000","6,000","18,906,000","4,130,000","12,319,000","-156,000","-156,000","38,358,000","563,000","11,130,000",-,"10,714,000","27,228,000","10,714,000","27,228,000","8,713,000","564,852","331,446",5.7,"233,406"
18,9/30/2018,"105,842,000","18,410,000","18,410,000","18,410,000",-,"16,019,000",-,"590,000","590,000",-,-,-,"1,801,000","1,559,000","242,000",0,"83,967,000","86,894,000",-,-,"86,201,000",-,"86,894,000","2,927,000",-,-,-,-,-,"896,000",-,-,-,-,-,-,-,"417,000","255,000","162,000",-,"2,152,000","94,826,000","63,674,000","63,674,000","63,674,000","640,000",-,-,"4,154,000",-,-,-,"4,154,000",-,-,-,-,"26,998,000","26,998,000",-,-,-,-,"11,016,000","11,016,000","569,000","563,000","6,000","18,354,000","4,107,000","11,854,000","-160,000","-160,000","38,014,000","563,000","11,016,000",-,"10,599,000","26,998,000","10,599,000","26,998,000","8,588,000","564,614","337,920",5.7,"226,694"
19,6/30/2018,"102,751,000","17,441,000","17,441,000","17,441,000",-,"15,289,000",-,"630,000","630,000",-,-,-,"1,522,000","622,000","226,000","674,000","81,961,000","84,789,000",-,-,"84,218,000",-,"84,789,000","2,828,000",-,-,-,-,-,"874,000",-,-,-,-,-,-,-,"417,000","255,000","162,000",-,"2,058,000","91,862,000","61,683,000","61,683,000","61,683,000","615,000",-,-,"3,927,000",-,-,-,"3,927,000",-,-,-,-,"26,252,000","26,252,000",-,-,-,-,"10,889,000","10,889,000","569,000","563,000","6,000","17,787,000","4,089,000","11,394,000","-162,000","-162,000","37,141,000","563,000","10,889,000",-,"10,472,000","26,252,000","10,472,000","26,252,000","8,811,000","564,558","343,901",5.7,"220,657"
