,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Pension And Employee Benefit Expense,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Other Current Assets,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"7,140,000","7,140,000","4,392,000","261,000",-,-,-,-,-,-,"561,000","561,000",-,"-427,000","-427,000","-240,000",-,-,-,-,"2,359,000","234,000",-,-,"1,080,000","1,080,000","-846,000","-25,637,000","-25,637,000","-5,449,000","-7,901,000","2,452,000","-19,961,000",-,"-19,961,000","-227,000","-236,000","9,000",-,-,-,-,"16,062,000","16,062,000","-94,000","1,656,000","6,885,000","-5,229,000","-1,750,000",-,"-2,349,000","10,000","-2,359,000",0,0,-,"-703,000",-,-,"8,897,000","-2,435,000",-,"11,332,000","1,865,000","1,666,000","-236,000","10,000","6,885,000","-5,229,000","-2,359,000","6,904,000"
1,12/31/2022,"7,140,000","7,140,000","4,392,000","261,000",-,-,-,-,-,-,"561,000","561,000",-,"-427,000","-427,000","-240,000",-,-,-,-,"2,359,000","234,000",-,-,"1,080,000","1,080,000","-846,000","-25,637,000","-25,637,000","-5,449,000","-7,901,000","2,452,000","-19,961,000",-,"-19,961,000","-227,000","-236,000","9,000",-,-,-,-,"16,062,000","16,062,000","-94,000","1,656,000","6,885,000","-5,229,000","-1,750,000",-,"-2,349,000","10,000","-2,359,000",0,0,-,"-703,000",-,-,"8,897,000","-2,435,000",-,"11,332,000","1,865,000","1,666,000","-236,000","10,000","6,885,000","-5,229,000","-2,359,000","6,904,000"
2,12/31/2021,"6,019,000","6,019,000","5,449,000","-382,000",-,-,-,-,-,-,"531,000","531,000",-,"327,000","327,000","257,000","-295,000",-,-,-,"218,000","-86,000",-,-,"410,000","410,000","-496,000","40,000","40,000","4,808,000","-207,000","5,015,000","-4,574,000",-,-,"-194,000","-194,000",-,-,-,-,-,"-8,316,000","-8,316,000","-896,000","-2,646,000","1,727,000","-4,373,000","1,750,000",-,"-2,251,000","9,000","-2,260,000",0,0,-,"-636,000",-,-,"11,332,000","-2,257,000",-,"13,589,000","1,305,000","1,077,000","-194,000","9,000","1,727,000","-4,373,000","-2,260,000","5,825,000"
3,12/31/2020,"6,196,000","6,196,000","1,141,000","-26,000",-,-,-,-,-,-,"485,000","485,000",-,"-672,000","-672,000","200,000","-320,000",-,-,-,"5,134,000","254,000",-,-,"136,000","136,000","118,000","1,514,000","1,514,000","-1,270,000","-8,275,000","7,005,000","3,045,000",-,-,"-261,000","-261,000",-,-,-,-,-,"-1,085,000","-1,085,000","-4,792,000","-4,792,000","494,000","-5,286,000",-,-,"-338,000","10,000","-348,000","493,000","493,000",-,"-576,000",-,-,"13,589,000","6,625,000",-,"6,964,000","901,000","1,799,000","-261,000","503,000","494,000","-5,286,000","-348,000","5,935,000"
4,12/31/2019,"6,196,000","6,196,000","2,957,000","37,000",-,-,-,-,-,-,"436,000","436,000",-,-,-,"-51,000","-421,000",-,-,-,"3,231,000","7,000",-,-,"209,000","209,000","-202,000","-15,274,000","-15,274,000","-7,146,000","-8,317,000","1,171,000","-7,844,000",-,"-7,844,000","-284,000","-284,000",-,-,-,-,-,"897,000","897,000","-1,714,000","-1,714,000","4,859,000","-6,573,000",-,-,"-1,761,000","7,000","-1,768,000",0,0,0,"-573,000",-,-,"6,964,000","-8,181,000",-,"15,145,000","1,088,000","2,407,000","-284,000","7,000","4,859,000","-6,573,000","-1,768,000","5,912,000"
5,12/31/2018,"5,191,000","5,191,000","2,742,000","45,000",-,-,-,-,-,-,"435,000","435,000",-,-,-,"-107,000","-403,000",-,-,-,"3,035,000","-556,000",-,-,"-549,000","-549,000","-7,000","-10,579,000","-10,579,000","-1,845,000","-2,701,000","856,000","-8,480,000",-,"-8,480,000","-254,000","-254,000",-,-,-,-,-,"7,146,000","7,146,000","796,000","796,000","6,999,000","-6,203,000",-,-,"-2,059,000","6,000","-2,065,000",0,0,0,"-552,000",-,-,"15,145,000","1,758,000",-,"13,387,000","650,000","1,847,000","-254,000","6,000","6,999,000","-6,203,000","-2,065,000","4,937,000"
6,12/31/2017,"5,208,000","5,208,000","2,099,000","55,000",-,-,-,-,-,"55,000","393,000","393,000",-,-,-,"361,000","-399,000",-,-,-,"2,579,000","120,000",-,-,"622,000","622,000","-502,000","-8,777,000","-8,777,000","128,000","-105,000","233,000","-8,701,000",-,"-8,701,000","-218,000","-218,000",-,0,-,0,"14,000","4,961,000","4,961,000","823,000","823,000","6,186,000","-5,363,000",0,-,"-2,076,000","5,000","-2,081,000","-12,000","563,000","-575,000","-527,000",-,-,"13,306,000","1,392,000",-,"11,914,000","1,424,000","1,396,000","-218,000","568,000","6,186,000","-5,363,000","-2,656,000","4,990,000"
7,12/31/2016,"4,425,000","4,425,000","2,393,000","57,000",-,-,-,-,-,"57,000","351,000","351,000",-,-,-,"113,000","-395,000",-,-,-,"1,859,000","47,000",-,-,"234,000","234,000","-187,000","-4,894,000","-4,894,000","1,259,000","-107,000","1,366,000","-5,978,000",-,"-5,978,000","-179,000","-179,000",0,0,-,0,"4,000","2,811,000","2,811,000","773,000","773,000","4,192,000","-3,419,000",0,-,"-1,901,000","7,000","-1,908,000",-,-,-,"-514,000",-,-,"11,914,000","2,342,000",-,"9,572,000","1,300,000","1,211,000","-179,000","7,000","4,192,000","-3,419,000","-1,908,000","4,246,000"
8,12/31/2015,"3,854,000","3,854,000","2,297,000","-26,000",-,-,-,-,-,"-26,000","391,000","391,000",-,-,-,"187,000","-432,000",-,-,-,"1,512,000","-75,000",-,-,"162,000","162,000","-237,000","-2,868,000","-2,868,000","769,000","-765,000","1,534,000","-3,479,000",-,"-3,479,000","-167,000","-168,000","1,000","2,000",-,"2,000","7,000","1,302,000","1,302,000","2,017,000","2,130,000","5,764,000","-3,634,000","-113,000",-,"-1,710,000","5,000","-1,715,000",-,-,-,"-515,000",-,-,"9,572,000","2,288,000",-,"7,284,000","1,341,000","1,070,000","-168,000","5,000","5,764,000","-3,634,000","-1,715,000","3,686,000"
9,12/31/2014,"3,826,000","3,826,000","2,323,000","-35,000","21,000",0,-,"29,000",-,"-81,000","369,000","369,000","369,000","-11,000","-11,000","-185,000",-,-,"27,000","60,000","1,443,000","-165,000",-,-,"73,000","73,000","-238,000","-4,197,000","-4,197,000","967,000","-503,000","1,470,000","-5,095,000",0,"-5,095,000","-145,000","-145,000",0,0,0,-,"76,000","1,101,000","1,101,000","1,990,000","2,017,000","6,695,000","-4,678,000","-27,000",-,"-1,559,000","5,000","-1,564,000",0,0,-,"-467,000",-,-,"7,284,000","730,000",-,"6,554,000","1,388,000","933,000","-145,000","5,000","6,695,000","-4,678,000","-1,564,000","3,681,000"
