,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Other Current Assets,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"7,140,000","7,140,000","4,392,000","261,000",-,-,-,-,-,"561,000","561,000",-,"-427,000","-427,000","-240,000",-,-,-,-,"2,359,000",-,"234,000",-,-,"1,080,000","1,080,000","-846,000","-25,637,000","-25,637,000","-5,449,000","-7,901,000","2,452,000","-19,961,000",-,"-19,961,000","-227,000","-236,000","9,000",-,-,-,"16,062,000","16,062,000","-94,000","1,656,000","6,885,000","-5,229,000","-1,750,000",-,-,"-2,349,000","10,000","-2,359,000",0,0,-,"-703,000",-,-,-,"8,897,000","-2,435,000",-,"11,332,000","1,865,000","1,666,000","-236,000","10,000","6,885,000","-5,229,000","-2,359,000","6,904,000"
1,3/31/2023,"1,791,000","1,791,000","976,000","30,000",-,-,-,-,-,"129,000","129,000",-,"-112,000","-112,000","-80,000",-,-,-,-,"1,102,000",-,"-254,000",-,-,"-387,000","-387,000","133,000","-1,229,000","-1,229,000","92,000","-314,000","406,000","-1,245,000",-,-,"-76,000","-76,000",-,-,-,-,"704,000","704,000","-1,980,000","-1,980,000",0,"-1,980,000",0,-,-,"-1,229,000","3,000","-1,232,000",-,-,-,"-175,000",-,-,-,"10,163,000","1,266,000",-,"8,897,000",-,-,"-76,000","3,000",0,"-1,980,000","-1,232,000","1,715,000"
2,12/31/2022,"2,175,000","2,175,000","1,033,000","15,000",-,-,-,-,-,"137,000","137,000",-,"-113,000","-113,000","-52,000",-,-,-,-,"883,000",-,"272,000",-,-,"768,000","768,000","-496,000","-13,014,000","-13,014,000","-5,301,000","-5,725,000","424,000","-7,664,000",-,-,"-49,000","-58,000",-,-,-,-,"7,866,000","7,866,000","-82,000","-82,000","2,259,000","-2,341,000",0,-,-,"-599,000","3,000","-602,000",-,-,-,"-179,000",-,-,-,"8,897,000","-2,973,000",-,"11,870,000",-,-,"-58,000","3,000","2,259,000","-2,341,000","-602,000","2,117,000"
3,9/30/2022,"1,619,000","1,619,000","1,006,000","20,000",-,-,-,-,-,"145,000","145,000",-,"-174,000","-174,000","-74,000",-,-,-,-,"773,000",-,"-77,000",-,-,"11,000","11,000","-88,000","-7,490,000","-7,490,000","-1,404,000","-2,034,000","630,000","-6,007,000",-,-,"-79,000","-79,000",-,-,-,-,"6,270,000","6,270,000","186,000","1,986,000","1,991,000","-5,000","-1,800,000",-,-,"-210,000","2,000","-212,000",-,-,-,"-181,000",-,-,-,"11,870,000","399,000",-,"11,471,000",-,-,"-79,000","2,000","1,991,000","-5,000","-212,000","1,540,000"
4,6/30/2022,"1,612,000","1,612,000","1,111,000","53,000",-,-,-,-,-,"140,000","140,000",-,"-130,000","-130,000","-58,000",-,-,-,-,"549,000",-,"-53,000",-,-,"82,000","82,000","-135,000","-5,794,000","-5,794,000","441,000","-105,000","546,000","-6,187,000",-,-,"-48,000","-48,000",-,-,-,-,"6,010,000","6,010,000","2,866,000","1,066,000","1,393,000","-327,000","1,800,000",-,-,"-598,000","3,000","-601,000",-,-,-,"-183,000",-,-,-,"11,471,000","1,828,000",-,"9,643,000",-,-,"-48,000","3,000","1,393,000","-327,000","-601,000","1,564,000"
5,3/31/2022,"1,734,000","1,734,000","1,242,000","173,000",-,-,-,-,-,"139,000","139,000",-,"-10,000","-10,000","-56,000",-,-,-,-,"154,000",-,"92,000",-,-,"219,000","219,000","-127,000","661,000","661,000","815,000","-37,000","852,000","-103,000",-,-,"-51,000","-51,000",-,-,-,-,"-4,084,000","-4,084,000","-3,064,000","-1,314,000","1,242,000","-2,556,000","-1,750,000",-,-,"-942,000","2,000","-944,000",-,-,-,"-160,000",-,-,-,"9,643,000","-1,689,000",-,"11,332,000",-,-,"-51,000","2,000","1,242,000","-2,556,000","-944,000","1,683,000"
6,12/31/2021,"1,342,000","1,342,000","1,067,000","149,000",-,-,-,-,-,"144,000","144,000",-,"-61,000","-61,000","247,000",-,-,-,-,"263,000",-,"-172,000",-,-,"51,000","51,000","-223,000","-3,391,000","-3,391,000","976,000","-62,000","1,038,000","-4,319,000",-,-,"-48,000","-48,000",-,-,-,-,"633,000","633,000","1,740,000","-10,000","-4,000","-6,000",-,-,-,"-771,000","2,000","-773,000",0,0,-,"-162,000",-,-,-,"11,332,000","-1,416,000",-,"12,748,000",-,-,"-48,000","2,000","-4,000","-6,000","-773,000","1,294,000"
7,9/30/2021,"1,621,000","1,621,000","1,091,000","177,000",-,-,-,-,-,"139,000","139,000",-,"-51,000","-51,000","-47,000",-,-,-,-,"185,000","177,000","127,000",-,-,"190,000","190,000","-63,000","-1,510,000","-1,510,000","719,000","-79,000","798,000","-2,180,000",-,-,"-49,000","-49,000",-,-,-,-,"-3,731,000","-3,731,000","-834,000","-834,000","1,731,000","-2,565,000",-,-,-,"-813,000","2,000","-815,000",0,0,-,"-164,000",-,-,-,"12,748,000","-3,620,000",-,"16,368,000",-,-,"-49,000","2,000","1,731,000","-2,565,000","-815,000","1,572,000"
8,6/30/2021,"1,548,000","1,548,000","1,698,000","-718,000",-,-,-,-,-,"129,000","129,000",-,"207,000","207,000","108,000",-,-,-,-,"135,000",-,"-11,000",-,-,"49,000","49,000","-60,000","-1,247,000","-1,247,000","526,000","-29,000","555,000","-1,717,000",-,-,"-56,000","-56,000",-,-,-,-,"-4,607,000","-4,607,000","-1,632,000","-1,632,000",0,"-1,632,000",-,-,-,"-550,000","3,000","-553,000",-,-,-,"-151,000",-,-,-,"16,368,000","-4,306,000",-,"20,674,000",-,-,"-56,000","3,000",0,"-1,632,000","-553,000","1,492,000"
9,3/31/2021,"1,508,000","1,508,000","1,593,000","10,000",-,-,-,-,-,"119,000","119,000",-,"232,000","232,000","-51,000",-,-,-,-,"-365,000",-,"-30,000",-,-,"120,000","120,000","-150,000","6,188,000","6,188,000","2,587,000","-37,000","2,624,000","3,642,000",-,-,"-41,000","-41,000",-,-,-,-,"-611,000","-611,000","-170,000","-170,000",0,"-170,000",-,-,-,"-117,000","2,000","-119,000",-,-,-,"-159,000",-,-,-,"20,674,000","7,085,000",-,"13,589,000",-,-,"-41,000","2,000",0,"-170,000","-119,000","1,467,000"
