,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Other Customer Services,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Impairment of Capital Assets,Write Off,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"13,337,000","10,999,000","12,864,000","12,502,000","12,502,000","179,000",-,-,"183,000","1,865,000","1,257,000","2,000","606,000",-,"2,338,000",-,"881,000","881,000","881,000",-,-,"-214,000","-214,000",-,-,"1,671,000","-2,359,000","5,236,000","118,000",-,"871,000","3,174,000","2,139,000","2,139,000",-,"1,035,000","1,073,000",0,-,0,-,-,"5,742,000","1,350,000","4,304,000","4,392,000","4,392,000","4,392,000",-,"62,000","4,304,000",-,-,-,-,"8,640,000","4,392,000","4,392,000",-,"561,000","4,392,000",0,0,0,0
1,12/31/2022,"13,337,000","10,999,000","12,864,000","12,502,000","12,502,000","179,000",-,-,"183,000","1,865,000","1,257,000","2,000","606,000",-,"2,338,000",-,"881,000","881,000","881,000",-,-,"-214,000","-214,000",-,-,"1,671,000","-2,359,000","5,236,000","118,000",-,"871,000","3,174,000","2,139,000","2,139,000",-,"1,035,000","1,073,000",0,-,0,-,-,"5,742,000","1,350,000","4,304,000","4,392,000","4,392,000","4,392,000",-,"62,000","4,304,000",15.52,15.50,"277,000","278,000","8,640,000","4,392,000","4,392,000",-,"561,000","4,392,000",0,0,0,0
2,12/31/2021,"12,087,000","9,517,000","10,651,000","10,451,000","10,451,000","182,000",-,-,"18,000","1,134,000","661,000",0,"473,000",-,"2,570,000",-,"691,000","691,000","691,000",-,-,"424,000","424,000",-,-,"1,455,000","-218,000","4,805,000","92,000",-,"797,000","2,796,000","1,986,000","1,986,000",-,"810,000","1,120,000","-95,000",-,"95,000",-,-,"7,064,000","1,615,000","5,351,000","5,449,000","5,449,000","5,449,000",-,"69,000","5,351,000",17.85,17.83,"300,000","300,000","9,299,000","5,449,000","5,449,000",-,"531,000","5,449,000","-95,000","-95,000",0,0
3,12/31/2020,"11,088,000","9,230,000","11,095,000","10,802,000","10,802,000","252,000",-,-,"41,000","1,865,000","1,231,000","32,000","602,000",-,"1,858,000",-,"609,000","609,000","609,000",-,-,"80,000","80,000",-,-,"1,249,000","-5,134,000","4,519,000","113,000","113,000","717,000","2,553,000","1,894,000","1,894,000","540,000","659,000","1,136,000","-59,000",-,"59,000","96,000","-596,000","1,435,000","294,000","1,104,000","1,141,000","1,141,000","1,141,000",-,"31,000","1,104,000",3.60,3.60,"307,000","307,000","4,096,000","1,141,000","1,141,000",-,"485,000","1,141,000","-59,000","-59,000",0,0
4,12/31/2019,"11,459,000","9,463,000","11,993,000","11,561,000","11,561,000","179,000",-,-,"253,000","2,530,000","1,587,000",-,"943,000",-,"1,996,000",-,"646,000","646,000","646,000",-,-,-,-,-,-,"1,350,000","-3,231,000","4,393,000","107,000","107,000","753,000","2,621,000","1,738,000","1,738,000","409,000","883,000","912,000","-96,000",-,-,"96,000","-503,000","3,835,000","878,000","2,908,000","2,957,000","2,957,000","2,957,000",-,"31,000","2,908,000",9.09,9.08,"320,000","320,000","6,232,000","2,957,000","2,957,000",-,"436,000","2,957,000","-96,000","-96,000",0,0
5,12/31/2018,"10,709,000","8,754,000","10,893,000","10,561,000","10,561,000","40,000",-,-,"292,000","2,139,000","1,238,000",-,"901,000",-,"1,955,000",-,"580,000","580,000","580,000",-,-,-,-,-,-,"1,375,000","-3,035,000","4,077,000","102,000","102,000","672,000","2,484,000","1,627,000","1,627,000","350,000","857,000","819,000","-83,000",-,-,"83,000","-469,000","3,597,000","855,000","2,689,000","2,742,000","2,742,000","2,742,000",-,"31,000","2,689,000",7.81,7.79,"344,000","345,000","5,719,000","2,742,000","2,742,000",-,"435,000","2,742,000","-83,000","-83,000",0,0
6,12/31/2017,"9,897,000","8,000,000","9,648,000","9,467,000","9,467,000","27,000",-,-,"154,000","1,648,000","846,000",0,"802,000",-,"1,897,000",-,"530,000","530,000","530,000",-,-,"3,000","3,000",0,-,"1,367,000","-2,579,000","3,781,000","99,000","99,000","655,000","2,288,000","1,512,000","1,512,000","315,000","776,000","739,000","-89,000",-,-,"89,000","-424,000","3,537,000","1,438,000","2,031,000","2,099,000","2,099,000","2,099,000",-,"37,000","2,031,000",5.43,5.42,"374,000","374,000","5,421,000","2,099,000","2,099,000",-,"393,000","2,099,000","-89,000","-89,000",0,0
7,12/31/2016,"9,099,000","7,218,000","8,616,000","8,516,000","8,516,000","38,000",-,-,"62,000","1,398,000","687,000",0,"711,000",-,"1,881,000",-,"498,000","498,000","498,000",-,-,0,0,0,-,"1,383,000","-1,859,000","3,584,000","95,000","95,000","605,000","2,110,000","1,379,000","1,379,000","339,000","731,000","774,000","-9,000",-,-,"9,000","-435,000","3,656,000","1,263,000","2,339,000","2,393,000","2,393,000","2,393,000",-,"37,000","2,339,000",5.77,5.77,"405,000","406,000","5,359,000","2,393,000","2,393,000",-,"351,000","2,393,000","-9,000","-9,000",0,0
8,12/31/2015,"8,739,000","6,682,000","7,945,000","7,869,000","7,869,000","49,000",-,-,"27,000","1,263,000","623,000","1,000","639,000",-,"2,057,000",-,"494,000","494,000","494,000",-,-,"77,000","9,000","68,000",-,"1,563,000","-1,512,000","3,615,000","95,000","95,000","610,000","2,072,000","1,327,000","1,327,000","349,000","745,000","838,000","-18,000",-,-,"18,000","-489,000","3,612,000","1,315,000","2,246,000","2,297,000","2,297,000","2,297,000",-,"37,000","2,246,000",5.14,5.13,"437,000","438,000","5,170,000","2,297,000","2,297,000",-,"391,000","2,297,000","-18,000","-18,000",0,0
9,12/31/2014,"8,477,000","6,462,000","7,596,000","7,510,000","7,510,000","67,000",-,-,"19,000","1,134,000","614,000","2,000","518,000",-,"2,015,000",-,"516,000","516,000","516,000",-,-,"85,000","4,000","81,000",-,"1,499,000","-1,443,000","3,340,000","92,000","92,000","450,000","1,977,000","1,242,000","1,242,000","346,000","735,000","821,000",0,-,-,"134,000","-475,000","3,694,000","1,371,000","2,270,000","2,323,000","2,323,000","2,323,000",-,"37,000","2,270,000",4.91,4.90,"462,000","463,000","5,019,000","2,323,000","2,323,000",-,"369,000","2,323,000",0,0,0,0
