,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Impairment of Capital Assets,Write Off,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"13,337,000","10,999,000","12,864,000","12,502,000","12,502,000","179,000",-,-,"183,000","1,865,000","1,257,000","2,000","606,000",-,"2,338,000","881,000","881,000","881,000",-,"-214,000","-214,000",-,"1,671,000","-2,359,000","5,236,000","118,000",-,"871,000","3,174,000","2,139,000","2,139,000",-,"1,035,000","1,073,000",0,-,0,-,-,"5,742,000","1,350,000","4,304,000","4,392,000","4,392,000","4,392,000",-,"62,000","4,304,000",-,-,-,-,"8,640,000","4,392,000","4,392,000",-,"561,000","4,392,000",0,0,0,0
1,3/31/2023,"3,753,000","3,132,000","4,077,000","3,885,000","3,885,000","101,000",-,-,"91,000","945,000","756,000",0,"189,000",-,"621,000","233,000","233,000","233,000",-,"-18,000","-18,000",-,"406,000","-1,102,000","1,383,000","22,000",-,"232,000","866,000","625,000","625,000",-,"241,000","263,000",-,-,-,-,-,"1,268,000","292,000","939,000","976,000","976,000","976,000",-,"31,000","939,000",3.58,3.58,"262,000","262,000","2,030,000","976,000","976,000",-,"129,000","976,000",-,-,0,0
2,12/31/2022,"3,732,000","3,067,000","3,856,000","3,684,000","3,684,000","75,000",-,-,"97,000","789,000","599,000",0,"190,000",-,"665,000","248,000","248,000","248,000",-,"-6,000","-6,000",-,"423,000","-883,000","1,495,000","48,000",-,"264,000","886,000","573,000","573,000",-,"313,000","297,000",-,-,-,-,-,"1,354,000","321,000","1,027,000","1,033,000","1,033,000","1,033,000",-,0,"1,027,000",3.77,3.77,"272,000","273,000","2,184,000","1,033,000","1,033,000",-,"137,000","1,033,000",-,-,0,0
3,9/30/2022,"3,479,000","2,843,000","3,357,000","3,259,000","3,259,000","35,000",-,-,"63,000","514,000","345,000","1,000","168,000",-,"636,000","233,000","233,000","233,000",-,"-4,000","-4,000",-,"407,000","-773,000","1,388,000","22,000",-,"241,000","827,000","551,000","551,000",-,"276,000","298,000",-,-,-,-,-,"1,318,000","312,000","967,000","1,006,000","1,006,000","1,006,000",-,"31,000","967,000",3.54,3.54,"273,000","274,000","2,070,000","1,006,000","1,006,000",-,"145,000","1,006,000",-,-,0,0
4,6/30/2022,"3,224,000","2,610,000","2,915,000","2,863,000","2,863,000","33,000",-,-,"19,000","305,000","174,000",0,"131,000",-,"614,000","203,000","203,000","203,000",-,"-42,000","-42,000",-,"453,000","-549,000","1,223,000","24,000",-,"189,000","769,000","515,000","515,000",-,"254,000","241,000",-,-,-,-,-,"1,452,000","341,000","1,105,000","1,111,000","1,111,000","1,111,000",-,-,"1,105,000",3.96,3.96,"279,000","279,000","2,061,000","1,111,000","1,111,000",-,"140,000","1,111,000",-,-,0,0
5,3/31/2022,"2,902,000","2,479,000","2,736,000","2,696,000","2,696,000","36,000",-,-,"4,000","257,000","139,000","1,000","117,000",-,"423,000","197,000","197,000","197,000",-,"-162,000","-162,000",-,"388,000","-154,000","1,130,000","24,000",-,"177,000","692,000","500,000","500,000",-,"192,000","237,000",-,-,-,-,-,"1,618,000","376,000","1,205,000","1,242,000","1,242,000","1,242,000",-,"31,000","1,205,000",4.23,4.22,"285,000","285,000","2,325,000","1,242,000","1,242,000",-,"139,000","1,242,000",-,-,0,0
6,12/31/2021,"2,936,000","2,483,000","2,742,000","2,698,000","2,698,000","40,000",-,-,"4,000","259,000","142,000",0,"117,000",-,"453,000","191,000","191,000","191,000",-,"-138,000","-138,000",-,"400,000","-263,000","1,312,000","23,000",-,"230,000","770,000","499,000","499,000",-,"271,000","289,000","51,000",-,-,-,-,"1,361,000","294,000","1,062,000","1,067,000","1,067,000","1,067,000",-,0,"1,062,000",3.64,3.64,"291,000","292,000","2,220,000","1,067,000","1,067,000",-,"144,000","1,067,000","51,000","51,000",0,0
7,9/30/2021,"2,777,000","2,405,000","2,674,000","2,626,000","2,626,000","45,000",-,-,"3,000","269,000","156,000",0,"113,000",-,"372,000","179,000","179,000","179,000",-,"-167,000","-167,000",-,"360,000","-185,000","1,190,000","23,000",-,"198,000","693,000","483,000","483,000",-,"210,000","276,000","-51,000",-,-,"51,000",-,"1,402,000","311,000","1,055,000","1,091,000","1,091,000","1,091,000",-,"30,000","1,055,000",3.54,3.54,"298,000","298,000","2,220,000","1,091,000","1,091,000",-,"139,000","1,091,000","-51,000","-51,000",0,0
8,6/30/2021,"3,579,000","2,299,000","2,589,000","2,536,000","2,536,000","47,000",-,-,"6,000","290,000","170,000",-,"120,000",-,"1,280,000","163,000","163,000","163,000",-,"729,000","729,000",-,"388,000","-135,000","1,222,000","22,000",-,"187,000","673,000","498,000","498,000",-,"175,000","340,000","-92,000","92,000",-,-,-,"2,222,000","524,000","1,688,000","1,698,000","1,698,000","1,698,000",-,-,"1,688,000",5.56,5.55,"304,000","304,000","2,164,000","1,698,000","1,698,000",-,"129,000","1,698,000","-92,000","-92,000",0,0
9,3/31/2021,"2,795,000","2,330,000","2,646,000","2,591,000","2,591,000","50,000",-,-,"5,000","316,000","193,000",-,"123,000",-,"465,000","158,000","158,000","158,000",-,0,0,-,"307,000","365,000","1,081,000","24,000",-,"182,000","660,000","506,000","506,000",-,"154,000","215,000",-,-,-,-,-,"2,079,000","486,000","1,546,000","1,593,000","1,593,000","1,593,000",-,"39,000","1,546,000",5.04,5.04,"307,000","307,000","2,695,000","1,593,000","1,593,000",-,"119,000","1,593,000",-,-,0,0
