,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Current Capital Lease Obligation,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"64,112,150","4,412,997","3,620,805","534,980",-,"3,085,825",-,-,-,"792,192","792,192","792,192",-,-,-,-,-,"9,036,861",-,"3,001,868","6,034,993","763,256","47,632,429","48,228,074","25,644","15,711,095","76,295","32,415,040",-,"595,645",-,-,-,-,-,"103,681","103,681",-,-,-,-,"103,681","-148,126","465,697","465,697",-,-,"1,697,229","58,127,538","55,967,849","34,916,759","34,916,759","21,051,090","300,000",0,"300,000","1,595,358",-,-,-,"1,595,358","111,931",-,-,-,"111,931","152,400","152,400",-,-,-,-,"5,984,612","5,984,612",168,-,168,"5,582,546","1,936,389","768,862","-765,629",-,"6,137,012",-,"5,984,612","111,931","5,518,915","152,400","5,518,915","264,331",-,"168,459","140,948",-,"27,511"
1,12/31/2021,"60,870,701","7,002,930","4,649,427","527,317",-,"4,122,110",-,"77,434","77,434","2,353,503","2,353,503","2,353,503","77,434",-,-,-,-,"10,303,875","338,522",-,"9,965,353","289,741","41,152,837","41,694,416",635,"14,150,608","127,512","27,415,661",-,"541,579",-,-,-,-,-,"98,632","98,632",-,-,-,-,"98,632","-139,358","465,697","465,697",-,-,"1,479,555","55,033,483","53,350,532","30,505,068","30,505,068","22,845,464","300,000",-,"300,000","876,089",-,-,-,"876,089","105,534",0,-,0,"105,534","401,328","401,328","249,331",-,-,-,"5,837,218","5,837,218",168,-,168,"4,683,659","1,893,557","649,785","-90,381",-,"6,238,546",-,"5,837,218","105,534","5,371,521","401,328","5,371,521","506,862",-,"167,791","141,908",-,"25,883"
2,12/31/2020,"52,156,913","6,287,699","4,827,699","592,117",-,"4,235,582",-,"83,046","83,046","1,460,000","1,460,000","1,460,000","83,046",-,-,-,-,"5,811,183","266,525",-,"5,544,658","213,555","37,772,760","38,392,743","1,788","13,631,726","163,259","24,595,970",-,"619,983",-,-,-,-,-,"95,460","95,460",-,-,-,-,"95,460","-127,884","465,697","465,697",-,-,"1,427,513","46,887,738","44,862,752","28,564,451","28,564,451","16,298,301","300,000",-,"300,000","796,796",-,-,-,"796,796","123,839","21,009",-,"21,009","102,830","804,351","804,351","652,612",-,-,-,"5,269,175","5,269,175",167,-,167,"4,000,414","1,858,352","634,083","44,325",-,"6,073,526",-,"5,269,175","102,830","4,803,478","825,360","4,803,478","928,190",-,"167,241","141,565",-,"25,675"
3,12/31/2019,"44,196,096","4,317,310","3,457,310","536,221",-,"2,921,089",-,"78,580","78,580","860,000","860,000","860,000","78,580",-,-,-,-,"3,571,354","254,140",-,"3,317,214","207,037","34,420,686","34,778,973",434,"12,150,931","282,914","22,344,694",-,"358,287",-,-,-,-,-,"99,973","99,973",-,-,-,-,"99,973","-116,790","465,697","465,697",-,-,"1,035,459","39,178,479","37,324,259","26,244,223","26,244,223","11,080,036","200,000",-,"200,000","619,283",-,-,-,"619,283","136,752","28,669",-,"28,669","108,083","898,185","898,185","745,915",-,-,-,"5,017,617","5,017,617",167,-,167,"3,689,377","1,826,345","479,864","-18,408",-,"5,915,802",-,"5,017,617","108,083","4,551,920","926,854","4,551,920","1,034,937",-,"166,622","145,625",-,"20,997"
4,12/31/2018,"41,042,356","4,407,377","3,372,377","516,291",-,"2,856,086",-,"74,069","74,069","1,035,000","1,035,000","1,035,000","74,069",-,-,-,-,"2,973,482","2,973,482",-,"2,741,847","184,873","32,074,142","32,385,464",275,"12,056,970","331,270","19,996,949",-,"311,322",-,-,-,-,-,"119,180","237,727",-,-,-,-,"237,727","-118,547","465,547","465,547",-,0,"862,866","36,618,382","35,439,628","24,062,619","24,062,619","11,377,009","50,000",-,"50,000","598,109",-,-,-,"598,109","57,638","57,638",-,"57,638",-,"473,007","473,007","326,172",-,0,-,"4,423,974","4,423,974",166,-,166,"3,160,132","1,789,811","467,961","-58,174",-,"4,896,981",-,"4,423,974",-,"3,958,427","530,645","3,958,427","530,645",-,"165,868","144,961",-,"20,906"
5,12/31/2017,"37,150,249","3,623,014","2,573,014","457,181",-,"2,115,833",-,"73,521","73,521","1,050,000","1,050,000","1,050,000","73,521",-,-,-,-,"3,241,303","3,241,303",0,"3,016,752","162,824","28,688,675","28,975,803",85,"10,697,231","336,504","17,941,983",-,"287,128",-,-,-,-,-,"121,209","233,107",-,-,-,-,"233,107","-111,898","469,433","469,433",-,"91,318","800,161","33,308,298","31,615,063","20,727,757","20,727,757","10,887,306","50,000",-,"50,000","542,656",-,-,-,"542,656",0,0,-,0,-,"495,468","495,468","323,891",-,"605,111","605,111","3,841,951","3,841,951",165,-,165,"2,576,302","1,755,330","452,327","-37,519",-,"4,337,419",-,"3,841,951",-,"3,372,518","495,468","3,372,518","495,468",-,"165,215","144,543",-,"20,672"
6,12/31/2016,"34,788,840","4,201,651","2,201,651","460,559",-,"1,741,092",-,-,-,"2,000,000","2,000,000","2,000,000","72,775",-,-,-,-,"3,653,026","3,653,026","143,971","3,335,795","183,917","25,265,695","25,525,012","23,076","9,661,021","2,075,706","13,765,209",-,"260,520","1,203",-,-,-,-,"159,923","274,813",-,-,-,-,"274,813","-114,890","469,433","469,433",-,-,"1,015,118","31,361,099","29,890,983","19,707,037","19,707,037","10,183,946","350,000",-,"350,000","552,096",-,-,-,"552,096","60,050","60,050",-,"60,050",-,"507,970","507,970","321,643",-,-,-,"3,427,741","3,427,741",164,-,164,"2,187,676","1,727,434","439,387","-48,146",-,"3,935,711",-,"3,427,741",-,"2,958,308","568,020","2,958,308","568,020",-,"164,604","144,167",-,"20,437"
7,12/31/2015,"32,350,922","2,960,887","1,360,887","1,177,889","114,998","1,360,887",-,-,-,"1,600,000","1,600,000","1,600,000","83,702",-,-,-,-,"4,073,142",-,-,"4,073,142","193,978","23,410,747","23,691,719","31,958","9,003,007","1,956,091","12,700,663",-,"264,959","-16,013",-,-,-,-,"166,993","267,053",-,-,-,-,"267,053","-100,060","469,433","469,433",-,-,"1,242,735","29,227,972","27,475,981","18,819,176","18,819,176","8,656,805",-,-,0,"526,483",-,-,-,"526,483",0,0,-,0,-,"1,225,508","1,225,508","1,019,424",-,-,-,"3,122,950","3,122,950",164,-,164,"1,872,594","1,701,295","436,162","-14,941",-,"4,348,458",-,"3,122,950",-,"2,653,517","1,225,508","2,653,517","1,225,508",-,"164,247","143,909",-,"20,337"
8,12/31/2014,"28,738,049","2,310,194","1,085,194","944,118","95,767","1,039,885","45,309",-,-,"1,225,000","1,225,000","1,225,000","85,690",-,"32,111","32,111",-,"2,965,079","2,626,365",-,"338,714","178,652","21,514,220","21,773,095","45,950","8,078,131","1,513,719","12,135,295",-,"261,679","2,804",-,-,-,-,"180,900","266,309",-,-,-,-,"266,309","-85,409","469,433","469,433",-,-,"1,361,322","25,887,481","24,008,774","16,627,744","16,627,744","7,381,030","795,000",-,"795,000","540,618","96,106",-,"96,106","444,512",-,-,-,-,-,"543,089","543,089","317,241",-,-,-,"2,850,568","2,850,568",164,-,164,"1,598,598","1,677,767","430,198","4,237",-,"3,393,657",-,"2,850,568",-,"2,381,135","543,089","2,381,135","543,089",-,"163,772","143,582",-,"20,190"
9,12/31/2013,"24,730,068","2,242,740","942,740","693,387","201,828","895,820","46,920",-,-,"1,300,000","1,300,000","1,300,000","110,663","21,236","40,273","40,273","112,650","2,991,270","2,733,797",-,"257,473","165,724","17,805,583","18,078,930","204,970","5,757,603","1,613,847","10,502,510",-,"249,675","-23,672","116,314","116,314",-,-,"177,710","247,478","15,074","157,166","49,043","26,195",-,"-69,768","337,438","337,438",-,-,"1,202,101","22,365,843","20,412,918","14,591,019","14,591,019","5,821,899","995,000",-,"995,000","415,965",-,-,-,"415,965",0,0,-,0,-,"541,960","541,960","315,092",-,-,"21,236","2,364,225","2,364,225",163,0,163,"1,360,130","1,571,670","537,279","-30,459",-,"2,906,185",-,"2,364,225",-,"2,026,787","541,960","2,026,787","541,960",-,"163,098","137,631",-,"25,467"
