,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Federal Home Loan Bank Stock,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Current Capital Lease Obligation,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"67,244,898","6,598,731","5,944,443","760,317",-,"5,184,126",-,-,-,"654,288","654,288",-,"654,288",-,-,-,-,-,"9,294,289",-,"2,993,421","6,300,868","741,354","48,305,016","48,924,909","6,861","15,641,840","67,519","33,208,689",-,"619,893",-,-,-,-,-,"103,114","103,114",-,-,-,-,"103,114",-,"465,697","465,697",-,-,-,-,"1,736,697","60,935,567","54,737,402","36,410,082","36,410,082","18,327,320",-,-,0,"1,433,022",-,-,-,-,-,"1,433,022","4,612,676","4,500,000",-,"4,500,000","112,676","152,467","152,467",-,-,-,-,"6,309,331","6,309,331",-,-,-,-,-,-,-,-,-,"6,461,798",-,"6,309,331","112,676","5,843,634","4,652,467","5,843,634","4,765,143",-,"141,395","141,395",-,-
1,12/31/2022,"64,112,150","4,412,997","3,620,805","534,980",-,"3,085,825",-,-,-,"792,192","792,192",-,"792,192",-,-,-,-,-,"9,036,861",-,"3,001,868","6,034,993","763,256","47,632,429","48,228,074","25,644","15,711,095","76,295","32,415,040",-,"595,645",-,-,-,-,-,"103,681","103,681",-,-,-,-,"103,681","-148,126","465,697","465,697",-,-,-,-,"1,697,229","58,127,538","55,967,849","34,916,759","34,916,759","21,051,090","300,000",0,"300,000","1,595,358",-,-,-,-,-,"1,595,358","111,931",-,-,-,"111,931","152,400","152,400",-,-,-,-,"5,984,612","5,984,612",168,-,168,"5,582,546","1,936,389","768,862","-765,629",-,-,"6,137,012",-,"5,984,612","111,931","5,518,915","152,400","5,518,915","264,331",-,"168,459","140,948",-,"27,511"
2,9/30/2022,"62,576,061","3,686,882","2,793,896","554,260",-,"2,239,636",-,-,-,"892,986","892,986",-,"892,986",-,-,-,-,-,"8,918,757",-,"3,012,667","5,906,090","725,254","46,874,238","47,456,755","14,500","15,625,072","87,561","31,729,622",-,"582,517",-,-,-,-,-,"105,411","105,411",-,-,-,-,"105,411","-146,073","465,697","465,697",-,-,-,-,"1,799,822","56,915,393","53,857,362","32,211,968","32,211,968","21,645,394","811,785","200,000","611,785","1,655,239",-,-,-,-,-,"1,655,239","113,477",-,-,-,"113,477","477,530","477,530","324,920",-,-,-,"5,660,668","5,660,668",168,-,168,"5,302,897","1,926,393","768,758","-800,032",-,-,"6,138,198",-,"5,660,668","113,477","5,194,971","477,530","5,194,971","591,007",-,"168,427","140,918",-,"27,510"
3,6/30/2022,"62,394,283","4,037,556","2,614,762","688,936",-,"1,925,826",-,-,-,"1,422,794","1,422,794",-,"1,422,794",-,-,-,-,-,"9,283,806",-,"3,028,302","6,255,504","634,304","45,967,270","46,530,540","28,464","15,377,117","84,097","31,040,862",-,"563,270",-,-,-,-,-,"107,588","107,588",-,-,-,-,"107,588","-143,708","465,697","465,697",-,-,-,-,"1,898,062","56,784,801","54,343,354","31,314,523","31,314,523","23,028,831","611,785",-,"611,785","1,386,836",-,-,-,-,-,"1,386,836","115,387",-,-,-,"115,387","327,439","327,439","174,776",-,-,-,"5,609,482","5,609,482",168,-,168,"5,064,650","1,914,064","768,752","-600,648",-,-,"5,936,921",-,"5,609,482","115,387","5,143,785","327,439","5,143,785","442,826",-,"168,427","140,917",-,"27,510"
4,3/31/2022,"62,241,456","6,621,647","4,664,825","571,571",-,"4,093,254",-,-,-,"1,956,822","1,956,822",-,"1,956,822",-,-,-,-,-,"9,727,133","318,562","2,997,702","6,729,431","607,985","42,945,628","43,491,313",631,"14,838,134","127,399","28,525,149",-,"545,685",-,-,-,-,-,"102,491","102,491",-,-,-,-,"102,491","-141,422","465,697","465,697",-,-,-,-,"1,770,875","56,538,000","54,938,361","30,010,593","30,010,593","24,927,768","300,000",-,"300,000","963,137",-,-,-,-,-,"963,137","109,656",-,-,-,"109,656","226,846","226,846","74,619",-,-,-,"5,703,456","5,703,456",168,-,168,"4,863,721","1,902,874","668,382","-394,925",-,-,"5,930,302",-,"5,703,456","109,656","5,237,759","226,846","5,237,759","336,502",-,"168,375","142,257",-,"26,119"
5,12/31/2021,"60,870,701","7,002,930","4,649,427","527,317",-,"4,122,110",-,"77,434","77,434","2,353,503","2,353,503",-,"2,353,503","77,434",-,-,-,-,"10,303,875","338,522",-,"9,965,353","289,741","41,152,837","41,694,416",635,"14,150,608","127,512","27,415,661",-,"541,579",-,-,-,-,-,"98,632","98,632",-,-,-,-,"98,632","-139,358","465,697","465,697",-,-,-,-,"1,479,555","55,033,483","53,350,532","30,505,068","30,505,068","22,845,464","300,000",-,"300,000","876,089",-,-,-,-,-,"876,089","105,534",0,-,0,"105,534","401,328","401,328","249,331",-,-,-,"5,837,218","5,837,218",168,-,168,"4,683,659","1,893,557","649,785","-90,381",-,-,"6,238,546",-,"5,837,218","105,534","5,371,521","401,328","5,371,521","506,862",-,"167,791","141,908",-,"25,883"
6,9/30/2021,"60,959,110","8,304,205","5,708,063","594,631",-,"5,113,432",-,"77,200","77,200","2,596,142","2,596,142",-,"2,596,142","77,200",-,-,-,-,"10,080,434","367,428",-,"9,713,006","297,367","39,921,301","40,481,705",0,"13,831,649","129,269","26,520,787",-,"560,404",-,-,-,-,-,"99,785","99,785",-,-,-,-,"99,785","-136,796","465,697","465,697",-,-,-,-,"1,713,121","55,268,909","53,356,190","30,180,719","30,180,719","23,175,471","300,000",-,"300,000","1,104,919",-,-,-,-,-,"1,104,919","107,107",0,-,0,"107,107","400,693","400,693","248,898",-,-,-,"5,690,201","5,690,201",168,-,168,"4,513,321","1,883,871","649,591","-57,568",-,-,"6,090,894",-,"5,690,201","107,107","5,224,504","400,693","5,224,504","507,800",-,"167,764","141,884",-,"25,880"
7,6/30/2021,"59,854,876","9,127,268","6,828,084","626,716",-,"6,201,368",-,"76,931","76,931","2,299,184","2,299,184",-,"2,299,184","76,931",-,-,-,-,"8,763,647","364,187",-,"8,399,460","287,432","39,487,594","40,073,318","1,819","13,790,461","147,659","26,133,379",-,"585,724",-,-,-,-,-,"102,609","102,609",-,-,-,-,"102,609","-133,972","465,697","465,697",-,-,-,-,"1,543,698","54,307,328","52,582,575","30,765,854","30,765,854","21,816,721","300,000",-,"300,000","914,187",-,-,-,-,-,"914,187","110,105",0,-,0,"110,105","400,461","400,461","248,464",-,-,-,"5,547,548","5,547,548",168,-,168,"4,335,327","1,876,079","649,337","-14,689",-,-,"5,948,009",-,"5,547,548","110,105","5,081,851","400,461","5,081,851","510,566",-,"167,754","141,878",-,"25,877"
8,3/31/2021,"56,874,146","7,521,094","5,361,056","582,270",-,"4,778,786",-,"83,250","83,250","2,160,038","2,160,038",-,"2,160,038","83,250",-,-,-,-,"8,150,651","361,438",-,"7,789,213","284,862","38,981,242","39,588,748",0,"14,081,110","145,376","25,362,262",-,"607,506",-,-,-,-,-,"94,483","94,483",-,-,-,-,"94,483","-130,926","465,697","465,697",-,-,-,-,"1,292,867","51,589,119","49,547,136","30,627,838","30,627,838","18,919,298","300,000",-,"300,000","834,925",-,-,-,-,-,"834,925","101,828",0,-,0,"101,828","805,230","805,230","653,035",-,-,-,"5,285,027","5,285,027",168,-,168,"4,158,032","1,865,933","649,066","-90,040",-,-,"6,090,257",-,"5,285,027","101,828","4,819,330","805,230","4,819,330","907,058",-,"167,716","141,843",-,"25,873"
9,12/31/2020,"52,156,913","6,287,699","4,827,699","592,117",-,"4,235,582",-,"83,046","83,046","1,460,000","1,460,000",-,"1,460,000","83,046",-,-,-,-,"5,811,183","266,525",-,"5,544,658","213,555","37,772,760","38,392,743","1,788","13,631,726","163,259","24,595,970",-,"619,983",-,-,-,-,-,"95,460","95,460",-,-,-,-,"95,460","-127,884","465,697","465,697",-,-,-,-,"1,427,513","46,887,738","44,862,752","28,564,451","28,564,451","16,298,301","300,000",-,"300,000","796,796",-,-,-,-,-,"796,796","123,839","21,009",-,"21,009","102,830","804,351","804,351","652,612",-,-,-,"5,269,175","5,269,175",167,-,167,"4,000,414","1,858,352","634,083","44,325",-,-,"6,073,526",-,"5,269,175","102,830","4,803,478","825,360","4,803,478","928,190",-,"167,241","141,565",-,"25,675"
