,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Accrued Expense,Dividend Received CFO,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Dividends Received CFI,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"2,066,022","2,066,022","1,128,083","-7,717",-,-,"-1,306","-6,411","159,851","159,851","-43,988","-43,988","-1,355","56,703","6,861","37,601",-,"73,500","648,897","187,512","187,512","461,385","461,385","7,586","-4,582,892","-4,582,892","1,561,311","596,994","596,994","-186,369","-1,120,608","1,101,542",-,-,"-6,571,077","602,725","-7,173,802",-,-,-,-,-,-,"18,221","-1,972","2,114,210","2,114,210",0,"-250,937","-250,943","4,950,200","-5,201,143",6,6,-,"-119,077",-,"-119,077",-,-,-,"-228,381","-228,381",-,"3,178",-,-,"3,481,784","-402,660","-28,491","3,912,935",-,"281,269","249,587",-,-,"4,950,206","-5,201,143","-119,077","2,066,022"
1,12/31/2022,"2,066,022","2,066,022","1,128,083","-7,717",-,-,"-1,306","-6,411","159,851","159,851","-43,988","-43,988","-1,355","56,703","6,861","37,601",-,"73,500","648,897","187,512","187,512","461,385","461,385","7,586","-4,582,892","-4,582,892","1,561,311","596,994","596,994","-186,369","-1,120,608","1,101,542",-,-,"-6,571,077","602,725","-7,173,802",-,-,-,-,-,-,"18,221","-1,972","2,114,210","2,114,210",0,"-250,937","-250,943","4,950,200","-5,201,143",6,6,-,"-119,077",-,"-119,077",-,-,-,"-228,381","-228,381",-,"3,178",-,-,"3,481,784","-402,660","-28,491","3,912,935",-,"281,269","249,587",-,-,"4,950,206","-5,201,143","-119,077","2,066,022"
2,12/31/2021,"1,168,422","1,168,422","872,981","-10,477",-,-,"-1,568","-8,909","156,792","156,792","4,762","4,762",-22,"33,467","5,151","32,567",-,"-35,000","95,084","124,496","124,496","-29,412","-29,412","13,117","-9,117,204","-9,117,204","-893,503","73,263",-,"-4,894,495","-6,779,655","2,074,996",-,-,"-3,316,484","606,410","-3,922,894","-5,688","-6,017",329,-,-,-,"14,440","-94,737","7,835,045","7,835,045",0,"-427,349","-406,206",400,"-406,606","-21,143",-,"-21,143","-15,702",-,"-15,702",-,-,-,"-188,762",-,-,"2,573",-,-,"3,912,935","-113,737","8,701","4,017,971",-,"139,460","87,684","-6,017",-,400,"-427,749","-15,702","1,162,405"
3,12/31/2020,"693,325","693,325","567,797","-16,800",0,-,"-12,299","-4,501","119,908","119,908","-41,515","-41,515","1,180","-16,456",-,"29,237",-,"210,653","-169,465","-339,868","-339,868","170,403","170,403","8,786","-6,848,716","-6,848,716","-350,000","-577,607",-,"-2,317,577","-4,758,254","2,595,564",-,-,"-3,615,368","331,864","-3,947,232","2,498","-2,656","5,154",0,0,-,"15,901","-6,563","6,908,793","6,908,793","-158,740","-105,082","-96,066","1,447,569","-1,543,635","-9,016",-,-,"-154,219",-,"-154,219",-,-,-,"-158,222","-158,222",-,"2,326",-,-,"4,017,971","753,402","3,420","3,261,149",-,"116,412","233,139","-2,656",-,"1,447,569","-1,543,635","-154,219","690,669"
4,12/31/2019,"735,829","735,829","674,035","-8,079",0,-114,"-3,930","-4,035","144,178","144,178","-21,604","-21,604",569,"-22,379",-,"30,761",-,"98,685","-163,807","-170,819","-170,819","7,012","7,012","3,470","-2,571,176","-2,571,176","325,000","193,455",-,"-668,107","-2,303,317","1,782,112","1,224","1,224","-2,420,234","288,823","-2,709,057","-9,456","-9,859",403,0,0,0,"9,502","-2,560","2,124,962","2,124,962",-,"388,580","417,115","1,500,000","-1,082,885","-28,535",-,-,"-14,635","3,383","-14,635",-,-,-,"-155,107","-155,107",-,"3,383",-,-,"3,261,149","289,615","-29,843","3,001,377",-,"158,296","418,840","-9,859","3,383","1,500,000","-1,082,885","-14,635","725,970"
5,12/31/2018,"883,172","883,172","703,701","-47,278","-31,470","-6,683","-2,535","-6,590","139,499","139,499","-16,470","-16,470","-1,940","-20,572",-,"30,937",-,"64,255","27,279","-60,791","-60,791","88,070","88,070","3,761","-3,832,412","-3,832,412","15,000","4,212",-,"85,124","-888,673","1,106,402","4,484","4,484","-3,426,546","483,948","-3,910,494","-12,149","-13,787","1,638","-503,687","-503,687",0,"5,185","-4,035","3,800,808","3,800,808",-,"36,392","-25,000",-,"-25,000","61,392",-,-,"-15,634","2,846","-15,634",-,-,-,"-125,988","-125,988",-,"2,846",-,-,"3,001,377","851,568","-24,783","2,174,592",-,"85,872","253,026","-13,787","2,846",-,"-25,000","-15,634","869,385"
6,12/31/2017,"696,906","696,906","505,624","-98,102","-3,807","-77,388","-8,037","-8,870","149,822","149,822","33,856","33,856","-1,996","-7,260",-,"24,657",-,"46,266","44,039","46,005","46,005","-1,966","-1,966",-,"-2,500,455","-2,500,455","650,000","-63,096",-,"256,172","-828,604","1,246,437","6,999","6,999","-3,482,914","566,688","-4,049,602","105,995","-13,754","119,749","3,633",-,"3,633",-,"22,756","2,068,460","2,068,460",0,"-76,560","-15,000",0,"-15,000","-61,560",-,-,"-12,940","2,280","-12,940",-,-,-,"-116,820","-116,820",-,"2,280",-,-,"2,174,592","264,911","31,178","1,878,503",-,"98,126","138,766","-13,754","2,280",0,"-15,000","-12,940","683,152"
7,12/31/2016,"641,856","641,856","431,677","-20,578",-,"-4,129","-10,362","-6,087","162,596","162,596","26,966","26,966","2,466","-51,042",-,"22,102",-,"27,479","40,190","24,837","24,837","15,353","15,353",-,"-1,792,660","-1,792,660","-50,000","-38,249",-,"294,713","-2,396,199","2,778,772","7,408","7,408","-2,030,765","661,025","-2,691,790",-,-,-,0,-,0,-,"24,233","1,680,360","1,680,360",0,"-657,494","-720,000",0,"-720,000","62,506",-,-,"-3,225","2,982","-3,225",-,-,-,"-115,828","-115,828",-,"2,982","1,055",-,"1,878,503","529,556","-11,940","1,360,887",-,"39,478","104,251",-,"2,982",0,"-720,000","-3,225","641,856"
8,12/31/2015,"469,624","469,624","384,677","-79,887",-,"-14,646","-40,367","-24,874","80,583","80,583","261,214","261,214","-70,763","-63,770",-,"16,502","-3,291","14,217","-69,858","-86,643","-86,643","16,785","16,785",-,"-3,627,881","-3,627,881","-625,000",-,-,"-1,207,859","-3,547,193","2,434,408","41,050","41,050","-1,838,797","1,722,665","-3,561,462","-6,555","-6,555",-,0,-,0,-,"9,280","3,490,306","3,490,306","-566,818","680,000","680,000","700,000","-20,000",0,-,-,"-5,964","2,835","-5,964",-,-,-,"-115,641","-115,641",-,"2,835","3,291",-,"1,360,887","332,049","-11,047","1,039,885",-,-,"105,831","-6,555","2,835","700,000","-20,000","-5,964","463,069"
9,12/31/2014,"392,898","392,898","342,483","-64,039",-,-,"-64,039",-,"127,625","127,625","-154,612","-154,612","393,795","-184,318","2,923","13,883","-6,513","49,158","-127,487","-88,901","-88,901","-38,586","-38,586",-,"-2,359,893","-2,359,893","-125,000",-,-,"49,130","-1,129,301","1,178,431","70,936","70,936","-2,561,077","856,434","-3,417,511","-9,510","-11,853","2,343","138,465",-,"138,465",-,"77,163","2,111,060","2,111,060","-25,000","-40,310","-40,310",0,"-40,310",0,-,-,"-10,326","6,794","-10,326",-,-,-,"-103,618","-103,618",-,"6,794","6,513",-,"1,039,885","144,065",0,"895,820",-,"321,177","112,695","-11,853","6,794",0,"-40,310","-10,326","381,045"
